"concept,""disease"",""appearTimes"",conceptClass"
"5-Hydroxytryptamine Receptor 1A, human,""Hashimoto Disease"",""3"",Protein"
"NOS1 protein, human,""Colonic Diseases"",""3"",Protein"
"Phosphotransferases,""Retinal Diseases"",""3"",Protein"
"INSR protein, human,""Syndrome"",""3"",Protein"
"Angiotensin-2,""Neurodegenerative Disorders"",""3"",Protein"
"Congenital secretory diarrhea, sodium type (disorder),""cortex bone disorders"",""3"",Protein"
"Riboflavin,""Brown-Vialetto-Van Laere syndrome"",""3"",Protein"
"Agrin,""Alzheimer's Disease"",""3"",Protein"
"tau Proteins,""cortex bone disorders"",""3"",Protein"
"Glucose,""Metabolic Diseases"",""3"",Protein"
"Bilirubin,""Disorder nervous system"",""3"",Protein"
"Receptor Protein-Tyrosine Kinases,""Depressive disorder"",""3"",Protein"
"Green Fluorescent Proteins,""Prune Belly Syndrome"",""3"",Protein"
"Ubiquitin,""Degenerative disorder"",""3"",Protein"
"Protein S100-B, human,""Disorder nervous system"",""3"",Protein"
"Peptides,""Macrophage Activation Syndrome"",""3"",Protein"
"Y, Neuropeptide,""Hamartoma Syndrome, Multiple"",""3"",Protein"
"Caspase-1,""Disease Progression"",""3"",Protein"
"Connexins,""Functional disorder"",""3"",Protein"
"Neurotensin,""Parkinson Disease"",""3"",Protein"
"Neurotrophic Tyrosine Kinase Receptor Type 3,""cortex bone disorders"",""3"",Protein"
"Hexosaminidases,""Tay-Sachs Disease"",""3"",Protein"
"Receptor, Inositol-1,4,5-triphosphate,""cortex bone disorders"",""3"",Protein"
"ARID1A protein, human,""Functional disorder"",""3"",Protein"
"HCRT wt Allele,""Neurotoxicity Syndromes"",""3"",Protein"
"Minocycline,""Van der Woude syndrome"",""3"",Protein"
"Immunoglobulins,""Lung diseases"",""3"",Protein"
"Enzymes,""Sudden infant death syndrome"",""3"",Protein"
"Genes,""Fabry Disease"",""3"",Protein"
"DNA Modification Methylases,""cortex bone disorders"",""3"",Protein"
"Calcium/calmodulin-dependent protein kinase,""Depressive disorder"",""3"",Protein"
"Substance P,""Disease Progression"",""3"",Protein"
"Potassium Channel,""Depressive disorder"",""3"",Protein"
"Spectrin,""Syndrome"",""3"",Protein"
"cytidylyl-3'-5'-guanosine,""Disease Progression"",""3"",Protein"
"Human Leukocyte Interferon,""Major Depressive Disorder"",""3"",Protein"
"Follicle Stimulating Hormone,""Ovarian Diseases"",""3"",Protein"
"Human Leukocyte Interferon,""Norrie disease"",""3"",Protein"
"Tubulin Beta-3 Chain,""Mohr-Tranebjaerg syndrome"",""3"",Protein"
"Fractalkine,""Functional disorder"",""3"",Protein"
"Transcription Repressor/Corepressor,""Functional disorder"",""3"",Protein"
"Apolipoprotein D,""Neurodegenerative Disorders"",""3"",Protein"
"Motor protein,""Functional disorder"",""3"",Protein"
"Core-Binding Factor,""Hypertensive disease"",""3"",Protein"
"Corticotropin-Releasing Hormone,""Cat eye syndrome"",""3"",Protein"
"Dopa,""Liver diseases"",""3"",Protein"
"NFIA protein, human,""Neurotoxicity Syndromes"",""3"",Protein"
"Calbindins,""Spinal Cord Diseases"",""3"",Protein"
"Glycosylation End Products, Advanced,""Disorders, Mental"",""3"",Protein"
"Alteplase,""Fragile X Syndrome"",""3"",Protein"
"Calbindin 1,""Retinal Diseases"",""3"",Protein"
"Adenosine Triphosphatases,""Dystonia Disorders"",""3"",Protein"
"Receptors, Metabotropic Glutamate,""Syndrome, Bloch-Sulzberger"",""3"",Protein"
"HSPB1 protein, human,""DISORDERS OF THE OPTIC NERVE"",""3"",Protein"
"Lipoproteins,""Alzheimer's Disease"",""3"",Protein"
"TLR4 protein, human,""Disease Progression"",""3"",Protein"
"Amprenavir,""Anophthalmia Waardenburg syndrome"",""3"",Protein"
"Factor, Transcription,""Liver diseases"",""3"",Protein"
"Genes,""Seasonal Affective Disorder"",""3"",Protein"
"Genes,""Acute infectious disease"",""3"",Protein"
"Transcortin,""Liver diseases"",""3"",Protein"
"Protein Phosphatase 2A Regulatory Subunit PR53,""Functional disorder"",""3"",Protein"
"GTP-Binding Proteins,""Functional disorder"",""3"",Protein"
"Thyrotropin-Releasing Hormone,""Alzheimer's Disease"",""3"",Protein"
"Cre recombinase,""Retinal Diseases"",""3"",Protein"
"CYP19A1 protein, human,""Skin endocrine disorder"",""3"",Protein"
"Spectrin,""DISORDERS OF THE OPTIC NERVE"",""3"",Protein"
"Actins,""Neurotoxicity Syndromes"",""3"",Protein"
"Cyclin-Dependent Kinase 5,""Parkinson Disease"",""3"",Protein"
"Glial Fibrillary Acidic Protein,""Autistic Disorder"",""3"",Protein"
"LCN2 protein, human,""Van der Woude syndrome"",""3"",Protein"
"NOS2A protein, human,""Liver diseases"",""3"",Protein"
"Claudin-5,""Alzheimer's Disease"",""3"",Protein"
"Retinoblastoma Protein,""Meleda Disease"",""3"",Protein"
"Protein Kinase C,""Niemann-Pick Disease, Type C"",""3"",Protein"
"Transporter, Serotonin,""Neurotoxicity Syndromes"",""3"",Protein"
"Simvastatin,""Marfan Syndrome"",""3"",Protein"
"HD protein, human,""Mood Disorders"",""3"",Protein"
"Retinoblastoma Protein,""Gilles de la Tourette syndrome"",""3"",Protein"
"Amyloid Proteins,""Shy-Drager Syndrome"",""3"",Protein"
"5-Hydroxytryptamine Receptor 1A, human,""Mood Disorders"",""3"",Protein"
"Amprenavir,""Depressive disorder"",""3"",Protein"
"HD protein, human,""Lewy Body Disease"",""3"",Protein"
"Somatostatin,""Liver diseases"",""3"",Protein"
"Sirtuin 1,""Neurotoxicity Syndromes"",""3"",Protein"
"S100 calcium binding protein A10,""Spinal Cord Diseases"",""3"",Protein"
"Caspase 8,""Van der Woude syndrome"",""3"",Protein"
"Cholinergic Receptors,""Anophthalmia Waardenburg syndrome"",""3"",Protein"
"Genes,""Inflammatory Bowel Diseases"",""3"",Protein"
"Opioid Receptor,""Disorders, Mental"",""3"",Protein"
"Heme Oxygenase-1,""cortex bone disorders"",""3"",Protein"
"Vasoactive Intestinal Peptide,""Depressive disorder"",""3"",Protein"
"Phospholipase,""Disease Progression"",""3"",Protein"
"Histone Deacetylase 2,""Neurotoxicity Syndromes"",""3"",Protein"
"Enzymes,""Meningeal disorder"",""3"",Protein"
"Peptide Hydrolases,""Disease Progression"",""3"",Protein"
"DNA, Complementary,""Thyroid Diseases"",""3"",Protein"
"Amyloid,""Hereditary Diseases"",""3"",Protein"
"Myelin,""Sequela of disorder"",""3"",Protein"
"HDAC Inhibitor SHP-141,""Disorders, Mental"",""3"",Protein"
"Amyloid Proteins,""Degenerative brain disorder"",""3"",Protein"
"Actins,""Pervasive Development Disorder"",""3"",Protein"
"Endopeptidase K,""Prion Diseases"",""3"",Protein"
"Chemokine,""Sensitization (disorder)"",""3"",Protein"
"Folic Acid,""Cumulative Trauma Disorders"",""3"",Protein"
"Genes,""CHARGE Syndrome"",""3"",Protein"
"Laminin,""Neurotoxicity Syndromes"",""3"",Protein"
"Ligase, Ubiquitin-Protein,""Disorder nervous system"",""3"",Protein"
"Glycosylation End Products, Advanced,""DISORDERS OF THE OPTIC NERVE"",""3"",Protein"
"Serotonin,""Van der Woude syndrome"",""3"",Protein"
"Antibodies,""Disorders, Mental"",""3"",Protein"
"Transporter, Dopamine,""Binge eating disorder"",""3"",Protein"
"Glucocorticoid Receptor,""Post-Traumatic Stress Disorder"",""3"",Protein"
"Serotonin,""Huntington Disease"",""3"",Protein"
"Receptor 5, Metabotropic Glutamate,""Esophageal Diseases"",""3"",Protein"
"gastric inhibitory polypeptide receptor,""Neurodegenerative Disorders"",""3"",Protein"
"Calcium,""Irritable Bowel Syndrome"",""3"",Protein"
"Y, Neuropeptide,""Zellweger Syndrome"",""3"",Protein"
"Brain-Derived Neurotrophic Factor,""Mucocutaneous Lymph Node Syndrome"",""3"",Protein"
"Interleukin-6,""Menkes Kinky Hair Syndrome"",""3"",Protein"
"atorvastatin,""Van der Woude syndrome"",""3"",Protein"
"Receptor,""Attention Deficit Disorder"",""3"",Protein"
"Tumor Necrosis Factors,""Niemann-Pick Disease, Type C"",""3"",Protein"
"Apolipoprotein E4,""Cerebrovascular Disorders"",""3"",Protein"
"Dystrophin,""Down Syndrome"",""3"",Protein"
"GABA Receptor,""Hamartoma Syndrome, Multiple"",""3"",Protein"
"Dystroglycans,""Functional disorder"",""3"",Protein"
"Masoprocol,""Neurotoxicity Syndromes"",""3"",Protein"
"KISS1 protein, human,""Uterine Diseases"",""3"",Protein"
"Transferrin Receptor,""Retinal Diseases"",""3"",Protein"
"CTSG protein, human,""Rett Syndrome"",""3"",Protein"
"Fragile X Mental Retardation Protein,""Stress Disorders, Traumatic"",""3"",Protein"
"Methionine,""Seasonal Affective Disorder"",""3"",Protein"
"Receptor,""Oculorespiratory syndrome"",""3"",Protein"
"Small Nuclear Ribonucleoprotein Polypeptide F,""Parkinsonian Disorders"",""3"",Protein"
"TRIO protein, human,""Pervasive Development Disorder"",""3"",Protein"
"Fragile X Mental Retardation Protein,""Disorder nervous system"",""3"",Protein"
"Antibodies,""Autism Spectrum Disorders"",""3"",Protein"
"Receptor,""Acute Chest Syndrome"",""3"",Protein"
"Myelin,""Sweet Syndrome"",""3"",Protein"
"Cytoskeletal Proteins,""Neurotoxicity Syndromes"",""3"",Protein"
"Ski-Interacting Protein,""Parkinson Disease"",""3"",Protein"
"5-Hydroxytryptophan,""cortex bone disorders"",""3"",Protein"
"Presynaptic Density Protein 95,""Mucocutaneous Lymph Node Syndrome"",""3"",Protein"
"FOSB protein, human,""cortex bone disorders"",""3"",Protein"
"Agmatinase,""Mood Disorders"",""3"",Protein"
"Erythropoietin,""Shy-Drager Syndrome"",""3"",Protein"
"CD4 Antigens,""Immunologic Deficiency Syndromes"",""3"",Protein"
"APP protein, human,""Norrie disease"",""3"",Protein"
"Cathepsin B,""Brain Diseases"",""3"",Protein"
"Platelet-Derived Growth Factor Receptor,""Spinal Cord Diseases"",""3"",Protein"
"metabotropic glutamate receptor type 1,""Mucocutaneous Lymph Node Syndrome"",""3"",Protein"
"AMP-Activated Protein Kinases,""Opitz-Frias syndrome"",""3"",Protein"
"Serotonin receptor,""Autistic Disorder"",""3"",Protein"
"Brain-Derived Neurotrophic Factor,""Hashimoto Disease"",""3"",Protein"
"Glucose,""Disorder nervous system"",""3"",Protein"
"Granulocyte-Macrophage Colony-Stimulating Factor,""Retinal Diseases"",""3"",Protein"
"CLDN5 gene,""Functional disorder"",""3"",Protein"
"Stress-Activated Protein Kinase 1,""Alzheimer's Disease"",""3"",Protein"
"TM4SF1 protein, human,""Carpal Tunnel Syndrome"",""3"",Protein"
"Calcitonin-Gene Related Peptide Receptor,""Sensitization (disorder)"",""3"",Protein"
"Tumor Necrosis Factor-alpha,""Virus Diseases"",""3"",Protein"
"Calmodulin Dependent Protein Kinase II,""Retinal Diseases"",""3"",Protein"
"LCN2 protein, human,""Disorder nervous system"",""3"",Protein"
"CDK7 protein, human,""Depressive disorder"",""3"",Protein"
"TAF1 protein, human,""Syndrome"",""3"",Protein"
"Synaptotagmins,""Retinal Diseases"",""3"",Protein"
"orexins,""Brain Diseases"",""3"",Protein"
"Calcium,""Syndrome"",""3"",Protein"
"respiratory enzyme,""Alzheimer's Disease"",""3"",Protein"
"Hepcidin,""Neurodegenerative Disorders"",""3"",Protein"
"Pro-Opiomelanocortin,""Metabolic Syndrome X"",""3"",Protein"
"Sirolimus,""Functional disorder"",""3"",Protein"
"CDR1 protein, human,""Alzheimer's Disease"",""3"",Protein"
"Amylin,""Spinal Cord Diseases"",""3"",Protein"
"Ribosomal Protein S6 Kinase Beta-1,""Spinal Cord Diseases"",""3"",Protein"
"Retinaldehyde,""Hypertensive disease"",""3"",Protein"
"angiogenin,""Parkinson Disease"",""3"",Protein"
"Tumor Necrosis Factors,""Hashimoto Disease"",""3"",Protein"
"Cysteine,""Alzheimer's Disease"",""3"",Protein"
"Dopamine Receptor,""Bipolar Disorder"",""3"",Protein"
"Peptides,""Prion Diseases"",""3"",Protein"
"TLR3 protein, human,""Virus Diseases"",""3"",Protein"
"Neuregulin 1,""Carpal Tunnel Syndrome"",""3"",Protein"
"Enzymes,""Mood Disorders"",""3"",Protein"
"POU3F2 protein, human,""Skin endocrine disorder"",""3"",Protein"
"Corticotropin-Releasing Hormone,""Retinal Diseases"",""3"",Protein"
"Stress-Activated Protein Kinase 1,""Spinal Cord Diseases"",""3"",Protein"
"Glutamate Decarboxylase,""Idiopathic pneumonia syndrome"",""3"",Protein"
"Y, Neuropeptide,""Renal glomerular disease"",""3"",Protein"
"Protein Subunits,""Psychotic Disorders"",""3"",Protein"
"Lysine,""Van der Woude syndrome"",""3"",Protein"
"Phosphoric Monoester Hydrolases,""Disease Progression"",""3"",Protein"
"Serine,""Shy-Drager Syndrome"",""3"",Protein"
"rosuvastatin,""Van der Woude syndrome"",""3"",Protein"
"Pituitary Adenylate Cyclase Activating Polypeptide,""Mitral Valve Prolapse Syndrome"",""3"",Protein"
"Dyes,""Neurotoxicity Syndromes"",""3"",Protein"
"Phosphatidylinositol-Binding Clathrin Assembly Protein,""Neurodegenerative Disorders"",""3"",Protein"
"Occludin,""Herpes zoster disease"",""3"",Protein"
"Cancer/Testis Antigen,""Spinal Cord Diseases"",""3"",Protein"
"Enkephalin, Methionine,""cortex bone disorders"",""3"",Protein"
"Tubulin,""Ocular Motility Disorders"",""3"",Protein"
"Serotonin,""Malignant Carcinoid Syndrome"",""3"",Protein"
"Platelet-Derived Growth Factor,""Spinal Cord Diseases"",""3"",Protein"
"Insulin,""Syndrome, Bloch-Sulzberger"",""3"",Protein"
"Proteins,""Macrophage Activation Syndrome"",""3"",Protein"
"Eosine Yellowish,""Spinal Cord Diseases"",""3"",Protein"
"N-Methylaspartate,""Parkinsonian Disorders"",""3"",Protein"
"Hexosaminidases,""Alzheimer's Disease"",""3"",Protein"
"Interleukin-18,""Major Depressive Disorder"",""3"",Protein"
"Protein Subunits,""Pituitary Diseases"",""3"",Protein"
"PRRT2 protein, human,""Dyskinetic syndrome"",""3"",Protein"
"Delta-Like Protein 1, human,""Stiff-Person Syndrome"",""3"",Protein"
"fodrin,""Retinal Diseases"",""3"",Protein"
"Cell Adhesion Molecules,""DISORDERS OF THE OPTIC NERVE"",""3"",Protein"
"PTPRT protein, human,""Depressive disorder"",""3"",Protein"
"Lipase, Lipoprotein,""Depressive disorder"",""3"",Protein"
"Retinaldehyde,""Liver diseases"",""3"",Protein"
"Ibuprofen,""Dyskinetic syndrome"",""3"",Protein"
"CYP19A1 protein, human,""Retinal Diseases"",""3"",Protein"
"Glutamate Dehydrogenase,""Parkinson Disease"",""3"",Protein"
"Serotonin,""Sturge-Weber Syndrome"",""3"",Protein"
"PARK2 protein, human,""Disease Progression"",""3"",Protein"
"Protein Subunits,""Chimera (disorder)"",""3"",Protein"
"Receptors, Toll Like,""Spinal Cord Diseases"",""3"",Protein"
"Cyclic AMP-Responsive DNA-Binding Protein,""Retinal Diseases"",""3"",Protein"
"Neurotensin,""Retinal Diseases"",""3"",Protein"
"Finasteride,""Depressive disorder"",""3"",Protein"
"Glycoproteins,""Noonan Syndrome"",""3"",Protein"
"Hyperhomocysteinemia,""Cerebrovascular Disorders"",""3"",Protein"
"Dioxygenases,""Liver diseases"",""3"",Protein"
"Receptors, Purinergic P1,""Parkinson Disease"",""3"",Protein"
"Glutamate Transporter,""Iodine deficiency syndrome"",""3"",Protein"
"Thiamine Pyrophosphate,""Alzheimer's Disease"",""3"",Protein"
"Alanine,""Functional disorder"",""3"",Protein"
"Amyloid,""Sequela of disorder"",""3"",Protein"
"Ribosyldihydronicotinamide Dehydrogenase [Quinone],""cortex bone disorders"",""3"",Protein"
"ROCK1 protein, human,""cortex bone disorders"",""3"",Protein"
"Ligase, Ubiquitin-Protein,""Pervasive Development Disorder"",""3"",Protein"
"moesin,""Disease Progression"",""3"",Protein"
"Albumin Human, USP,""Nail-Patella Syndrome"",""3"",Protein"
"Phosphoproteins,""Alzheimer's Disease"",""3"",Protein"
"Cyclin-Dependent Kinases,""Disease Progression"",""3"",Protein"
"Parvalbumins,""Syndrome"",""3"",Protein"
"Interferons,""Disorder nervous system"",""3"",Protein"
"Regulatory Protein,""Alzheimer's Disease"",""3"",Protein"
"Dipeptides,""Neurodegenerative Disorders"",""3"",Protein"
"Palmitoylated Membrane Protein 2,""Pervasive Development Disorder"",""3"",Protein"
"Albumins,""Spinal Cord Diseases"",""3"",Protein"
"Oligosaccharides,""Alzheimer's Disease"",""3"",Protein"
"Granulocyte Colony-Stimulating Factor,""Neurodegenerative Disorders"",""3"",Protein"
"Heparitin Sulfate,""Neurodegenerative Disorders"",""3"",Protein"
"Interleukin-4,""Neurotoxicity Syndromes"",""3"",Protein"
"Heat-Shock Proteins,""Behcet Syndrome"",""3"",Protein"
"Threonine,""Functional disorder"",""3"",Protein"
"Carnosine,""Retinal Diseases"",""3"",Protein"
"Cancer/Testis Antigen,""Neurotoxicity Syndromes"",""3"",Protein"
"Clusterin,""Niemann-Pick Disease, Type C"",""3"",Protein"
"G-Protein-Coupled Receptors,""Attention deficit hyperactivity disorder"",""3"",Protein"
"Methionine,""cortex bone disorders"",""3"",Protein"
"N-Sulfoglucosamine sulfohydrolase,""Lysosomal Storage Diseases"",""3"",Protein"
"Membrane Transport Proteins,""Disease Progression"",""3"",Protein"
"Polypeptides,""Mucocutaneous Lymph Node Syndrome"",""3"",Protein"
"Apolipoprotein E4,""Down Syndrome"",""3"",Protein"
"Chromatin Remodeling Factor,""Autism Spectrum Disorders"",""3"",Protein"
"Internexin,""Feline urological syndrome"",""3"",Protein"
"Proto-Oncogene Proteins c-akt,""Autistic Disorder"",""3"",Protein"
"Chloramphenicol O-Acetyltransferase,""Disorder of pineal gland"",""3"",Protein"
"Pyruvate dehydrogenase,""Alzheimer's Disease"",""3"",Protein"
"Thioguanine,""Disease Progression"",""3"",Protein"
"Neural Cell Adhesion Molecule L1,""Neurotoxicity Syndromes"",""3"",Protein"
"Autoantibodies,""Disorders, Mental"",""3"",Protein"
"Neurotrophic Factor,""Down Syndrome"",""3"",Protein"
"Granulocyte Colony-Stimulating Factor,""Disorder nervous system"",""3"",Protein"
"Aquaporin 4,""Disorder nervous system"",""3"",Protein"
"Receptor 5, Metabotropic Glutamate,""Hypertensive disease"",""3"",Protein"
"Green Fluorescent Proteins,""Pituitary Diseases"",""3"",Protein"
"Interferon-alpha,""Depressive disorder"",""3"",Protein"
"Neostigmine,""Pancreatic Diseases"",""3"",Protein"
"Ganciclovir,""Syndrome, Bloch-Sulzberger"",""3"",Protein"
"DNA, Mitochondrial,""neuropathology disease"",""3"",Protein"
"Tubulin,""Spinal Cord Diseases"",""3"",Protein"
"Cytokine,""Cognition Disorders"",""3"",Protein"
"Methionine,""Spinal Cord Diseases"",""3"",Protein"
"DNA, Complementary,""Diseases of inner ear"",""3"",Protein"
"1-Phosphatidylinositol 3-Kinase,""Disorder nervous system"",""3"",Protein"
"Genes,""Panic Disorder"",""3"",Protein"
"Chemokine,""Depressive disorder"",""3"",Protein"
"Insulin-Like Growth Factor I,""Renal glomerular disease"",""3"",Protein"
"DNA-Binding Proteins,""Thrombocytopenia-Absent Radius Syndrome"",""3"",Protein"
"Colony-Stimulating Factors,""Creutzfeldt-Jakob disease"",""3"",Protein"
"Peptidyl-Prolyl Cis-Trans Isomerase FKBP5,""Stress Disorders, Traumatic"",""3"",Protein"
"Phosphotransferases,""Autistic Disorder"",""3"",Protein"
"NF-E2-Related Factor 2,""cortex bone disorders"",""3"",Protein"
"Ubiquitin,""Pick Disease of the Brain"",""3"",Protein"
"GTP-Binding Proteins,""cortex bone disorders"",""3"",Protein"
"Tissue Inhibitor of Metalloproteinase-2,""Alzheimer's Disease"",""3"",Protein"
"Vascular Endothelial Growth Factors,""Disease Progression"",""3"",Protein"
"Retinaldehyde,""Mild cognitive disorder"",""3"",Protein"
"Somatostatin,""Mucocutaneous Lymph Node Syndrome"",""3"",Protein"
"Endothelin,""Alzheimer's Disease"",""3"",Protein"
"Transporter, Dopamine,""Sensitization (disorder)"",""3"",Protein"
"toxic proteins,""Disease Progression"",""3"",Protein"
"Neural Cell Adhesion Molecules,""DISORDERS OF THE OPTIC NERVE"",""3"",Protein"
"Genes,""Gardner Syndrome"",""3"",Protein"
"STAT3 Protein,""Depressive disorder"",""3"",Protein"
"Sodium Channel,""Developmental delay (disorder)"",""3"",Protein"
"Chromatin,""Alzheimer's Disease"",""3"",Protein"
"Choline O-Acetyltransferase,""Rett Syndrome"",""3"",Protein"
"Streptavidin,""Spinal Cord Diseases"",""3"",Protein"
"IGBP1 protein, human,""cortex bone disorders"",""3"",Protein"
"HDAC Inhibitor SHP-141,""Spinal Cord Diseases"",""3"",Protein"
"Neurturin,""Alzheimer's Disease"",""3"",Protein"
"Folic Acid,""Menkes Kinky Hair Syndrome"",""3"",Protein"
"Aromatase,""Skin endocrine disorder"",""3"",Protein"
"Factor, Transcription,""CNS disorder"",""3"",Protein"
"Valine,""Functional disorder"",""3"",Protein"
"C-Terminal Hydrolase, Ubiquitin,""Parkinson Disease"",""3"",Protein"
"Genes,""Mowat-Wilson syndrome"",""3"",Protein"
"Oxytocin,""Stress Disorders, Traumatic"",""3"",Protein"
"LCN2 protein, human,""Spinal Cord Diseases"",""3"",Protein"
"moesin,""Recurrent disease"",""3"",Protein"
"Neuropeptides,""Neurotoxicity Syndromes"",""3"",Protein"
"DNA-Binding Proteins,""Spinal Cord Diseases"",""3"",Protein"
"Biotin,""cortex bone disorders"",""3"",Protein"
"DICER1 protein, human,""Disorder nervous system"",""3"",Protein"
"N-Methylaspartate,""Syndrome"",""3"",Protein"
"Ubiquinone,""Parkinson Disease"",""3"",Protein"
"Protein Disulfide Isomerase,""Prion Diseases"",""3"",Protein"
"5-Hydroxytryptamine Receptor 1A, human,""Pituitary Diseases"",""3"",Protein"
"Folic Acid,""Functional disorder"",""3"",Protein"
"Protein Subunits,""Lysosomal Storage Diseases"",""3"",Protein"
"Pigment,""Alzheimer's Disease"",""3"",Protein"
"Carbamoyltransferase, Ornithine,""Disease Progression"",""3"",Protein"
"IGFBP2 protein, human,""Post-Traumatic Stress Disorder"",""3"",Protein"
"Chromogranin A,""Spinal Cord Diseases"",""3"",Protein"
"Protein Kinase C,""Liver diseases"",""3"",Protein"
"PIK3CA protein, human,""Van der Woude syndrome"",""3"",Protein"
"Hypoxia Inducible Factor Family,""Parkinson Disease"",""3"",Protein"
"Guanosine Triphosphate Phosphohydrolases,""Disorder nervous system"",""3"",Protein"
"pleiotrophin,""Depressive disorder"",""3"",Protein"
"Wheat Germ Agglutinins,""Retinal Diseases"",""3"",Protein"
"Lactoferrin,""Down Syndrome"",""3"",Protein"
"NBS1 protein, human,""Syndrome"",""3"",Protein"
"HP protein, human,""Bloom Syndrome"",""3"",Protein"
"Calmodulin Dependent Protein Kinase II,""Sweet Syndrome"",""3"",Protein"
"Serine,""Neurodegenerative Disorders"",""3"",Protein"
"Gamma-Enolase,""Cerebrovascular Disorders"",""3"",Protein"
"Calcium,""Parkinsonian Disorders"",""3"",Protein"
"Genes,""Bone Diseases"",""3"",Protein"
"Peptides,""Major Depressive Disorder"",""3"",Protein"
"Insulin Receptor Substrate 1 Protein,""Depressive disorder"",""3"",Protein"
"Hexokinase,""Huntington Disease"",""3"",Protein"
"Tumor Necrosis Factors,""Virus Diseases"",""3"",Protein"
"Ephrin-B2,""cortex bone disorders"",""3"",Protein"
"Vascular Endothelial Growth Factor A,""Syndrome"",""3"",Protein"
"Receptor, Cannabinoid, CB2,""Retinal Diseases"",""3"",Protein"
"Mitogen-Activated Protein Kinase 3,""Neurotoxicity Syndromes"",""3"",Protein"
"PrPSc Proteins,""Neurodegenerative Disorders"",""3"",Protein"
"Adenosine Triphosphatases,""Bipolar Disorder"",""3"",Protein"
"Calcium,""Nail-Patella Syndrome"",""3"",Protein"
"Estrogen Receptors,""Uterine Diseases"",""3"",Protein"
"APP protein, human,""Degenerative brain disorder"",""3"",Protein"
"Alanine Transaminase,""Liver diseases"",""3"",Protein"
"LIF protein, human,""Spinal Cord Diseases"",""3"",Protein"
"LCN2 protein, human,""Parkinson Disease"",""3"",Protein"
"Cholinergic Receptors,""cortex bone disorders"",""3"",Protein"
"Thymidine Phosphorylase,""Gilles de la Tourette syndrome"",""3"",Protein"
"Tyrosine 3-Monooxygenase,""Behavior Disorders"",""3"",Protein"
"neuromelanin,""Alzheimer's Disease"",""3"",Protein"
"Neurotrophin 3,""Pancreatic Diseases"",""3"",Protein"
"Extracellular Signal Regulated Kinases,""Sensitization (disorder)"",""3"",Protein"
"Epoetin Alfa,""Spinal Cord Diseases"",""3"",Protein"
"Gamma-Enolase,""Shwachman syndrome"",""3"",Protein"
"FGF8 protein, human,""Kallmann Syndrome"",""3"",Protein"
"Janus Kinase 2,""Janiceps (disorder)"",""3"",Protein"
"Peptides,""Rett Syndrome"",""3"",Protein"
"GMNN protein, human,""cortex bone disorders"",""3"",Protein"
"Microtubule-Associated Proteins,""Neurodevelopmental disorder"",""3"",Protein"
"Kinesin,""Parkinson Disease"",""3"",Protein"
"Opsins,""Opitz-Frias syndrome"",""3"",Protein"
"Neurofilament Proteins,""Parkinson Disease"",""3"",Protein"
"Pigment,""Disorder of pineal gland"",""3"",Protein"
"Parvalbumins,""Rabies (disorder)"",""3"",Protein"
"AMPH protein, human,""cortex bone disorders"",""3"",Protein"
"Cyclic AMP-Dependent Protein Kinases,""Congenital secretory diarrhea, sodium type (disorder)"",""3"",Protein"
"tau-protein kinase,""Alzheimer's Disease"",""3"",Protein"
"Luciferases,""Idiopathic pneumonia syndrome"",""3"",Protein"
"Mitofusin-2,""cortex bone disorders"",""3"",Protein"
"Nitric Oxide Synthase Inhibitor,""Neurotoxicity Syndromes"",""3"",Protein"
"Fibrin,""Functional disorder"",""3"",Protein"
"Pituitary Adenylate Cyclase Activating Polypeptide,""Disease Progression"",""3"",Protein"
"Tubulin Beta-3 Chain,""Disorder nervous system"",""3"",Protein"
"ARHGDIB gene,""Retinal Diseases"",""3"",Protein"
"Horseradish Peroxidase,""Gilles de la Tourette syndrome"",""3"",Protein"
"Enzymes,""Shy-Drager Syndrome"",""3"",Protein"
"Simvastatin,""Disease Progression"",""3"",Protein"
"Genes,""Usher Syndrome"",""3"",Protein"
"Chromatin,""Depressive disorder"",""3"",Protein"
"Growth Associated Protein 43,""Marfan Syndrome"",""3"",Protein"
"CX3CR1 protein, human,""Disorder nervous system"",""3"",Protein"
"Protein Subunits,""Timothy syndrome"",""3"",Protein"
"Phosphotransferases,""Pervasive Development Disorder"",""3"",Protein"
"Transducin,""Spinal Cord Diseases"",""3"",Protein"
"Alkaline Phosphatase,""Parkinson Disease"",""3"",Protein"
"Mast/Stem Cell Growth Factor Receptor Kit, human,""Depressive disorder"",""3"",Protein"
"Appetite-Regulating Hormone,""Spinal Cord Diseases"",""3"",Protein"
"Platelet-Derived Growth Factor,""Neurodegenerative Disorders"",""3"",Protein"
"Tretinoin,""Menkes Kinky Hair Syndrome"",""3"",Protein"
"Phospholipase A2 Group VI,""Parkinson Disease"",""3"",Protein"
"Immune Sera,""Bloom Syndrome"",""3"",Protein"
"Carnosine,""Neurotoxicity Syndromes"",""3"",Protein"
"All-Trans-Retinol,""Liver diseases"",""3"",Protein"
"Corticotropin-Releasing Hormone,""Inflammatory disorder"",""3"",Protein"
"F-Actin,""Functional disorder"",""3"",Protein"
"STAT1 protein, human,""cortex bone disorders"",""3"",Protein"
"S100 Proteins,""cortex bone disorders"",""3"",Protein"
"Sucrose,""Liver diseases"",""3"",Protein"
"Tumor Necrosis Factor-alpha,""Acquired Immunodeficiency Syndrome"",""3"",Protein"
