"gene","brainregion","count"
"CUX1 wt Allele","Brain Stem","6"
"HTR1A wt Allele","Brain Stem","6"
"DCN Gene","Brain Stem","6"
"SH2D3C Gene","Brain Stem","6"
"SH2D3C wt Allele","Brain Stem","6"
"NR4A3 Gene","Brain Stem","6"
"NR4A3 wt Allele","Brain Stem","6"
"SLC7A5 Gene","Brain Stem","6"
"SLC7A5 wt Allele","Brain Stem","6"
"Enhancer of transcription","Brain Stem","6"
"TFRC wt Allele","Brain Stem","6"
"CNR1 gene","Brain Stem","6"
"SCG2 Gene","Brain Stem","6"
"MET Gene","Brain Stem","6"
"MET wt Allele","Brain Stem","6"
"RASA1 Gene","Brain Stem","6"
"RASA1 wt Allele","Brain Stem","6"
"FGF2 wt Allele","Brain Stem","6"
"SST Gene","Caudate nucleus structure","6"
"CHAT Gene","Caudate nucleus structure","6"
"CHAT Gene","Cerebellar cortex structure","6"
"FASTK Gene","Cerebellar cortex structure","6"
"Long Interspersed Element","Cerebellar cortex structure","6"
"GFAP gene","Cerebellar cortex structure","6"
"SST Gene","Cerebellar Nuclei","6"
"CHAT Gene","Cerebellar Nuclei","6"
"c-fos Genes","Cerebellar Nuclei","6"
"KIT wt Allele","Cerebellum","6"
"PCYT1A wt Allele","Cerebellum","6"
"DNA, Mitochondrial","Cerebellum","6"
"Insulin-Like-Growth Factor I Receptor","Cerebellum","6"
"CR2 wt Allele","Cerebellum","6"
"EGF Gene","Cerebellum","6"
"ATG5 wt Allele","Cerebellum","6"
"ATG5 Gene","Cerebellum","6"
"Genes, Immediate-Early","Cerebellum","6"
"MAPK14 Gene","Cerebellum","6"
"MAPK14 wt Allele","Cerebellum","6"
"AIMP2 Gene","Cerebellum","6"
"AIMP2 wt Allele","Cerebellum","6"
"GLI3 wt Allele","Cerebellum","6"
"TPO wt Allele","Cerebellum","6"
"TARP Gene","Cerebellum","6"
"CACNA1A gene","Cerebellum","6"
"GCLC wt Allele","Cerebellum","6"
"PCNA Gene","Cerebellum","6"
"S100B wt Allele","Cerebellum","6"
"S100A1 wt Allele","Cerebellum","6"
"CADM1 Gene","Cerebellum","6"
"FGFR1 gene","Cerebellum","6"
"VTN Gene","Cerebellum","6"
"CD44 Gene","Cerebellum","6"
"ITPR1 wt Allele","Cerebellum","6"
"MTOR Gene","Cerebellum","6"
"GLS2 wt Allele","Cerebellum","6"
"CTLA4 wt Allele","Cerebellum","6"
"HLA-DQA1 wt Allele","Cerebellum","6"
"PYCARD Gene","Cerebellum","6"
"PYCARD wt Allele","Cerebellum","6"
"NEUROG1 Gene","Cerebellum","6"
"PTHLH wt Allele","Cerebellum","6"
"NCAM1 wt Allele","Cerebellum","6"
"CIC Gene","Cerebellum","6"
"TNFRSF1A gene","Cerebellum","6"
"SCG2 Gene","Cerebral cortex","6"
"GNAI1 wt Allele","Cerebral cortex","6"
"MAFK Gene","Cerebral cortex","6"
"MAFK wt Allele","Cerebral cortex","6"
"GBA wt Allele","Cerebral cortex","6"
"S100B wt Allele","Cerebral cortex","6"
"S100A1 wt Allele","Cerebral cortex","6"
"PAFAH1B1 wt Allele","Cerebral cortex","6"
"TNF wt Allele","Cerebral cortex","6"
"LINC01194 gene","Cerebral cortex","6"
"CYP19A1 Gene","Cerebral cortex","6"
"BAG3 wt Allele","Cerebral cortex","6"
"CCL5 Gene","Cerebral cortex","6"
"SSTR2 Gene","Cerebral cortex","6"
"DNTT Gene","Cerebral cortex","6"
"MAPK8 Gene","Cerebral cortex","6"
"S100A10 Gene","Cerebral cortex","6"
"S100A10 wt Allele","Cerebral cortex","6"
"HDAC4 Gene","Cerebral cortex","6"
"ID1 wt Allele","Cerebral cortex","6"
"NOTCH1 Gene","Cerebral cortex","6"
"NOTCH1 wt Allele","Cerebral cortex","6"
"MAX Gene","Cerebral cortex","6"
"Oncogene MAX","Cerebral cortex","6"
"IL1RAPL1 Gene","Cerebral cortex","6"
"TNFRSF1B Gene","Cerebral cortex","6"
"NEUROG1 Gene","Cerebral cortex","6"
"GYPA Gene","Cerebral cortex","6"
"CA9 Gene","Cerebral cortex","6"
"HTR2A wt Allele","Cerebral cortex","6"
"MPO Gene","Cerebral cortex","6"
"MMP9 Gene","Cerebral cortex","6"
"UBA2 wt Allele","Cerebral cortex","6"
"NEDD4 Gene","Cerebral cortex","6"
"PADI4 Gene","Cerebral cortex","6"
"PADI4 wt Allele","Cerebral cortex","6"
"PDCD4 Gene","Cerebral cortex","6"
"EGR1 wt Allele","Cerebral cortex","6"
"ATAT1 wt Allele","Cerebral cortex","6"
"CCND1 gene","Cerebral cortex","6"
"ROCK1 Gene","Cerebral cortex","6"
"ZEB2 Gene","Cerebral cortex","6"
"HDAC5 Gene","Cerebral cortex","6"
"LIPC Gene","Cerebral cortex","6"
"LIPC wt Allele","Cerebral cortex","6"
"NFIB Gene","Cerebral cortex","6"
"PROX1 Gene","Cerebral cortex","6"
"CX3CR1 Gene","Cerebral cortex","6"
"DST Gene","Cerebral cortex","6"
"PLP1 wt Allele","Cerebral cortex","6"
"NRXN1 Gene","Cerebral cortex","6"
"EGFR gene","Cerebral cortex","6"
"YAP1 wt Allele","Cerebral cortex","6"
"CCR5 gene","Cerebral cortex","6"
"SIRT3 Gene","Cerebral cortex","6"
"GPI Gene","Cerebral cortex","6"
"CYBB wt Allele","Cerebral cortex","6"
"RTN1 Gene","Cerebral cortex","6"
"RIPK3 Gene","Cerebral cortex","6"
"MALAT1 Gene","Cerebral cortex","6"
"TACR1 wt Allele","Cerebral cortex","6"
"TAF1 Gene","Cerebral cortex","6"
"ATF5 Gene","Cerebral cortex","6"
"CXCL10 wt Allele","Cerebral cortex","6"
"GRIN2B wt Allele","Cerebral Peduncle","6"
"GRM1 wt Allele","Cerebral Peduncle","6"
"INS gene","Cerebral Ventricles","6"
"ARID1A wt Allele","Cochlear Nerve","6"
"BDNF Gene","Corpus Callosum","6"
"CDKN2A wt Allele","Corpus Callosum","6"
"SATB2 Gene","Corpus Callosum","6"
"SILV wt Allele","Corpus striatum structure","6"
"Genotype","Corpus striatum structure","6"
"GPER1 gene","Corpus striatum structure","6"
"SLC18A2 Gene","Corpus striatum structure","6"
"LMNA wt Allele","Corpus striatum structure","6"
"SIRT1 Gene","Corpus striatum structure","6"
"ITGAM Gene","Corpus striatum structure","6"
"KRAS wt Allele","Corpus striatum structure","6"
"DRD1 Gene","Corpus striatum structure","6"
"SQSTM1 Gene","Corpus striatum structure","6"
"KHDRBS1 wt Allele","Corpus striatum structure","6"
"GHRL Gene","Corpus striatum structure","6"
"TLR4 wt Allele","Corpus striatum structure","6"
"BECN1 Gene","Corpus striatum structure","6"
"GRM5 wt Allele","Corpus striatum structure","6"
"ESR1 wt Allele","Corpus striatum structure","6"
"GRIN2A Gene","Corpus striatum structure","6"
"CD3EAP wt Allele","Corpus striatum structure","6"
"Genes","Structure of diencephalon","6"
"Chloramphenicol Acetyl Transferase Gene","Lobe, Frontal","6"
"Chloramphenicol O-Acetyltransferase","Lobe, Frontal","6"
"C3 Gene","Lobe, Frontal","6"
"PRNP gene","Lobe, Frontal","6"
"PSEN1 gene","Lobe, Frontal","6"
"SET Gene","Lobe, Frontal","6"
"Heterozygote","Lobe, Frontal","6"
"Exons","Lobe, Frontal","6"
"NR3C1 Gene","Lobe, Frontal","6"
"NTRK1 Gene","Lobe, Frontal","6"
"C9orf72 Gene","Lobe, Frontal","6"
"PRNP wt Allele","Lobe, Frontal","6"
"DHPS wt Allele","Lobe, Frontal","6"
"Genome","Lobe, Frontal","6"
"HP Gene","Lobe, Frontal","6"
"EPO Gene","Globus Pallidus","6"
"EPO wt Allele","Globus Pallidus","6"
"IL8 wt Allele","Globus Pallidus","6"
"Short Tandem Repeat","Globus Pallidus","6"
"Wild Type","Globus Pallidus","6"
"HTATIP wt Allele","Auditory Hair Cell","6"
"MYCN Gene","Auditory Hair Cell","6"
"MYCN wt Allele","Auditory Hair Cell","6"
"NFATC4 Gene","Auditory Hair Cell","6"
"S100A6 wt Allele","BRAIN, HIPPOCAMPUS","6"
"IAPP wt Allele","BRAIN, HIPPOCAMPUS","6"
"BLM wt Allele","BRAIN, HIPPOCAMPUS","6"
"EGF Gene","BRAIN, HIPPOCAMPUS","6"
"XDH Gene","BRAIN, HIPPOCAMPUS","6"
"SS18L1 Gene","BRAIN, HIPPOCAMPUS","6"
"SS18L1 wt Allele","BRAIN, HIPPOCAMPUS","6"
"LRP1 Gene","BRAIN, HIPPOCAMPUS","6"
"ID1 wt Allele","BRAIN, HIPPOCAMPUS","6"
"Regulatory Sequences, Nucleic Acid","BRAIN, HIPPOCAMPUS","6"
"H2AFX Gene","BRAIN, HIPPOCAMPUS","6"
"H2AFX wt Allele","BRAIN, HIPPOCAMPUS","6"
"RTN4 Gene","BRAIN, HIPPOCAMPUS","6"
"RTN4 wt Allele","BRAIN, HIPPOCAMPUS","6"
"TRPM7 Gene","BRAIN, HIPPOCAMPUS","6"
"HSPB1 Gene","BRAIN, HIPPOCAMPUS","6"
"CTTN Gene","BRAIN, HIPPOCAMPUS","6"
"CREBBP Gene","BRAIN, HIPPOCAMPUS","6"
"POMC Gene","BRAIN, HIPPOCAMPUS","6"
"ESR2 Gene","BRAIN, HIPPOCAMPUS","6"
"estrogen receptor beta, human","BRAIN, HIPPOCAMPUS","6"
"ADORA2A wt Allele","BRAIN, HIPPOCAMPUS","6"
"MDM2 Gene","BRAIN, HIPPOCAMPUS","6"
"LRRTM2 Gene","BRAIN, HIPPOCAMPUS","6"
"FURIN Gene","BRAIN, HIPPOCAMPUS","6"
"TYMP Gene","BRAIN, HIPPOCAMPUS","6"
"TMPO Gene","BRAIN, HIPPOCAMPUS","6"
"TYMP wt Allele","BRAIN, HIPPOCAMPUS","6"
"TMPO wt Allele","BRAIN, HIPPOCAMPUS","6"
"SGK1 Gene","BRAIN, HIPPOCAMPUS","6"
"NAMPT gene","BRAIN, HIPPOCAMPUS","6"
"MAPK10 Gene","BRAIN, HIPPOCAMPUS","6"
"MAPK10 wt Allele","BRAIN, HIPPOCAMPUS","6"
"BAX Gene","BRAIN, HIPPOCAMPUS","6"
"MAPK8 Gene","BRAIN, HIPPOCAMPUS","6"
"CD40 Gene","BRAIN, HIPPOCAMPUS","6"
"PPT1 gene","BRAIN, HIPPOCAMPUS","6"
"FOXG1 Gene","BRAIN, HIPPOCAMPUS","6"
"NPY wt Allele","BRAIN, HIPPOCAMPUS","6"
"FGFR2 gene","BRAIN, HIPPOCAMPUS","6"
"FGFR2 wt Allele","BRAIN, HIPPOCAMPUS","6"
"PGF Gene","BRAIN, HIPPOCAMPUS","6"
"PGF wt Allele","BRAIN, HIPPOCAMPUS","6"
"PI3 Gene","BRAIN, HIPPOCAMPUS","6"
"CANX wt Allele","BRAIN, HIPPOCAMPUS","6"
"SEMA3F Gene","BRAIN, HIPPOCAMPUS","6"
"GADD45B Gene","BRAIN, HIPPOCAMPUS","6"
"CCR2 gene","BRAIN, HIPPOCAMPUS","6"
"CBS gene","BRAIN, HIPPOCAMPUS","6"
"S100A12 Gene","BRAIN, HIPPOCAMPUS","6"
"S100A12 wt Allele","BRAIN, HIPPOCAMPUS","6"
"FLT3LG Gene","BRAIN, HIPPOCAMPUS","6"
"FLT3LG wt Allele","BRAIN, HIPPOCAMPUS","6"
"PTK2 Gene","BRAIN, HIPPOCAMPUS","6"
"TRERF1 wt Allele","BRAIN, HIPPOCAMPUS","6"
"NLGN4X wt Allele","BRAIN, HIPPOCAMPUS","6"
"LRP8 Gene","BRAIN, HIPPOCAMPUS","6"
"LRP8 wt Allele","BRAIN, HIPPOCAMPUS","6"
"IRS1 Gene","BRAIN, HIPPOCAMPUS","6"
"PPARG Gene","BRAIN, HIPPOCAMPUS","6"
"BRINP1 gene","BRAIN, HIPPOCAMPUS","6"
"FFAR1 wt Allele","BRAIN, HIPPOCAMPUS","6"
"MIR214 wt Allele","BRAIN, HIPPOCAMPUS","6"
"RUNX1T1 wt Allele","BRAIN, HIPPOCAMPUS","6"
"BIN1 Gene","BRAIN, HIPPOCAMPUS","6"
"RALBP1 wt Allele","BRAIN, HIPPOCAMPUS","6"
"CDKN1B gene","BRAIN, HIPPOCAMPUS","6"
"CIB1 Gene","BRAIN, HIPPOCAMPUS","6"
"CIB1 wt Allele","BRAIN, HIPPOCAMPUS","6"
"CDC42 Gene","BRAIN, HIPPOCAMPUS","6"
"CCRL2 wt Allele","BRAIN, HIPPOCAMPUS","6"
"ARID1A wt Allele","BRAIN, HIPPOCAMPUS","6"
"EIF4EBP1 wt Allele","BRAIN, HIPPOCAMPUS","6"
"PER1 Gene","BRAIN, HIPPOCAMPUS","6"
"LRP2 Gene","BRAIN, HIPPOCAMPUS","6"
"ERN1 Gene","BRAIN, HIPPOCAMPUS","6"
"TFF3 wt Allele","BRAIN, HIPPOCAMPUS","6"
"KDM1A wt Allele","BRAIN, HIPPOCAMPUS","6"
"MFN2 gene","BRAIN, HIPPOCAMPUS","6"
"PRRT2 Gene","BRAIN, HIPPOCAMPUS","6"
"DNMT3B Gene","BRAIN, HIPPOCAMPUS","6"
"KAT5 Gene","BRAIN, HIPPOCAMPUS","6"
"LIF Gene","BRAIN, HIPPOCAMPUS","6"
"SH3PXD2A wt Allele","BRAIN, HIPPOCAMPUS","6"
"SCG2 Gene","Hypothalamic Area, Lateral","6"
"NPY wt Allele","Hypothalamic Area, Lateral","6"
"SH2D1A gene","Hypothalamic Area, Lateral","6"
"SH2D1A wt Allele","Hypothalamic Area, Lateral","6"
"MSN Gene","Hypothalamic Area, Lateral","6"
"HPSE Gene","Hypothalamic structure","6"
"HPSE wt Allele","Hypothalamic structure","6"
"OXT wt Allele","Hypothalamic structure","6"
"TNFRSF11A Gene","Hypothalamic structure","6"
"TNFRSF11A wt Allele","Hypothalamic structure","6"
"ELL wt Allele","Hypothalamic structure","6"
"IL6 Gene","Hypothalamic structure","6"
"Neuropeptide Gene","Hypothalamic structure","6"
"GRM1 wt Allele","Hypothalamic structure","6"
"INSR Gene","Hypothalamic structure","6"
"Estrogen Receptor alpha","Hypothalamic structure","6"
"KISS1R wt Allele","Hypothalamic structure","6"
"Internal Ribosome Entry Site","Hypothalamic structure","6"
"NOS1 wt Allele","Hypothalamic structure","6"
"Exons","Hypothalamic structure","6"
"SLC2A4 Gene","Hypothalamic structure","6"
"FFAR1 wt Allele","Hypothalamic structure","6"
"SIM1 Gene","Hypothalamic structure","6"
"CRHR1 Gene","Hypothalamic structure","6"
"SYP Gene","Hypothalamic structure","6"
"GRM5 Gene","Hypothalamic structure","6"
"GRM5 wt Allele","Hypothalamic structure","6"
"AVP Gene","Hypothalamus, Anterior","6"
"Chloramphenicol Acetyl Transferase Gene","Posterior Hypothalamic Region","6"
"CAT Gene","Posterior Hypothalamic Region","6"
"Chloramphenicol O-Acetyltransferase","Posterior Hypothalamic Region","6"
"SET Gene","Inferior Colliculus","6"
"CD69 wt Allele","Inferior Colliculus","6"
"Long Interspersed Element","Insula of Reil","6"
"FASTK Gene","Insula of Reil","6"
"GRIN2B wt Allele","Insula of Reil","6"
"NPY wt Allele","Structure of locus ceruleus","6"
"SH2D3C Gene","Structure of locus ceruleus","6"
"SH2D3C wt Allele","Structure of locus ceruleus","6"
"AVP Gene","Structure of locus ceruleus","6"
"DCX wt Allele","Structure of locus ceruleus","6"
"Genes, Immediate-Early","Structure of locus ceruleus","6"
"GFAP gene","Structure of locus ceruleus","6"
"TARDBP wt Allele","Structure of locus ceruleus","6"
"LINC01194 gene","Structure of locus ceruleus","6"
"ITGAM Gene","Structure of locus ceruleus","6"
"ITGAM wt Allele","Structure of locus ceruleus","6"
"Estrogen Receptors","Median eminence of hypothalamus","6"
"GRP Gene","Median eminence of hypothalamus","6"
"GH1 Gene","Median eminence of hypothalamus","6"
"GGH wt Allele","Median eminence of hypothalamus","6"
"RANGAP1 wt Allele","Medulla Oblongata","6"
"HTATIP wt Allele","Medulla Oblongata","6"
"ARID1A wt Allele","Medulla Oblongata","6"
"NR4A3 Gene","Medulla Oblongata","6"
"NR4A3 wt Allele","Medulla Oblongata","6"
"HTR1A wt Allele","Medulla Oblongata","6"
"SLC6A4 wt Allele","Medulla Oblongata","6"
"PAG1 wt Allele","Medulla Oblongata","6"
"LEP Gene","Medulla Oblongata","6"
"GHRL Gene","Medulla Oblongata","6"
"DRD2 Gene","Midbrain structure","6"
"GATA2 Gene","Midbrain structure","6"
"Genome","Midbrain structure","6"
"CARD8 Gene","Midbrain structure","6"
"CARD8 wt Allele","Midbrain structure","6"
"NTF3 Gene","Midbrain structure","6"
"MTOR Gene","Midbrain structure","6"
"IRF6 wt Allele","Midbrain structure","6"
"EHMT1 Gene","Midbrain structure","6"
"NR4A3 Gene","Motor Cortex","6"
"NR4A3 wt Allele","Motor Cortex","6"
"GRIN2B Gene","Motor Cortex","6"
"GRIN2B wt Allele","Motor Cortex","6"
"F5 gene","Motor Cortex","6"
"CCL2 Gene","Motor Cortex","6"
"GFAP gene","Motor Cortex","6"
"SLC6A4 gene","Nucleus Accumbens","6"
"AVP wt Allele","Nucleus Accumbens","6"
"BDNF Gene","Nucleus Accumbens","6"
"EPHB2 Gene","Nucleus Accumbens","6"
"MAP Kinase Gene","Nucleus Accumbens","6"
"MAPK1 wt Allele","Nucleus Accumbens","6"
"NR4A3 Gene","Nucleus Accumbens","6"
"NR4A3 wt Allele","Nucleus Accumbens","6"
"Genes, Immediate-Early","Nucleus Accumbens","6"
"Genes","Occipital lobe","6"
"MAPK7 Gene","Structure of olfactory bulb","6"
"MAPK7 wt Allele","Structure of olfactory bulb","6"
"MEIS2 Gene","Structure of olfactory bulb","6"
"NPY Gene","Structure of paraventricular nucleus","6"
"NR3C1 Gene","Structure of paraventricular nucleus","6"
"HCRT Gene","Structure of paraventricular nucleus","6"
"BDNF Gene","Structure of paraventricular nucleus","6"
"Reading Frames","Parietal Lobe","6"
"RPL5 wt Allele","Parietal Lobe","6"
"LINC01194 gene","Parietal Lobe","6"
"CHAT Gene","Parietal Lobe","6"
"MAP Kinase Gene","Pineal gland","6"
"KRT17 wt Allele","Pineal gland","6"
"PODXL wt Allele","Pineal gland","6"
"PODXL Gene","Pineal gland","6"
"PROC Gene","Pineal gland","6"
"EPO Gene","Pituitary Gland","6"
"EPO wt Allele","Pituitary Gland","6"
"OXT wt Allele","Pituitary Gland","6"
"estrogen receptor alpha, human","Pituitary Gland","6"
"TRH wt Allele","Pituitary Gland","6"
"NR3C2 Gene","Pituitary Gland","6"
"Promoter","Pituitary Gland","6"
"RRM1 Gene","Pituitary Gland","6"
"INS gene","Pituitary Gland","6"
"CRH Gene","Pituitary Gland, Anterior","6"
"IFNAR1 Gene","Pituitary Gland, Posterior","6"
"IFNAR1 wt Allele","Pituitary Gland, Posterior","6"
"NLRP3 wt Allele","Pituitary Gland, Posterior","6"
"SST Gene","Pituitary Gland, Posterior","6"
"GNRH1 wt Allele","Pituitary Gland, Posterior","6"
"FANCA wt Allele","Pontine structure","6"
"EREG wt Allele","Preoptic Areas","6"
"CYP19A1 wt Allele","Preoptic Areas","6"
"AKT1S1 wt Allele","Preoptic Areas","6"
"Long Interspersed Element","Preoptic Areas","6"
"AR gene","Preoptic Areas","6"
"ETV6 Gene","Preoptic Areas","6"
"AR wt Allele","Purkinje Cells","6"
"SLC7A5 Gene","Purkinje Cells","6"
"SLC7A5 wt Allele","Purkinje Cells","6"
"C3 Gene","Purkinje Cells","6"
"SQSTM1 wt Allele","Purkinje Cells","6"
"RORA Gene","Purkinje Cells","6"
"RORA wt Allele","Purkinje Cells","6"
"Plasmids","Purkinje Cells","6"
"ATM gene","Purkinje Cells","6"
"KNG1 Gene","Purkinje Cells","6"
"KNG1 wt Allele","Purkinje Cells","6"
"IGF1 Gene","Purkinje Cells","6"
"TH gene","Nuclei, Raphe","6"
"Genes","Nuclei, Raphe","6"
"MAPT wt Allele","Red nucleus structure","6"
"AKT1S1 wt Allele","Reticular Formation","6"
"GNRH1 Gene","Hindbrain","6"
"AKR1A1 wt Allele","Somatosensory Cortex","6"
"AVP wt Allele","Area striata structure","6"
"CD69 wt Allele","Area striata structure","6"
"TM4SF1 wt Allele","Area striata structure","6"
"ELK3 Gene","Area striata structure","6"
"ELK3 wt Allele","Area striata structure","6"
"ARID1B wt Allele","Area striata structure","6"
"SH2D3C Gene","Substantia innominata","6"
"SH2D3C wt Allele","Substantia innominata","6"
"ASAH1 wt Allele","Substantia innominata","6"
"ASAH1 Gene","Substantia innominata","6"
"CD55 wt Allele","Substantia innominata","6"
"CR2 wt Allele","Substantia innominata","6"
"FGF2 Gene","Substantia nigra structure","6"
"CNR1 gene","Substantia nigra structure","6"
"MDK Gene","Substantia nigra structure","6"
"NR3C2 Gene","Substantia nigra structure","6"
"MT-ATP6 gene","Substantia nigra structure","6"
"S100A9 wt Allele","Substantia nigra structure","6"
"TLR4 wt Allele","Substantia nigra structure","6"
"MAPK3 Gene","Substantia nigra structure","6"
"MAPK3 wt Allele","Substantia nigra structure","6"
"NES Gene","Substantia nigra structure","6"
"HMOX1 Gene","Substantia nigra structure","6"
"Short Tandem Repeat","Substantia nigra structure","6"
"CALCA wt Allele","Structure of suprachiasmatic nucleus","6"
"PCYT1A wt Allele","Structure of suprachiasmatic nucleus","6"
"Transgenes","Structure of suprachiasmatic nucleus","6"
"PER1 Gene","Structure of suprachiasmatic nucleus","6"
"ATP8A2 wt Allele","Structure of suprachiasmatic nucleus","6"
"DST Gene","Structure of suprachiasmatic nucleus","6"
"DST wt Allele","Structure of suprachiasmatic nucleus","6"
"SET Gene","Structure of suprachiasmatic nucleus","6"
"Alleles","Structure of suprachiasmatic nucleus","6"
"ANG Gene","Structure of supraoptic nucleus","6"
"Long Interspersed Element","Telencephalon","6"
"CHAT Gene","Telencephalon","6"
"S100A9 wt Allele","Telencephalon","6"
"CDKN2A wt Allele","Telencephalon","6"
"CD69 wt Allele","Telencephalon","6"
"APP wt Allele","Temporal Lobe","6"
"CHAT Gene","Temporal Lobe","6"
"MRC1 Gene","Temporal Lobe","6"
"NR3C2 Gene","Temporal Lobe","6"
"S100B wt Allele","Temporal Lobe","6"
"S100A1 wt Allele","Temporal Lobe","6"
"GRN Gene","Temporal Lobe","6"
"APOE gene","Temporal Lobe","6"
"PITX2 wt Allele","Thalamic Nuclei","6"
"SET Gene","Thalamic Nuclei","6"
"AICDA Gene","Thalamic structure","6"
"AICDA wt Allele","Thalamic structure","6"
"CRH wt Allele","Thalamic structure","6"
"S100A12 Gene","Thalamic structure","6"
"S100A12 wt Allele","Thalamic structure","6"
"CP Gene","Thalamic structure","6"
"FOXC2 wt Allele","Thalamic structure","6"
"S100A9 wt Allele","Thalamic structure","6"
"CDKN2A wt Allele","Thalamic structure","6"
"C3 Gene","Thalamic structure","6"
"AVP Gene","Thalamic structure","6"
"NLRP3 wt Allele","Thalamic structure","6"
"NOS2 Gene","Thalamic structure","6"
"HP Gene","Thalamic structure","6"
"PARK2 gene","Thalamic structure","6"
"Genes, Immediate-Early","Thalamic structure","6"
"NOS1 wt Allele","Thalamic structure","6"
"CX3CL1 Gene","Thalamic structure","6"
"NRTN Gene","Thalamic structure","6"
"CX3CL1 wt Allele","Thalamic structure","6"
"NRTN wt Allele","Thalamic structure","6"
"SHH Gene","Thalamic structure","6"
"EPO Gene","Thalamic structure","6"
"SST Gene","Trigeminal Caudal Nucleus","6"
"CD69 wt Allele","Trigeminal Caudal Nucleus","6"
"PLOD1 gene","Structure of ventromedial hypothalamic nucleus","6"
"ENG wt Allele","Vestibular nucleus structure","6"
"ELK3 Gene","Visual Cortex","6"
"ELK3 wt Allele","Visual Cortex","6"
"ADRB2 Gene","Visual Cortex","6"
"ADRB2 wt Allele","Visual Cortex","6"
"LMNA wt Allele","Visual Cortex","6"
"GRIN2B Gene","Visual Cortex","6"
"GRIN2B wt Allele","Visual Cortex","6"
"BDNF Gene","Visual Cortex","6"
"ELK3 Gene","Prosencephalon","6"
"EPHB1 Gene","Prosencephalon","6"
"ELK3 wt Allele","Prosencephalon","6"
"INSR Gene","Prosencephalon","6"
"NR4A3 Gene","Prosencephalon","6"
"NR4A3 wt Allele","Prosencephalon","6"
"MET wt Allele","Prosencephalon","6"
"HTT gene","Prosencephalon","6"
"CRHR1 Gene","Prosencephalon","6"
"Exons","Prosencephalon","6"
"DNMT1 Gene","Prosencephalon","6"
"DNMT3A Gene","Prosencephalon","6"
"Enhancer of transcription","Prosencephalon","6"
"HCRT Gene","Prosencephalon","6"
"PSEN1 gene","Prosencephalon","6"
"MPZ gene","Prosencephalon","6"
"EPHA4 Gene","Prosencephalon","6"
"CREB1 Gene","Prosencephalon","6"
"CREB1 wt Allele","Prosencephalon","6"
"CSPG4 Gene","Prosencephalon","6"
"CSPG4 wt Allele","Prosencephalon","6"
"SET Gene","Lateral geniculate complex","6"
"Chloramphenicol Acetyl Transferase Gene","Medial geniculate body","6"
"Chloramphenicol O-Acetyltransferase","Medial geniculate body","6"
"CHAT Gene","Lateral ventricle structure","6"
"PSME3 wt Allele","Lateral ventricle structure","6"
"Genes","Lateral ventricle structure","6"
"CD69 wt Allele","Structure of angular gyrus","6"
"MAPK3 Gene","Structure of angular gyrus","6"
"ANGPT1 Gene","Structure of angular gyrus","6"
"HSPG2 Gene","Structure of angular gyrus","6"
"HSPG2 wt Allele","Structure of angular gyrus","6"
"HCRT Gene","Structure of dentate gyrus","6"
"LIPC Gene","Structure of dentate gyrus","6"
"LIPC wt Allele","Structure of dentate gyrus","6"
"SLC1A2 Gene","Structure of dentate gyrus","6"
"FOXG1 Gene","Structure of dentate gyrus","6"
"MAPK1 wt Allele","Structure of dentate gyrus","6"
"SMAD3 Gene","Structure of dentate gyrus","6"
"RASGRF2 wt Allele","Structure of dentate gyrus","6"
"INS gene","Structure of dentate gyrus","6"
"c-fos Genes","Structure of subiculum hippocampi","6"
"VIP Gene","Structure of subiculum hippocampi","6"
"VIP wt Allele","Structure of subiculum hippocampi","6"
"SGPL1 Gene","Structure of body of corpus callosum","6"
"SGPL1 wt Allele","Structure of body of corpus callosum","6"
"PRRT2 wt Allele","Posterior cerebral commissure","6"
"SERPINA1 wt Allele","Posterior cerebral commissure","6"
"SERPINA1 gene","Posterior cerebral commissure","6"
"SIRT1 Gene","Posterior cerebral commissure","6"
"CD69 wt Allele","Posterior cerebral commissure","6"
"Long Interspersed Element","Posterior cerebral commissure","6"
"AREG wt Allele","Posterior cerebral commissure","6"
"AR gene","Posterior cerebral commissure","6"
"MTR wt Allele","Fornix, Brain","6"
"MTR Gene","Fornix, Brain","6"
"F10 wt Allele","Fornix, Brain","6"
"NLRP3 wt Allele","Structure of anterior commissure","6"
"PCYT1A wt Allele","Internal capsule of brain","6"
"TFPI Gene","External capsule","6"
"TFPI wt Allele","External capsule","6"
"AKT1S1 wt Allele","Structure of ansa lenticularis","6"
"SET Gene","Structure of subthalamic nucleus","6"
"TH gene","Structure of subthalamic nucleus","6"
"HCRT Gene","Structure of subthalamic nucleus","6"
"SST Gene","Structure of lateral mammillary nucleus","6"
"c-fos Genes","Habenula","6"
"Genes","Structure of capsule of red nucleus","6"
"SST Gene","Structure of capsule of red nucleus","6"
"ACKR3 gene","Structure of capsule of red nucleus","6"
"CXCR7 wt Allele","Structure of capsule of red nucleus","6"
"SILV wt Allele","Structure of capsule of red nucleus","6"
"RELN Gene","Structure of rubrospinal tract","6"
"RELN wt Allele","Structure of rubrospinal tract","6"
"CD69 wt Allele","Structure of rubrospinal tract","6"
"IRF6 wt Allele","Structure of rubrospinal tract","6"
"NPY Gene","Structure of rubrospinal tract","6"
"NPY wt Allele","Structure of rubrospinal tract","6"
"GFAP gene","Structure of nucleus prepositus","6"
"GRM5 Gene","Structure of nucleus prepositus","6"
