"brainregion","disease","count"
"Structure of nucleus infundibularis hypothalami","Depressive disorder","4"
"Structure of nucleus infundibularis hypothalami","Metabolic Diseases","4"
"Auditory area","Hamartoma Syndrome, Multiple","4"
"Auditory area","Fragile X Syndrome","4"
"Auditory pathway structure","Diseases of inner ear","4"
"Basal Ganglia","Leigh Disease","4"
"Basal Nucleus of Meynert","Disorders, Mental","4"
"Basal Nucleus of Meynert","Retinal Diseases","4"
"Brain Stem","Nose Diseases","4"
"Brain Stem","Autonomic nervous system disorders","4"
"Brain Stem","Sensorineural hearing loss (disorder)","4"
"Brain Stem","Dystonia Disorders","4"
"Brain Stem","Rett Syndrome","4"
"Brain Stem","Colonic Diseases","4"
"Brain Stem","Virus Diseases","4"
"Brain Stem","Melkersson-Rosenthal Syndrome","4"
"Brain Stem","Van der Woude syndrome","4"
"Brain Stem","CNS disorder","4"
"Caudate nucleus structure","Dyskinetic syndrome","4"
"Caudate nucleus structure","Depressive disorder","4"
"Caudate nucleus structure","Disease Progression","4"
"Caudate nucleus structure","Autistic Disorder","4"
"Caudate nucleus structure","Spinal Cord Diseases","4"
"Caudate nucleus structure","Neurotoxicity Syndromes","4"
"Cerebellar cortex structure","Neurotoxicity Syndromes","4"
"Cerebellar Nuclei","Hamartoma Syndrome, Multiple","4"
"Cerebellum","Renal glomerular disease","4"
"Cerebellum","Neoplastic disease","4"
"Cerebellum","Creutzfeldt-Jakob disease","4"
"Cerebellum","Peripheral Arterial Diseases","4"
"Cerebellum","Diseases of inner ear","4"
"Cerebellum","Obsessive-Compulsive Disorder","4"
"Cerebellum","Pancreatic Diseases","4"
"Cerebellum","Communicable Diseases","4"
"Cerebellum","Sensitization (disorder)","4"
"Cerebellum","CHARGE Syndrome","4"
"Cerebellum","motor disorder","4"
"Cerebral cortex","Mohr-Tranebjaerg syndrome","4"
"Cerebral cortex","Bloom Syndrome","4"
"Cerebral cortex","Testicular Diseases","4"
"Cerebral cortex","Deglutition Disorders","4"
"Cerebral cortex","Restless Legs Syndrome","4"
"Cerebral cortex","Timothy syndrome","4"
"Cerebral cortex","Alcohol use disorder","4"
"Cerebral cortex","Opitz-Frias syndrome","4"
"Cerebral cortex","Burnett Schwartz Berberian syndrome","4"
"Cerebral cortex","Schizoaffective Disorder","4"
"Cerebral cortex","Triglyceride storage disease with ichthyosis","4"
"Cerebral cortex","Familial Alzheimer Disease (FAD)","4"
"Cerebral cortex","Chorea Acanthocytosis Syndrome","4"
"Cerebral cortex","CNS disorder","4"
"Cerebral cortex","Congenital heart disease","4"
"Cerebral Peduncle","Hamartoma Syndrome, Multiple","4"
"Cerebral Ventricles","Spinal Cord Diseases","4"
"Cerebral Ventricles","Meningeal disorder","4"
"Structure of choroid plexus","Disorder nervous system","4"
"Cochlear Nerve","Auditory neuropathy spectrum disorder","4"
"Cochlear Nerve","Hodgkin Disease","4"
"Corpus Callosum","Mild cognitive disorder","4"
"Corpus striatum structure","Basal Ganglia Diseases","4"
"Corpus striatum structure","Renal glomerular disease","4"
"Corpus striatum structure","Psychotic Disorders","4"
"Corpus striatum structure","Leigh Disease","4"
"Corpus striatum structure","Norrie disease","4"
"Corpus striatum structure","Gardner Syndrome","4"
"Structure of diencephalon","Neurodegenerative Disorders","4"
"Lobe, Frontal","Disorder nervous system","4"
"Lobe, Frontal","Liver diseases","4"
"Lobe, Frontal","Disorders, Mental","4"
"Lobe, Frontal","Motor Neuron Disease","4"
"Globus Pallidus","Neurotoxicity Syndromes","4"
"Globus Pallidus","Shy-Drager Syndrome","4"
"Globus Pallidus","Neurodegenerative Disorders","4"
"Gyrus Cinguli","Functional disorder","4"
"Inner Auditory Hair Cells","Diseases of inner ear","4"
"Inner Auditory Hair Cells","Functional disorder","4"
"BRAIN, HIPPOCAMPUS","Stereotypic Movement Disorder","4"
"BRAIN, HIPPOCAMPUS","Shwachman syndrome","4"
"BRAIN, HIPPOCAMPUS","Familial Alzheimer Disease (FAD)","4"
"BRAIN, HIPPOCAMPUS","Ovarian Diseases","4"
"BRAIN, HIPPOCAMPUS","Myeloproliferative Syndrome, Transient","4"
"BRAIN, HIPPOCAMPUS","Burnett Schwartz Berberian syndrome","4"
"BRAIN, HIPPOCAMPUS","Dysequilibrium syndrome","4"
"BRAIN, HIPPOCAMPUS","Occlusion of artery (disorder)","4"
"BRAIN, HIPPOCAMPUS","Chronic Fatigue Syndrome","4"
"BRAIN, HIPPOCAMPUS","Camurati-Engelmann Syndrome","4"
"BRAIN, HIPPOCAMPUS","Degenerative disorder","4"
"BRAIN, HIPPOCAMPUS","Borderline Personality Disorder","4"
"BRAIN, HIPPOCAMPUS","Alcohol use disorder","4"
"BRAIN, HIPPOCAMPUS","Stiff-Person Syndrome","4"
"BRAIN, HIPPOCAMPUS","Developmental delay (disorder)","4"
"BRAIN, HIPPOCAMPUS","Pancreatic Diseases","4"
"BRAIN, HIPPOCAMPUS","Drug withdrawal syndrome","4"
"BRAIN, HIPPOCAMPUS","Menkes Kinky Hair Syndrome","4"
"BRAIN, HIPPOCAMPUS","Narcolepsy-Cataplexy Syndrome","4"
"Structure of anterior hypothalamic nucleus","Hypertensive disease","4"
"Hypothalamic structure","Sweet Syndrome","4"
"Hypothalamic structure","Disease of thymus gland","4"
"Hypothalamic structure","Gardner Syndrome","4"
"Hypothalamus, Anterior","Spinal Cord Diseases","4"
"Inferior Colliculus","Lung Diseases, Interstitial","4"
"Insula of Reil","Alzheimer's Disease","4"
"Insula of Reil","Obsessive-Compulsive Disorder","4"
"Insula of Reil","Mild cognitive disorder","4"
"Insula of Reil","Migraine Disorders","4"
"Limbic System","Syndrome","4"
"Mammillary body structure","Depressive disorder","4"
"Structure of median forebrain bundle","Parkinsonian Disorders","4"
"Structure of median forebrain bundle","cortex bone disorders","4"
"Median eminence of hypothalamus","Spinal Cord Diseases","4"
"Medulla Oblongata","Disease of thymus gland","4"
"Medulla Oblongata","Nose Diseases","4"
"Medulla Oblongata","neuropathology disease","4"
"Medulla Oblongata","Bloom Syndrome","4"
"Medulla Oblongata","Laryngeal Diseases","4"
"Midbrain structure","Brain Diseases","4"
"Midbrain structure","Huntington Disease","4"
"Midbrain structure","Recurrent disease","4"
"Midbrain structure","Syndrome, Bloch-Sulzberger","4"
"Midbrain structure","Hashimoto Disease","4"
"Midbrain structure","Psychotic Disorders","4"
"Motor Cortex","Disorder nervous system","4"
"Motor Cortex","Syndrome","4"
"Motor Cortex","Rett Syndrome","4"
"Motor Cortex","Depressive disorder","4"
"Nucleus Accumbens","Parkinson Disease","4"
"Nucleus Accumbens","Syndrome, Bloch-Sulzberger","4"
"Nucleus Accumbens","Attention deficit hyperactivity disorder","4"
"Nucleus Accumbens","Hamartoma Syndrome, Multiple","4"
"Nucleus Accumbens","Autistic Disorder","4"
"Nucleus Accumbens","Major Depressive Disorder","4"
"Nucleus Accumbens","Mucocutaneous Lymph Node Syndrome","4"
"Occipital lobe","Retinal Diseases","4"
"Occipital lobe","Lewy Body Disease","4"
"Occipital lobe","Disease Progression","4"
"Structure of olfactory bulb","Alzheimer's Disease","4"
"Structure of olfactory bulb","Niemann-Pick Disease, Type C","4"
"Structure of olfactory bulb","Pituitary Diseases","4"
"Parietal Lobe","Syndrome","4"
"Parietal Lobe","Parkinson Disease","4"
"Parietal Lobe","Bipolar Disorder","4"
"Parietal Lobe","Major Depressive Disorder","4"
"Pituitary Gland","Syndrome","4"
"Pituitary Gland","Mood Disorders","4"
"Pituitary Gland","Polycystic Ovary Syndrome","4"
"Pituitary Gland, Posterior","Skin endocrine disorder","4"
"Pontine structure","Functional disorder","4"
"Pontine structure","Paramyotonia congenita (disorder)","4"
"Pontine structure","Migraine Disorders","4"
"Pontine structure","Parkinson Disease","4"
"Preoptic Areas","Skin endocrine disorder","4"
"Preoptic Areas","Functional disorder","4"
"Purkinje Cells","Kartagener Syndrome","4"
"Purkinje Cells","Coffin-Siris syndrome","4"
"Nuclei, Raphe","Functional disorder","4"
"Nuclei, Raphe","Retinal Diseases","4"
"Vestibular ganglion","Diseases of inner ear","4"
"Somatosensory Cortex","Depressive disorder","4"
"Somatosensory Cortex","Fragile X Syndrome","4"
"Area striata structure","Lewy Body Disease","4"
"Substantia nigra structure","Hallervorden-Spatz Syndrome","4"
"Substantia nigra structure","Pick Disease of the Brain","4"
"Substantia nigra structure","Degenerative disorder","4"
"Substantia nigra structure","Brain Diseases","4"
"Structure of suprachiasmatic nucleus","cortex bone disorders","4"
"Structure of suprachiasmatic nucleus","Mucocutaneous Lymph Node Syndrome","4"
"Structure of suprachiasmatic nucleus","Jet Lag Syndrome","4"
"Structure of suprachiasmatic nucleus","Pituitary Diseases","4"
"Tegmentum Mesencephali","Parkinson Disease","4"
"Tegmentum Mesencephali","Alzheimer's Disease","4"
"Telencephalon","Parkinson Disease","4"
"Telencephalon","Disorder of pineal gland","4"
"Telencephalon","Niemann-Pick Disease, Type C","4"
"Telencephalon","DISORDERS OF THE OPTIC NERVE","4"
"Temporal Lobe","Retinal Diseases","4"
"Temporal Lobe","Shy-Drager Syndrome","4"
"Temporal Lobe","Disorder nervous system","4"
"Thalamic Nuclei","Functional disorder","4"
"Thalamic structure","Syndrome","4"
"Thalamic structure","Obsessive-Compulsive Disorder","4"
"Thalamic structure","Hamartoma Syndrome, Multiple","4"
"Thalamic structure","Cognition Disorders","4"
"Structure of ventromedial hypothalamic nucleus","cortex bone disorders","4"
"Visual Cortex","Spinal Cord Diseases","4"
"Visual Cortex","Functional disorder","4"
"Prosencephalon","Migraine Disorders","4"
"Prosencephalon","Syndrome","4"
"Prosencephalon","Cognition Disorders","4"
"Prosencephalon","Fragile X Syndrome","4"
"Prosencephalon","Lung diseases","4"
"Medial geniculate body","Spinal Cord Diseases","4"
"Lateral ventricle structure","Prune Belly Syndrome","4"
"Cerebral white matter structure","neuropathology disease","4"
"Cerebral white matter structure","Alzheimer's Disease","4"
"Cerebral white matter structure","Spinal Cord Diseases","4"
"Inferior frontal gyrus","cortex bone disorders","4"
"Inferior frontal gyrus","Mesulam Syndrome","4"
"Structure of angular gyrus","Liver diseases","4"
"Structure of angular gyrus","Alzheimer's Disease","4"
"Structure of angular gyrus","Sensitization (disorder)","4"
"Structure of angular gyrus","Neurodegenerative Disorders","4"
"Structure of angular gyrus","cortex bone disorders","4"
"Structure of precuneus","Alzheimer's Disease","4"
"Superior temporal gyrus","Autistic Disorder","4"
"Superior temporal gyrus","Pervasive Development Disorder","4"
"Structure of middle temporal gyrus","Norrie disease","4"
"Structure of middle temporal gyrus","Alzheimer's Disease","4"
"Structure of middle temporal gyrus","Mesulam Syndrome","4"
"Structure of dentate gyrus","Autism Spectrum Disorders","4"
"Structure of dentate gyrus","Recurrent disease","4"
"Structure of dentate gyrus","Van der Woude syndrome","4"
"Structure of dentate gyrus","Mucocutaneous Lymph Node Syndrome","4"
"Lamina Terminalis","Hypertensive disease","4"
"Structure of forceps minor","Depressive disorder","4"
"Posterior cerebral commissure","Alzheimer's Disease","4"
"Posterior cerebral commissure","Disease Progression","4"
"Posterior cerebral commissure","Spinal Cord Diseases","4"
"Posterior cerebral commissure","Neurodegenerative Disorders","4"
"Posterior cerebral commissure","Hamartoma Syndrome, Multiple","4"
"Lateral olfactory striae","cortex bone disorders","4"
"Fornix, Brain","Disease Progression","4"
"Structure of anterior commissure","Depressive disorder","4"
"Structure of anterior commissure","Bipolar Disorder","4"
"Internal capsule of brain","Pervasive Development Disorder","4"
"Internal capsule of brain","Depressive disorder","4"
"External capsule","Neurotoxicity Syndromes","4"
"Pulvinar structure","Alzheimer's Disease","4"
"Subthalamic structure","Disorder of pineal gland","4"
"Structure of zona incerta","cortex bone disorders","4"
"Structure of ansa lenticularis","Alzheimer's Disease","4"
"Structure of subthalamic nucleus","Disease Progression","4"
"Structure of subthalamic nucleus","Impulse Control Disorders","4"
"Structure of subthalamic nucleus","Sensitization (disorder)","4"
"Structure of thalamic fasciculus","Parkinson Disease","4"
"Structure of lateral mammillary nucleus","Pendred's syndrome","4"
"Structure of lateral mammillary nucleus","Pigment dispersion syndrome (disorder)","4"
"Lateral tuberal nuclei","Huntington Disease","4"
"Structure of capsule of red nucleus","Functional disorder","4"
"Structure of rubrospinal tract","Neurotoxicity Syndromes","4"
"Structure of rubrospinal tract","Parkinson Disease","4"
"Structure of rubrospinal tract","Retinal Diseases","4"
"Structure of rubrospinal tract","Polycystic Ovary Syndrome","4"
"Structure of rubrospinal tract","Neurodegenerative Disorders","4"
"Structure of rubrospinal tract","Disorders, Mental","4"
"Structure of rubrospinal tract","Norrie disease","4"
"Structure of rubrospinal tract","DISORDERS OF THE OPTIC NERVE","4"
"Cerebellar tonsil","Fechtner syndrome (disorder)","4"
"Flocculus","cortex bone disorders","4"
"Flocculus","Fechtner syndrome (disorder)","4"
"Structure of nucleus prepositus","Spinal Cord Diseases","4"
"Structure of nucleus ambiguus","Tracheal Diseases","4"
"Structure of nucleus ambiguus","Spinal Cord Diseases","4"
"Structure of lateral corticospinal tract","Spinal Cord Diseases","4"
"Olfactory tract","Parkinson Disease","4"
"Neostriatum","Basal Ganglia Diseases","4"
"Neostriatum","Renal glomerular disease","4"
"Neostriatum","Psychotic Disorders","4"
"Neostriatum","Leigh Disease","4"
"Neostriatum","Norrie disease","4"
"Neostriatum","Gardner Syndrome","4"
"Prefrontal Cortex","Disorder nervous system","4"
"Prefrontal Cortex","Cognition Disorders","4"
"Prefrontal Cortex","Stereotypic Movement Disorder","4"
"Neocortex","Brain Diseases","4"
"Neocortex","Disorders, Mental","4"
"Neocortex","Disorder nervous system","4"
"Neocortex","Rett Syndrome","4"
"central amygdalar nucleus","Skin endocrine disorder","4"
"central amygdalar nucleus","Anxiety Disorders","4"
"central amygdalar nucleus","Functional disorder","4"
"Set of basolateral nuclei of amygdala","Disorders, Mental","4"
"Lateral Septal Nucleus","Bloom Syndrome","4"
"Medial Septal Nucleus","Demyelinating Diseases","4"
"Medial Septal Nucleus","Recurrent disease","4"
"Paratenial Nucleus","Hamartoma Syndrome, Multiple","4"
"Structure of paraventricular nucleus of thalamus","Autistic Disorder","4"
"Structure of paraventricular nucleus of thalamus","Neurodevelopmental disorder","4"
"Structure of paraventricular nucleus of thalamus","Idiopathic pneumonia syndrome","4"
"Posterior Thalamic Nuclei","cortex bone disorders","4"
"Structure of limitans nucleus","Spinal Cord Diseases","4"
"Structure of medial preoptic nucleus","Spinal Cord Diseases","4"
"Nucleus, Principal Pretectal","cortex bone disorders","4"
"Nucleus of optic tract","Retinal Diseases","4"
"Dorsal Nucleus Raphe","Huntington Disease","4"
"Dorsal Nucleus Raphe","Hypertensive disease","4"
"Dorsal Nucleus Raphe","Anxiety Disorders","4"
"Interpeduncular nucleus","Spinal Cord Diseases","4"
"Interpeduncular nucleus","Alzheimer's Disease","4"
"Linear nucleus","Renal glomerular disease","4"
"Ventral Tegmental Area","Retinal Diseases","4"
"Ventral Tegmental Area","Disease Progression","4"
"Ventral Tegmental Area","Mood Disorders","4"
"Dentatothalamic tract","Alzheimer's Disease","4"
"Pars Compacta","Spinal Cord Diseases","4"
"Superior salivatory nucleus","Salivary Gland Diseases","4"
"Lateral reticular nucleus (medulla)","cortex bone disorders","4"
"Pallidus Nucleus, Raphe","cortex bone disorders","4"
"Nucleus solitarius","Liver diseases","4"
"Nucleus solitarius","Retinal Diseases","4"
"Nucleus solitarius","Skin endocrine disorder","4"
"Nucleus solitarius","Van der Woude syndrome","4"
"Nucleus solitarius","Autonomic nervous system disorders","4"
"Bundle, Predorsal","Brain Diseases","4"
"Bundle, Predorsal","Lafora Disease","4"
"Bundle, Predorsal","Prune Belly Syndrome","4"
"Solitary tract","Spinal Cord Diseases","4"
"Solitary tract","Depressive disorder","4"
"Pyramidal Cells","Bloom Syndrome","4"
"Pyramidal Cells","Mood Disorders","4"
"Pyramidal Cells","Hashimoto Disease","4"
"Pyramidal Cells","Huntington Disease","4"
"Periventricular white matter","cortex bone disorders","4"
"Cerebral hemisphere structure (body structure)","Down Syndrome","4"
"Cerebral hemisphere structure (body structure)","Disorder of pineal gland","4"
"Cerebral hemisphere structure (body structure)","Pituitary Diseases","4"
"Cerebral hemisphere structure (body structure)","Cerebrovascular Disorders","4"
"Cerebral hemisphere structure (body structure)","Pick Disease of the Brain","4"
"Cerebral hemisphere structure (body structure)","Shy-Drager Syndrome","4"
"Cerebral hemisphere structure (body structure)","Van der Woude syndrome","4"
"Structure of fissure of Sylvius","Bloom Syndrome","4"
"Structure of central sulcus","Depressive disorder","4"
"Structure of central sulcus","Timothy syndrome","4"
"Structure of central sulcus","Huntington Disease","4"
"Paracentral sulcus","Functional disorder","4"
"Lateral occipitotemporal gyrus","Autistic Disorder","4"
"Lateral occipitotemporal gyrus","Williams Syndrome","4"
"Central insular sulcus","Alzheimer's Disease","4"
"Structure of cingulum","Obsessive-Compulsive Disorder","4"
"Structure of optic radiation","cortex bone disorders","4"
"Structure of lateral olfactory gyrus","Spinal Cord Diseases","4"
"Parolfactory area structure (body structure)","Neurodegenerative Disorders","4"
"Structure of piriform area","Spinal Cord Diseases","4"
"Anterior Nuclear Group","Marfan Syndrome","4"
"Anterodorsal nucleus of thalamus","Bipolar Disorder","4"
"Anterodorsal nucleus of thalamus","Pelvic Inflammatory Disease","4"
"Anterodorsal nucleus of thalamus","Prion Diseases","4"
"Anterodorsal nucleus of thalamus","Cognition Disorders","4"
"Anterodorsal nucleus of thalamus","Metabolic Diseases","4"
"Anterodorsal nucleus of thalamus","Sweet Syndrome","4"
"Medial Dorsal Nucleus","Parkinson Disease","4"
"Medial Dorsal Nucleus","Down Syndrome","4"
"Structure of pars magnocellularis of dorsomedial nucleus of thalamus","Meleda Disease","4"
"Lateral posterior nucleus of thalamus","Alzheimer's Disease","4"
"Lateral Dorsal Nucleus","cortex bone disorders","4"
"Lateral Dorsal Nucleus","Disorder of pineal gland","4"
"Lateral Dorsal Nucleus","Lafora Disease","4"
"Paracentral Thalamic Nucleus","Alzheimer's Disease","4"
"Paracentral Thalamic Nucleus","Disease Progression","4"
"Paracentral Thalamic Nucleus","Neurodegenerative Disorders","4"
"Paracentral Thalamic Nucleus","Hamartoma Syndrome, Multiple","4"
"Entire thalamic reticular nucleus","Disease Progression","4"
"Nucleus of Ansa Lenticularis","Alzheimer's Disease","4"
"Structure of terminal stria nuclei of preoptic region","Spinal Cord Diseases","4"
"Structure of terminal stria nuclei of preoptic region","Pituitary Diseases","4"
"Structure of terminal stria nuclei of preoptic region","Anxiety Disorders","4"
"Tuberomammillary Nucleus","Spinal Cord Diseases","4"
"Tuberomammillary Nucleus","Alzheimer's Disease","4"
"Structure of supramammillary nucleus","Alzheimer's Disease","4"
"Lateral habenular nucleus","Pituitary Diseases","4"
"Lateral habenular nucleus","Hamartoma Syndrome, Multiple","4"
"Lateral habenular nucleus","Retinal Diseases","4"
"Lateral habenular nucleus","Recurrent disease","4"
"Lateral habenular nucleus","Anxiety Disorders","4"
"Lateral habenular nucleus","Mood Disorders","4"
"Lateral habenular nucleus","Alcohol withdrawal syndrome","4"
"Lateral habenular nucleus","Alcohol use disorder","4"
"Central gray substance of midbrain","Shy-Drager Syndrome","4"
"Central gray substance of midbrain","Alcohol withdrawal syndrome","4"
"Tectopontine fibers","Retinal Diseases","4"
"Medial lemniscus","Spinal Cord Diseases","4"
"Reticular formation of pons","Spinal Cord Diseases","4"
"Pontine nuclei","Shy-Drager Syndrome","4"
"Longitudinal pontine fibers","cortex bone disorders","4"
"Longitudinal pontine fibers","Alzheimer's Disease","4"
"Inferior olivary nucleus","Retinal Diseases","4"
"Inferior olivary nucleus","cortex bone disorders","4"
"Inferior olivary nucleus","Nail-Patella Syndrome","4"
"Structure of nucleus gracilis","Liver diseases","4"
"Pituitary cell","Skin endocrine disorder","4"
"Cerebrum","Neurotoxicity Syndromes","4"
"Marginal Sulcus","Demyelinating Diseases","4"
"Marginal Sulcus","Recurrent disease","4"
"Dorsal Septal Nucleus","Hypoplastic enamel-onycholysis-hypohidrosis syndrome","4"
"Islands of Calleja","cortex bone disorders","4"
"Structure of lateral globus pallidus","cortex bone disorders","4"
"Structure of lateral globus pallidus","Parkinson Disease","4"
"Nucleus of anterior commissure","Bipolar Disorder","4"
"Pedunculopontine Tegmental Nucleus","Disease Progression","4"
"Pedunculopontine Tegmental Nucleus","Movement Disorders","4"
"Medullary pyramid","Spinal Cord Diseases","4"
"Triangular Septal Nucleus","Hamartoma Syndrome, Multiple","4"
"Metencephalon","Disorder nervous system","4"
"Metencephalon","Functional disorder","4"
"Pars nervosa of hypophysis","Spinal Cord Diseases","4"
"Cingulate Cortex","Spinal Cord Diseases","4"
"Cingulate Cortex","Bipolar Disorder","4"
"Cingulate Cortex","Disorder nervous system","4"
"Brodmann area","Alzheimer's Disease","4"
"Midbrain Raphe Nuclei","Obsessive-Compulsive Disorder","4"
"CA1 field","Gardner Syndrome","4"
"CA1 field","Hamartoma Syndrome, Multiple","4"
"CA1 field","Hodgkin Disease","4"
"CA1 field","Liver diseases","4"
"CA1 field","Prune Belly Syndrome","4"
"CA1 field","Melkersson-Rosenthal Syndrome","4"
"CA1 field","Norrie disease","4"
"CA1 field","Werner Syndrome","4"
"CA1 field","Mucocutaneous Lymph Node Syndrome","4"
"CA1 field","Rabies (disorder)","4"
"CA1 field","Major Depressive Disorder","4"
"CA2 field","Syndrome, Bloch-Sulzberger","4"
"CA2 field","Gardner Syndrome","4"
"CA2 field","Parkinson Disease","4"
"CA2 field","Down Syndrome","4"
"CA2 field","Disorder nervous system","4"
"CA2 field","Disorders, Mental","4"
"CA2 field","Lewy Body Disease","4"
"CA3 field","Rett Syndrome","4"
"CA3 field","Li-Fraumeni Syndrome","4"
"CA3 field","Fetal Alcohol Syndrome","4"
"CA3 field","Van der Woude syndrome","4"
"Ventral Striatum","Sensitization (disorder)","4"
"Ventral Striatum","Depressive disorder","4"
"Olfactory tubercle","Neurotoxicity Syndromes","4"
"Genus Hippocampus","Bloom Syndrome","4"
"Genus Hippocampus","DISORDERS OF THE OPTIC NERVE","4"
"Genus Hippocampus","Motor Neuron Disease","4"
"Genus Hippocampus","Iodine deficiency syndrome","4"
"Genus Hippocampus","Pick Disease of the Brain","4"
"Genus Hippocampus","Conjunctival Diseases","4"
"Genus Hippocampus","Metabolic Syndrome X","4"
"Genus Hippocampus","Neurodevelopmental disorder","4"
"Genus Hippocampus","Kartagener Syndrome","4"
"Genus Hippocampus","Mohr-Tranebjaerg syndrome","4"
"Genus Hippocampus","Communicable Diseases","4"
"Genus Hippocampus","Menkes Kinky Hair Syndrome","4"
"Genus Hippocampus","Machado-Joseph Disease","4"
"Entire pituitary pars tuberalis","Pituitary Diseases","4"
"Entire hypothalamus","Pituitary Diseases","4"
"Entire precuneus","Alzheimer's Disease","4"
"Entire optic radiation","cortex bone disorders","4"
"Tectospinal tract of medulla","Hamartoma Syndrome, Multiple","4"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Functional disorder","4"
"Entire spiral ganglion","Diseases of inner ear","4"
"Entire tuberomammillary nucleus","Parkinson Disease","4"
"Cochlear outer hair cell","Diseases of inner ear","4"
"Brain White Matter","Migraine Disorders","4"
"Brain White Matter","Bipolar Disorder","4"
"Gonadotrophs","Ovarian Diseases","4"
"Structure of medial globus pallidus","Movement Disorders","4"
"Structure of thalamic reticular nucleus","Alzheimer's Disease","4"
"Entire internal capsule of brain","Pervasive Development Disorder","4"
"Entire hypophysial stalk","Pituitary Diseases","4"
"Brodmann area 22","cortex bone disorders","4"
"Parietal operculum cortex (PO)","Polycystic Ovary Syndrome","4"
"Planum temporale (PT)","Hamartoma Syndrome, Multiple","4"
"Parasubiculum","cortex bone disorders","4"
"Right hippocampus","cortex bone disorders","4"
"Left inferior longitudinal fasciculus","Psychotic Disorders","4"
"Orbitofrontal cortex","Autistic Disorder","4"
"Orbitofrontal cortex","Disorders, Mental","4"
"Orbitofrontal cortex","Bipolar Disorder","4"
"Orbitofrontal cortex","Alcohol use disorder","4"
"Orbitofrontal cortex","Pervasive Development Disorder","4"
"Allocortex","Alzheimer's Disease","4"
"Basal Forebrain","Gilles de la Tourette syndrome","4"
"Basal Forebrain","Renal glomerular disease","4"
"Basal Forebrain","Depressive disorder","4"
"Basal Forebrain","Hamartoma Syndrome, Multiple","4"
"Retinohypothalamic tract","DISORDERS OF THE OPTIC NERVE","4"
"Brodmann area 25","Depressive disorder","4"
"Brodmann area 9","cortex bone disorders","4"
"paralemniscal gray","Spinal Cord Diseases","4"
"Posterolateral auditory cortex","Hamartoma Syndrome, Multiple","4"
"Rostrotemporal auditory area","Alzheimer's Disease","4"
"Structure of lateral lemniscus nucleus (body structure)","Spinal Cord Diseases","4"
"Orbital cortex","Spinal Cord Diseases","4"
"Sensorimotor Cortex","Functional disorder","4"
"Acoustic nerve","Functional disorder","3"
"Acoustic nerve","Auditory neuropathy spectrum disorder","3"
"Amygdaloid structure","Neurodegenerative Disorders","3"
"Amygdaloid structure","Mucocutaneous Lymph Node Syndrome","3"
"Amygdaloid structure","Mixed anxiety and depressive disorder","3"
"Amygdaloid structure","Generalized Anxiety Disorder","3"
"Amygdaloid structure","Behavior Disorders","3"
"Structure of nucleus infundibularis hypothalami","Neurotoxicity Syndromes","3"
"Structure of nucleus infundibularis hypothalami","Hypertrophic disorder of skin, unspecified","3"
"Basal Ganglia","Liver diseases","3"
"Basal Ganglia","Stereotypic Movement Disorder","3"
"Basal Ganglia","Degenerative disorder","3"
"Basal Ganglia","Behavior Disorders","3"
"Basal Ganglia","Antiphospholipid Syndrome","3"
"Basal Ganglia","Cerebellar Diseases","3"
"Basal Ganglia","Eosinophilic disorder","3"
"Basal Nucleus of Meynert","Syndrome, Bloch-Sulzberger","3"
"Brain Stem","Cerebellar Diseases","3"
"Brain Stem","Laryngeal Diseases","3"
"Brain Stem","Rabies (disorder)","3"
"Brain Stem","Disorders, Mental","3"
"Brain Stem","Respiratory Distress Syndrome, Newborn","3"
"Brain Stem","Uterine Diseases","3"
"Brain Stem","Degenerative disorder","3"
"Brain Stem","Hereditary Diseases","3"
"Brain Stem","Stiff-Person Syndrome","3"
"Brain Stem","Sleep Apnea Syndromes","3"
"Brain Stem","motor disorder","3"
"Brain Stem","Gilles de la Tourette syndrome","3"
"Brain Stem","Fechtner syndrome (disorder)","3"
"Caudate nucleus structure","Disorder nervous system","3"
"Caudate nucleus structure","Liver diseases","3"
"Caudate nucleus structure","Pituitary Diseases","3"
"Caudate nucleus structure","Nail-Patella Syndrome","3"
"Caudate nucleus structure","Niemann-Pick Disease, Type C","3"
"Cerebellar cortex structure","Peripheral Arterial Diseases","3"
"Cerebellar cortex structure","Alzheimer's Disease","3"
"Cerebellar cortex structure","Williams Syndrome","3"
"Cerebellar cortex structure","Autistic Disorder","3"
"Cerebellar Nuclei","Ataxia as late effect of cerebrovascular disease","3"
"Cerebellum","Mood Disorders","3"
"Cerebellum","TRAPS - TNF receptor-associated periodic fever syndrome","3"
"Cerebellum","Mild cognitive disorder","3"
"Cerebellum","Fucosidase Deficiency Disease","3"
"Cerebellum","Muckle-Wells Syndrome","3"
"Cerebellum","Minamata Disease","3"
"Cerebellum","Hypertrophic disorder of skin, unspecified","3"
"Cerebellum","Testicular Diseases","3"
"Cerebellum","Anxiety Disorders","3"
"Cerebellum","Uterine Diseases","3"
"Cerebellum","Tic disorder","3"
"Cerebellum","Lens Diseases","3"
"Cerebellum","Mohr-Tranebjaerg syndrome","3"
"Cerebellum","Mowat-Wilson syndrome","3"
"Cerebellum","Papillon-Lefevre Disease","3"
"Cerebellum","Degenerative brain disorder","3"
"Cerebellum","Werner Syndrome","3"
"Cerebellum","Mitochondrial Diseases","3"
