"gene","disease","count"
"TYMP wt Allele","Hyperplastic Polyp","9"
"ELK3 wt Allele","DEPRESSION MENTAL","9"
"NOS1 wt Allele","Hypoxia","9"
"NOS1 wt Allele","Neurotoxicity Syndromes","9"
"NPY wt Allele","Polycythemia Vera","9"
"NRP1 wt Allele","Hypoxia","9"
"MAPK3 wt Allele","Hypersensitivity","9"
"MAPK3 wt Allele","Impaired health","9"
"MAPK3 wt Allele","Malnutrition","9"
"MAPK3 wt Allele","Traumatic Brain Injury","9"
"MAPK3 wt Allele","Cerebral Infarction","9"
"APP wt Allele","Neurotoxicity Syndromes","9"
"ATP8A2 wt Allele","Pathology processes","9"
"ATP8A2 wt Allele","Multiple Sclerosis","9"
"ATP8A2 wt Allele","biologic degeneration","9"
"ATP8A2 wt Allele","Necrosis","9"
"ATP8A2 wt Allele","Dependence","9"
"ATP8A2 wt Allele","Brain Injuries","9"
"ATP8A2 wt Allele","Cerebral Infarction","9"
"HPSE wt Allele","DEPRESSION MENTAL","9"
"HPSE wt Allele","Depressive disorder","9"
"HPSE wt Allele","Cancer patients and suicide and depression","9"
"MAP3K14 wt Allele","Seizures","9"
"MAP3K14 wt Allele","Alzheimer's Disease","9"
"TLR4 wt Allele","Cessation of life","9"
"TLR4 wt Allele","Death (finding)","9"
"TLR4 wt Allele","Cerebrovascular accident","9"
"TLR4 wt Allele","Brain Injuries","9"
"IL8 wt Allele","Injury due to exposure to external cause","9"
"SLC2A1 wt Allele","Malnutrition","9"
"TG wt Allele","cortex bone disorders","9"
"WAS wt Allele","Malnutrition","9"
"PTHLH wt Allele","Pathology processes","9"
"MAPK8 wt Allele","Brain Injuries","9"
"MAPK8 wt Allele","Cerebral Infarction","9"
"MAPK8 wt Allele","Cerebral Ischemia","9"
"MAPK8 wt Allele","Subarachnoid Hemorrhage","9"
"SCTR wt Allele","Sleep Deprivation","9"
"TLR2 wt Allele","Cerebrovascular accident","9"
"TYMS wt Allele","Hypersensitivity","9"
"CREBBP wt Allele","Rubinstein-Taybi Syndrome","9"
"CSPG4 wt Allele","cortex bone disorders","9"
"CD82 wt Allele","Lesion","9"
"MAPK1 wt Allele","Alzheimer's Disease","9"
"MAPK1 wt Allele","Traumatic Brain Injury","9"
"MAPK1 wt Allele","Malnutrition","9"
"MAPK1 wt Allele","Anoxia","9"
"MAPK1 wt Allele","Impaired health","9"
"RANGAP1 wt Allele","Brain Injuries","9"
"RANGAP1 wt Allele","Subarachnoid Hemorrhage","9"
"KNG1 wt Allele","Ethanol","9"
"TYRP1 wt Allele","Hypersensitivity","9"
"KLK3 wt Allele","Neurofibrillary degeneration (morphologic abnormality)","9"
"KLK3 wt Allele","Abnormal degeneration","9"
"BCHE wt Allele","Ethanol","9"
"KRAS wt Allele","Injury due to exposure to external cause","9"
"TNFRSF1B wt Allele","Ischemia","9"
"AVP wt Allele","Injury due to exposure to external cause","9"
"AVP wt Allele","Cocaine","9"
"PNP wt Allele","Gliosis","9"
"PNP wt Allele","Obstetric Delivery","9"
"PNP wt Allele","Cessation of life","9"
"PNP wt Allele","Death (finding)","9"
"PNP wt Allele","Nail-Patella Syndrome","9"
"RPS19 wt Allele","Malnutrition","9"
"ESR1 wt Allele","biologic degeneration","9"
"NDOR1 wt Allele","Spinal Cord Diseases","9"
"SH2D3C wt Allele","cortex bone disorders","9"
"EREG wt Allele","biologic degeneration","9"
"CD8B wt Allele","Cessation of life","9"
"CD8B wt Allele","Death (finding)","9"
"CD8B wt Allele","Pathogenesis","9"
"CEACAM5 wt Allele","Neuralgia","9"
"CEACAM5 wt Allele","Neuropathic pain","9"
"CEACAM5 wt Allele","Sensitization (disorder)","9"
"GYPA wt Allele","Primary amyloidosis","9"
"GYPA wt Allele","Neurodegenerative Disorders","9"
"GRM1 wt Allele","DEPRESSION MENTAL","9"
"GRM1 wt Allele","Pain","9"
"GRM5 wt Allele","Fear","9"
"GRM5 wt Allele","Toxic effect","9"
"GRM5 wt Allele","Cessation of life","9"
"GRM5 wt Allele","Death (finding)","9"
"GRM5 wt Allele","Malnutrition","9"
"SH2B2 wt Allele","Neurofibrillary degeneration (morphologic abnormality)","9"
"SH2B2 wt Allele","Abnormal degeneration","9"
"AMACR wt Allele","Coitus","9"
"AMACR wt Allele","Sex Behavior","9"
"CTSL1 wt Allele","Test Result","9"
"DRD2 wt Allele","Malnutrition","9"
"FAT wt Allele","Hyperglycemia","9"
"FAT wt Allele","Ethanol","9"
"FAT wt Allele","Pregnancy","9"
"GNAI1 wt Allele","Junctional premature complex (disorder)","9"
"GNAI1 wt Allele","Hypoglycemia","9"
"IFNAR1 wt Allele","Sex Behavior","9"
"LIMS1 wt Allele","Common Cold","9"
"PIK3CA wt Allele","Malnutrition","9"
"PIK3CA wt Allele","Traumatic Brain Injury","9"
"ROS1 wt Allele","Impaired health","9"
"ROS1 wt Allele","Traumatic Brain Injury","9"
"ROS1 wt Allele","Anoxia","9"
"RTN4 wt Allele","Geroderma osteodysplastica","9"
"SNCG wt Allele","Sleep Deprivation","9"
"ORAI1 Gene","Seizures","9"
"VEGFA Gene","Traumatic Brain Injury","9"
"CFD Gene","Dwarfism","9"
"GHRL Gene","Injury due to exposure to external cause","9"
"GHRL Gene","Impaired cognition","9"
"GHRL Gene","DEPRESSION MENTAL","9"
"GHRL Gene","Depressive disorder","9"
"GHRL Gene","Cancer patients and suicide and depression","9"
"GHRL Gene","Diabetes Mellitus","9"
"ATG5 Gene","Alzheimer's Disease","9"
"ENO2 wt Allele","Forecast of outcome","9"
"Wild Type","Paralysed","9"
"Wild Type","Cerebral Hemorrhage","9"
"Wild Type","Coinfection","9"
"Wild Type","Neurodegenerative Disorders","9"
"Wild Type","Syndrome, Bloch-Sulzberger","9"
"Wild Type","Hyperoxia","9"
"Wild Type","Onset of illness","9"
"Wild Type","Tissue damage","9"
"Wild Type","Adiposity","9"
"Wild Type","Aggressive reaction","9"
"PRNP wt Allele","Kuru","9"
"PRNP wt Allele","Lesion","9"
"VEGFA wt Allele","Traumatic Brain Injury","9"
"IRF6 wt Allele","Pathology processes","9"
"KAL1 wt Allele","Kallmann Syndrome","9"
"MAPT wt Allele","Dependence","9"
"MAPT wt Allele","Multiple Sclerosis","9"
"MAPT wt Allele","Cocaine","9"
"MAPT wt Allele","Diabetes","9"
"MAPT wt Allele","Fear","9"
"MAPT wt Allele","Abnormal behavior","9"
"MAPT wt Allele","Physical activity","9"
"MAPT wt Allele","Epidermodysplasia Verruciformis","9"
"MECP2 wt Allele","Pathogenesis","9"
"MECP2 wt Allele","cortex bone disorders","9"
"NLRP3 wt Allele","Sex Behavior","9"
"NR0B1 wt Allele","D茅j茅rine-Sottas disease (disorder)","9"
"PITX2 wt Allele","Seizures","9"
"PITX2 wt Allele","Withdrawal","9"
"PITX2 wt Allele","Chemosensitization/Potentiation","9"
"PITX2 wt Allele","Pathology processes","9"
"PITX2 wt Allele","Impaired cognition","9"
"PITX2 wt Allele","Test Result","9"
"PMP22 wt Allele","D茅j茅rine-Sottas disease (disorder)","9"
"COL2A1 wt Allele","Stickler syndrome, type 1","9"
"TARDBP wt Allele","Traumatic Brain Injury","9"
"LIPC wt Allele","Injury due to exposure to external cause","9"
"CARD8 wt Allele","Abnormal degeneration","9"
"CARD8 wt Allele","biologic degeneration","9"
"CARD8 wt Allele","Malnutrition","9"
"CARD8 wt Allele","Alzheimer's Disease","9"
"CARD8 wt Allele","Resting Tremor","9"
"CD38 wt Allele","Spinal Cord Diseases","9"
"CFD wt Allele","Dwarfism","9"
"CLU wt Allele","Cell Death","9"
"CLU wt Allele","Ischemia","9"
"FANCA wt Allele","Hypersensitivity","9"
"FANCD2 wt Allele","Alzheimer's Disease","9"
"HTT wt Allele","Functional disorder","9"
"HTT wt Allele","Harlequin Fetus","9"
"RUNX2 wt Allele","Cleidocranial Dysplasia","9"
"RUNX2 wt Allele","Shy's disease","9"
"DDIT3 wt Allele","Injury due to exposure to external cause","9"
"SLC1A2 wt Allele","DEPRESSION MENTAL","9"
"MTA2 wt Allele","Infarction","9"
"MALAT1 wt Allele","Hypersensitivity","9"
"LEP wt Allele","Renal glomerular disease","9"
"PSEN1 wt Allele","Inflammation","9"
"CUX1 wt Allele","Pathology processes","9"
"PSME3 wt Allele","cortex bone disorders","9"
"CD55 wt Allele","Experimental Autoimmune Encephalomyelitis","9"
"CD55 wt Allele","Lesion","9"
"NR4A3 wt Allele","Injury due to exposure to external cause","9"
"CDH11 wt Allele","Obesity","9"
"ELL wt Allele","Heterosexuals","9"
"ELL wt Allele","Hypersensitivity","9"
"ELL wt Allele","Obesity","9"
"GOPC wt Allele","Polycythemia Vera","9"
"SBDS wt Allele","Cerebrovascular accident","9"
"GRIN2A wt Allele","Epilepsy","9"
"PHGDH wt Allele","Encephalitis","9"
"S100A6 wt Allele","Polycythemia Vera","9"
"SH3PXD2A wt Allele","Physical shape","9"
"SH3PXD2A wt Allele","Neurotoxicity Syndromes","9"
"SH3PXD2A wt Allele","Toxic effect","9"
"SERPINA1 wt Allele","Injury due to exposure to external cause","9"
"GBA wt Allele","Mycosis Fungoides","9"
"SLC12A2 wt Allele","Ischemia","9"
"SLC12A2 wt Allele","Traumatic Brain Injury","9"
"GRIN2B wt Allele","Fear","9"
"SQSTM1 wt Allele","Cessation of life","9"
"SQSTM1 wt Allele","Death (finding)","9"
"CR2 wt Allele","Experimental Autoimmune Encephalomyelitis","9"
"CR2 wt Allele","Birth","9"
"CR2 wt Allele","cortex bone disorders","9"
"GGH wt Allele","Coitus","9"
"GGH wt Allele","Obesity","9"
"GGH wt Allele","Liver diseases","9"
"AKT1S1 wt Allele","MUTYH-Associated Polyposis","9"
"AKT1S1 wt Allele","Atrophic","9"
"MTR wt Allele","Depressive disorder","9"
"MTR wt Allele","Cancer patients and suicide and depression","9"
"MTR wt Allele","Test Result","9"
"MTR wt Allele","Alzheimer's Disease","9"
"MTR wt Allele","Ethanol","9"
"CDK5R1 wt Allele","Pathogenesis","9"
"CDK5R1 wt Allele","Injury due to exposure to external cause","9"
"CDK5R1 wt Allele","cortex bone disorders","9"
"DST wt Allele","Lesion","9"
"CD69 wt Allele","Safety","9"
"CD69 wt Allele","Autistic Disorder","9"
"CD69 wt Allele","Abnormal behavior","9"
"CD69 wt Allele","Atrophic","9"
"CD69 wt Allele","Stress Disorders, Traumatic","9"
"CD69 wt Allele","Hypoxia, in liveborn infant","9"
"CD69 wt Allele","Neuralgia","9"
"CD69 wt Allele","Neuropathic pain","9"
"CD69 wt Allele","Parkinsonian Disorders","9"
"CD69 wt Allele","Fetal stress","9"
"CD69 wt Allele","Autism Spectrum Disorders","9"
"YY1 wt Allele","Ischemia","9"
"YY1 wt Allele","Alzheimer's Disease","9"
"CD8A wt Allele","Pathogenesis","9"
"FMOD wt Allele","Interstitial Cystitis","9"
"PROC wt Allele","Sarcoma, Synovial","9"
"PROC wt Allele","Sweet Syndrome","9"
"PROC wt Allele","Depressive disorder","9"
"PROC wt Allele","Cancer patients and suicide and depression","9"
"PROC wt Allele","Burkitt Lymphoma","9"
"PROC wt Allele","Ataxia, Spinocerebellar","9"
"MAP1LC3A wt Allele","cortex bone disorders","9"
"KHDRBS1 wt Allele","Cessation of life","9"
"KHDRBS1 wt Allele","Death (finding)","9"
"TMPO wt Allele","Hyperplastic Polyp","9"
"PARK7 wt Allele","Neurodegenerative Disorders","9"
"PARK7 wt Allele","Hypersensitivity","9"
"PARK7 wt Allele","Inflammation","9"
"AKR1A1 wt Allele","Hypersensitivity","9"
"AKR1A1 wt Allele","Injury due to exposure to external cause","9"
"AKR1A1 wt Allele","Memory impairment","9"
"KRT17 wt Allele","Sarcoma, Synovial","9"
"KRT17 wt Allele","Sweet Syndrome","9"
"KRT17 wt Allele","Depressive disorder","9"
"KRT17 wt Allele","Cancer patients and suicide and depression","9"
"KRT17 wt Allele","Congenital Abnormality","9"
"KRT17 wt Allele","Burkitt Lymphoma","9"
"KRT17 wt Allele","Ataxia, Spinocerebellar","9"
"PODXL wt Allele","Sarcoma, Synovial","9"
"PODXL wt Allele","Sweet Syndrome","9"
"PODXL wt Allele","Depressive disorder","9"
"PODXL wt Allele","Cancer patients and suicide and depression","9"
"PODXL wt Allele","Congenital Abnormality","9"
"PODXL wt Allele","Burkitt Lymphoma","9"
"PODXL wt Allele","Ataxia, Spinocerebellar","9"
"AHSG wt Allele","Alpers' Disease","9"
"TBX4 wt Allele","Stress Disorders, Traumatic","9"
"RPL5 wt Allele","Hypersensitivity","9"
"SLC6A4 wt Allele","Cocaine","9"
"FST wt Allele","Schizophrenia","9"
"HTR1A wt Allele","Suicide","9"
"AGER wt Allele","Alzheimer's Disease","9"
"Alleles","Functional disorder","8"
"Alleles","cortex bone disorders","8"
"Alleles","Syndrome","8"
"Alleles","Spinal Cord Diseases","8"
"Alleles","Bipolar Disorder","8"
"Alleles","Intellectual Disability","8"
"Alleles","Nerve Degeneration","8"
"Aromatase","Hypersensitivity","8"
"Aromatase","Cerebral Infarction","8"
"Chloramphenicol O-Acetyltransferase","Alzheimer's Disease","8"
"DNA, Mitochondrial","Impaired health","8"
"Exons","Impaired cognition","8"
"Exons","Spinal Cord Diseases","8"
"Exons","Frontotemporal dementia","8"
"Exons","Malnutrition","8"
"Exons","Tauopathies","8"
"Exons","Nerve Degeneration","8"
"Exons","Seizures","8"
"Genes","Fever","8"
"Genes","Gigantism","8"
"Genes","Tissue damage","8"
"Genes","Geroderma osteodysplastica","8"
"Genes","Hyperphagia","8"
"Genes","Van der Woude syndrome","8"
"Genes","Retinal Degeneration","8"
"Genes","Rabies (disorder)","8"
"Genes","Colorectal Carcinoma","8"
"Genes","Experimental Autoimmune Encephalomyelitis","8"
"Genes","Mitochondrial Diseases","8"
"Genes","Pancreatic Diseases","8"
"Genes","Diabetes Mellitus, Non-Insulin-Dependent","8"
"Genes","Spastic Paraplegia","8"
"Genes","Familial Hemiplegic Migraine","8"
"Genes","Trauma","8"
"Genes","Cockayne Syndrome, Type II","8"
"Genes","Cardiac Arrest","8"
"Genes","Safety","8"
"Genes","Brain Ischemia","8"
"Genome","Abnormal behavior","8"
"Genome","Intellectual Disability","8"
"Genome","Neoplasms","8"
"Genome","Glioblastoma Multiforme","8"
"Genotype","Methamphetamine","8"
"Genotype","Impaired cognition","8"
"Genotype","Abnormal degeneration","8"
"Genotype","biologic degeneration","8"
"Genotype","DEPRESSION MENTAL","8"
"Genotype","Depressive disorder","8"
"Genotype","Cancer patients and suicide and depression","8"
"Genotype","Functional disorder","8"
"Glycophorin A","Granulomatosis with polyangiitis","8"
"Haplotypes","Corticobasal degeneration","8"
"Heterozygote","Nerve Degeneration","8"
"Heterozygote","Medulloblastoma","8"
"Homozygote","Physical shape","8"
"Homozygote","Disease Progression","8"
"Homozygote","Impaired health","8"
"Major Histocompatibility Complex","Abnormal degeneration","8"
"Major Histocompatibility Complex","Schizophrenia","8"
"ras Oncogene","Malnutrition","8"
"Estrogen Receptors","cortex bone disorders","8"
"Estrogen Receptors","Physical shape","8"
"Estrogen Receptors","Ischemia","8"
"Estrogen Receptors","Cerebral Infarction","8"
"TP53 gene","Necrosis","8"
"TP53 gene","Pathogenesis","8"
"TP53 gene","Glioma","8"
"TP53 gene","Pathology processes","8"
"TP53 gene","Methamphetamine","8"
"Tumor Suppressor Genes","Glioma","8"
"Tumor Suppressor Genes","Medulloblastoma","8"
"HRAS gene","Malnutrition","8"
"c-fos Genes","Syndrome, Bloch-Sulzberger","8"
"c-fos Genes","Addictive Behavior","8"
"c-fos Genes","Hyponatremia","8"
"c-fos Genes","Dehydration","8"
"c-fos Genes","Newborn (finding)","8"
"c-fos Genes","Alcohol consumption","8"
"c-fos Genes","Neuralgia","8"
"c-fos Genes","Neuropathic pain","8"
"c-fos Genes","Hamartoma Syndrome, Multiple","8"
"c-fos Genes","Body Weight","8"
"c-fos Genes","Shock","8"
"c-fos Genes","Paroxysmal kinesigenic choreoathetosis","8"
"Promoter","Anxiety","8"
"Promoter","Functional disorder","8"
"Promoter","Polyarteritis Nodosa","8"
"Promoter","Physical shape","8"
"Promoter","Epilepsy","8"
"Promoter","Abnormal behavior","8"
"Promoter","Oxidative Stress","8"
"Promoter","Glioblastoma","8"
"Promoter","DEPRESSION MENTAL","8"
"Promoter","Depressive disorder","8"
"Promoter","Cancer patients and suicide and depression","8"
"Promoter","Impaired health","8"
"FOS Gene","Sex Behavior","8"
"JUN Gene","Cerebral Infarction","8"
"Transgenes","Impaired health","8"
"CDKN2A gene","cortex bone disorders","8"
"Estrogen Receptor alpha","Sex Behavior","8"
"Genes, X-Linked","Neurodevelopmental disorder","8"
"Genes, X-Linked","Intellectual Disability","8"
"PTEN gene","DISORDERS OF THE OPTIC NERVE","8"
"TSC1 gene","Hereditary Diseases","8"
"TSC2 gene","Hereditary Diseases","8"
"BAX Gene","Cell Death","8"
"BAX Gene","B-Cell Lymphomas","8"
"BRAF gene","Neoplasms","8"
"TNF Gene","Body Weight","8"
"FAT1 gene","Impaired cognition","8"
"FOXG1 Gene","Rett Syndrome","8"
"FYN Gene","Pathogenesis","8"
"ELK3 Gene","Malnutrition","8"
"ELK3 Gene","Epilepsy","8"
"ELK3 Gene","Depressive disorder","8"
"ELK3 Gene","Cancer patients and suicide and depression","8"
"ELK3 Gene","Chemosensitization/Potentiation","8"
"NQO1 Gene","Oxidative Stress","8"
"Cancer-Predisposing Gene","Autism Spectrum Disorders","8"
"Cancer-Predisposing Gene","Pervasive Development Disorder","8"
"NTRK1 Gene","Alzheimer's Disease","8"
"NTRK1 Gene","HSAN Type IV","8"
"NTRK1 Gene","Injury due to exposure to external cause","8"
"ATM gene","Nerve Degeneration","8"
"BDNF Gene","Disorder nervous system","8"
"BDNF Gene","Recurrent disease","8"
"BDNF Gene","Experimental Autoimmune Encephalomyelitis","8"
"BDNF Gene","Diseases of inner ear","8"
"BDNF Gene","Glucocorticoid-remediable aldosteronism","8"
"BDNF Gene","Therapeutic radiology procedure","8"
"CD4 Gene","Impaired health","8"
"CDK5 Gene","Nerve Degeneration","8"
"CEACAM5 Gene","Fear","8"
"CHGA Gene","Pick Disease of the Brain","8"
"CHGA Gene","Tauopathies","8"
"CISH Gene","DEPRESSION MENTAL","8"
"CISH Gene","Multiple Sclerosis","8"
"CSPG4 Gene","Demyelination","8"
"CSPG4 Gene","Malnutrition","8"
"CTSD Gene","Pathology processes","8"
"CX3CL1 Gene","Inflammation","8"
"CX3CL1 Gene","Nerve Degeneration","8"
"CXCR4 Gene","Glioma","8"
"DLG4 Gene","Impaired health","8"
"DRD2 Gene","Addictive Behavior","8"
"EPHB2 Gene","Traumatic Brain Injury","8"
"EPHB2 Gene","Toxic effect","8"
"EPHB2 Gene","Test Result","8"
"EPHB2 Gene","Impaired health","8"
"F3 Gene","Test Result","8"
"FOXO1 Gene","Obesity","8"
"FOXO1 Gene","Subarachnoid Hemorrhage","8"
"GCG Gene","Diabetes Mellitus, Non-Insulin-Dependent","8"
"GCG Gene","Pancreatic Diseases","8"
"GHRH Gene","Sex Behavior","8"
"GRM5 Gene","Fragile X Syndrome","8"
"GRM5 Gene","Malnutrition","8"
"GRP Gene","Hypersensitivity","8"
"HDAC1 Gene","Cessation of life","8"
"HDAC1 Gene","Death (finding)","8"
"HDAC5 Gene","Cocaine","8"
"HMGB1 Gene","Seizures","8"
"HMGB1 Gene","Necrosis","8"
"HMGB1 Gene","Impaired cognition","8"
"IL6 Gene","Test Result","8"
"IL6 Gene","Spinal Cord Diseases","8"
"JAK2 gene","Traumatic Brain Injury","8"
"KISS1 Gene","Pregnancy","8"
"KISS1 Gene","Ovarian Diseases","8"
"KISS1 Gene","Functional disorder","8"
"LMNB1 Gene","Rupture","8"
"MSC Gene","Inflammation","8"
"MSC Gene","Mycoplasma pneumonia","8"
"NBN Gene","Nijmegen Breakage Syndrome","8"
"NR3C1 Gene","Amyotrophic Lateral Sclerosis","8"
"NTRK2 Gene","Nerve Degeneration","8"
"NTRK2 Gene","Fear","8"
"NTRK2 Gene","Cerebrovascular accident","8"
"NTRK2 Gene","Toxic effect","8"
"NTRK2 Gene","Polycythemia Vera","8"
"PDC Gene","Neurodegenerative Disorders","8"
"PSIP1 Gene","Physical shape","8"
"PSIP1 Gene","Malnutrition","8"
"PTPN11 gene","Noonan Syndrome","8"
"RBL2 Gene","Retinoblastoma","8"
"RRM2 Gene","Kidney Failure, Chronic","8"
"RRM2 Gene","Dependence","8"
"S100A12 Gene","Spinal Cord Diseases","8"
"S100A12 Gene","Pain","8"
"S100A12 Gene","Hypersensitivity","8"
"SCG2 Gene","Malnutrition","8"
"SCG2 Gene","Injury due to exposure to external cause","8"
"SH2D3C Gene","Retinal Diseases","8"
"SLC25A4 gene","Ethanol","8"
"SST Gene","Status Epilepticus","8"
"SST Gene","Cocaine","8"
"TLR2 Gene","Ethanol","8"
"TLR2 Gene","Cerebral Hemorrhage","8"
"TLR3 Gene","Ethanol","8"
"TLR4 Gene","Gliosis","8"
"TLR4 Gene","Functional disorder","8"
"TRIO Gene","Autism Spectrum Disorders","8"
"CCL2 Gene","Pathology processes","8"
"CCL2 Gene","Impaired cognition","8"
"BCL2L11 Gene","Ischemia","8"
"POMC Gene","Reproduction","8"
"POMC Gene","Mycoplasma pneumonia","8"
"INS gene","Metabolic Diseases","8"
"INS gene","Cell Death","8"
"INS gene","Complication","8"
"INS gene","Traumatic AND/OR non-traumatic brain injury","8"
"APP gene","Amyloidogenesis","8"
"APP gene","Tauopathies","8"
"APP gene","Neurodegenerative Disorders","8"
"APP gene","Pityriasis Rubra Pilaris","8"
"HDAC3 Gene","Cessation of life","8"
"HDAC3 Gene","Death (finding)","8"
"HDAC3 Gene","Nerve Degeneration","8"
"EPHB1 Gene","Depressive disorder","8"
"EPHB1 Gene","Cancer patients and suicide and depression","8"
"EPHB1 Gene","Chemosensitization/Potentiation","8"
"BAD Gene","Cessation of life","8"
"BAD Gene","Death (finding)","8"
"CRH Gene","Lesion","8"
"CRH Gene","Abnormal behavior","8"
"KLK3 Gene","biologic degeneration","8"
"CYP19A1 Gene","Hypersensitivity","8"
"Chloramphenicol Acetyl Transferase Gene","Alzheimer's Disease","8"
"MME Gene","Hypoxia","8"
"PGR Gene","Sex Behavior","8"
"PGR Gene","Toxic effect","8"
"LEPR Gene","Hypersensitivity","8"
"SET Gene","Signs and Symptoms","8"
"SET Gene","Cessation of life","8"
"SET Gene","Death (finding)","8"
"SET Gene","Multiple Sclerosis","8"
"SET Gene","Obstetric Delivery","8"
"FASTK Gene","Fanconi Anemia","8"
"FASTK Gene","Oxidative Stress","8"
"FASTK Gene","Congenital Abnormality","8"
"AVP Gene","At risk for violence","8"
"AVP Gene","At risk of injury","8"
"AVP Gene","At risk for deficient fluid volume","8"
"AVP Gene","Coitus","8"
"AVP Gene","Anoxia","8"
"EPO Gene","Sarcoma, Synovial","8"
"EPO Gene","Sweet Syndrome","8"
"AGT Gene","Lesion","8"
"CD36 Gene","Alzheimer's Disease","8"
"CD36 Gene","Impaired cognition","8"
"MAPK3 Gene","DEPRESSION MENTAL","8"
"MAPK3 Gene","Depressive disorder","8"
"MAPK3 Gene","Cancer patients and suicide and depression","8"
"MAPK3 Gene","Anxiety","8"
"MAPK3 Gene","Inflammation","8"
"MAPK3 Gene","Cerebral Hemorrhage","8"
"TYMS Gene","Glioblastoma","8"
"MAPK14 Gene","Therapeutic radiology procedure","8"
"STAT3 Gene","Traumatic Brain Injury","8"
"STAT3 Gene","Inflammation","8"
"STAT3 Gene","Oxidative Stress","8"
"GC Gene","Seizures","8"
"GYPA Gene","Granulomatosis with polyangiitis","8"
"CD14 Gene","Inflammation","8"
"ANG Gene","Diabetes","8"
"ANG Gene","Diabetes Mellitus","8"
"PTGS2 Gene","Cessation of life","8"
"PTGS2 Gene","Death (finding)","8"
"PTGS2 Gene","Ischemia","8"
"CALCA Gene","Cerebral atrophy","8"
"MAP Kinase Gene","Van der Woude syndrome","8"
"MAP Kinase Gene","Pathogenesis","8"
"MAP Kinase Gene","Cerebral Infarction","8"
"APOE gene","Lesion","8"
"APOE gene","Educational Status","8"
"APOE gene","Inflammation","8"
"APOE gene","Functional disorder","8"
"APOE gene","Diabetes Mellitus, Non-Insulin-Dependent","8"
"APOE gene","Disease Progression","8"
"ASAH1 Gene","Injury due to exposure to external cause","8"
"ASAH1 Gene","Hypersensitivity","8"
"ATF4 Gene","Cessation of life","8"
"ATF4 Gene","Death (finding)","8"
"B4GALT1 Gene","Injury due to exposure to external cause","8"
"BCHE gene","Pain","8"
"BCHE gene","Ache","8"
"CAT Gene","DISORDERS OF THE OPTIC NERVE","8"
"CAT Gene","Test Result","8"
"CAT Gene","Hypertrophy","8"
"CAT Gene","Ache","8"
"CAT Gene","Therapeutic radiology procedure","8"
"CCND2 Gene","Malnutrition","8"
"CD8A Gene","Spinal Cord Diseases","8"
"CDA Gene","Congenital dyserythropoietic anemia","8"
"CDK5R1 Gene","Injury due to exposure to external cause","8"
"CHAT Gene","Hypoxia","8"
"CHAT Gene","Polycythemia Vera","8"
"CLU Gene","Anoxia","8"
"CNR1 gene","cortex bone disorders","8"
"CNR1 gene","Impaired cognition","8"
"CPA1 Gene","Necrosis","8"
"CREB1 Gene","Anoxia","8"
"CREB1 Gene","Physical shape","8"
"CREB1 Gene","Hypersensitivity","8"
"CREB1 Gene","Cerebral Infarction","8"
"CREB1 Gene","Functional disorder","8"
"CREB1 Gene","Paroxysmal kinesigenic choreoathetosis","8"
"DAPK1 Gene","Cessation of life","8"
"DAPK1 Gene","Death (finding)","8"
"DCX gene","Cerebrovascular accident","8"
"DCX gene","Lesion","8"
"DCX gene","Birth","8"
"DGCR8 Gene","Malnutrition","8"
"DMD gene","Hypoxia","8"
"EDN1 Gene","Cerebrovascular accident","8"
"ELANE Gene","Exocrine pancreatic insufficiency","8"
"EPHA7 Gene","cortex bone disorders","8"
"ESR1 Gene","Amelogenesis imperfecta nephrocalcinosis","8"
"F2 gene","Hypersensitivity","8"
"F2 gene","Cell Death","8"
"F2 gene","Cerebrovascular accident","8"
"FMR1 gene","Genetic Carriers","8"
"FMR1 gene","Autism Spectrum Disorders","8"
"MTOR Gene","Neurodegenerative Disorders","8"
"MTOR Gene","Parkinson Disease","8"
"MTOR Gene","Hereditary Diseases","8"
"MTOR Gene","Pathology processes","8"
"MTOR Gene","Malformations of Cortical Development","8"
"MTOR Gene","Cocaine","8"
"MTOR Gene","Abnormal degeneration","8"
"MTOR Gene","Neoplasms","8"
"MTOR Gene","Pain","8"
"MTOR Gene","Alcohol consumption","8"
"MTOR Gene","Methamphetamine","8"
"FST Gene","Test Result","8"
"FUS Gene","Cytomegalovirus Infections","8"
"FUS Gene","Sarcoma, Ewings","8"
"GAA gene","Ataxia","8"
"GALT gene","Classical galactosemia","8"
"GAN Gene","Giant Axonal Neuropathy 1","8"
"GAPDH Gene","Ischemia","8"
"GBA gene","Pathology processes","8"
"GBA gene","Lewy Body Disease","8"
"GFAP gene","Experimental Autoimmune Encephalomyelitis","8"
"GFAP gene","Extravasation","8"
"GFAP gene","Fetal Growth Retardation","8"
"GFAP gene","Senile Plaques","8"
"GFAP gene","Traumatic AND/OR non-traumatic brain injury","8"
"GNRH1 Gene","Birth","8"
"GNRH1 Gene","Lesion","8"
"GNRH1 Gene","Ovarian Diseases","8"
"GNRH1 Gene","Paroxysmal kinesigenic choreoathetosis","8"
"GNRH1 Gene","Trigeminal Neuralgia","8"
"GPER1 gene","Cerebral Ischemia","8"
"GRN Gene","Amyotrophic Lateral Sclerosis","8"
"GRN Gene","Cerebral Infarction","8"
"HCRT Gene","Pathogenesis","8"
"HCRT Gene","Absence of pain sensation","8"
"HCRT Gene","Congenital Abnormality","8"
"HCRT Gene","cortex bone disorders","8"
