brainregion,disease,text,pubdate
Bundle Predorsal,Parkinson Disease,For years the inability of replicating formation of insoluble alpha-synuclein (αS) inclusions in cell cultures has been a great limitation in the study of αS aggregation in Parkinson's Disease (PD).,2018 Jun 26
Anterior Nuclear Group,cortex bone disorders,The retrosplenial cortex (RSC) has recently begun to gain widespread interest because of its anatomical connectivity with other well-known memory structures such as the hippocampus and anterior thalamus and its role in spatial contextual and episodic memory.,2018 Oct
Basal Ganglia,Parkinsonian Disorders,Neurodegeneration with brain iron accumulation (NBIA) is a group of inherited neurologic disorders in which iron accumulates in the basal ganglia resulting in progressive dystonia spasticity parkinsonism neuropsychiatric abnormalities and optic atrophy or retinal degeneration.,2019 May
Dorsal Nucleus Raphe,Depressive disorder,Moreover dysregulation of GABA signaling in the DRN has been linked to psychiatric disorders such as anxiety and depression.,2019 Apr 24
Brain Stem,Sudden infant death syndrome,This nuclear antigen is an important marker for mapping neurons for example to evaluate the histopathology of temporal lobe epilepsy or to draw the topography of cardiorespiratory brainstem nuclei in sudden infant death syndrome (SIDS).,2018 Aug 27
Anterodorsal nucleus of thalamus,Huntington Disease,Abbreviations: AAV: adeno-associated virus
Genus Hippocampus,cortex bone disorders,In neurodegenerative TDP-43 proteinopathy we found that Znf179-mediated polyubiquitination of TDP-43 accelerates its protein turnover rate and attenuates insoluble pathologic TDP-43 aggregates while knockout of Znf179 in mouse brain results in accumulation of insoluble TDP-43 and cytosolic TDP-43 inclusions in cortex hippocampus and midbrain regions.,2018 Nov 8
Nucleus solitarius,cortex bone disorders,Signaling protein markers associated with the endoplasmic reticulum stress [ER chaperone binding immunoglobulin protein (BiP) eukaryotic translation initiation factor 2A (eIF2a) and eIF2a kinase protein kinase R (p-PKR)] as well as two inflammation-signaling proteins [nuclear factor-κB (NF-kB) and inhibitor κB (IkB)] were measured in newborn brain nuclei [nucleus of the solitary tract (NTS) paraventricular nucleus (PVN) supra-optic nucleus (SON) cortex (CX) striatum nuclei (STR) and medial preoptic nucleus (MPO)] before the first feed (unprimed by colostrum) and after the start of nursing (primed by colostrum).,2018 Nov 14
Corpus striatum structure,cortex bone disorders,Signaling protein markers associated with the endoplasmic reticulum stress [ER chaperone binding immunoglobulin protein (BiP) eukaryotic translation initiation factor 2A (eIF2a) and eIF2a kinase protein kinase R (p-PKR)] as well as two inflammation-signaling proteins [nuclear factor-κB (NF-kB) and inhibitor κB (IkB)] were measured in newborn brain nuclei [nucleus of the solitary tract (NTS) paraventricular nucleus (PVN) supra-optic nucleus (SON) cortex (CX) striatum nuclei (STR) and medial preoptic nucleus (MPO)] before the first feed (unprimed by colostrum) and after the start of nursing (primed by colostrum).,2018 Nov 14
Anterodorsal nucleus of thalamus,Alzheimer's Disease,Levels of NFL correlated inversely with baseline Mini-Mental State Examination scores (ρ -0.19
Posterolateral auditory cortex,cortex bone disorders,Using a new knock-in mouse for activity-dependent genetic labeling (TRAP2) we demonstrate that neuronal ensembles in the PL cortex are dynamic.,2019 Mar
Cerebellum,Autism Spectrum Disorders,Recently the involvement of cerebellum in ASDs has been suggested but the underlying functional alterations remained obscure.,2019 Mar 27
Pars Compacta,Parkinson Disease,Parkinson's disease (PD) is a progressive neurodegenerative disorder associated with the degeneration of dopamine neurons of the substantia nigra pars compacta (SNpc) and the presence of intra-neuronal aggregates of α-synuclein and its post-translational products.,2019 May 1
Structure of dentate gyrus,neuropathology disease,Methods:                    We quantified neural progenitor cells (NPCs) GNs glia and DG volume in whole hippocampus postmortem in four groups of drug-free neuropathology-free subjects (N = 52 total): psychological autopsy-defined MDDSui and control subjects with and without ELA (before 15 years of age).,2019 May 15
Structure of suprachiasmatic nucleus,cortex bone disorders,Several regions of the brain showed synaptic connectivity to arcuate Kiss1 neurons including proopiomelanocortin neurons in the ARC itself kisspeptin neurons in the anteroventral periventricular nucleus vasopressin neurons in the supraoptic and suprachiasmatic nuclei thyrotropin releasing neurons in the paraventricular nucleus and unidentified neurons in other regions including the subfornical organ amygdala interpeduncular nucleus ventral premammilary nucleus basal nucleus of stria terminalis and the visual somatosensory and piriform regions of the cortex.,2019 Mar 27
Pars Compacta,Parkinson Disease,Parkinson's disease is characterized by the deterioration of dopaminergic neurons of substantia nigra pars compacta along with a substantial loss of noradrenergic neurons of the locus coeruleus which is the major source of noradrenaline (NA) in the brain.,2019 Jun 19
Caudate nucleus structure,Hamartoma Syndrome Multiple,We studied their expression using immunohistochemistry and Western blotting in the dorsolateral striatum ventral tegmental area and substantia nigra pars compacta (SNpc) of C57BL/6J and CD-1 mice.,2019 Jul
Neostriatum,Disease Progression,As ROS are crucial components of the regulation of inflammatory response in this work we evaluated the role of NOX-2 in the progression of inflammation resulting from glutamate-induced excitotoxic damage of the striatum in an in vivo model.,2019 Apr 17
Central Dorsal Nucleus,Hamartoma Syndrome Multiple,Methods:                    To determine whether the glutamatergic pathway and COX-2 are involved in modulating the behavior of mice C57B1/6 J and CD-1 male mice were injected daily with MTEP an mGluR5 antagonist or a combination of MTEP and NS398 (COX-2 inhibitor) for 7 and 14 days.,2019 Sep 16
Hypothalamic Area Lateral,Liver diseases,Key findings:                    Concerning the EC system the CS group had increased expression of diacylglycerol lipase (DAGL) in the lateral hypothalamus (LH) and decreased in the liver.,2019 Sep 1
Motor Cortex,Spinal Cord Diseases,The cited enzymatic activities were enhanced in spinal cord and motor cortex homogenates paralleling the time-course of the effect observed in synaptosomes and gliosomes.,2019 Nov
BRAIN HIPPOCAMPUS,Brain Diseases,Our data suggested that decreased production of inflammatory cytokines and apoptosis related proteins with TRPM2 deletion could regulate inflammatory stress and decrease inflammatory injury in hippocampal neurons and consequently ameliorate brain disorder.,2019 Oct
Basal Nucleus of Meynert,Lewy Body Disease,Methods:                    Galanin immunohistochemistry was carried out in the anterior nucleus basalis of Meynert of 27 Parkinson's disease (PD) cases without cognitive impairment (mild cognitive impairment [MCI]) 15 with PD with MCI 42 with Parkinson's disease dementia (PDD) 12 with Dementia with Lewy bodies (DLB) 19 with AD 12 mixed AD/DLB and 16 controls.,2020 Apr
Basal Ganglia,Parkinson Disease,These data provide new insights into the question of how the lack of dopamine may lead to behavioral deficits associated with Parkinson's disease.&gt
Central cord canal structure,Spinal Cord Diseases,Individual images from C1 to C7 vertebral levels provided a clear delineation of spinal cord anatomical details and substructures including motor columns within gray matter (GM) horns anterior median fissure central canal ventral lateral and dorsal white matter (WM) fasciculi and posterior median septum.,2020 Jan 15
BRAIN HIPPOCAMPUS,Psychotic Disorders,Striatal dopamine synthesis capacity predicted the worsening of psychotic symptoms at follow-up (r = 0.35
Structure of paraventricular nucleus of thalamus,cortex bone disorders,These activated regions include accumbens nucleus caudate putamen claustrum bed nucleus of the stria terminalis amygdaloid nucleus ventral posterior division of the thalamic nucleus paraventricular hypothalamic nucleus arcuate hypothalamic nucleus primary and secondary somatosensory cortex ectorhinal cortex and dorsolateral entorhinal cortex.,2020 Apr
Area striata structure,cortex bone disorders,Disentangling the superficial the middle and the deep layer of the cortex we show that in both V1 and V4 superficial layers are the most important in discriminating binary classes of stimuli.,2019 Oct 17
BRAIN HIPPOCAMPUS,Van der Woude syndrome,The results indicate that postnatal LPS exposure impairs adult hippocampal neurogenesis and causes depression-like behaviors through early astrocytes activation triggering the later GABA&gt
Caudate nucleus structure,Hamartoma Syndrome Multiple,In the nodose ganglion of the vagus CD requires extracellular calcium in a large percentage of cells.,2019 Dec 15
Substantia nigra structure,Parkinson Disease,Dopamine neurons in the substantia nigra (SN) pars compacta are selectively lost during the progression of Parkinson's disease (PD).,2019 Dec
BRAIN HIPPOCAMPUS,Hashimoto Disease,CCK-8 cell viability and apoptotic cell detection using Annexin V-FITC and PI staining coupled with flow cytometry were performed to determine the pro-apoptotic role of RMST in HT-22 hippocampal neuron cell line.,2020 Feb
Pituitary Gland,Thyroid Diseases,Based on the type-I cannabinoid receptor (CB1) content of hypophysiotropic axons and the involvement of tanycytes in the regulation of the hypothalamic-pituitary-thyroid (HPT) axis we hypothesized that endocannabinoids are involved in the tanycyte-induced regulation of TRH release in the median eminence (ME).,2020 Mar 27
Hypothalamic Area Lateral,Spinal Cord Diseases,Hypocretin-containing neurons are located in the posterior and lateral hypothalamus and have widespread projections throughout the brain and spinal cord.,2020 Aug
BRAIN HIPPOCAMPUS,Memory Disorders,Structural plasticity proceeds with synaptic plasticity to process all the developing stages required to successful maturation and functional integration whereby the memory context is ready to leave the hippocampus toward cortex network through consolidation process for being installed and run the memory disk forever.,2020 Jun
Anterodorsal nucleus of thalamus,Alzheimer's Disease,Given the involvement of GABA&gt
Anterodorsal nucleus of thalamus,Alzheimer's Disease,This study analyses oligodendrocyte and myelin markers in the frontal WM in a series of AD cases without clinical or pathological co-morbidities.,2020 Dec
Midbrain structure,cortex bone disorders,Muscimol (3 mg/kg) significantly increased the DOPAC level in all parts of the mouse brain and the HVA level in the cortex striatum and midbrain.,1988 Dec
Bundle Predorsal,Neurodegenerative Disorders,Pathologic intracellular inclusions formed from polymers of misfolded α-synuclein (αsyn) protein define a group of neurodegenerative diseases termed synucleinopathies which includes Parkinson's disease (PD).,2020 Jul 27
Median eminence of hypothalamus,Pituitary Diseases,Therefore using the newCAST stereological software we investigated the effects of chronic (21 days) daidzein treatment on corticotropin-releasing hormone (CRH) neurons within the hypothalamus and corticotropes (ACTH cells) in the pituitary while image analysis was employed to-examine the intensity of fluorescence of CRH in the median eminence (ME) and adrenocorticotropin hormone in the pituitary in adult orchidectomized (Ovx) rats.,2018 Feb
BRAIN HIPPOCAMPUS,Parkinson Disease,The corticostriatal and hippocampal circuits contribute to the neurobiological underpinnings of several neuropsychiatric disorders including Alzheimer's disease Parkinson's disease and schizophrenia.,2018 Apr
Basal Ganglia,Basal Ganglia Diseases,These results suggest that the histaminergic afferent inputs in the striatum may modulate both dopamine D1 and D2 receptor-expressing MSNs by activation of postsynaptic histamine H1 and H2 receptors and thus serve as an important extrastriatal modulator for biasing the direct and indirect pathways to actively regulate functions of the basal ganglia and participate in the pathogenesis and pathophysiology of basal ganglia diseases.,2018 Oct
BRAIN HIPPOCAMPUS,Major Depressive Disorder,Rationale:                    Increasing evidence has suggested that major depressive disorder (MDD) is highly associated with brain-derived neurotrophic factor (BDNF) levels dendrites atrophy and loss of dendritic spines especially in emotion-associated brain regions including the hippocampus.,2018 Jul
Cerebral hemisphere structure (body structure),Functional disorder,In the early stage of AD microvasculature deficiencies inflammatory reactions surrounding the cerebral vasculature and endothelial dysfunctions are commonly observed.,2013 Feb 21
Brain Stem,Functional disorder,Since the PPN is vastly connected with the BG and the brainstem dysfunction within these systems lead to advanced symptomatic progression in Parkinson's disease (PD) including sleep and cognitive issues.,2018 Apr 26
Tectospinal tract of medulla,Timothy syndrome,The Ts65Dn (TS) mouse the most commonly used murine model of DS recapitulates many alterations present in both DS and AD individuals including enhanced neuroinflammation.,2018 Oct
Genus Hippocampus,Alzheimer's Disease,In particular the dopaminergic innervation from the VTA to the hippocampus is critical for hippocampal-related memory function and alterations in the midbrain dopaminergic system are frequently reported in Alzheimer's disease (AD) contributing to age-related decline in memory and non-cognitive functions.,2018 Aug
Substantia nigra structure,Parkinson Disease,Parkinson's disease (PD) is a neurodegenerative pathology characterized by resting tremor rigidity bradykinesia and loss of dopamine-producing neurons in the pars compacta of the substantia nigra in the central nervous system (CNS) that result in dopamine depletion in the striatum.,2019 Feb
Lobe Frontal,Developmental reading disorder,We identified significant differences in lGI between children with DD and TDC in left lateral temporal and middle frontal regions.,2018 Mar 14
Cerebellum,Heredodegenerative Disorders Nervous System,The cerebellum is a prominent target of several sporadic and hereditary neurodegenerative diseases including multiple system atrophy spinocerebellar ataxia and Friedreich ataxia.,2018
Cerebral cortex,Depressive disorder,Whether cortical inhibitory networks shape such suppression or whether it is wholly regulated by common mechanisms such as synaptic depression or spike frequency adaptation is controversial.,2017 Jul 25
Brain Stem,Spinal Cord Diseases,Using our mouse model relying on natural susceptibility to HCoV OC43 and neuronal cell cultures we have defined the most relevant path taken by HCoV OC43 to access and spread to and within the CNS toward the brain stem and spinal cord and studied in cell culture the underlying modes of intercellular propagation to better understand its neuropathogenesis.,2018 Aug 16
Genus Hippocampus,Disorders Mental,Elevated expression of the pro-inflammatory cytokine interleukin-1β (IL-1β) in the hippocampus is established as a significant contributor to the neuronal demise evident in many neurological and psychiatric disorders and is now known to negatively regulate hippocampal neurogenesis.,2017 Nov
Metencephalon,Autism Spectrum Disorders,As gastrointestinal disturbances are common in children with autism spectrum disorder (ASD) we sought to define the relationship between MET-expressing (MET+) neurons in the DMV and nAmb and the gastrointestinal tract.,2017 Dec 15
Internal arcuate tract,Syndrome Bloch-Sulzberger,Spatial registration methods were applied to localize the cortical regions underneath each channel and to define six regions of interest (ROIs) right and left supero-anterior (SA or pre/post-central gyri) infero-posterior (IP or angular/supramarginal gyri) and infero-anterior (IA or superior/middle temporal gyri) regions.,2017 Sep 5
Substantia nigra structure,cortex bone disorders,To identify PARIS target molecules altered in SN region-specific manner LC-MS/MS-based quantitative proteomic analysis is employed to investigate proteomic alteration in the cortex striatum and SN of AAV-PARIS injected mice.,2017 Nov 18
Structure of olfactory bulb,Renal glomerular disease,Our results suggest that individual granule cells are able to influence relatively large groups of MCs and tufted cells belonging to clusters of at least 15 glomerular modules providing a potential mechanism to integrate signals reflecting a wide variety of odorants.&gt
Prosencephalon,cortex bone disorders,To identify possible indirect actions of androgens via the AR in neurons to regulate muscle we generated neuron-ARKO mice in which the dominant DNA binding-dependent actions of the AR are deleted in neurons of the cortex forebrain hypothalamus and olfactory bulb.,2017 Oct 1
BRAIN HIPPOCAMPUS,Autistic Disorder,Here we report that &gt
Midbrain structure,Parkinson Disease,Parkinson's disease (PD) is characterized by accumulations of toxic α-synuclein aggregates in vulnerable neuronal populations in the brainstem midbrain and cerebral cortex.,2018 Jan
Cerebral cortex,cortex bone disorders,Cortical interneurons are a diverse group of neurons that project locally and are crucial for regulating information processing and flow throughout the cortex.,2017 Nov 1
Cerebral cortex,cortex bone disorders,VC1.1+ PNNs surrounded the cell bodies and dendrites of a subset of nonpyramidal neurons in cortex-like portions of the amygdala (basolateral amygdalar complex cortical nuclei nucleus of the lateral olfactory tract and amygdalohippocampal region).,2018 Apr
Structure of locus ceruleus,cortex bone disorders,Voxel-wise evaluation between groups revealed significant BP&gt
Prosencephalon,Functional disorder,A better understanding of these mechanisms may provide a way to therapeutically adjust malfunction of forebrain activity present in several pathological conditions.,2018 Aug
Genus Hippocampus,cortex bone disorders,Gene expression levels of oxidative stress markers (SOD1 and Prdx6) and the three isoforms of APP (APP common 770 and 695) in the cortex and hippocampus of the treated and the control groups were measured.,2018 Oct
BRAIN HIPPOCAMPUS,cortex bone disorders,Findings:                    Permeable cells were located primarily in the ipsilateral cortex and hippocampus of injured rats at 10 min post-injury
Cerebellar cortex structure,neuropathology disease,Post-mortem neuropathology of two patients with SCA37 revealed severe loss of Purkinje cells with abundant astrogliosis empty baskets occasional axonal spheroids and hypertrophic fibres by phosphorylated neurofilament immunostaining in the cerebellar cortex.,2018 Jul 1
BRAIN HIPPOCAMPUS,Nail-Patella Syndrome,NP deposition was primarily detected in the medial prefrontal cortex and the hippocampus.,2018 Jul 3
Anterodorsal nucleus of thalamus,Alzheimer's Disease,Results:                    Six miRNAs (miR-10a-5p miR-142a-5p miR-146a-5p miR-155-5p miR-211-5p miR-455-5p) are commonly upregulated between APPtg and TAUtg mice and four of these (miR-142a-5p miR-146a-5p miR-155-5p and miR-455-5p) are altered in AD patients.,2018 Oct 12
BRAIN HIPPOCAMPUS,Pervasive Development Disorder,Here we assessed the pattern of neuronal excitability and the possible contribution of Ih current to the altered excitability of hippocampal CA1 pyramidal neurons in a rat model of VPA-induced ASD-like behavior.,2019 Apr 1
Anteromedial Nucleus,cortex bone disorders,In the thalamic nuclei that project to the retrosplenial cortex (RSC) VGluT1 mRNA is expressed strongly in the anterodorsal thalamic nucleus (AD) is expressed moderately in the anteroventral and laterodorsal thalamic nuclei and is not expressed in the anteromedial thalamic nucleus.,2014 Jun 15
Neostriatum,cortex bone disorders,After 6 hours of occlusion the area of severe ischemic neuronal damage in the left neocortex and striatum on two standard sections of brain was calculated and expressed as a percentage of the total area of the left cortex or striatum.,1990 Mar
Genus Hippocampus,cortex bone disorders,Western-blotting analysis demonstrates 63% and 84.8% loss of mature ADAM10 proteins from the cortex and hippocampus.,2012 Dec
Superior colliculus of corpora quadrigemina,cortex bone disorders,In contrast to the minor effects of SC lesions alone addition of an SC lesion to striate cortex damage abolished all visual responsiveness in area MT.,1990 Apr
Anterodorsal nucleus of thalamus,Alzheimer's Disease,We suggest flavonols may serve as leads for drug discovery and/or as agents toward preventing metal-mediated oxidative stress due to AD and other disorders.,2013 Jan 18
Basal Ganglia,Tic disorder,These findings indicate that tic-generating networks in basal ganglia mediated tic disorders extend beyond classical cerebro-basal ganglia circuits leading to global network dysrhythmia including cerebellar circuits.,2013 Jan 9
Posterior Thalamic Nuclei,cortex bone disorders,Inputs from posterior sensory-related thalamic areas including POm (posterior thalamic nuclear group) targeted neurons only in the upper layers (L2/3 and L5A) similar to inputs from somatosensory (barrel) cortex.,2013 Jan 9
CA2 field,Neurodegenerative Disorders,Their implication in the phenomenon of excitotoxicity has been extensively described in several neurodegenerative diseases due to the permissive entry of Ca2+ ions and massive accumulation in the intracellular compartment which is highly toxic to cells.,2013 Mar
Corpus striatum structure,cortex bone disorders,Relevant brain areas (that is cortex and striatum) exhibit reduced expression of dopamine D(1) receptors and dopamine transporters together with enhanced amphetamine-induced in vivo dopamine release.,2013 Jan 22
Nucleus Accumbens,Disorders Mental,These results suggest that NR1 expression in the Acb is essential for apomorphine-induced D1R surface trafficking as well as auditory startle and social behaviors that are impaired in multiple psychiatric disorders.,2013 Jun
Corpus striatum structure,Psychotic Disorders,Given recent reports of altered dopamine activity in associative/dorsal striatum of individuals at a clinically high risk of psychosis our data further support the idea that dorsal as opposed to ventral regions of the striatum are a locus of vulnerability for psychosis.,2013 Jun
Corpus striatum structure,Neurotoxicity Syndromes,Increased accumulation of Mn in specific brain regions such as the substantia nigra globus pallidus and striatum triggers neurotoxicity resulting in a neurological brain disorder termed manganism.,2013 May
Corpus Callosum,cortex bone disorders,From these sections of the corpus callosum and adjacent parasaggital cortex were examined for microglial density and morphology and for indices of white matter pathology and integrity.,2013 Jan
Anterodorsal nucleus of thalamus,Alzheimer's Disease,We developed a novel monoclonal antibody against acetylated tau at lysine residue 274 which recognizes both 3R and 4R tau and used immunohistochemistry and immunofluorescence to probe 22 cases including AD and another eight familial or sporadic tauopathies.,2013 Apr
Motor Cortex,cortex bone disorders,In the spatial memory task the exercise group showed lower COx activity than the non-exercise group in prefrontal cortex bed nucleus of the stria terminalis amygdala hippocampus retrosplenial cortex tegmental ventral area and supramammillary nucleus but the neuronal activity increased in the motor cortex in exercised group.,2013 Mar 28
BRAIN HIPPOCAMPUS,Alzheimer's Disease,The functional relevance of septo-hippocampal cholinergic (SHC) degeneration to the degradation of hippocampus-dependent declarative memory (DM) in aging and Alzheimer's disease (AD) remains ill-defined.,2013 Jun
Cerebral Ventricles,Pancreatic Diseases,We previously reported that neostigmine injected into the third cerebral ventricle stimulated adrenal secretion of epinephrine secretion of glucagon from the pancreas and direct neural innervation of the liver resulting in hepatic venous plasma hyperglycemia in anesthetized fed rats.,1990 Jan 22
Cerebellum,cortex bone disorders,Accelerated deposition of autofluorescent storage material (lipofuscin) was observed in the cerebellum and in neurons of the hippocampus and the cortex of Atp13a2(-/-) mice.,2013 May 15
Basal Ganglia,Neurodegenerative Disorders,Parkinson's is a major neurodegenerative disorder that occurs due to loss of dopaminergic neurons in basal ganglia.,2013 Jul
Pituitary Gland,Pituitary Diseases,The neurohypophysis is a crucial component of the hypothalamo-pituitary axis serving as the site of release of hypothalamic neurohormones into a plexus of hypophyseal capillaries.,2013 Mar
BRAIN HIPPOCAMPUS,Alzheimer's Disease,The present model using Aβ peptide solution containing AβO reproduced essential neuropathological features of AD
BRAIN HIPPOCAMPUS,Hashimoto Disease,Therefore we compared the effects of moderate (33.5°C) and deep (17°C) hypothermia with normothermia (37°C) on the regulation of RBM3 and CIRP expressions in murine organotypic hippocampal slice cultures (OHSC) hippocampal neuronal cells (HT-22) and microglia cells (BV-2).,2013 Apr 4
Medial longitudinal fasciculus,Spinal Cord Diseases,The majority of crossed-DPV axons terminated in these nuclei were directly activated from the caudal MLF indicating that they had descending collaterals projecting to the spinal cord as well.,1990 Apr
Globus Pallidus,Hallervorden-Spatz Syndrome,MRI showed iron deposition in the globus pallidus and substantia nigra without the eye-of-the-tiger sign which is typical for PKAN the most frequent form of NBIA.,2013 Feb
Genus Hippocampus,Alzheimer's Disease,The aim was to investigate the effect of the arborvitae seed on cognitive function and α7-nicotinic acetylcholine receptor (α7nAChR) protein expression of the hippocampus in model rats with Alzheimer's disease (AD).,2013 Sep
Paracentral Thalamic Nucleus,cortex bone disorders,The accumulation of [(18)F]FDG was increased in the rat RS/PC cortex region showing neuronal cell degeneration/death and detected before the onset of neuronal cell death.,2013 May
Somatosensory Cortex,Fragile X Syndrome,Consistent with studies of the somatosensory cortex these data point to hyper-responsiveness of auditory neurons as a key processing abnormality in FXS.,2013 Apr 19
BRAIN HIPPOCAMPUS,Pervasive Development Disorder,We herein report that activation of TRPV4 by 4α-PDD and hypotonic stimulation increased INMDA in hippocampal CA1 pyramidal neurons which was sensitive to TRPV4 antagonist 10 μ M/2 μ 1/mouse [DOSAGE ERROR CORRECTED] and NMDAR antagonist AP-5 indicating that TRPV4 activation potentiates NMDAR response.,2013 Mar 4
Structure of capsule of red nucleus,Hamartoma Syndrome Multiple,To separate the learning of this conditioned stimulus-conditioned response (CS-CR) from other elements of the task we employed a cross-modal transfer schedule.,2013 May
Central Dorsal Nucleus,Hamartoma Syndrome Multiple,Pregnant and lactating CD-1 dams were exposed via specially prepared diets to 2 environmentally relevant doses of BPA.,2013 Apr
Cerebral cortex,cortex bone disorders,However in contrast to the predominantly asynchronous neuronal firing activity exhibited by intact cortex electrophysiological activity of mature cortical cultures is dominated by spontaneous epileptiform-like global burst events which hinders their effective use in network-level studies particularly for neurally-controlled animat ('artificial animal') applications.,2013 Mar 26
Substantia nigra structure,Van der Woude syndrome,Brain reactive oxygen species (ROS) determined using diphenyliodonium histochemistry was increased by LPS in SN between 1 hr and 20 months.,2013 Jun
Cerebral cortex,Parkinson Disease,These acute changes might contribute to the diffusion of cortical activity to BG and the pathophysiology of Parkinson's disease (PD).,2013 Sep
Metencephalon,Pervasive Development Disorder,The association of the MET promoter variant rs1858830 C allele is significantly enriched in families with a child who has ASD and co-occurring gastrointestinal conditions.,2013
Cortex Primary Motor,cortex bone disorders,To better understand motor processing we characterized top-down and bottom-up connectivities between M1 and M2 in the rat cortex.,2014 Sep
Structure of diencephalon,neuropathology disease,The association between brain volume trajectories and cognitive impairment (mild cognitive impairment and dementia) remained after controlling for the degree of neuropathology and other covariates.,2013 May
Motor Cortex,cortex bone disorders,In rostral motor cortex we report that both subcerebral projection neurons (SCPN) which send projections away from the cerebrum and callosal projection neurons (CPN) which send projections to contralateral cortex express Lmo4 whereas more caudal SCPN and CPN do not.,2013 Apr 10
sensory cortex,cortex bone disorders,The population of neurons in the cat motor cortex which receives monosynaptic input from a specific functional region of the somatic sensory cortex was identified with the techniques of intracellular recording and staining with HRP. Both pyramidal and nonpyramidal cells located in the superficial layers of the pericruciate cortex responded to stimulation of the sensory cortex with short latency excitatory postsynaptic potentials.,1990
Basal Ganglia,Mood Disorders,Both basal ganglia and central complex dysfunction result in behavioral defects including motor abnormalities impaired memory formation attention deficits affective disorders and sleep disturbances.,2013 Apr 12
Subependymal region,Spinal Cord Diseases,To a lesser extent these aggregates were also present in the cerebellar white matter around the subependymal regions in the brain stem and in the spinal cord.,2013 Dec
Anterodorsal nucleus of thalamus,Alzheimer's Disease,We hypothesized that histone H3 homeostasis is disrupted in association with the appearance of soluble Aβ at an early stage in AD progression.,2013 Sep
Pituitary Gland,Pituitary Diseases,As in birds mammalian GnIH inhibits gonadotropin secretion indicating a conserved role for this neuropeptide in the control of the hypothalamic-pituitary-gonadal (HPG) axis across species.,2013 Apr 16
Dorsal Septal Nucleus,neuropathology disease,One of the peculiar features of DS is the onset of Alzheimer's disease neuropathology after the age of 40years characterized by deposition of senile plaques and neurofibrillary tangles.,2013 Aug
Structure of entorhinal cortex,Depressive disorder,Our results suggest that the depression of glutamatergic transmission induced by adenosine contributes to its antiepileptic effects in the EC.,2013 Apr 16
Hindbrain,Spinal Cord Diseases,Chx10-expressing neurons (V2a neurons) are ipsilaterally projecting glutamatergic neurons in the spinal cord and the hindbrain.,2013 May 20
Central cord canal structure,Spinal Cord Diseases,Objective:                    The ependymal cells considered today as an active participant in neuroendocrine functions were investigated by electron microscopy in the central canal of the lowest spinal cord the filum terminale (FT) in adult rats.,2013 Apr
Cerebral cortex,Migraine Disorders,Here employing the diffusion tensor imaging and graph theory approaches to construct white matter networks in 26 patients with migraine (PM) and 26 gender-matched healthy controls (HC) we investigated relationships between structural connectivity cortical network architecture and anatomical distance in the two groups separately.,2013 Oct
BRAIN HIPPOCAMPUS,Alzheimer's Disease,We measured neuroglobin levels by western blot and immunostained hippocampal sections for neuroglobin cell-type protein markers and amyloid-β in brain tissue obtained at autopsy from patients with Alzheimer's disease.,2013
Medulla Oblongata,Spinal Cord Diseases,Sympathoexcitatory presympathetic neurons (PSNs) in the rostral ventrolateral medulla project directly to cardiac and vasomotor sympathetic preganglionic neurons in the spinal cord.,2013 Aug
Anterodorsal nucleus of thalamus,Alzheimer's Disease,Background:                    GSK3β is involved in a wide range of physiological functions and is presumed to act in the pathogenesis of neurological diseases from bipolar disorder to Alzheimer's disease (AD).,2013 May 25
Telencephalon,Retinal Diseases,To identify Foxk1 transcripts retina and cerebrum (positive control) of adult animals (postnatal day 90 (P90)) was subjected to reverse transcription polymerase chain reaction (RT-PCR) and sequencing of the amplified cDNA.,2013 Oct
Cerebral hemisphere structure (body structure),Menkes Kinky Hair Syndrome,Finally analysis of MK values revealed significant differences mainly in WM of the frontal lobes of both cerebrum and GM and WM of the parietal lobe of the right cerebrum.,2013 Dec
Caudate nucleus structure,Syndrome,Consistent with past reports for the respective clinical syndromes these were centred on the left frontal operculum and caudate nucleus in non-fluent primary progressive aphasia (the corticobasal degeneration/progressive supranuclear palsy set) anterior temporal lobes in semantic dementia and hippocampus and posterior cingulate gyrus in Alzheimer's disease.,2013 Jul
Cerebral cortex,Antiphospholipid Syndrome,Large territorial (P = .01) lacunar (P = .01) localized cortical (P &lt
Interpeduncular nucleus,Syndrome Bloch-Sulzberger,In the present study we examined the neurochemical changes in the central dopaminergic neurons systems in the rat for 7 drug-free days after repeated treatment with PEA (50 mg/kg IP day for 14 or 28 days).,1990
Brain Stem,Respiration Disorders,These results illustrate how the signaling mechanisms by which glia exerts its effects in brainstem respiratory groups is of great interest for pathologies associated with neurological respiratory disorders.,2013 Nov
Pyramidal Cells,Mucocutaneous Lymph Node Syndrome,LRRTMs are also required for LTP of mature synapses on adult CA1 pyramidal neurons indicating that the block of LTP in neonatal synapses by LRRTM1 and LRRTM2 KD is not due to impairment of synapse maturation.,2013 Aug 7
Purkinje Cells,Machado-Joseph Disease,These results suggest that postnatal nuclear accumulation of mutant ataxin-3 disrupts dendritic differentiation and mGluR-signaling in SCA3 mouse PCs and this disruption may be caused by a defect in a RORα-driven transcription pathway.,2014 Feb
BRAIN HIPPOCAMPUS,Alzheimer's Disease,Ultimately both events may constitute key components of hippocampal dysfunction and associated cognitive deficits occurring in Alzheimer's disease.,2013 Sep 27
Pituitary Gland,Pituitary Diseases,NMB had no significant effect on LH release from anterior pituitary explants from male rats or from pituitary LβT2 cells in vitro.,2013 Nov 10
