"brainregion","protein","count"
"Cerebellum","Spectrin","11"
"Corpus striatum structure","Collagenase","11"
"Pyramidal Cells","Lipofuscin","11"
"Telencephalon","Serotonin","11"
"BRAIN, HIPPOCAMPUS","Janus Kinases","11"
"Substantia nigra structure","Peroxidase, Glutathione","11"
"CA2 field","Neurotensin","11"
"Thalamic structure","Galanin","11"
"Central gray substance of midbrain","angiogenin","11"
"Cerebellum","Calsequestrin","11"
"Globus Pallidus","Enzymes","11"
"Ventral Tegmental Area","Calretinin","11"
"Posterolateral auditory cortex","Oxytocin","11"
"Neostriatum","Serine","11"
"Corpus striatum structure","prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase), human","11"
"Cerebellar cortex structure","Immunoglobulins","11"
"Amygdaloid structure","Microtubule-Associated Proteins","11"
"Lateral habenular nucleus","Corticotropin-Releasing Hormone","11"
"Purkinje Cells","Amyloid beta-Protein Precursor","11"
"Structure of dentate gyrus","TIAM1 Protein","11"
"Pyramidal Cells","G(M2) Ganglioside","11"
"Pars nervosa of hypophysis","Prolactin","11"
"Cortex, Primary Motor","RTN4 protein, human","11"
"Cerebral cortex","Granulocyte-Macrophage Colony-Stimulating Factor","11"
"Cerebellar Nuclei","Choline O-Acetyltransferase","11"
"Substantia nigra structure","Peroxidase","11"
"Neostriatum","Myelin basic protein","11"
"Purkinje Cells","Peptamen","11"
"Cerebrum","Genes","11"
"Hypothalamic structure","Alkaline Phosphatase","11"
"Acoustic nerve","Horseradish Peroxidase","11"
"Pyramidal Cells","Fluorescent Dyes","11"
"Cerebellum","Creatine Kinase","11"
"Cerebral cortex","Phospholipases A2","11"
"Structure of pars intermedia of pituitary gland","Melanocyte stimulating hormone","11"
"Genus Hippocampus","Human Growth Hormone","11"
"Cerebral cortex","Caspase-9","11"
"Genus Hippocampus","Platelet Activating Factor","11"
"Brain Stem","Calcium-Binding Proteins","11"
"Neostriatum","Adenylyl Cyclase 9","11"
"Structure of locus ceruleus","Luteinizing Hormone","11"
"Structure of ventromedial hypothalamic nucleus","Glucose","11"
"Purkinje Cells","Peplomycin","11"
"Hypothalamus, Middle","Substance P","11"
"central amygdalar nucleus","HCRT protein, human","11"
"Nucleus solitarius","Calcitonin Receptor","11"
"Lateral habenular nucleus","Calmodulin Dependent Protein Kinase II","11"
"Cerebral cortex","Presenilins","11"
"Neostriatum","AMPH protein, human","11"
"Structure of medial preoptic nucleus","Cholecystokinin","11"
"Brain Stem","Ghrelin","11"
"Structure of dentate gyrus","GABA Receptor","10"
"Prefrontal Cortex","Calbindins","10"
"Pituitary Gland, Posterior","Tyrosine 3-Monooxygenase","10"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Calcium-Binding Proteins","10"
"Nucleus Accumbens","Dopamine Antagonists","10"
"Organum Vasculosum Laminae Terminalis","Receptor","10"
"Purkinje Cells","Tubulin","10"
"Interpeduncular nucleus","Choline O-Acetyltransferase","10"
"Prefrontal Cortex","Choline O-Acetyltransferase","10"
"Purkinje Cells","Leucine","10"
"Cerebral hemisphere structure (body structure)","Apolipoprotein E","10"
"Hypothalamic structure","Opioid Peptide","10"
"Globus Pallidus","HD protein, human","10"
"Corpus striatum structure","Calmodulin Dependent Protein Kinase II","10"
"Pineal gland","Enzymes","10"
"Amygdaloid structure","Acetylcholinesterase","10"
"Cerebral hemisphere structure (body structure)","NOS2A protein, human","10"
"mossy fiber","Somatostatin","10"
"Neostriatum","Calcineurin","10"
"Neostriatum","Receptors, Purinergic P1","10"
"Structure of nucleus infundibularis hypothalami","Adiponectin","10"
"Corpus striatum structure","Glutamine","10"
"Temporal Lobe","protein TDP-43","10"
"Cerebellum","Enkephalins","10"
"Structure of hippocampal fissure","Peptides","10"
"Internal capsule of brain","Folic Acid","10"
"Structure of medial preoptic nucleus","Aromatase","10"
"Structure of suprachiasmatic nucleus","Glial Fibrillary Acidic Protein","10"
"Auditory Hair Cell","Human Placental Lactogen","10"
"Nucleus solitarius","Ghrelin","10"
"Medulla Oblongata","Glucose","10"
"CA3 field","Superoxide Dismutase","10"
"Corpus striatum structure","Cyclooxygenase 2","10"
"Neostriatum","Cholinergic Receptors","10"
"Prefrontal Cortex","Peptides","10"
"CA2 field","Cholinergic Receptors","10"
"Pretectal region","Chloramphenicol O-Acetyltransferase","10"
"Structure of nucleus gracilis","Dipeptides","10"
"Amygdalar Nucleus, Medial","Estrogen Receptors","10"
"Cerebral cortex","cathepsin S","10"
"Genus Hippocampus","Sodium Glutamate","10"
"Nucleus solitarius","Appetite-Regulating Hormone","10"
"Structure of terminal stria nuclei of preoptic region","Y, Neuropeptide","10"
"Pars Compacta","Poly ADP Ribose Polymerase","10"
"Olivary Nucleus","Horseradish Peroxidase","10"
"Structure of angular gyrus","angiotensin converting enzyme 2","10"
"central amygdalar nucleus","nociceptin","10"
"CA3 field","SH2D3C Gene","10"
"Cerebellar Nuclei","Parvalbumins","10"
"Entire medulla oblongata","Glial Fibrillary Acidic Protein","10"
"Structure of paraventricular nucleus of thalamus","Calbindins","10"
"BRAIN, HIPPOCAMPUS","BAD Protein","10"
"BRAIN, HIPPOCAMPUS","Glutamate Dehydrogenase","10"
"Planum temporale (PT)","INSR protein, human","10"
"Ventral premammillary nucleus","Receptor, Leptin","10"
"BRAIN, HIPPOCAMPUS","Glutamate decarboxylase 65","10"
"Gigantocellular nucleus","Protein Subunits","10"
"Corpus striatum structure","Ligand Binding Domain","10"
"Cerebral cortex","SH3 and Multiple Ankyrin Repeat Domains Protein 3","10"
"Genus Hippocampus","Metallothionein","10"
"Ventral Posterior Nucleus","Chloramphenicol O-Acetyltransferase","10"
"BRAIN, HIPPOCAMPUS","Trans-Activators","10"
"Thalamic structure","Nerve Growth Factor","10"
"CA1 field","Aminoglutethimide","10"
"Structure of medial preoptic nucleus","KISS1 protein, human","10"
"BRAIN, HIPPOCAMPUS","CRF receptor type 1","10"
"Somatosensory Cortex","Horseradish Peroxidase","10"
"Pontine structure","Myelin","10"
"Set of basolateral nuclei of amygdala","Somatostatin","10"
"Superior colliculus of corpora quadrigemina","Monoclonal Antibodies","10"
"Thalamic structure","Superoxide Dismutase","10"
"Genus Hippocampus","Vimentin","10"
"Hypothalamic structure","GHR protein, human","10"
"Interpeduncular nucleus","Oxytocin","10"
"Cerebral hemisphere structure (body structure)","P53 Protein","10"
"Structure of suprachiasmatic nucleus","HCRT protein, human","10"
"Structure of nucleus infundibularis hypothalami","Immunoglobulins","10"
"Cerebral cortex","Thyrotropin-Releasing Hormone","10"
"Orbitofrontal cortex","Proto-Oncogene Proteins c-fos","10"
"Interpeduncular nucleus","Phosphotransferases","10"
"Thalamic structure","TM4SF1 protein, human","10"
"CA1 field","Ubiquitin","10"
"Dorsal Nucleus Raphe","Green Fluorescent Proteins","10"
"BRAIN, HIPPOCAMPUS","Motor protein","10"
"Prosencephalon","D-Serine","10"
"Pyramidal Cells","Catalase","10"
"Brain Stem","Substance P Receptor","10"
"Cerebral cortex","Eosinophilic major basic protein","10"
"Structure of olfactory bulb","alpha-Synuclein","10"
"Posterior cerebral commissure","Serotonin","10"
"Thalamic structure","Prolactin","10"
"Cerebellum","SILV protein, human","10"
"CA3 field","Phosphotransferases","10"
"CA2 field","Caspase-3","10"
"Hypothalamic Area, Lateral","Green Fluorescent Proteins","10"
"Cerebral cortex","Paired Basic Amino Acid Cleaving Enzyme","10"
"Cerebral cortex","Basement Membrane-Specific Heparan Sulfate Proteoglycan Core Protein","10"
"Interpeduncular nucleus","Ryanodine Receptor Calcium Release Channel","10"
"Midbrain structure","Calcium-Binding Proteins","10"
"Structure of locus ceruleus","Neurotrophic Factor","10"
"Cerebellum","Receptor, Cannabinoid, CB1","10"
"Thalamic structure","Folic Acid","10"
"Parabrachial Nucleus","INSR protein, human","10"
"Basal Nucleus of Meynert","Genes","10"
"Corpus striatum structure","pleiotrophin","10"
"Substantia nigra structure","Ferritin","10"
"Corpus Callosum","Green Fluorescent Proteins","10"
"Globus Pallidus","Dopamine and cAMP-Regulated Phosphoprotein 32","10"
"Cerebellar cortex structure","Horseradish Peroxidase","10"
"Corpus striatum structure","Serine","10"
"BRAIN, HIPPOCAMPUS","Somatropin","10"
"Cortex, Primary Motor","Glial Fibrillary Acidic Protein","10"
"BRAIN, HIPPOCAMPUS","Somatostatin Receptor","10"
"Pyramidal Cells","Taurine","10"
"Amygdaloid structure","Transporter, Serotonin","10"
"Parietal Lobe","Serotonin","10"
"Cerebral cortex","Interleukin-18","10"
"Central insular sulcus","DNA","10"
"Globus Pallidus","HCRT Gene","10"
"Cerebellum","Complement System Proteins","10"
"Nucleus Accumbens","Delta-Like Protein 1, human","10"
"Amygdaloid structure","Neurokinin B","10"
"Lateral posterior nucleus of thalamus","HP protein, human","10"
"Structure of suprachiasmatic nucleus","Luciferases","10"
"BRAIN, HIPPOCAMPUS","Insulinase","10"
"BRAIN, HIPPOCAMPUS","Dystroglycans","10"
"Structure of locus ceruleus","Paired Mesoderm Homeobox Protein 2B","10"
"Olfactory tubercle","Alkaline Phosphatase","10"
"Prosencephalon","Vascular Endothelial Growth Factor A","10"
"mossy fiber","Calretinin","10"
"BRAIN, HIPPOCAMPUS","Mitochondrial Proteins","10"
"CA1 field","Myelin","10"
"Neocortex","Neurofilament Proteins","10"
"Brain Stem","Granulocyte-Macrophage Colony-Stimulating Factor","10"
"Cerebral cortex","Mannose-Binding Protein C","10"
"Anterodorsal nucleus of thalamus","MSC protein, human","10"
"Hypothalamic structure","Dopa","10"
"Prosencephalon","Leptin","10"
"Hypothalamic Area, Lateral","Glutamate Decarboxylase","10"
"Pituitary Gland","Peroxidases","10"
"Pituitary Gland","Peroxidase stain","10"
"Cerebral Ventricles","Proteins","10"
"Gigantocellular nucleus","Y, Neuropeptide","10"
"Nucleus solitarius","GATA-Type Zinc Finger Protein 1","10"
"Medulla Oblongata","Enkephalin, Methionine","10"
"BRAIN, HIPPOCAMPUS","Mixed Function Oxygenases","10"
"Structure of central sulcus","Calcium","10"
"Prefrontal Cortex","Tretinoin","10"
"Corpus striatum structure","Neurturin","10"
"Telencephalon","Choline O-Acetyltransferase","10"
"Interpeduncular nucleus","Protein Subunits","10"
"Corpus striatum structure","Cholinergic Receptors","10"
"Parabrachial Nucleus","Substance P","10"
"Bundle, Predorsal","Prions","10"
"Cerebral cortex","DICER1 protein, human","10"
"Linear nucleus","Diazepam Binding Inhibitor","10"
"Pyramidal Cells","Nitric Oxide Synthase Type I","10"
"Structure of nucleus infundibularis hypothalami","Opioid Receptor","10"
"CA1 field","Caffeine","10"
"mossy fiber","INSR protein, human","10"
"Genus Hippocampus","PTPN22 protein, human","10"
"Cerebral cortex","G(M2) Ganglioside","10"
"Cerebral hemisphere structure (body structure)","Tyrosine 3-Monooxygenase","10"
"Prefrontal Cortex","Green Fluorescent Proteins","10"
"Midbrain structure","Ghrelin","10"
"Prefrontal Cortex","GABA Receptor","10"
"Hypothalamic structure","Calcitonin Gene-Related Peptide","10"
"CA1 field","Gonadorelin","10"
"Midbrain structure","Wheat Germ Agglutinins","10"
"Cerebral cortex","Arachidonate 15-Lipoxygenase","10"
"Genus Hippocampus","oncoprotein p21","10"
"Sensorimotor Cortex","Horseradish Peroxidase","10"
"Nucleus Accumbens","Parvalbumins","10"
"Neostriatum","Calmodulin Dependent Protein Kinase II","10"
"Cerebral hemisphere structure (body structure)","Oxidoreductase","10"
"central amygdalar nucleus","Adrenergic Receptor","10"
"Cerebellum","Receptor 5, Metabotropic Glutamate","10"
"Pituitary Gland","orexins","10"
"Genus Hippocampus","Complex, Multicatalytic Endopeptidase","10"
"BRAIN, HIPPOCAMPUS","Caspase 8","10"
"Purkinje Cells","Fibroblast Growth Factor 2","10"
"Neostriatum","Receptor, Cannabinoid, CB1","10"
"Basal Forebrain","Green Fluorescent Proteins","10"
"Anterodorsal nucleus of thalamus","Nicotinic Receptors","10"
"Lateral olfactory striae","myelination","10"
"BRAIN, HIPPOCAMPUS","Glycosaminoglycans","10"
"Genus Hippocampus","alanylglutamine","10"
"Uncinate fasciculus of pons","Genes","10"
"BRAIN, HIPPOCAMPUS","Low Density Lipoprotein Receptor","10"
"Structure of preoptic periventricular nucleus","INSR protein, human","10"
"Neocortex","myelination","10"
"Median eminence of hypothalamus","Immunoglobulins","10"
"Lobe, Frontal","Cytokine","10"
"Pituitary Gland","Leptin","10"
"Lateral habenular nucleus","S100 calcium binding protein A10","10"
"Substantia nigra structure","Serine","10"
"Cerebellum","Eosinophilic major basic protein","10"
"Temporal Lobe","Ubiquitin","10"
"Structure of suprachiasmatic nucleus","Horseradish Peroxidase","10"
"Medulla Oblongata","Tryptophan 5-monooxygenase","10"
"BRAIN, HIPPOCAMPUS","Receptors, Opioid, kappa","10"
"Pyramidal Cells","Thyrotropin-Releasing Hormone","10"
"Neostriatum","Receptor, Cannabinoid","10"
"Medial Septal Nucleus","Genes","10"
"Structure of nucleus gracilis","Arginine","10"
"Neocortex","INSR protein, human","10"
"Cerebral cortex","Cadherins","10"
"Hypothalamic structure","DNA, Complementary","10"
"Structure of endopeduncular nucleus","Y, Neuropeptide","10"
"Purkinje Cells","Retinaldehyde","10"
"Nucleus solitarius","Microtubule-Associated Proteins","10"
"BRAIN, HIPPOCAMPUS","Ribosomal Protein S6 Kinase","10"
"Motor Cortex","Cathepsin L","10"
"Tuberomammillary Nucleus","Deaminase, Adenosine","10"
"Nucleus solitarius","Receptors, Opioid, mu","10"
"Hindbrain","Receptor, Leptin","10"
"Corpus Callosum","Immunoglobulins","10"
"Amygdaloid structure","Glucose","10"
"Basal Forebrain","Y, Neuropeptide","10"
"Cerebral cortex","Tubulin-Specific Chaperone Cofactor E-Like Protein","10"
"Cerebral hemisphere structure (body structure)","Galanin","10"
"Pyramidal Cells","Choline O-Acetyltransferase","10"
"Entire medulla oblongata","Oxytocin","10"
"Internal capsule of brain","Immunoglobulin G","10"
"Structure of thalamic fasciculus","Receptors, Histamine H1","10"
"Cerebral cortex","HOXA10 protein, human","10"
"Cerebellum","1-Phosphatidylinositol 3-Kinase","10"
"Structure of area postrema","Receptor","10"
"mossy fiber","Horseradish Peroxidase","10"
"Cerebellum","Tubulin","10"
"Basal Ganglia","Receptor, Cannabinoid, CB1","10"
"Lateral habenular nucleus","Tyrosine 3-Monooxygenase","10"
"Structure of olfactory bulb","Glial Fibrillary Acidic Protein","10"
"Anterodorsal nucleus of thalamus","Phosphotransferases","10"
"Pyramidal Cells","Growth Associated Protein 43","10"
"Lateral geniculate complex","Serotonin","10"
"Pontine structure","Substance P","10"
"Genus Hippocampus","Peptamen","10"
"Dorsal Nucleus Raphe","Nicotinic Receptors","10"
"CA2 field","Calcium-Binding Proteins","10"
"Marginal Sulcus","Genes","10"
"Visual Cortex","Enzymes","10"
"Nucleus solitarius","Prolactin-Releasing Hormone","10"
"Corpus Callosum","Eosinophilic major basic protein","10"
"CA1 field","moira protein, Drosophila","10"
"Amygdaloid structure","Glutamate Receptor","10"
"Olfactory Nerve","Horseradish Peroxidase","10"
"Structure of paraventricular nucleus of thalamus","Glutamate Decarboxylase","10"
"Structure of nucleus infundibularis hypothalami","Factor, Transcription","10"
"Occipital lobe","Proteins","10"
"Cortex, Primary Motor","Antibodies","10"
"Pulvinar structure","Calbindins","10"
"Basal Nucleus of Meynert","APP protein, human","10"
"CA1 field","Sirolimus","10"
"Entire medulla oblongata","Calcium","10"
"Substantia nigra structure","Nerve Growth Factor","10"
"Olfactory tubercle","Choline O-Acetyltransferase","10"
"Amygdaloid structure","Immunoglobulins","10"
"Genus Hippocampus","Receptor, trkB","10"
"Ventral Striatum","Receptor","10"
"Motor Cortex","Myelin","10"
"Neostriatum","Neurturin","10"
"Prefrontal Cortex","NOS1 protein, human","10"
"Cerebellum","Chromatin","10"
"Anterodorsal nucleus of thalamus","Tumor Necrosis Factors","10"
"Cerebral cortex","Glycoproteins","10"
"Pituitary Gland","Dopa","10"
"Prefrontal Cortex","Calcium-Binding Proteins","10"
"Pyramidal Cells","Autoreceptors","10"
"Cerebellar Nuclei","Wheat Germ Agglutinins","10"
"Purkinje Cells","Serine","10"
"Prosencephalon","Receptors, Opioid, delta","10"
"Corpus striatum structure","Wheat Germ Agglutinins","10"
"Medulla Oblongata","Endorphins","10"
"Hypothalamic Area, Lateral","Corticotropin","10"
"Structure of rubrospinal tract","Brain-Derived Neurotrophic Factor","10"
"Hypothalamic structure","Biotin","10"
"Purkinje Cells","GABA-B Receptor","10"
"CA3 field","Cloning Vectors","10"
"Hypothalamic Area, Lateral","INSR protein, human","10"
"Prosencephalon","Protein Kinase C","10"
"Genus Hippocampus","NOTCH1 protein, human","10"
"Structure of angular gyrus","NADPH Oxidase","10"
"Linear nucleus","Horseradish Peroxidase","10"
"Thalamic structure","Delta-Like Protein 1, human","10"
"Neostriatum","Cyclooxygenase 2","10"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Glial Fibrillary Acidic Protein","10"
"Prefrontal Cortex","D-Serine","10"
"Basal Forebrain","Acetyltransferase","10"
"Pontine structure","INSR protein, human","10"
"BRAIN, HIPPOCAMPUS","Fibroblast Growth Factor Receptor 1","10"
"BRAIN, HIPPOCAMPUS","Tryptophan","10"
"Globus Pallidus","SH2D3C Gene","10"
"BRAIN, HIPPOCAMPUS","Neurotrophic Tyrosine Kinase Receptor Type 1","10"
"BRAIN, HIPPOCAMPUS","fibroblast growth factor 21","10"
"Amygdaloid structure","Nitric Oxide Synthase","10"
"Purkinje Cells","Cytokine","10"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Enzymes","10"
"Visual Cortex","Calretinin","10"
"Parietal operculum cortex (PO)","Growth Hormone","10"
"Basal Ganglia","Enzymes","10"
"Structure of locus ceruleus","Mitogen-Activated Protein Kinase 3","10"
"Anterodorsal nucleus of thalamus","Tumor Necrosis Factor-alpha","10"
"Dorsal Nucleus Raphe","Neuropeptides","10"
"Cerebral cortex","Albumins","10"
"Preoptic Areas","Neurokinin B","10"
"Genus Hippocampus","Survivin","10"
"Entire medulla oblongata","Choline O-Acetyltransferase","10"
"BRAIN, HIPPOCAMPUS","synthetic peptide","10"
"Brain Stem","Opioid Receptor","10"
"CA1 field","Apolipoprotein E","10"
"Nucleus solitarius","Angiotensins","10"
"Accessory cuneate nucleus","Horseradish Peroxidase","10"
"Motor Cortex","Protein Subunits","10"
"Midbrain structure","Nitric Oxide Synthase","10"
"Cerebral cortex","Serotonin 5-HT-3 Receptor","10"
"Cerebellum","Mannose-Binding Protein C","10"
"Cerebral cortex","Antibodies, Blocking","10"
"Prefrontal Cortex","orexins","10"
"Ventral Striatum","moesin","10"
"Pyramidal Cells","Mineralocorticoid Receptor","10"
"Nucleus, Medial Oculomotor","Muscarinic Acetylcholine Receptor","10"
"Temporal Lobe","Glial Fibrillary Acidic Protein","10"
"Prosencephalon","Acetylcholinesterase","10"
"Claustral structure","Genes","10"
"central amygdalar nucleus","Enkephalins","10"
"Structure of nucleus prepositus","Amyloid beta-Protein Precursor","10"
"Nucleus Accumbens","Green Fluorescent Proteins","10"
"Corpus striatum structure","Adenylyl Cyclase 9","10"
"Fornix, Brain","Myelin","10"
"Pyramidal Cells","Calcium Ion","10"
"Visual Cortex","Glial Fibrillary Acidic Protein","10"
"Structure of nucleus cuneatus","Horseradish Peroxidase","10"
"Brain Stem","Corticotropin","10"
"Paracentral Thalamic Nucleus","Serotonin","10"
"Brain Stem","GABA Receptor","10"
"Genus Hippocampus","Fibroblast Growth Factor 1","10"
"Cerebellum","Epidermal Growth Factor","10"
"BRAIN, HIPPOCAMPUS","Ras Protein Specific Guanine Nucleotide Releasing Factor 1","10"
"Genus Hippocampus","Peplomycin","10"
"BRAIN, HIPPOCAMPUS","Acid Sensing Ion Channels","10"
"Medulla Oblongata","Monoclonal Antibodies","10"
"Prosencephalon","Catenins","10"
"Medulla Oblongata","Glutamate Decarboxylase","10"
"Cochlear nucleus structure","Glial Fibrillary Acidic Protein","10"
"Hypothalamic Area, Lateral","Vasopressin (USP)","10"
"Superior colliculus of corpora quadrigemina","Enzymes","10"
"BRAIN, HIPPOCAMPUS","Oxytocin Receptor","10"
"Basal Nucleus of Meynert","Mitogen-Activated Protein Kinases","10"
"Pituitary Gland, Posterior","Y, Neuropeptide","10"
"BRAIN, HIPPOCAMPUS","CCND2 protein, human","10"
"Lobe, Frontal","Monoclonal Antibodies","10"
"lateral geniculate nucleus","Parvalbumins","10"
"Prosencephalon","Tretinoin","10"
"Structure of paraventricular nucleus","Angiotensin-2","10"
"Basal Ganglia","Glutamate Decarboxylase","10"
"Genus Hippocampus","Receptors, Purinergic P1","10"
"Cerebral cortex","ras Proto-Oncogene Protein p21","10"
"Structure of medial preoptic nucleus","Interleukin-6","10"
"Anterodorsal nucleus of thalamus","Protein Precursors","10"
"central amygdalar nucleus","Cholecystokinin","10"
"Superior colliculus of corpora quadrigemina","Nitric Oxide Synthase","10"
"Structure of lateral mammillary nucleus","Somatostatin","10"
"Structure of nucleus cuneatus","Y, Neuropeptide","10"
"Posterolateral auditory cortex","Brain-Derived Neurotrophic Factor","10"
"Pituitary Gland, Anterior","Luteinizing Hormone","10"
"Pars Compacta","Glial Fibrillary Acidic Protein","10"
"Tuberomammillary Nucleus","Enzymes","10"
"Genus Hippocampus","NT-3 Growth Factor Receptor, Human","10"
"Cerebellum","Mannose Binding Lectin","10"
"Prosencephalon","Immune Sera","10"
"Entire medulla oblongata","Enkephalins","10"
"Inferior Colliculus","Immunoglobulin G","10"
"Hindbrain","Cholecystokinin","10"
"Structure of nucleus prepositus","Immunoglobulins","10"
"Pituitary Gland","Peroxidase","10"
"Structure of thalamic reticular nucleus","Horseradish Peroxidase","10"
"Structure of olfactory bulb","APP protein, human","10"
"Structure of subthalamic nucleus","GPER protein, human","10"
"BRAIN, HIPPOCAMPUS","Antibodies, Blocking","10"
"Genus Hippocampus","Tyrosine","10"
"Substantia nigra structure","Receptor, Leptin","10"
"BRAIN, HIPPOCAMPUS","Prostaglandin-Endoperoxide Synthase","10"
"Thalamic structure","Wheat Germ Agglutinin-Horseradish Peroxidase Conjugate","10"
"Structure of lateral olfactory gyrus","INSR protein, human","10"
"Pars nervosa of hypophysis","Argipressin","10"
"Cerebral cortex","Alanine","10"
"Purkinje Cells","Calmodulin Dependent Protein Kinase II","10"
"BRAIN, HIPPOCAMPUS","coenzyme Q10","10"
"Inferior Colliculus","Proto-Oncogene Proteins c-fos","10"
"CA3 field","GABA-B Receptor","10"
"Structure of angular gyrus","Cytokine","10"
"Metencephalon","TLR4 protein, human","10"
"Cerebral hemisphere structure (body structure)","AMP-Activated Protein Kinases","10"
"Brain Stem","Endorphins","10"
"Linear nucleus","Proto-Oncogene Proteins c-fos","10"
"CA1 field","Protein Kinases","10"
"Structure of olfactory bulb","Green Fluorescent Proteins","10"
"Inferior Colliculus","Nitric Oxide Synthase","10"
"Nucleus of Diagonal Band","Parvalbumins","10"
"Structure of piriform area","INSR protein, human","10"
"BRAIN, HIPPOCAMPUS","Apolipoprotein D","10"
"Midbrain structure","Appetite-Regulating Hormone","10"
"Structure of tegmental portion of pons","Chloramphenicol O-Acetyltransferase","10"
"Medulla Oblongata","LTF protein, human","10"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Calretinin","10"
"BRAIN, HIPPOCAMPUS","Lovastatin","10"
"Pars Compacta","Green Fluorescent Proteins","10"
"Lobe, Frontal","Synaptophysin","10"
"Structure of terminal stria nuclei of preoptic region","Receptor","10"
"Pyramidal Cells","Membrane Transport Proteins","10"
"Structure of nucleus infundibularis hypothalami","Enzymes","10"
"Cerebral cortex","Phosphoric Monoester Hydrolases","10"
"Cerebral hemisphere structure (body structure)","Transforming Growth Factors","10"
"Brain Stem","Growth Associated Protein 43","10"
"Medulla Oblongata","Poly ADP Ribose Polymerase","10"
"BRAIN, HIPPOCAMPUS","TIAM1 Protein","10"
"Telencephalon","Myelin basic protein","10"
"Thalamic structure","Glycosylation End Products, Advanced","10"
"Pineal gland","Insulin","10"
"Purkinje Cells","Vascular Endothelial Growth Factor A","10"
"BRAIN, HIPPOCAMPUS","Human Chorionic Gonadotropin","10"
"Thalamic structure","Gonadorelin","10"
"Hindbrain","Proto-Oncogene Proteins c-fos","10"
"Substantia nigra structure","oncoprotein p21","10"
"Paratenial Nucleus","INSR protein, human","10"
"Structure of suprachiasmatic nucleus","Cryptochromes","10"
"Medulla Oblongata","5-Hydroxytryptamine Receptor 1A, human","10"
"Corpus Callosum","Mannose-Binding Protein C","10"
"Hypothalamic Area, Lateral","Vasoactive Intestinal Peptide","10"
"Prosencephalon","GABA Receptor","10"
"Cortex, Primary Motor","Dopamine D2 Receptor","10"
"Nucleus solitarius","NADPH Dehydrogenase","10"
"Entire medulla oblongata","Membrane Transport Proteins","10"
"Midbrain structure","Glial Fibrillary Acidic Protein","10"
"BRAIN, HIPPOCAMPUS","Calnexin, human","10"
"Structure of capsule of red nucleus","Somatostatin","10"
"Structure of rubrospinal tract","GTP-Binding Proteins","10"
"Brain Stem","Enkephalin, Methionine","10"
"Nucleus solitarius","Antibodies","10"
"BRAIN, HIPPOCAMPUS","ribonucleotide reductase M2","10"
"BRAIN, HIPPOCAMPUS","RPL29 protein, human","10"
"BRAIN, HIPPOCAMPUS","Chondroitin Sulfates","10"
"Substantia nigra structure","ras Proto-Oncogene Protein p21","10"
"Ventral Tegmental Area","Dopamine Antagonists","10"
"BRAIN, HIPPOCAMPUS","Cancer/Testis Antigen","10"
"Corpus Callosum","Mannose Binding Lectin","10"
"CA1 field","Neurotrophic Factor","10"
"Basal Forebrain","Calcium-Binding Proteins","10"
"Structure of central sulcus","Receptor","10"
"CA1 field","Oxytocin","10"
"Facial Nucleus","DNA Polymerase Epsilon Catalytic Subunit A","10"
"Pyramidal Cells","gephyrin","10"
"Lateral Parabrachial Nucleus","Receptor","10"
"Corpus striatum structure","Calcineurin","10"
"Inferior Colliculus","Antibodies","10"
"Cerebral hemisphere structure (body structure)","Retinaldehyde","10"
"Preoptic Areas","Leptin","10"
"Cortex, Primary Motor","Green Fluorescent Proteins","10"
"Cerebellar cortex structure","Glial Fibrillary Acidic Protein","10"
"Nucleus Accumbens","Corticotropin-Releasing Hormone","10"
"Substantia nigra structure","Ionized calcium","10"
"Genus Hippocampus","Citric Acid Cycle","10"
"Longitudinal pontine fibers","HP protein, human","10"
"Pituitary Gland, Posterior","Poly ADP Ribose Polymerase","10"
"Globus Pallidus","Glucose","10"
"Corpus striatum structure","Receptor, Cannabinoid, CB1","10"
"Structure of medial preoptic nucleus","Substance P","10"
"Structure of diencephalon","Proteins","10"
"Structure of suprachiasmatic nucleus","HCRT Gene","10"
"Midbrain structure","Acetylcholinesterase","10"
"Cerebral cortex","pleiotrophin","10"
"CA1 field","Mitogen Activated Protein Kinase p38","10"
"Structure of medial preoptic nucleus","Horseradish Peroxidase","10"
"Thalamic structure","Phosphotransferases","10"
"Structure of entorhinal cortex","Amyloid Proteins","10"
"Genus Hippocampus","Interleukin-1 beta","9"
"Tegmentum Mesencephali","Y, Neuropeptide","9"
"Midbrain structure","Receptor, Cannabinoid, CB1","9"
"Pyramidal Cells","P53 Protein","9"
"Laterodorsal tegmental nucleus","NADP","9"
"Cerebral cortex","prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase), human","9"
"Neocortex","Glutamate Decarboxylase","9"
"Structure of lateral olfactory gyrus","Proteins","9"
"Dorsal Nucleus Raphe","Oxytocin","9"
"CA1 field","Serine","9"
"Midbrain structure","Myelin","9"
