"brainregion","disease","gene","count"
"Pituitary Gland","Pituitary Diseases","LHX3 Gene","2"
"BRAIN, HIPPOCAMPUS","Down Syndrome","CD68 Gene","2"
"Cerebral cortex","Syndrome, Bloch-Sulzberger","c-fos Genes","2"
"Cerebral cortex","Niemann-Pick Disease, Type C","STS wt Allele","2"
"Solitary tract","Pituitary Diseases","POMC Gene","2"
"Cerebral hemisphere structure (body structure)","Hypertensive disease","HSPA5 Gene","2"
"Structure of locus ceruleus","Stiff-Person Syndrome","TBX4 wt Allele","2"
"Basal Nucleus of Meynert","Alzheimer's Disease","NGFR Gene","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","AICDA wt Allele","2"
"Structure of angular gyrus","Hypertensive disease","FOXD3 wt Allele","2"
"Corticotroph","Pituitary Diseases","RRM1 Gene","2"
"Cerebral cortex","cortex bone disorders","TERC wt Allele","2"
"Structure of locus ceruleus","Parkinson Disease","SCG2 Gene","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","KDM1A Gene","2"
"Thalamic structure","Hypertensive disease","TH gene","2"
"Prosencephalon","Rubinstein-Taybi Syndrome","EIF4E wt Allele","2"
"BRAIN, HIPPOCAMPUS","Syndrome, Bloch-Sulzberger","PITX2 wt Allele","2"
"Cerebellum","Androgen-Insensitivity Syndrome","TP63 wt Allele","2"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","CYP19A1 Gene","2"
"Cerebellum","cortex bone disorders","NR4A3 Gene","2"
"Posterior cerebral commissure","Inclusion body myositis (disorder)","PROC wt Allele","2"
"Nucleus of Diagonal Band","Williams Syndrome","MTR Gene","2"
"Medial Septal Nucleus","Van der Woude syndrome","IRF6 wt Allele","2"
"Cerebellum","Cerebellar Diseases","Genes","2"
"BRAIN, HIPPOCAMPUS","Disease Progression","FOXP1 Gene","2"
"Pyramidal Cells","Depressive disorder","PDZK1 wt Allele","2"
"Temporal Lobe","Alzheimer's Disease","APP wt Allele","2"
"Pituitary Gland","Pituitary Diseases","F2 wt Allele","2"
"Cerebral cortex","Fragile X Syndrome","BDNF Gene","2"
"Marginal Sulcus","Parkinsonian Disorders","MTR Gene","2"
"Neostriatum","Autism Spectrum Disorders","HTT gene","2"
"Thalamic structure","Functional disorder","FYN wt Allele","2"
"Nucleus fastigii","Fetal Alcohol Syndrome","TRADD Gene","2"
"Medial Septal Nucleus","Meningeal disorder","MTR wt Allele","2"
"Structure of endopeduncular nucleus","Rett Syndrome","RECQL4 wt Allele","2"
"Anterodorsal nucleus of thalamus","Psychotic Disorders","MAPT wt Allele","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","NBL1 wt Allele","2"
"BRAIN, HIPPOCAMPUS","Cognition Disorders","TNF Gene","2"
"Structure of locus ceruleus","Movement Disorders","SCG2 Gene","2"
"Commissural nucleus of vagus nerve","Pituitary Diseases","POMC Gene","2"
"Caudate nucleus structure","Peripheral Arterial Diseases","HLA-DQA1 wt Allele","2"
"Substantia nigra structure","cortex bone disorders","Wild Type","2"
"Genus Hippocampus","Functional disorder","DHX16 Gene","2"
"BRAIN, HIPPOCAMPUS","Syndrome","MAP3K14 wt Allele","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","SUB1 Gene","2"
"Genus Hippocampus","cortex bone disorders","CD68 Gene","2"
"Corpus striatum structure","Lewy Body Disease","SLC6A3 Gene","2"
"Prefrontal Cortex","Bipolar Disorder","SP1 Gene","2"
"Ventral Tegmental Area","Sensitization (disorder)","CRHR1 wt Allele","2"
"Cerebral cortex","Spinal Cord Diseases","TARDBP wt Allele","2"
"Central cord canal structure","Disease Progression","TG wt Allele","2"
"Triangular Septal Nucleus","Gilles de la Tourette syndrome","MAPT wt Allele","2"
"Substantia nigra structure","Neurodegenerative Disorders","Retinoic Acid Response Element","2"
"Amygdaloid structure","cortex bone disorders","CAT Gene","2"
"Pyramidal Cells","Major Depressive Disorder","RPL5 wt Allele","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","TLR4 wt Allele","2"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","ORAI1 Gene","2"
"Structure of locus ceruleus","Spinal Cord Diseases","Wild Type","2"
"Gyrus Cinguli","Fragile X Tremor Ataxia Syndrome","FMR1 gene","2"
"Pyramidal Cells","cortex bone disorders","PITX2 wt Allele","2"
"Brain Stem","Neurodegenerative Disorders","ELANE Gene","2"
"Genus Hippocampus","cortex bone disorders","HP wt Allele","2"
"Genus Hippocampus","Depressive disorder","SLC6A4 gene","2"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","FST wt Allele","2"
"Bundle, Predorsal","Hamartoma Syndrome, Multiple","NOD2 wt Allele","2"
"Substantia nigra structure","Herpes zoster disease","MPZ gene","2"
"Genus Hippocampus","Hashimoto Disease","PNP wt Allele","2"
"Structure of rubrospinal tract","Leigh Disease","FST wt Allele","2"
"Pyramidal Cells","cortex bone disorders","FLT3LG Gene","2"
"Genus Hippocampus","cortex bone disorders","HRAS gene","2"
"Caudate nucleus structure","Hamartoma Syndrome, Multiple","THY1 wt Allele","2"
"Cerebral cortex","cortex bone disorders","HOXA10 wt Allele","2"
"Inferior parietal lobule","cortex bone disorders","F3 wt Allele","2"
"Medial Septal Nucleus","Bloom Syndrome","MTR wt Allele","2"
"Structure of paraventricular nucleus","Hashimoto Disease","PROC wt Allele","2"
"Genus Hippocampus","cortex bone disorders","MAPK14 wt Allele","2"
"Gyrus Cinguli","cortex bone disorders","F3 Gene","2"
"Structure of rubrospinal tract","Autistic Disorder","PITX2 wt Allele","2"
"Superior colliculus of corpora quadrigemina","cortex bone disorders","NDOR1 wt Allele","2"
"Thalamic structure","Herpes zoster disease","SHH Gene","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","PTGS2 Gene","2"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","NGF Gene","2"
"Parietal Lobe","Sensitization (disorder)","HOXA10 wt Allele","2"
"central amygdalar nucleus","Alcohol withdrawal syndrome","TNFRSF1A gene","2"
"Periamygdaloid Area","Hashimoto Disease","PROC Gene","2"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","ITPR1 wt Allele","2"
"Cerebral cortex","Syndrome","APP wt Allele","2"
"Globus Pallidus","Tic disorder","CDC42 wt Allele","2"
"Cerebral hemisphere structure (body structure)","Hypertensive disease","HSPA5 wt Allele","2"
"Brain Stem","Sudden infant death syndrome","TH gene","2"
"Lateral Septal Nucleus","Bloom Syndrome","FST wt Allele","2"
"BRAIN, HIPPOCAMPUS","Sweet Syndrome","NRXN1 Gene","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","UBE4B wt Allele","2"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","PSEN1 gene","2"
"Marginal Sulcus","Disorder nervous system","MTR wt Allele","2"
"BRAIN, HIPPOCAMPUS","Pituitary Diseases","GH1 Gene","2"
"Medulla Oblongata","Spinal Cord Diseases","ACPP Gene","2"
"Structure of olfactory bulb","Renal glomerular disease","FASTK Gene","2"
"Neostriatum","cortex bone disorders","NRP1 Gene","2"
"Central cord canal structure","Disease Progression","TG Gene","2"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","GFAP gene","2"
"BRAIN, HIPPOCAMPUS","Hashimoto Disease","BDNF Gene","2"
"Genus Hippocampus","cortex bone disorders","S100A9 wt Allele","2"
"Genus Hippocampus","Neurotoxicity Syndromes","TNF Gene","2"
"Thalamic structure","Melkersson-Rosenthal Syndrome","ACACA wt Allele","2"
"Temporal Lobe","Alzheimer's Disease","APP gene","2"
"Gyrus Cinguli","cortex bone disorders","TPO Gene","2"
"Pars Compacta","Functional disorder","TH gene","2"
"Cerebral cortex","Neurotoxicity Syndromes","Long Interspersed Element","2"
"Medulla Oblongata","Spinal Cord Diseases","PAPOLA wt Allele","2"
"Midbrain structure","Huntington Disease","HTT gene","2"
"Orbitofrontal cortex","Temporomandibular Joint Disorders","TTN wt Allele","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","FBN1 wt Allele","2"
"Marginal Sulcus","Disorder nervous system","MTR Gene","2"
"Structure of locus ceruleus","Parkinson Disease","SLC6A3 Gene","2"
"Genus Hippocampus","cortex bone disorders","H2AFX wt Allele","2"
"Neostriatum","Huntington Disease","PNP wt Allele","2"
"Cerebellum","Syndrome, Bloch-Sulzberger","RRM1 Gene","2"
"BRAIN, HIPPOCAMPUS","Cognition Disorders","Tumor Necrosis Factor-alpha","2"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","TLR4 Gene","2"
"Entire internal capsule of brain","cortex bone disorders","Genes","2"
"Genus Hippocampus","Retinal Diseases","IAPP Gene","2"
"BRAIN, HIPPOCAMPUS","Cardio-facio-cutaneous syndrome","PTPN11 wt Allele","2"
"Brain Stem","Stiff-Person Syndrome","TBX4 wt Allele","2"
"Amygdaloid structure","Alzheimer's Disease","CHAT Gene","2"
"Rostral interstitial nucleus of medial longitudinal fasciculus","Nail-Patella Syndrome","RNH1 Gene","2"
"CA1 field","cortex bone disorders","DLG4 Gene","2"
"BRAIN, HIPPOCAMPUS","Hashimoto Disease","PNP Gene","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","LAMP1 Gene","2"
"Trigeminal nerve motor nucleus","Spinal Cord Diseases","STS wt Allele","2"
"Entire medulla oblongata","Spinal Cord Diseases","TRH Gene","2"
"Preoptic Areas","Disorder of pineal gland","SH3PXD2A wt Allele","2"
"Structure of nucleus infundibularis hypothalami","Pituitary Diseases","GHRH Gene","2"
"BRAIN, HIPPOCAMPUS","Van der Woude syndrome","MAPK8 wt Allele","2"
"Genus Hippocampus","Idiopathic Hypereosinophilic Syndrome","GFAP gene","2"
"Cerebral cortex","cortex bone disorders","MECP2 wt Allele","2"
"BRAIN, HIPPOCAMPUS","Spinal Cord Diseases","SOD1 gene","2"
"Anterodorsal nucleus of thalamus","Prion Diseases","PRNP wt Allele","2"
"Gyrus Cinguli","Ataxia as late effect of cerebrovascular disease","Trinucleotide Repeat Expansion","2"
"Superior colliculus of corpora quadrigemina","Retinal Diseases","MID1 wt Allele","2"
"Hypothalamic structure","Timothy syndrome","TYMS Gene","2"
"Metencephalon","Obsessive-Compulsive Disorder","MET wt Allele","2"
"Structure of nucleus prepositus","neuropathology disease","PRNP wt Allele","2"
"BRAIN, HIPPOCAMPUS","Hashimoto Disease","FKBP5 Gene","2"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","GFAP gene","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","SLC6A4 wt Allele","2"
"Structure of lateral olfactory gyrus","Macrophage Activation Syndrome","MAS1 wt Allele","2"
"Cerebral cortex","Lewy Body Disease","MAPT wt Allele","2"
"Thalamic structure","Functional disorder","FYN Gene","2"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Promoter","2"
"CA1 field","cortex bone disorders","MAPT wt Allele","2"
"Cerebral cortex","Sweet Syndrome","EPO Gene","2"
"Substantia innominata","Alzheimer's Disease","Genes","2"
"Caudate nucleus structure","Disease Progression","NOD2 wt Allele","2"
"Dorsal tegmental nucleus","Syndrome, Bloch-Sulzberger","IKBKG wt Allele","2"
"Central Dorsal Nucleus","Hamartoma Syndrome, Multiple","CYLD wt Allele","2"
"Pituitary Gland","Skin endocrine disorder","POU3F2 wt Allele","2"
"Central Dorsal Nucleus","Disease Progression","HLA-DQA1 wt Allele","2"
"Thalamic structure","Parkinson Disease","SH2D3C wt Allele","2"
"Neostriatum","cortex bone disorders","ROS1 Gene","2"
"Medulla Oblongata","Spinal Cord Diseases","TIMP1 wt Allele","2"
"Metencephalon","Obsessive-Compulsive Disorder","Alleles","2"
"Nucleus of anterior commissure","Hamartoma Syndrome, Multiple","ASAH1 Gene","2"
"Pituitary Gland","Pituitary Diseases","MAPK3 Gene","2"
"Metencephalon","Brain Diseases","MET Gene","2"
"Genus Hippocampus","cortex bone disorders","PTGS2 Gene","2"
"Reticular Formation","Peripheral Arterial Diseases","PADI4 Gene","2"
"Genus Hippocampus","Disorders, Mental","Genes","2"
"Superior colliculus of corpora quadrigemina","cortex bone disorders","NDOR1 Gene","2"
"Preoptic Areas","Gilles de la Tourette syndrome","TYMS Gene","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","ras Oncogene","2"
"Hypothalamic structure","Pancreatic Diseases","Genes","2"
"Central gray substance of midbrain","Sudden infant death syndrome","IDS wt Allele","2"
"BRAIN, HIPPOCAMPUS","Andersen Syndrome","COL4A5 wt Allele","2"
"Globus Pallidus","Parkinson Disease","CDC42 wt Allele","2"
"Cerebral cortex","cortex bone disorders","CDK5R1 Gene","2"
"Structure of central sulcus","Spinal Cord Diseases","FAM49B wt Allele","2"
"Marginal Sulcus","Williams Syndrome","MAP3K14 wt Allele","2"
"Genus Hippocampus","cortex bone disorders","ST13 Gene","2"
"Basal Forebrain","Rett Syndrome","CREBBP wt Allele","2"
"Medial Septal Nucleus","Huntington Disease","HTT wt Allele","2"
"BRAIN, HIPPOCAMPUS","Depressive disorder","HPSE Gene","2"
"Nucleus solitarius","Sweet Syndrome","SST Gene","2"
"Structure of suprageniculate nucleus","Functional disorder","MAPT wt Allele","2"
"Structure of rubrospinal tract","Norrie disease","HP Gene","2"
"BRAIN, HIPPOCAMPUS","Niemann-Pick Disease, Type C","TNFRSF1B wt Allele","2"
"BRAIN, HIPPOCAMPUS","Niemann-Pick Disease, Type C","CUX1 wt Allele","2"
"BRAIN, HIPPOCAMPUS","Functional disorder","TNF Gene","2"
"Genus Hippocampus","cortex bone disorders","SUB1 wt Allele","2"
"BRAIN, HIPPOCAMPUS","Neurodegenerative Disorders","AIMP2 Gene","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","COL4A5 wt Allele","2"
"Cerebral cortex","cortex bone disorders","CDK5R1 wt Allele","2"
"Pars Compacta","Movement Disorders","SCG2 Gene","2"
"Pituitary Gland","Functional disorder","GNRH1 wt Allele","2"
"Cerebral cortex","Mild cognitive disorder","CD69 wt Allele","2"
"Hypothalamic Area, Lateral","Liver diseases","CD36 Gene","2"
"Amygdaloid structure","Autism Spectrum Disorders","Genes","2"
"Neostriatum","Neurodegenerative Disorders","Genes","2"
"BRAIN, HIPPOCAMPUS","Major Depressive Disorder","MAP Kinase Gene","2"
"Hypothalamic structure","Sudden infant death syndrome","HCRT Gene","2"
"Purkinje Cells","Dysequilibrium syndrome","DES Gene","2"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Leigh Disease","CAT Gene","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","NRP1 wt Allele","2"
"Cerebellum","Retinal Diseases","AKT1S1 wt Allele","2"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Leigh Disease","Chloramphenicol Acetyl Transferase Gene","2"
"External capsule","Pituitary Diseases","GH1 Gene","2"
"Periamygdaloid Area","Hashimoto Disease","KRT17 wt Allele","2"
"Structure of nucleus prepositus","Creutzfeldt-Jakob disease","Genes","2"
"Paracentral Thalamic Nucleus","Machado-Joseph Disease","PROC Gene","2"
"Cerebral Peduncle","Disorder nervous system","CP Gene","2"
"Nucleus of Diagonal Band","Werner Syndrome","MTR wt Allele","2"
"Internal capsule of brain","cortex bone disorders","Genes","2"
"Marginal Sulcus","Parkinsonian Disorders","MTR wt Allele","2"
"Pontine nuclei","Pervasive Development Disorder","POSTN wt Allele","2"
"Structure of longitudinal cerebral fissure","Functional disorder","LTF wt Allele","2"
"Medial Septal Nucleus","Williams Syndrome","LEPR wt Allele","2"
"CA1 field","Li-Fraumeni Syndrome","IKBKG wt Allele","2"
"Purkinje Cells","Ataxia as late effect of cerebrovascular disease","Homozygote","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","NDOR1 wt Allele","2"
"Lobe, Frontal","cortex bone disorders","SST Gene","2"
"Structure of nucleus infundibularis hypothalami","Pituitary Diseases","GH1 Gene","2"
"Visual Cortex","Leigh Disease","CAT Gene","2"
"Bundle, Predorsal","Alzheimer's Disease","SQSTM1 Gene","2"
"Medial Septal Nucleus","Meningeal disorder","MTR Gene","2"
"Structure of medial preoptic nucleus","Lung diseases","MPO Gene","2"
"BRAIN, HIPPOCAMPUS","Mucocutaneous Lymph Node Syndrome","TLR4 Gene","2"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","TPT1 wt Allele","2"
"Cerebellum","cortex bone disorders","PSEN1 gene","2"
"BRAIN, HIPPOCAMPUS","Functional disorder","EREG wt Allele","2"
"Pituitary Gland, Posterior","Pituitary Diseases","AVP Gene","2"
"Pyramidal Cells","cortex bone disorders","PROC wt Allele","2"
"BRAIN, HIPPOCAMPUS","Functional disorder","PSEN1 gene","2"
"Central Dorsal Nucleus","Disease Progression","CTLA4 wt Allele","2"
"BRAIN, HIPPOCAMPUS","Depressive disorder","GHRL Gene","2"
"Basal Ganglia","Spinal Cord Diseases","CNR1 gene","2"
"Genus Hippocampus","cortex bone disorders","CDKN1A Gene","2"
"Purkinje Cells","Sweet Syndrome","PROC Gene","2"
"Thalamic structure","cortex bone disorders","MSN Gene","2"
"Central Dorsal Nucleus","Peripheral Arterial Diseases","NOD2 wt Allele","2"
"Pituitary Gland","Pituitary Diseases","SET Gene","2"
"Pars Compacta","Parkinson Disease","CARD8 wt Allele","2"
"Structure of anterior commissure","Hamartoma Syndrome, Multiple","ASAH1 Gene","2"
"CA1 field","Feline urological syndrome","FUS Gene","2"
"Structure of locus ceruleus","Prader-Willi Syndrome","NDN Gene","2"
"Medial Septal Nucleus","Premenstrual syndrome","MTR wt Allele","2"
"Substantia nigra structure","Shwachman syndrome","SBDS wt Allele","2"
"BRAIN, HIPPOCAMPUS","Autism Spectrum Disorders","MTOR Gene","2"
"Brain Stem","Lewy Body Disease","MAPT wt Allele","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","IL23A Gene","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","ST13 Gene","2"
"Pituitary Gland","Pituitary Diseases","ACVR1C Gene","2"
"Structure of suprageniculate nucleus","Feline urological syndrome","FUS Gene","2"
"Entire medulla oblongata","Nijmegen Breakage Syndrome","NBN wt Allele","2"
"Cerebral cortex","cortex bone disorders","NR4A3 wt Allele","2"
"Central Dorsal Nucleus","Retinal Diseases","NOD2 wt Allele","2"
"Posterior cerebral commissure","cortex bone disorders","DPYD gene","2"
"Anterodorsal nucleus of thalamus","Attention deficit hyperactivity disorder","HTT wt Allele","2"
"Telencephalon","Alzheimer's Disease","APP gene","2"
"CA1 field","Rett Syndrome","MECP2 gene","2"
"Medial Septal Nucleus","Bloom Syndrome","HP Gene","2"
"Central Dorsal Nucleus","Hamartoma Syndrome, Multiple","TH gene","2"
"Genus Hippocampus","cortex bone disorders","CDK5R1 wt Allele","2"
"Paracentral Thalamic Nucleus","Syndrome","KRT17 wt Allele","2"
"Hypothalamic Area, Lateral","Pituitary Diseases","PRL Gene","2"
"Genus Hippocampus","Alzheimer's Disease","Insulin-Like-Growth Factor I Receptor","2"
"Cerebral cortex","Functional disorder","TARDBP wt Allele","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","MAP1LC3A Gene","2"
"Genus Hippocampus","Mild cognitive disorder","CDH3 Gene","2"
"Substantia nigra structure","Syndrome","SCG2 Gene","2"
"Interpeduncular nucleus","Ataxia as late effect of cerebrovascular disease","IKBKG wt Allele","2"
"Central Dorsal Nucleus","Disease Progression","NOD2 wt Allele","2"
"Nucleus of Diagonal Band","Williams Syndrome","MTR wt Allele","2"
"Structure of nucleus gracilis","Melkersson-Rosenthal Syndrome","NR3C1 Gene","2"
"Claustral structure","cortex bone disorders","TAP2 wt Allele","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","ADM Gene","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","ABL2 Gene","2"
"Paracentral sulcus","Peripheral Arterial Diseases","LITAF gene","2"
"Structure of angular gyrus","Seasonal Affective Disorder","ANG Gene","2"
"Corpus striatum structure","Parkinson Disease","TPO wt Allele","2"
"Inferior Colliculus","Testicular Diseases","PADI4 wt Allele","2"
"Prefrontal Cortex","Functional disorder","SST Gene","2"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","SOD1 gene","2"
"Inferior parietal lobule","cortex bone disorders","TF gene","2"
"Neostriatum","Parkinson Disease","PARK2 gene","2"
"Thalamic structure","Parkinson Disease","CHAT Gene","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","TP73 Gene","2"
"Inferior parietal lobule","cortex bone disorders","TH gene","2"
"Prefrontal Cortex","Functional disorder","AR wt Allele","2"
"BRAIN, HIPPOCAMPUS","Autism Spectrum Disorders","BDNF Gene","2"
"Inferior Colliculus","Testicular Diseases","Wild Type","2"
"Midbrain structure","Parkinson Disease","SLC6A4 gene","2"
"Cerebellum","Bloom Syndrome","BLM wt Allele","2"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","MAP1LC3A wt Allele","2"
"Genus Hippocampus","cortex bone disorders","LacZ Genes","2"
"Thalamic structure","Melkersson-Rosenthal Syndrome","Wild Type","2"
"Neocortex","Fragile X Syndrome","FMR1 gene","2"
"Genus Hippocampus","Pervasive Development Disorder","Genes","2"
"Cerebral hemisphere structure (body structure)","cortex bone disorders","ATP8A2 wt Allele","2"
"Cortex, Primary Motor","Spinal Cord Diseases","SIRT1 Gene","2"
"Structure of rubrospinal tract","Prune Belly Syndrome","PITX2 wt Allele","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","EPO Gene","2"
"Pyramidal Cells","cortex bone disorders","ELK3 Gene","2"
"Brain Stem","cortex bone disorders","Transgenes","2"
"Genus Hippocampus","Autism Spectrum Disorders","VEGFA wt Allele","2"
"Genus Hippocampus","cortex bone disorders","ras Oncogene","2"
"Structure of thalamic fasciculus","Neurodegenerative Disorders","CLIC4 wt Allele","2"
"Structure of angular gyrus","Dystonia Disorders","PNP wt Allele","2"
"Pituitary Gland","Pituitary Diseases","ERG Gene","2"
"Structure of locus ceruleus","Parkinson Disease","KHDRBS1 wt Allele","2"
"Basal Ganglia","Functional disorder","Genes","2"
"Cerebellum","Cerebellar Diseases","PRRT2 Gene","2"
"BRAIN, HIPPOCAMPUS","Disease Progression","PSEN1 wt Allele","2"
"Brain Stem","Spinal Cord Diseases","AVP wt Allele","2"
"BRAIN, HIPPOCAMPUS","Depressive disorder","ras Oncogene","2"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","HCRT wt Allele","2"
"Motor Cortex","cortex bone disorders","CAT Gene","2"
"Triangular Septal Nucleus","Gilles de la Tourette syndrome","C3 Gene","2"
"Visual Cortex","Leigh Disease","Chloramphenicol Acetyl Transferase Gene","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","NRP1 Gene","2"
"Nucleus of anterior commissure","Retinal Diseases","NLRP3 wt Allele","2"
"Globus Pallidus","Functional disorder","NR3C1 wt Allele","2"
"Neostriatum","cortex bone disorders","MAPK1 wt Allele","2"
"Cerebellum","Neurodegenerative Disorders","Retinoic Acid Response Element","2"
"Tectum Mesencephali","Timothy syndrome","TYMS Gene","2"
"Marginal Sulcus","Van der Woude syndrome","MTR Gene","2"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","TH gene","2"
"Motor Cortex","cortex bone disorders","Chloramphenicol O-Acetyltransferase","2"
"Periamygdaloid Area","Hashimoto Disease","PODXL wt Allele","2"
"Genus Hippocampus","Autistic Disorder","Genes","2"
"Structure of habenulopeduncular tract","Spinal Cord Diseases","REG3A wt Allele","2"
"Midbrain structure","Lewy Body Disease","SLC6A4 gene","2"
"Midbrain structure","Parkinson Disease","Genetic Predisposition to Disease","2"
"Structure of reticular formation of medulla oblongata","Penile Diseases","TM4SF1 wt Allele","2"
"Nucleus of Diagonal Band","Werner Syndrome","MTR Gene","2"
"Pyramidal Cells","Sweet Syndrome","SST Gene","2"
"Anterodorsal nucleus of thalamus","Huntington Disease","SLC6A4 wt Allele","2"
"Caudate nucleus structure","Hamartoma Syndrome, Multiple","CD36 Gene","2"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","c-fos Genes","2"
"Bundle, Predorsal","Neurodegenerative Disorders","Genes","2"
"Pituitary Gland","Pituitary Diseases","PHGDH wt Allele","2"
"Corpus striatum structure","cortex bone disorders","SST wt Allele","2"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","CXCL10 wt Allele","2"
"Caudate nucleus structure","Disease Progression","HLA-DQA1 wt Allele","2"
"Motor Cortex","Spinal Cord Diseases","CAT Gene","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","EGR1 wt Allele","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","CTSL Gene","2"
"Neocortex","Hamartoma Syndrome, Multiple","NOD2 wt Allele","2"
"sensory cortex","Syndrome, Bloch-Sulzberger","IKBKG wt Allele","2"
"Callosal sulcus","Disorder nervous system","CTNND1 wt Allele","2"
"mossy fiber","Peripheral Arterial Diseases","PADI4 wt Allele","2"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","CRH Gene","2"
"Paracentral Thalamic Nucleus","Machado-Joseph Disease","PODXL Gene","2"
"Thalamic structure","Meconium Aspiration Syndrome","MAS1 Gene","2"
"Basal Nucleus of Meynert","Mesulam Syndrome","SPECC1 wt Allele","2"
"Preoptic Areas","Pituitary Diseases","TH gene","2"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","TH gene","2"
"Tectospinal tract of medulla","Timothy syndrome","STS wt Allele","2"
"Pyramidal Cells","Depressive disorder","PPFIBP1 wt Allele","2"
"CA1 field","Depressive disorder","GRIN2B wt Allele","2"
"BRAIN, HIPPOCAMPUS","Leigh Disease","MAP3K14 wt Allele","2"
"Anterodorsal nucleus of thalamus","neuropathology disease","SEPP1 Gene","2"
"Genus Hippocampus","Androgen-Insensitivity Syndrome","AR wt Allele","2"
"Hypothalamic structure","Ovarian Diseases","GNRH1 Gene","2"
"Cerebral cortex","cortex bone disorders","TXNRD1 wt Allele","2"
"Caudate nucleus structure","Neurotoxicity Syndromes","HLA-DQA1 wt Allele","2"
"Pituitary Gland","Pituitary Diseases","CRHR1 Gene","2"
"BRAIN, HIPPOCAMPUS","Mild cognitive disorder","CDH3 Gene","2"
"Thalamic structure","cortex bone disorders","HCRT Gene","2"
"Lobe, Frontal","Down Syndrome","APOE gene","2"
"BRAIN, HIPPOCAMPUS","Skin endocrine disorder","LEP Gene","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","NOS2 wt Allele","2"
"Substantia nigra structure","Parkinsonian Disorders","CD69 wt Allele","2"
"BRAIN, HIPPOCAMPUS","Liver diseases","CD69 wt Allele","2"
"Pars Compacta","Parkinson Disease","TXNRD1 Gene","2"
"Olivary pretectal nucleus","Retinal Diseases","c-fos Genes","2"
"Auditory Hair Cell","Saethre-Chotzen Syndrome","TWIST1 wt Allele","2"
"BRAIN, HIPPOCAMPUS","Retinal Diseases","IAPP Gene","2"
"Pyramidal Cells","motor disorder","PHGDH wt Allele","2"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","RELN Gene","2"
"Cerebral cortex","cortex bone disorders","CR2 wt Allele","2"
"Genus Hippocampus","cortex bone disorders","NOS2 Gene","2"
"Purkinje Cells","Chimera (disorder)","Wild Type","2"
"Callosal sulcus","Disorder nervous system","CTNND1 Gene","2"
"Cerebral cortex","Functional disorder","MECP2 gene","2"
"Cerebral Peduncle","Retinal Diseases","HP wt Allele","2"
"Superior colliculus of corpora quadrigemina","Timothy syndrome","TYMS wt Allele","2"
"Posterolateral auditory cortex","cortex bone disorders","GRM1 Gene","2"
"Globus Pallidus","cortex bone disorders","SH2D3C wt Allele","2"
