"brainregion","mental","count"
"Nucleus of Diagonal Band","Communication Response","6"
"Medial longitudinal fasciculus","Social Role","6"
"Reticular Formation","Physical Contact","6"
"Structure of rubrospinal tract","competition","6"
"Auditory area","Insight","6"
"Cerebral cortex","Mental Suffering","6"
"Genus Hippocampus","sharing","6"
"intercalated amygdalar nuclei","Projection Defense Mechanism","6"
"Pyramidal Cells","Social Behavior","6"
"Premotor cortex","Perception","6"
"Ventral Striatum","Addictive Behavior","6"
"Cortex, Primary Motor","Sensory Feedback","6"
"Prefrontal Cortex","Physical activity","6"
"BRAIN, HIPPOCAMPUS","Association Learning","6"
"Structure of ventromedial hypothalamic nucleus","Stress","6"
"Structure of anterior hypothalamic nucleus","Coitus","6"
"Dorsal Nucleus Raphe","Depressed mood","6"
"Amygdaloid structure","Emotional states","6"
"Neocortex","Psychological Transfer","6"
"Globus Pallidus","Tic disorder","6"
"Visual Cortex","Fear","6"
"Central gray substance of midbrain","Mediation","6"
"Midbrain structure","psychological orientation","6"
"Nucleus solitarius","Physical Contact","6"
"Prefrontal Cortex","Binge Drinking","6"
"Flocculonodular lobe","Projection Defense Mechanism","6"
"Structure of putamen","Projection Defense Mechanism","6"
"Structure of lateral mammillary nucleus","Feedback - system communication","6"
"Orbitofrontal cortex","Conflicts (Psychology)","6"
"Purkinje Cells","Psychological Transfer","6"
"Structure of fissure of Sylvius","Like","6"
"Visual Cortex","Visual Discrimination","6"
"Structure of subiculum hippocampi","Emotions","6"
"sensory cortex","Learning","6"
"Neocortex","Autistic Disorder","6"
"Lateral paragigantocellular nucleus","Drug Tolerance","6"
"Structure of anterior hypothalamic nucleus","Conscious","6"
"Medial nucleus of habenula","Withdrawal","6"
"CA1 field","competition","6"
"Somatosensory Cortex","Mental association","6"
"Olfactory gyrus","smell perception","6"
"Structure of ventral posteromedial nucleus of thalamus","Pain","6"
"Structure of diencephalon","Projection Defense Mechanism","6"
"Structure of trigeminal nerve spinal tract nucleus","Social Role","6"
"Lateral geniculate complex","Sets (Psychology)","6"
"Inferior Colliculus","Cognitive information processing","6"
"Entire medulla oblongata","Feedback - evaluative response process","6"
"Brodmann area 18","Attention","6"
"Prosencephalon","Thirst","6"
"Presubiculum","Seizures","6"
"Structure of locus ceruleus","Behavioral change","6"
"Hypothalamic structure","Running","6"
"Structure of medial preoptic nucleus","Reproductive Behavior","6"
"Dorsal Nucleus Raphe","Sets (Psychology)","6"
"Entire midbrain","Emotions","6"
"Laterodorsal tegmental nucleus","Methamphetamine","6"
"Prefrontal Cortex","Breast Feeding","6"
"Pars Compacta","Performance","6"
"Cingulate Cortex","Anxiety","6"
"Structure of olfactory bulb","Recognition (Psychology)","6"
"Parietal Lobe","Discrimination","6"
"Midbrain structure","Alcohol consumption","6"
"Acoustic nerve","Feedback - system communication","6"
"Orbitofrontal cortex","Unipolar Depression","6"
"Paracentral Thalamic Nucleus","Psychological suppression","6"
"BRAIN, HIPPOCAMPUS","At risk for impaired skin integrity","6"
"Structure of olfactory bulb","Performance","6"
"Area, Septal","Behavior","6"
"Sensorimotor Cortex","Fasting","6"
"BRAIN, HIPPOCAMPUS","Recent memory","6"
"BRAIN, HIPPOCAMPUS","Anxiety and fear","6"
"association cortex","Memory","6"
"Dorsal Motor Nucleus","Ethanol","6"
"Structure of nucleus prepositus","Insight","6"
"Pyramidal Cells","Automobile Driving","6"
"Structure of capsule of red nucleus","Tinnitus","6"
"Superior colliculus of corpora quadrigemina","Auditory area","6"
"Somatosensory Cortex","Performance","6"
"CA3 field","Availability of","6"
"Cerebral cortex","At risk for impaired skin integrity","6"
"Pyramidal Cells","Decision Making","6"
"Nucleus, Anterior Olfactory","Like","6"
"Caudate nucleus structure","Conditionings (Psychology)","6"
"Structure of putamen","Like","6"
"Neostriatum","Operant Conditioning","6"
"Cerebellar gracile lobule","Communication Response","6"
"Prefrontal Cortex","Marijuana Abuse","6"
"Posterolateral auditory cortex","Memory","6"
"Structure of paraventricular nucleus of thalamus","Conscious","6"
"Set of basolateral nuclei of amygdala","Sex Behavior","6"
"Brain Stem","Chronic pain","6"
"Cerebellum","Climbing","6"
"Hypothalamic structure","Conditionings (Psychology)","6"
"Genus Hippocampus","Overlying behavior","6"
"Lateral occipital gyrus","Body Weight","6"
"Fifth ventricle","Like","6"
"Posterior Hypothalamic Region","Sleep","6"
"Structure of lateral mammillary nucleus","psychological orientation","6"
"Prosencephalon","Mood Disorders","6"
"Neostriatum","Attribution","6"
"Structure of rubrospinal tract","Addictive Behavior","6"
"CA3 field","Retrieval of memory","6"
"Pars Compacta","Methamphetamine","6"
"Cerebral hemisphere structure (body structure)","Alcoholic Intoxication, Chronic","6"
"Hypoglossal nerve nucleus","Projection Defense Mechanism","6"
"Purkinje Cells","Impaired cognition","6"
"Posterior cerebral commissure","Psychological suppression","6"
"central amygdalar nucleus","conditioned taste aversion","6"
"Pyramidal Cells","Conscious","6"
"Orbitofrontal cortex","Alcohol consumption","6"
"Tectum Mesencephali","Feedback - evaluative response process","6"
"Pars Compacta","Sleep","6"
"Premotor cortex","Comprehension","6"
"Prefrontal Cortex","Anxiety and fear","6"
"Parafascicular Thalamic Nucleus","Like","6"
"Lateral geniculate complex","Mental association","6"
"Cochlear nucleus structure","Sound Localization","6"
"Amygdaloid structure","Uncertainty","6"
"Set of basolateral nuclei of amygdala","Fetal stress","6"
"Structure of rubrospinal tract","Experience","6"
"Amygdaloid structure","Reversal Learning","6"
"Structure of subthalamic nucleus","Success","6"
"BRAIN, HIPPOCAMPUS","Steady","6"
"Prosencephalon","Social Interaction","6"
"Brodmann area 18","Cognitive information processing","6"
"Interpeduncular nucleus","Conditionings (Psychology)","6"
"Pyramidal Cells","Puberty","6"
"Cortex, Primary Motor","Tremor","6"
"CA1 field","Persistence","6"
"central amygdalar nucleus","Feeding Activity","6"
"Lobe, Frontal","Insight","6"
"Cerebellar Nuclei","Involvement with","6"
"Posterolateral auditory cortex","Retrieval of memory","6"
"Corpus striatum structure","Incentives","6"
"Posterolateral auditory cortex","Intrinsic drive","6"
"Entire medulla oblongata","Psychological suppression","6"
"Substantia Nigra Pars Reticulata","Methamphetamine","6"
"Parietal Lobe","DEPRESSION MENTAL","6"
"Substantia Nigra Pars Reticulata","Ethanol","6"
"Primary Auditory Cortex","Feedback - evaluative response process","6"
"Pituitary Gland","Communication","6"
"Midbrain structure","Impulsive Behavior","6"
"Indusium griseum","Auditory area","6"
"Pyramidal Cells","Regression - mental defense mechanism","6"
"Inner Auditory Hair Cells","Psychological inhibition","6"
"Structure of medial preoptic nucleus","Feedback - system communication","6"
"Basal Ganglia","Repetitious behavior","6"
"Genus Hippocampus","Sensory Gating","6"
"Area striata structure","Success","6"
"Insula of Reil","Play","6"
"Nucleus Accumbens","Attention","6"
"Medulla Oblongata","Insight","6"
"Central Dorsal Nucleus","Social Role","6"
"Thalamic structure","Tinnitus","6"
"Insula of Reil","Aversion (finding)","6"
"Pontine structure","Feedback - system communication","6"
"Motor Cortex","Conscious","6"
"Structure of paraventricular nucleus of thalamus","Performance","6"
"Cerebral hemisphere structure (body structure)","Resting state","6"
"Central gray substance of midbrain","Ethanol","6"
"Lateral paragigantocellular nucleus","Social Role","6"
"Thalamic structure","Eating","6"
"Hypothalamic Area, Lateral","Mediation","6"
"Bundle, Predorsal","Sets (Psychology)","6"
"Pontine structure","Feedback - evaluative response process","6"
"Entire medulla oblongata","Feedback - system communication","6"
"Entire medulla oblongata","Mediation","6"
"Trigeminal nerve motor nucleus","Like","6"
"Structure of nucleus infundibularis hypothalami","Pain","6"
"Motor Cortex","Hyperactive behavior","6"
"Parahippocampal Gyrus","Communication Response","6"
"Temporal Lobe","Visual Perception","6"
"Structure of diencephalon","Stress","6"
"Brain Stem","Travel","6"
"Preoptic Areas","psychological orientation","6"
"Genus Hippocampus","Handlings (Psychology)","6"
"Cerebellum","Destructive behavior","6"
"Structure of nucleus infundibularis hypothalami","Availability of","6"
"Corpus striatum structure","Conditioning, Classical","6"
"Sensorimotor Cortex","Conditionings (Psychology)","6"
"Structure of thalamic fasciculus","Methamphetamine","6"
"Lateral habenular nucleus","Unipolar Depression","6"
"Structure of diencephalon","Attention","6"
"Central gray substance of midbrain","Play","6"
"Lateral geniculate complex","Attention","6"
"Vestibular ganglion","Communication Response","6"
"Midbrain structure","Victim of abuse (finding)","6"
"Auditory pathway structure","Speech","6"
"Structure of medial preoptic nucleus","Copulation","6"
"central amygdalar nucleus","Behaviors, Feeding","6"
"Orbitofrontal cortex","Uncertainty","6"
"Structure of olfactory bulb","Mental concentration","6"
"Cortex, Primary Motor","Practices (Psychology)","6"
"Structure of locus ceruleus","Object Recognition","6"
"Cingulate Cortex","Involvement with","6"
"Lateral geniculate complex","Period, Critical (Psychology)","6"
"Structure of habenulopeduncular tract","Behavior","6"
"Pulvinar structure","Psychological suppression","6"
"Cerebrum","Seizures","6"
"Orbitofrontal cortex","Impulsive Behavior","6"
"Visual Cortex","Ethanol","6"
"Somatosensory Cortex","Methamphetamine","6"
"Genus Hippocampus","Abstract thinking ability","6"
"Internal arcuate tract","Seizures","6"
"Pyramidal Cells","Impulsive Behavior","6"
"Orbital cortex","Social Role","6"
"Amygdaloid structure","Virgin","6"
"Structure of locus ceruleus","Interested","6"
"Genus Hippocampus","Space Perception","6"
"Median eminence of hypothalamus","Coitus","6"
"Sensorimotor Cortex","Like","6"
"Tectopontine fibers","Communication Response","6"
"Brain Stem","Suicide","6"
"Structure of central sulcus","Retentions (Psychology)","6"
"Structure of spiral ganglion","Deafness","6"
"Neocortex","Psychological suppression","6"
"Olivary pretectal nucleus","Psychological inhibition","6"
"Pituitary Stalk","Mental concentration","6"
"Amygdaloid structure","Exercise","6"
"Lateral ventricle structure","Mental concentration","6"
"Hypothalamic structure","C","6"
"Cerebral cortex","Auditory area, function (observable entity)","6"
"Midbrain structure","smell perception","6"
"Pituitary Gland","Cognition","6"
"Pineal gland","Behavior","6"
"Cerebellum","High risk of","6"
"Structure of trigeminal nerve superior sensory nucleus","Projection Defense Mechanism","6"
"Lateral habenular nucleus","Avoidance behavior","6"
"Prefrontal Cortex","social stress","6"
"Structure of lateral preoptic nucleus","Stress","6"
"Structure of anterior commissure","Projection Defense Mechanism","6"
"Hindbrain","Mental concentration","6"
"Pyramidal Cells","Prepuberty","6"
"Marginal Sulcus","Sex Behavior","6"
"central amygdalar nucleus","Intrinsic drive","6"
"Brain Stem","Irritation - emotion","6"
"Somatosensory Cortex","Stress","6"
"Structure of paraventricular nucleus of thalamus","Breast Feeding","6"
"Cerebellar cortex structure","Performance","6"
"Mossy Fibers, Hippocampal","Communication Response","6"
"Neostriatum","Sleep","6"
"Cortex, Primary Motor","Play","6"
"Structure of diencephalon","Ethanol","6"
"Cortex, Primary Motor","Auditory area","6"
"Genus Hippocampus","Age-related cognitive decline","6"
"Structure of supramammillary nucleus","Spatial Memory","6"
"Primary Auditory Cortex","Tinnitus","6"
"Structure of paraventricular nucleus","Feedback - evaluative response process","6"
"Hypothalamic structure","sweet taste perception","6"
"Amygdaloid structure","Body Weight","6"
"Periamygdaloid Area","Social Role","6"
"Structure of locus ceruleus","Hemorrhage","6"
"Nucleus Accumbens","Running","6"
"Structure of olfactory bulb","Availability of","6"
"Corpus striatum structure","Attribution","6"
"Pontine nuclei","Feedback - evaluative response process","6"
"Cerebrum","Body Weight","6"
"Structure of endopeduncular nucleus","Behavior","6"
"Auditory Hair Cell","Involvement with","6"
"Lobe, Frontal","Eye Movements","6"
"Presubiculum","Communication Response","6"
"Neocortex","Retentions (Psychology)","6"
"Claustral structure","Behavior","6"
"basolateral nucleus of the amygdala","Fear","6"
"Brain Stem","Speech","6"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Ethanol","6"
"Set of basolateral nuclei of amygdala","Social isolation","6"
"Structure of dentate gyrus","Fetal stress","6"
"Pineal gland","Psychological Transfer","6"
"Cerebellum","Heroin","6"
"Primary Auditory Cortex","Selective inattention","6"
"Lateral geniculate complex","Contrast Sensitivity","6"
"Cortex, Primary Motor","Decision Making","6"
"Thalamic structure","Transsexual (finding)","6"
"Cerebral hemisphere structure (body structure)","Regression - mental defense mechanism","6"
"Dorsal Motor Nucleus","Involvement with","6"
"Prosencephalon","Stress, Psychological","6"
"Somatosensory Cortex","Involvement with","6"
"Brodmann area 21","Projection Defense Mechanism","6"
"Superior colliculus of corpora quadrigemina","Sensory Process","6"
"Hypothalamic structure","Instinct","6"
"Ventral Tegmental Area","Avoidance behavior","6"
"Structure of subiculum hippocampi","Stress","6"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Visual Discrimination","6"
"Neostriatum","Conditioning, Classical","6"
"Cerebellum","Intention - mental process","6"
"Cerebral cortex","Stereotypic Movement Disorder","6"
"Central insular sulcus","Psychological inhibition","6"
"Cerebellar cortex structure","Fasting","6"
"Cerebral cortex","Optic Flow","6"
"Corpus striatum structure","Sleep","6"
"Area striata structure","Thinking, function","6"
"Brodmann area 18","Visual Fields","6"
"Cerebellar Nuclei","Emotions","6"
"Septal Nuclei","Social Role","6"
"Nucleus of Ansa Lenticularis","smell perception","6"
"Brain White Matter","psychological orientation","6"
"Parietal Lobe","Intention - mental process","6"
"Area 32 of Brodmann","Communication Response","6"
"Insula of Reil","Alcohol consumption","6"
"BRAIN, HIPPOCAMPUS","Euthanasia","6"
"Cerebellum","sharing","6"
"Orbitofrontal cortex","sweet taste perception","6"
"Preoptic Areas","Motivation","6"
"Ventral Tegmental Area","locomotory behavior","6"
"mossy fiber","Involvement with","6"
"Cortex, Primary Motor","Mental concentration","6"
"Limbic System","Impaired cognition","6"
"mossy fiber","Memory impairment","6"
"Orbitofrontal cortex","Odor Discrimination","6"
"Perforant Pathway","Mental association","6"
"Interpeduncular nucleus","Fasting","6"
"Genus Hippocampus","Consideration","6"
"Pars Compacta","Cognition","6"
"Pituitary Gland","Fasting","6"
"Brodmann area 21","Discrimination","6"
"Pituitary Gland","Withdrawal","6"
"Ventral Posterolateral Nucleus","Pain","6"
"central amygdalar nucleus","Appetitive Behavior","6"
"Lateral habenular nucleus","Aggressive behavior","6"
"Basal Forebrain","Withdrawal","6"
"Basal Forebrain","Sets (Psychology)","6"
"Tuberomammillary Nucleus","Feeding Activity","6"
"Marginal Sulcus","Fasting","6"
"Occipital lobe","Coitus","6"
"Cerebral white matter structure","Involvement with","6"
"Nucleus of Diagonal Band","Like","6"
"Ventral Tegmental Area","Binge Drinking","6"
"Medulla Oblongata","Withdrawal","6"
"Lobe, Frontal","Sets (Psychology)","6"
"Laterodorsal tegmental nucleus","Vocalization (finding)","6"
"Structure of rubrospinal tract","Tracking","6"
"Cerebellar Nuclei","Tremor","6"
"Set of basolateral nuclei of amygdala","Recognition (Psychology)","6"
"Nucleus solitarius","Withdrawal","6"
"CA1 field","Depressed mood","6"
"Neostriatum","Incentives","6"
"Cerebellar cortex structure","Mental association","6"
"Ventral Tegmental Area","Consummatory Behavior","6"
"Structure of central sulcus","Discrimination Learning","6"
"Internal arcuate tract","Mental concentration","6"
"Genus Hippocampus","Euthanasia","6"
"Thalamic structure","Aversion (finding)","6"
"CA3 field","Spatial Navigation","6"
"Neostriatum","psychological orientation","6"
"Ventral Tegmental Area","Attribution","6"
"Nucleus Accumbens","Comprehension","6"
"Lamina Terminalis","Mental concentration","6"
"Structure of thalamic reticular nucleus","Stress","6"
"Structure of superior central nucleus of pons","Psychological inhibition","6"
"Prefrontal Cortex","competition","6"
"BRAIN, HIPPOCAMPUS","Licking","6"
"Neostriatum","Repetitious behavior","6"
"Tuberomammillary Nucleus","Gilles de la Tourette syndrome","6"
"Parabrachial Nucleus","Feeding Activity","6"
"Structure of trigeminal nerve spinal tract nucleus","Nociception","6"
"Lateral habenular nucleus","Sex Behavior","6"
"Pedunculopontine Tegmental Nucleus","Attention","6"
"Nucleus, Ventral Tegmental","Projection Defense Mechanism","6"
"Habenula","Cocaine","6"
"Genus Hippocampus","Ability to interact with others","6"
"Reticular Formation","Wakefulness","6"
"External capsule","Hemorrhage","6"
"basolateral nucleus of the amygdala","Like","5"
"Central gray substance of midbrain","Physical activity","5"
"Pineal gland","Mental concentration","5"
"Somatosensory Cortex","Feedback - system communication","5"
"Premotor area","Communication Response","5"
"Thalamic structure","At risk for activity intolerance","5"
"Pedunculopontine Tegmental Nucleus","Cocaine","5"
"Occipital lobe","Psychological suppression","5"
"Set of basolateral nuclei of amygdala","Social Behavior","5"
"Parafascicular Thalamic Nucleus","Methamphetamine","5"
"Thalamic Nuclei","smell perception","5"
"Structure of superior temporal sulcus","Projection Defense Mechanism","5"
"CA2 field","Anxiety","5"
"Cerebrum","Behavior","5"
"Posterior cerebral commissure","Involvement with","5"
"CA3 field","Fetal stress","5"
"Structure of central sulcus","Stress","5"
"Paracentral Thalamic Nucleus","Physical Contact","5"
"Cerebral hemisphere structure (body structure)","Nervousness","5"
"Rostrotemporal auditory area","Projection Defense Mechanism","5"
"Bundle, Predorsal","Abnormal behavior","5"
"Corpus striatum structure","Tremor","5"
"Substantia nigra structure","Attention","5"
"Cerebrum","Projection Defense Mechanism","5"
"Lateral geniculate complex","Eye Movements","5"
"central amygdalar nucleus","Coping Behavior","5"
"Nucleus Accumbens","Alcoholic Intoxication, Chronic","5"
"Dentate nucleus","Psychological suppression","5"
"Medial Dorsal Nucleus","Powers (Psychology)","5"
"Tectum Mesencephali","psychological orientation","5"
"Subfascicular nucleus","psychological orientation","5"
"Structure of terminal stria nuclei of preoptic region","Pain","5"
"Superior colliculus of corpora quadrigemina","Feeling content","5"
"Limbic System","biological adaptation to stress","5"
"Hypothalamic structure","Decision Making","5"
"Hypothalamic structure","Mood Disorders","5"
"Prefrontal Cortex","Depressive Symptoms","5"
"Pontine structure","Physical activity","5"
"Interpeduncular nucleus","Body Weight","5"
"CA2 field","Performance","5"
"Structure of superior temporal sulcus","Performance","5"
"Tectospinal tract of medulla","Impaired cognition","5"
"Orbital cortex","Behavior","5"
"Pyramidal Cells","Self Stimulation","5"
"Nucleus Accumbens","Absence of pain sensation","5"
"Amygdaloid structure","Sleep","5"
"Structure of paraventricular nucleus of thalamus","Cognitive information processing","5"
"central amygdalar nucleus","Insight","5"
"Hypothalamic structure","Heterosexuals","5"
"CA2 field","Visual learning","5"
"central amygdalar nucleus","Conscious","5"
"Genus Hippocampus","Resting state","5"
"Cerebral cortex","sensory discrimination","5"
"Fimbria of hippocampus","Memory","5"
"Central gray substance of midbrain","Fighting","5"
"Paratrigeminal nucleus","Touch sensation","5"
"Structure of rubrospinal tract","Play","5"
"Structure of medial preoptic nucleus","Aggressive behavior","5"
"Paracentral Thalamic Nucleus","Seizures","5"
"Corpus Callosum","High-functioning autism","5"
"Median preoptic nucleus","Involvement with","5"
"CA2 field","Fear","5"
"Structure of dorsomedial hypothalamic nucleus","Behavior","5"
"Prosencephalon","Behaviors, Feeding","5"
"CA2 field","Cocaine","5"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Body Weight","5"
"BRAIN, HIPPOCAMPUS","Carrying","5"
"sensory cortex","Cognitive information processing","5"
"BRAIN, HIPPOCAMPUS","Echolocation","5"
"Parabrachial Nucleus","Psychological inhibition","5"
"Temporal Lobe","smell perception","5"
"Hypothalamic structure","Transsexual (finding)","5"
"Neocortex","Overlying behavior","5"
"Tuberomammillary Nucleus","Sex Behavior","5"
"Hindbrain","Mental association","5"
"Structure of paraventricular nucleus of thalamus","Hemorrhage","5"
"Purkinje Cells","Abnormal behavior","5"
"Neostriatum","Tremor","5"
"Interpeduncular nucleus","Psychological suppression","5"
"Limbic System","Ethanol","5"
"Entire medulla oblongata","Play","5"
"Midbrain structure","Seizures","5"
"Lateral Septal Nucleus","Cocaine","5"
"Cerebellum","Gilles de la Tourette syndrome","5"
"Telencephalon","Reproduction","5"
"CA1 field","Discussion","5"
"Genus Hippocampus","Eating","5"
"Allocortex","Mental association","5"
"Structure of lateral mammillary nucleus","Sex Behavior","5"
"Amygdaloid structure","Seasonal Affective Disorder","5"
"Genus Hippocampus","Uncertainty","5"
"Somatosensory Cortex","Perception","5"
"Midbrain structure","Tracking","5"
"Temporal Lobe","Feedback - system communication","5"
"Vestibular nucleus structure","Psychological habituation","5"
"Brain Stem","locomotor rhythm","5"
"Thalamic structure","At risk for violence","5"
"Structure of subthalamic nucleus","Comprehension","5"
"Structure of hippocampal formation","Memory","5"
"Hypothalamus, Anterior","Ethanol","5"
"Marginal Sulcus","Mental concentration","5"
"Medial superior olivary nucleus","Travel","5"
"Thalamic Nuclei","Sensory Process","5"
"Structure of nucleus infundibularis hypothalami","Intrinsic drive","5"
"Hypothalamic structure","Panic","5"
"Nucleus intercalatus","Projection Defense Mechanism","5"
"Hypothalamic Area, Lateral","Communication","5"
"Type 2 vestibular sensory cell","Feedback - system communication","5"
"Hypothalamic Area, Lateral","Consummatory Behavior","5"
"CA2 field","At risk for impaired skin integrity","5"
"Telencephalon","Insight","5"
"Cerebral hemisphere structure (body structure)","Fetal Alcohol Syndrome","5"
"Structure of dorsomedial hypothalamic nucleus","Stress","5"
"CA2 field","Discrimination","5"
"Lateral lemniscus","Auditory area","5"
"Vomeronasal System","Communication Response","5"
"Anterior insula","Psychological inhibition","5"
"Prosencephalon","Addictive Behavior","5"
"Structure of diencephalon","Cognitive information processing","5"
"Lobe, Frontal","Conflicts (Psychology)","5"
"Complex, Superior Olivary","Like","5"
"Inferior frontal gyrus","Gestures","5"
"Area striata structure","Conditionings (Psychology)","5"
"Lobe, Frontal","Memory impairment","5"
"Nucleus of Ansa Lenticularis","psychological orientation","5"
"Superior colliculus of corpora quadrigemina","Mental association","5"
"Cerebellar hemisphere structure","Social Role","5"
"Cerebellum","Tracking","5"
"Tectospinal tract of medulla","Psychological inhibition","5"
"Cerebellum","Reaction Time","5"
"Purkinje Cells","Optic Flow","5"
"Optic Chiasms","Vision, Binocular","5"
"Neostriatum","Social isolation","5"
"Parietal Lobe","Feedback - evaluative response process","5"
"Genus Hippocampus","High risk of","5"
"Anterodorsal nucleus of thalamus","Hallucinations, Visual","5"
"Entire thalamic reticular nucleus","DEPRESSION MENTAL","5"
"Medulla Oblongata","Nervousness","5"
"CA1 field","Verbal memory observable","5"
"Midbrain structure","Akinesia","5"
"Auditory Hair Cell","Stress","5"
"Set of basolateral nuclei of amygdala","Cognition","5"
"Cerebellum","Erectile dysfunction","5"
"Tectopontine fibers","Psychological inhibition","5"
"Lobe, Frontal","Behavioral change","5"
"Structure of superior longitudinal fasciculus","Memory, Short-Term","5"
"Nuclei, Raphe","Ejaculation","5"
"Bundle, Predorsal","Success","5"
"Cerebellum","Attribution","5"
"Premotor cortex","Recognition (Psychology)","5"
"Structure of locus ceruleus","Pain Threshold","5"
"BRAIN, HIPPOCAMPUS","Hearing impairment","5"
"Amygdaloid structure","memory process","5"
"Genus Hippocampus","Absence of pain sensation","5"
"Cerebellar cortex structure","Comprehension","5"
"Insula of Reil","Object Recognition","5"
"Structure of purkinje cell layer of cerebellar cortex","Like","5"
"Orbitofrontal cortex","Hunger","5"
"Anterior insula","Retrieval of memory","5"
"Structure of anterior hypothalamic nucleus","Sleep","5"
"Cerebellum","Conscious","5"
"Genus Hippocampus","taste perception","5"
"Pars nervosa of hypophysis","Communication Response","5"
"Globus Pallidus","Feedback - system communication","5"
"BRAIN, HIPPOCAMPUS","Behavior Therapy","5"
"Bundle, Predorsal","Cocaine","5"
"Structure of locus ceruleus","Mood","5"
"Oculomotor nucleus","Eye Movements","5"
"Structure of suprachiasmatic nucleus","Intrinsic drive","5"
"CA2 field","At risk for violence","5"
"Pregeniculate nucleus","Like","5"
"Pituitary Gland","Social Behavior","5"
"Nuclei, Raphe","Conditionings (Psychology)","5"
"Structure of diencephalon","Seizures","5"
"Orbitofrontal cortex","Nociception","5"
"Substantia innominata","Sex Behavior","5"
"Brodmann area","Communication Response","5"
"Dorsal Motor Nucleus","Eating","5"
"Olivocerebellar fibers","Behavior","5"
"Preoptic Areas","Stress","5"
"Anterodorsal nucleus of thalamus","Exercise","5"
"Periamygdaloid Area","Projection Defense Mechanism","5"
"Ventral Lateral Thalamic Nucleus","Like","5"
"Structure of dentate gyrus","Spatial Navigation","5"
"Basal Ganglia","Akinesia","5"
"CA3 field","Social Interaction","5"
"Bundle, Predorsal","Attention","5"
"Lamina Terminalis","Hemorrhage","5"
"Amygdaloid structure","mating behavior","5"
"BRAIN, HIPPOCAMPUS","Heroin","5"
"Nucleus of anterior commissure","Psychological inhibition","5"
"Somatosensory Cortex","Feedback - evaluative response process","5"
"Nucleus Emboliformis","Conditionings (Psychology)","5"
"Amygdaloid structure","Avoidance behavior","5"
"Dorsal Septal Nucleus","Psychological suppression","5"
"Structure of superior olivary nucleus","Auditory area","5"
"Structure of dentate gyrus","Generalizations (Psychology)","5"
"Dentate nucleus","Involvement with","5"
"Inferior vestibular nucleus","Projection Defense Mechanism","5"
"Structure of anterior commissure","Emotions","5"
"lateral amygdalar nucleus","Memory","5"
"Pyramidal Cells","Mental Recall","5"
"Parietal Lobe","Communication","5"
"Structure of locus ceruleus","Executive Function","5"
"Caudate nucleus structure","Aggressive behavior","5"
"Entire thalamic reticular nucleus","Communication","5"
"Structure of olfactory bulb","Powers (Psychology)","5"
"Hemispheral lobule IX","Ethanol","5"
"Hypothalamic structure","Period, Critical (Psychology)","5"
"Type 2 vestibular sensory cell","Feedback - evaluative response process","5"
"Preoptic Areas","Aggressive behavior","5"
"Set of basolateral nuclei of amygdala","Seizures","5"
"Cerebellar Nuclei","Performance","5"
"Diagonal Band of Broca","Visual learning","5"
"CA1 field","Memory, Remote","5"
"Cochlear outer hair cell","Psychological suppression","5"
"Corpus striatum structure","Impulsive Behavior","5"
"Medial Septal Nucleus","Coitus","5"
"Medial Dorsal Nucleus","smell perception","5"
"Genus Hippocampus","Behavior, Animal","5"
"Inferior Colliculus","Wakefulness","5"
"Lateral habenular nucleus","Avoidance","5"
"Posterior cerebral commissure","Eye Movements","5"
"Structure of lateral olfactory gyrus","Sets (Psychology)","5"
"Primary Auditory Cortex","Learning","5"
"CA3 field","Sleep","5"
"Olfactory Nerve","Psychological inhibition","5"
"Pontine nuclei","Mental concentration","5"
"Brodmann area 18","Methamphetamine","5"
"Medial nucleus of habenula","Motivation","5"
"Anterodorsal nucleus of thalamus","High risk of","5"
"Structure of locus ceruleus","Mood Disorders","5"
"Ventral Tegmental Area","Indifferent mood","5"
"Reticular Formation","Physical activity","5"
"Nuclei, Raphe","Ethanol","5"
"Pyramidal Cells","Memory, Episodic","5"
"sensory cortex","Auditory area","5"
"Superior colliculus of corpora quadrigemina","Discrimination","5"
"Thalamic structure","Hemorrhage","5"
"Entire medulla oblongata","Deglutition","5"
"Cerebral cortex","Empowered","5"
"Area striata structure","Judgment","5"
"Entire tuberomammillary nucleus","Wakefulness","5"
"Ventral Tegmental Area","sharing","5"
"Hypothalamic structure","Virgin","5"
"Medial Septal Nucleus","Fatigue","5"
"Neocortex","Cocaine","5"
"Prefrontal Cortex","Coping Behavior","5"
"Longitudinal pontine fibers","Behavior","5"
"Telencephalon","Stress","5"
"Pyramidal Cells","Drug seeking behavior","5"
"Midbrain structure","biological adaptation to stress","5"
"Lateral Septal Nucleus","Ethanol","5"
"Brain Stem","competition","5"
"Area striata structure","Psychological Transfer","5"
"BRAIN, HIPPOCAMPUS","Behavior, Adaptive","5"
"Lateral lemniscus","Communication Response","5"
"Pyramidal Cells","Reaching","5"
"Parietal Lobe","Play","5"
"BRAIN, HIPPOCAMPUS","Postoperative confusion","5"
"Hypothalamic Area, Lateral","Performance","5"
