"brainregion","disease","mental","count"
"Thalamic structure","Migraine Disorders","Social Role","2"
"Entire medulla oblongata","Spinal Cord Diseases","Absence of pain sensation","2"
"Cerebral cortex","cortex bone disorders","Overlying behavior","2"
"Structure of entorhinal cortex","cortex bone disorders","Projection Defense Mechanism","2"
"Cerebellar cortex structure","Autistic Disorder","Conditionings (Psychology)","2"
"Pituitary Gland","Pituitary Diseases","Repression, Psychology","2"
"Cerebellum","Functional disorder","Tremor","2"
"Structure of olfactory bulb","Virus Diseases","smell perception","2"
"Amygdaloid structure","Stereotypic Movement Disorder","Stereotypic Movement Disorder","2"
"Thalamic structure","Disorder of pineal gland","Like","2"
"Ventral Tegmental Area","Mood Disorders","Social Role","2"
"Nucleus fastigii","Fetal Alcohol Syndrome","Play","2"
"BRAIN, HIPPOCAMPUS","Van der Woude syndrome","Psychological suppression","2"
"BRAIN, HIPPOCAMPUS","Mood Disorders","Mood","2"
"Cerebral cortex","neuropathology disease","Behavior","2"
"Cerebellum","Autism Spectrum Disorders","Autistic Disorder","2"
"Bundle, Predorsal","Disease Progression","Like","2"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Availability of","2"
"Hypothalamic structure","Skin endocrine disorder","Feedback - system communication","2"
"Pituitary Gland","Pituitary Diseases","Physiologic Thermoregulation","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Methamphetamine","2"
"Thalamic structure","cortex bone disorders","Decision Making","2"
"Structure of nucleus infundibularis hypothalami","Pituitary Diseases","Hyperphagia","2"
"Prefrontal Cortex","Post-Traumatic Stress Disorder","Social Role","2"
"mossy fiber","Disease Progression","Social Role","2"
"Cerebral cortex","Functional disorder","Mediation","2"
"Cerebral cortex","Fragile X Syndrome","Social Role","2"
"Genus Hippocampus","Major Depressive Disorder","Abnormal behavior","2"
"BRAIN, HIPPOCAMPUS","Depressive disorder","Sleep Deprivation","2"
"Lobe, Frontal","Rett Syndrome","Autistic Disorder","2"
"Cingulate Cortex","cortex bone disorders","conditioned taste aversion","2"
"Pedunculopontine Tegmental Nucleus","Functional disorder","Projection Defense Mechanism","2"
"CA3 field","Hodgkin Disease","Swimming","2"
"Caudate nucleus structure","cortex bone disorders","Conditionings (Psychology)","2"
"Genus Hippocampus","Autistic Disorder","Social Role","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Anxiety","2"
"BRAIN, HIPPOCAMPUS","Skin endocrine disorder","Social Role","2"
"Genus Hippocampus","Neurotoxicity Syndromes","Performance","2"
"Corpus striatum structure","Obsessive-Compulsive Disorder","Perseveration","2"
"Marginal Sulcus","Clinically isolated syndrome","DEPRESSION MENTAL","2"
"Hypothalamic structure","Functional disorder","Reproduction","2"
"Cerebellum","Attention Deficit Disorder","Hyperactive behavior","2"
"Structure of piriform area","cortex bone disorders","smell perception","2"
"Substantia nigra structure","Neurotoxicity Syndromes","Behavioral Symptoms","2"
"Cerebral hemisphere structure (body structure)","Alzheimer's Disease","Attention","2"
"Genus Hippocampus","Disorder nervous system","Stress","2"
"Amygdaloid structure","Anxiety Disorders","Emotions","2"
"CA1 field","Alzheimer's Disease","Learning","2"
"Structure of rubrospinal tract","Spinal Cord Diseases","Pain","2"
"Basal Ganglia","Gilles de la Tourette syndrome","Tic disorder","2"
"Nucleus Accumbens","Attention deficit hyperactivity disorder","Availability of","2"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Coitus","2"
"Lateral Septal Nucleus","Leigh Disease","Eating","2"
"Cerebral cortex","cortex bone disorders","Recognition (Psychology)","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","biological adaptation to stress","2"
"Substantia nigra structure","Depressive disorder","Social Role","2"
"Basal Ganglia","Autistic Disorder","Gilles de la Tourette syndrome","2"
"Premotor cortex","cortex bone disorders","Projection Defense Mechanism","2"
"Genus Hippocampus","Post-Traumatic Stress Disorder","Stress","2"
"BRAIN, HIPPOCAMPUS","Functional disorder","Mental concentration","2"
"Structure of angular gyrus","Behcet Syndrome","Communication Response","2"
"Central gray substance of midbrain","Alcohol withdrawal syndrome","Social Role","2"
"Inferior Colliculus","Cyclical vomiting syndrome (disorder)","Emotional Strain","2"
"Structure of locus ceruleus","Disorders, Mental","DEPRESSION MENTAL","2"
"Midbrain structure","Attention Deficit Disorder","Behavior","2"
"Thalamic structure","Recurrent disease","Projection Defense Mechanism","2"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Insight","2"
"Hypothalamic structure","Fetal Alcohol Syndrome","Fetal Alcohol Syndrome","2"
"Entire medulla oblongata","Spinal Cord Diseases","Nociception","2"
"Set of basolateral nuclei of amygdala","cortex bone disorders","Learning","2"
"Hindbrain","Spinal Cord Diseases","Sensory Feedback","2"
"Genus Hippocampus","Melkersson-Rosenthal Syndrome","DEPRESSION MENTAL","2"
"Central Dorsal Nucleus","Hamartoma Syndrome, Multiple","Involvement with","2"
"Basal Ganglia","Parkinson Disease","Abnormal behavior","2"
"Tectospinal tract of medulla","Gilles de la Tourette syndrome","Learning","2"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Mental blocking","2"
"Bundle, Predorsal","Alzheimer's Disease","Factors, Risk","2"
"Globus Pallidus","Functional disorder","Behavior","2"
"Brain Stem","Hypertensive disease","Social Role","2"
"Medial geniculate body","cortex bone disorders","Psychological inhibition","2"
"BRAIN, HIPPOCAMPUS","Shy-Drager Syndrome","Involvement with","2"
"Amygdaloid structure","Pervasive Development Disorder","Like","2"
"Lateral habenular nucleus","Anxiety Disorders","Social Role","2"
"Amygdaloid structure","Alzheimer's Disease","Involvement with","2"
"Cerebral hemisphere structure (body structure)","Alzheimer's Disease","Involvement with","2"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","Emotional Strain","2"
"Orbitofrontal cortex","Hamartoma Syndrome, Multiple","Communication Response","2"
"Nuclei, Raphe","Autistic Disorder","Autistic Disorder","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Carrying","2"
"BRAIN, HIPPOCAMPUS","Anxiety Disorders","Behavior","2"
"Cerebral cortex","Neurodegenerative Disorders","Interested","2"
"lateral geniculate nucleus","DISORDERS OF THE OPTIC NERVE","Projection Defense Mechanism","2"
"Cerebellum","Neurodevelopmental disorder","Autistic Disorder","2"
"Purkinje Cells","Dystonia Disorders","Like","2"
"Basal Forebrain","Functional disorder","Mediation","2"
"Brain Stem","Spinal Cord Diseases","Methamphetamine","2"
"Bundle, Predorsal","Alzheimer's Disease","Mental association","2"
"Basal Forebrain","Cognition Disorders","Memory","2"
"Genus Hippocampus","Depressive disorder","Experience","2"
"Corpus striatum structure","Huntington Disease","Sex Behavior","2"
"Cerebral cortex","Huntington Disease","Attribution","2"
"Structure of diencephalon","Functional disorder","Mental association","2"
"Auditory Hair Cell","Functional disorder","Hearing impairment","2"
"Genus Hippocampus","Neurodegenerative Disorders","DEPRESSION MENTAL","2"
"Genus Hippocampus","cortex bone disorders","Hemorrhage","2"
"BRAIN, HIPPOCAMPUS","Anxiety Disorders","Social Role","2"
"CA1 field","Functional disorder","Memory","2"
"Pyramidal Cells","Attention deficit hyperactivity disorder","Social Role","2"
"Cerebral cortex","Psychotic Disorders","Behavior","2"
"Lateral habenular nucleus","Recurrent disease","Like","2"
"Genus Hippocampus","Fetal Alcohol Spectrum Disorders","Fetal Alcohol Syndrome","2"
"Neostriatum","cortex bone disorders","Feedback - evaluative response process","2"
"Cortex, Primary Motor","Spinal Cord Diseases","Psychological inhibition","2"
"BRAIN, HIPPOCAMPUS","Disorders, Mental","Communication Response","2"
"Cortex, Primary Motor","Spinal Cord Diseases","Paralysed","2"
"Inferior frontal gyrus","Autistic Disorder","Facial Expression","2"
"Brain Stem","Depressive disorder","Involvement with","2"
"Genus Hippocampus","Disorders, Mental","Memory","2"
"Cerebral cortex","Spinal Cord Diseases","Amnesia","2"
"Interpeduncular nucleus","Functional disorder","Stress","2"
"Fifth ventricle","Depressive disorder","DEPRESSION MENTAL","2"
"Area striata structure","cortex bone disorders","Methamphetamine","2"
"Structure of thalamic reticular nucleus","cortex bone disorders","Projection Defense Mechanism","2"
"Hypothalamic structure","Depressive disorder","Feedback - evaluative response process","2"
"Midbrain structure","Recurrent disease","Cocaine","2"
"Set of basolateral nuclei of amygdala","Mood Disorders","Mood Disorders","2"
"Hypothalamic Area, Lateral","cortex bone disorders","taste perception","2"
"Thalamic structure","Retinal Diseases","Like","2"
"Medial Dorsal Nucleus","Alzheimer's Disease","psychological orientation","2"
"Amygdaloid structure","Anxiety Disorders","Behavior","2"
"Cerebellum","Spinal Cord Diseases","smell perception","2"
"Structure of subthalamic nucleus","Dyskinetic syndrome","Hyperactive behavior","2"
"Cerebral cortex","Functional disorder","Visual learning","2"
"Tectospinal tract of medulla","Down Syndrome","Like","2"
"Fornix, Brain","Major Depressive Disorder","Unipolar Depression","2"
"Right putamen","Seasonal Affective Disorder","Facial Expression","2"
"Motor Cortex","Functional disorder","Involvement with","2"
"Genus Hippocampus","Disorders, Mental","Unipolar Depression","2"
"Gyrus Cinguli","Fragile X Syndrome","Mental Retardation","2"
"Purkinje Cells","Language Disorders","Speech","2"
"Ventral Tegmental Area","Sensitization (disorder)","Drug Tolerance","2"
"Caudate nucleus structure","Hamartoma Syndrome, Multiple","Drug Dependence","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Reversal Learning","2"
"Structure of rubrospinal tract","DISORDERS OF THE OPTIC NERVE","Communication Response","2"
"Pars Compacta","Parkinson Disease","Akinesia","2"
"Pyramidal Cells","cortex bone disorders","Experience","2"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Sets (Psychology)","2"
"Cerebral cortex","Neurotoxicity Syndromes","competition","2"
"Basal Ganglia","Dyskinetic syndrome","Hyperactive behavior","2"
"Pulvinar structure","cortex bone disorders","Perception","2"
"Cerebellar cortex structure","Autistic Disorder","Psychological inhibition","2"
"Cerebral cortex","Parkinson Disease","Behavior","2"
"Tectospinal tract of medulla","Gilles de la Tourette syndrome","Coping Behavior","2"
"Nucleus Accumbens","Sensitization (disorder)","Social Role","2"
"Anterodorsal nucleus of thalamus","Sweet Syndrome","Mental concentration","2"
"Dorsal Nucleus Raphe","Depressive disorder","Mood Disorders","2"
"Motor Cortex","Parkinson Disease","Insight","2"
"Cerebral cortex","Werner Syndrome","Feeling content","2"
"Prefrontal Cortex","Sensitization (disorder)","Stereotyped Behavior","2"
"Barrington's Nucleus","Functional disorder","Stress","2"
"Structure of tegmental portion of pons","Spinal Cord Diseases","Like","2"
"Globus Pallidus","Autistic Disorder","Autistic Disorder","2"
"Paracentral Thalamic Nucleus","Hashimoto Disease","Climbing","2"
"Internal arcuate tract","Depressive disorder","Communication Response","2"
"Structure of angular gyrus","Functional disorder","Behavior","2"
"Nucleus fastigii","Fetal Alcohol Syndrome","Mental association","2"
"Hypothalamic structure","Liver diseases","Feedback - evaluative response process","2"
"Prosencephalon","Disorders, Mental","Social Role","2"
"Cerebellum","Dystonia Disorders","Tremor","2"
"Pyramidal Cells","Attention deficit hyperactivity disorder","Impulsive Behavior","2"
"Neocortex","Alzheimer's Disease","Involvement with","2"
"Amygdaloid structure","Functional disorder","Involvement with","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Executive Function","2"
"Reticular Formation","Peripheral Arterial Diseases","DEPRESSION MENTAL","2"
"Nucleus Accumbens","cortex bone disorders","Conditionings (Psychology)","2"
"Pituitary Gland","Skin endocrine disorder","biological adaptation to stress","2"
"Genus Hippocampus","Neurotoxicity Syndromes","Involvement with","2"
"Cerebral cortex","Niemann-Pick Disease, Type C","Social Role","2"
"Structure of medial preoptic nucleus","Pituitary Diseases","Communication Response","2"
"Purkinje Cells","Language Disorders","Vocalization (finding)","2"
"Basal Ganglia","Parkinson Disease","Performance","2"
"Brain Stem","Spinal Cord Diseases","smell perception","2"
"Pontine structure","Migraine Disorders","Attack behavior","2"
"Prosencephalon","Meningeal disorder","Like","2"
"Cerebral cortex","Bipolar Disorder","Powers (Psychology)","2"
"Pontine nuclei","Depressive disorder","DEPRESSION MENTAL","2"
"Amygdaloid structure","Anxiety Disorders","Anxiety","2"
"Cerebral cortex","Lewy Body Disease","Hallucinations, Visual","2"
"Corpus Callosum","Depressive disorder","DEPRESSION MENTAL","2"
"Midbrain structure","Lung diseases","Mental concentration","2"
"Hypothalamic Area, Lateral","Pituitary Diseases","Social Role","2"
"CA1 field","Alzheimer's Disease","Social Role","2"
"BRAIN, HIPPOCAMPUS","Functional disorder","Mental Processes","2"
"Basal Ganglia","Parkinson Disease","Insight","2"
"BRAIN, HIPPOCAMPUS","Van der Woude syndrome","Fetal stress","2"
"Corpus striatum structure","Neonatal Abstinence Syndrome","Stress","2"
"Amygdaloid structure","Pituitary Diseases","Fear","2"
"Structure of dentate gyrus","Depressive disorder","Memory","2"
"Pyramidal Cells","Rett Syndrome","Seizures","2"
"Corpus striatum structure","Psychotic Disorders","High risk of","2"
"Cerebellum","neuropathology disease","Fetal Alcohol Syndrome","2"
"Cerebral cortex","Congenital secretory diarrhea, sodium type (disorder)","Nociception","2"
"Cerebral cortex","Alzheimer's Disease","Stress","2"
"Medulla Oblongata","Renal glomerular disease","Sets (Psychology)","2"
"BRAIN, HIPPOCAMPUS","Sensitization (disorder)","Behavior","2"
"Fifth ventricle","Depressive disorder","Stress","2"
"Cerebellar vermis structure","cortex bone disorders","Like","2"
"Medulla Oblongata","Vasodilation disorder","Psychological inhibition","2"
"Structure of superior central nucleus of pons","Depressive disorder","DEPRESSION MENTAL","2"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","Contrast Sensitivity","2"
"Caudate nucleus structure","Hamartoma Syndrome, Multiple","Intrinsic drive","2"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Stress","2"
"BRAIN, HIPPOCAMPUS","Neurotoxicity Syndromes","Mental association","2"
"Prefrontal Cortex","Disorders, Mental","Play","2"
"Prefrontal Cortex","Functional disorder","Autistic Disorder","2"
"BRAIN, HIPPOCAMPUS","Mohr-Tranebjaerg syndrome","Seizures","2"
"CA1 field","Pervasive Development Disorder","Like","2"
"Neostriatum","Neurotoxicity Syndromes","Social Role","2"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Physical activity","2"
"Structure of olfactory bulb","Renal glomerular disease","Fear","2"
"Entire thalamic reticular nucleus","cortex bone disorders","Psychological Transfer","2"
"Pyramidal Cells","cortex bone disorders","Cognitive information processing","2"
"Structure of terminal stria nuclei of preoptic region","Recurrent disease","Stress","2"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Alcohol consumption","2"
"Cerebrum","Spinal Cord Diseases","Involvement with","2"
"Structure of suprachiasmatic nucleus","Mood Disorders","Mood Disorders","2"
"Basal Ganglia","Gilles de la Tourette syndrome","Autistic Disorder","2"
"Corpus striatum structure","Huntington Disease","Abnormal behavior","2"
"Posterolateral auditory cortex","Hamartoma Syndrome, Multiple","Communication Response","2"
"Cerebral cortex","Disorders, Mental","Performance","2"
"Neocortex","Disorders, Mental","Insight","2"
"Pituitary Gland","Depressive disorder","Feedback - system communication","2"
"Genus Hippocampus","Melkersson-Rosenthal Syndrome","Stress","2"
"Medial geniculate body","cortex bone disorders","Auditory area","2"
"BRAIN, HIPPOCAMPUS","Pituitary Diseases","Involvement with","2"
"Somatosensory Cortex","cortex bone disorders","Projection Defense Mechanism","2"
"Tectum Mesencephali","Timothy syndrome","Gilles de la Tourette syndrome","2"
"Genus Hippocampus","Functional disorder","Fear","2"
"Cerebral cortex","Alzheimer's Disease","Insight","2"
"Midbrain structure","Functional disorder","Addictive Behavior","2"
"Hypothalamic structure","Spinal Cord Diseases","Physical Contact","2"
"Prefrontal Cortex","Sensitization (disorder)","Stereotypic Movement Disorder","2"
"Substantia nigra structure","Parkinson Disease","Availability of","2"
"Cerebral cortex","cortex bone disorders","Auditory area","2"
"Cerebellum","Peripheral Arterial Diseases","Communication Response","2"
"CA2 field","Hamartoma Syndrome, Multiple","Fasting","2"
"Prefrontal Cortex","cortex bone disorders","Autistic Disorder","2"
"Cerebral cortex","Disease Progression","Mental association","2"
"Right fusiform gyrus","Autism Spectrum Disorders","Anger","2"
"Parietal operculum cortex (PO)","Depressive disorder","At risk for impaired skin integrity","2"
"Pedunculopontine Tegmental Nucleus","Spinal Cord Diseases","Projection Defense Mechanism","2"
"central amygdalar nucleus","Stress Disorders, Traumatic","Like","2"
"Nuclei, Raphe","Functional disorder","Like","2"
"Tectospinal tract of medulla","Spinal Cord Diseases","Social Role","2"
"Mammillothalamic tract","Hamartoma Syndrome, Multiple","Communication Response","2"
"Thalamic structure","Stereotypic Movement Disorder","Stereotyped Behavior","2"
"Prefrontal Cortex","Functional disorder","Performance","2"
"Structure of terminal stria nuclei of preoptic region","cortex bone disorders","Stress","2"
"Corpus striatum structure","Dystonia Disorders","Behavior","2"
"Auditory area","cortex bone disorders","Projection Defense Mechanism","2"
"Premotor cortex","cortex bone disorders","Social Role","2"
"Pituitary Gland","Pituitary Diseases","Automobile Driving","2"
"Midbrain structure","Neurodegenerative Disorders","Social Role","2"
"BRAIN, HIPPOCAMPUS","Depressive disorder","Sex Behavior","2"
"Genus Hippocampus","Stress Disorders, Traumatic","DEPRESSION MENTAL","2"
"Precentral gyrus","Disorders, Mental","Abnormal behavior","2"
"Cerebral cortex","Functional disorder","Marijuana Abuse","2"
"Caudal pontine reticular nucleus","Anophthalmia Waardenburg syndrome","prepulse inhibition activity","2"
"Medulla Oblongata","cortex bone disorders","Hibernation","2"
"Midbrain structure","Sensitization (disorder)","Behavior","2"
"Substantia nigra structure","Neurodegenerative Disorders","Bradykinesia","2"
"Neostriatum","Neurotoxicity Syndromes","Psychological inhibition","2"
"Brain Stem","Sensitization (disorder)","Vision","2"
"Ventral Tegmental Area","Depressive disorder","Ethanol","2"
"Nucleus Accumbens","Disorders, Mental","Drug Dependence","2"
"CA2 field","Neurotoxicity Syndromes","Ethanol","2"
"BRAIN, HIPPOCAMPUS","Behavior Disorders","Abnormal behavior","2"
"Structure of superior temporal sulcus","cortex bone disorders","Mental association","2"
"Lobe, Frontal","cortex bone disorders","Psychological inhibition","2"
"Hypothalamic structure","cortex bone disorders","Behavior","2"
"BRAIN, HIPPOCAMPUS","Autistic Disorder","Memory","2"
"Pyramidal Cells","Attention deficit hyperactivity disorder","Memory, Short-Term","2"
"Pituitary Gland","Pituitary Diseases","Brain Death","2"
"Basal Ganglia","Tic disorder","Like","2"
"Insula of Reil","Autistic Disorder","Social Role","2"
"BRAIN, HIPPOCAMPUS","Cognition Disorders","Social Role","2"
"Hypothalamic Area, Lateral","Metabolic Syndrome X","Penile Erection","2"
"Corpus striatum structure","Neurodegenerative Disorders","Involvement with","2"
"BRAIN, HIPPOCAMPUS","Huntington Disease","Memory","2"
"Telencephalon","cortex bone disorders","Projection Defense Mechanism","2"
"CA3 field","cortex bone disorders","Like","2"
"Cerebral cortex","Gilles de la Tourette syndrome","Hyperactive behavior","2"
"BRAIN, HIPPOCAMPUS","Hamartoma Syndrome, Multiple","Fear","2"
"Dorsal Nucleus Raphe","Retinal Diseases","Like","2"
"Medial geniculate body","cortex bone disorders","Tinnitus","2"
"Cerebral cortex","Parkinson Disease","smell perception","2"
"BRAIN, HIPPOCAMPUS","Functional disorder","Mediation","2"
"Corpus striatum structure","Functional disorder","Projection Defense Mechanism","2"
"Ventral Tegmental Area","Recurrent disease","Addictive Behavior","2"
"Neostriatum","Neurodegenerative Disorders","Play","2"
"Brain Stem","Functional disorder","Discussion","2"
"Thalamic structure","Retinal Diseases","Experience","2"
"Structure of rubrospinal tract","Leigh Disease","Ethanol","2"
"Purkinje Cells","Language Disorders","Language Disorders","2"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Perception","2"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Fasting","2"
"Mammillary body structure","Bipolar Disorder","DEPRESSION MENTAL","2"
"Structure of dentate gyrus","cortex bone disorders","conditioned taste aversion","2"
"Structure of dentate gyrus","Disorders, Mental","Memory","2"
"Amygdaloid structure","Stress Disorders, Traumatic","DEPRESSION MENTAL","2"
"Structure of lateral olfactory gyrus","cortex bone disorders","smell perception","2"
"Nucleus of optic tract","Seasonal Affective Disorder","Seasonal Affective Disorder","2"
"Pituitary Gland","Thyroid Diseases","Fasting","2"
"Prosencephalon","Functional disorder","Like","2"
"Dorsal Nucleus Raphe","Mood Disorders","Anxiety","2"
"Cerebral cortex","Liver diseases","Body Weight","2"
"Nucleus Basalis Magnocellularis","cortex bone disorders","Projection Defense Mechanism","2"
"Cerebellum","Functional disorder","Autistic Disorder","2"
"Basal Ganglia","Huntington Disease","Behavioral Symptoms","2"
"CA3 field","Functional disorder","Forgetful","2"
"Dorsal Nucleus Raphe","Anxiety Disorders","Social Role","2"
"Orbitofrontal cortex","Autistic Disorder","Social Interaction","2"
"Parietal Lobe","Hamartoma Syndrome, Multiple","Communication Response","2"
"Nucleus Accumbens","Depressive disorder","Projection Defense Mechanism","2"
"Preoptic Areas","Gilles de la Tourette syndrome","Gilles de la Tourette syndrome","2"
"CA3 field","Psychotic Disorders","Memory","2"
"Structure of locus ceruleus","Depressive disorder","Sex Behavior","2"
"BRAIN, HIPPOCAMPUS","Neurodegenerative Disorders","Psychological inhibition","2"
"Structure of thalamic reticular nucleus","cortex bone disorders","Psychological inhibition","2"
"Prosencephalon","Functional disorder","Communication Response","2"
"Olfactory Cortex","cortex bone disorders","smell perception","2"
"BRAIN, HIPPOCAMPUS","Autism Spectrum Disorders","Memory","2"
"Hindbrain","Autistic Disorder","Autistic Disorder","2"
"Substantia nigra structure","Van der Woude syndrome","Communication Response","2"
"Hypothalamic structure","Hypertensive disease","Psychological inhibition","2"
"BRAIN, HIPPOCAMPUS","Cognition Disorders","Mood","2"
"Olivary pretectal nucleus","Retinal Diseases","Projection Defense Mechanism","2"
"Midbrain structure","Depressive disorder","Emotions","2"
"Pyramidal Cells","Functional disorder","Memory","2"
"Amygdaloid structure","Functional disorder","Play","2"
"Structure of terminal stria nuclei of preoptic region","Functional disorder","DEPRESSION MENTAL","2"
"Prefrontal Cortex","Stress Disorders, Traumatic","Social Role","2"
"Genus Hippocampus","cortex bone disorders","Hyperactive behavior","2"
"Fornix, Brain","Mild cognitive disorder","Mental association","2"
"Basal Forebrain","cortex bone disorders","Ethanol","2"
"Cerebellum","Syndrome","Autistic Disorder","2"
"Nucleus solitarius","Gilles de la Tourette syndrome","Gilles de la Tourette syndrome","2"
"Neostriatum","cortex bone disorders","Sex Behavior","2"
"Structure of nucleus prepositus","Prion Diseases","Like","2"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Avoidance","2"
"BRAIN, HIPPOCAMPUS","Mild cognitive disorder","Memory","2"
"Cerebral cortex","Spinal Cord Diseases","Psychological inhibition","2"
"Pituitary Gland","Depressive disorder","Communication Response","2"
"Brain Stem","Skin endocrine disorder","Behavior","2"
"Structure of dentate gyrus","Alzheimer's Disease","Impaired cognition","2"
"Bundle, Predorsal","Alzheimer's Disease","Like","2"
"Lateral habenular nucleus","Depressive disorder","Aversion (finding)","2"
"Cerebral cortex","Adult Fanconi syndrome","Touch sensation","2"
"Lateral habenular nucleus","Depressive disorder","Abnormal behavior","2"
"central amygdalar nucleus","Alcohol withdrawal syndrome","Projection Defense Mechanism","2"
"Structure of nucleus prepositus","Alzheimer's Disease","Memory impairment","2"
"Midbrain structure","cortex bone disorders","Like","2"
"BRAIN, HIPPOCAMPUS","Hamartoma Syndrome, Multiple","Memory","2"
"Bundle, Predorsal","Functional disorder","Insight","2"
"Hypothalamic structure","Ovarian Diseases","Reproduction","2"
"Internal capsule of brain","Alcohol withdrawal syndrome","Seizures","2"
"Cerebral hemisphere structure (body structure)","Neurodegenerative Disorders","Social Role","2"
"Cerebral cortex","Functional disorder","Tremor","2"
"Anterodorsal nucleus of thalamus","Mild cognitive disorder","Sets (Psychology)","2"
"Substantia nigra structure","Spinal Cord Diseases","Projection Defense Mechanism","2"
"CA2 field","Depressive disorder","Involvement with","2"
"Genus Hippocampus","Disorder nervous system","Comprehension","2"
"Genus Hippocampus","Gardner Syndrome","Like","2"
"Structure of subthalamic nucleus","cortex bone disorders","Social Role","2"
"Amygdaloid structure","Alzheimer's Disease","Memory","2"
"Amygdaloid structure","Generalized Anxiety Disorder","Emotions","2"
"Interpeduncular nucleus","Depressive disorder","Behavior","2"
"Pyramidal Cells","cortex bone disorders","Discrimination","2"
"Thalamic structure","cortex bone disorders","Memory","2"
"Pituitary Gland","Skin endocrine disorder","Stress","2"
"Orbitofrontal cortex","Autistic Disorder","Emotions","2"
"Retinohypothalamic tract","DISORDERS OF THE OPTIC NERVE","Communication Response","2"
"Cerebellum","Dystonia Disorders","Discussion","2"
"Structure of rubrospinal tract","Mood Disorders","Mood Disorders","2"
"Presubiculum","cortex bone disorders","Projection Defense Mechanism","2"
"Brain Stem","Parkinsonian Disorders","Social Role","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Running","2"
"Genus Hippocampus","cortex bone disorders","Alcohol consumption","2"
"Brain Stem","Depressive disorder","Like","2"
"Central Dorsal Nucleus","Hamartoma Syndrome, Multiple","Drug Dependence","2"
"Anterodorsal nucleus of thalamus","Neurotoxicity Syndromes","Psychological inhibition","2"
"Corpus striatum structure","Obsessive-Compulsive Disorder","Abnormal behavior","2"
"Structure of locus ceruleus","Parkinson Disease","Like","2"
"Cerebral cortex","Functional disorder","Attribution","2"
"Central gray substance of midbrain","Spinal Cord Diseases","Absence of pain sensation","2"
"Basal Ganglia","Functional disorder","Tremor","2"
"Medial geniculate body","cortex bone disorders","Communication Response","2"
"Cerebral cortex","Neurodevelopmental disorder","Involvement with","2"
"Corticotroph","Pituitary Diseases","Like","2"
"Corpus striatum structure","Depressive disorder","Motivation","2"
"Caudate nucleus structure","Hamartoma Syndrome, Multiple","Avoidance","2"
"Structure of paraventricular nucleus of thalamus","Depressive disorder","Like","2"
"Entire thalamus","cortex bone disorders","Projection Defense Mechanism","2"
"Inferior Colliculus","Pituitary Diseases","Reproduction","2"
"Hindbrain","Spinal Cord Diseases","Mental concentration","2"
"Genus Hippocampus","cortex bone disorders","Methamphetamine","2"
"Thalamic structure","Spinal Cord Diseases","Like","2"
"Midbrain structure","Parkinson Disease","Mental association","2"
"Temporal Lobe","Alzheimer's Disease","Memory impairment","2"
"Ventral reticulospinal tract","Rett Syndrome","Choice Behavior","2"
"Ventral Tegmental Area","Attention deficit hyperactivity disorder","DEPRESSION MENTAL","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Conscious","2"
"Cerebral hemisphere structure (body structure)","Disease Progression","Comprehension","2"
"Bundle, Predorsal","Parkinsonian Disorders","Sets (Psychology)","2"
"Ventral Tegmental Area","Recurrent disease","Heroin","2"
"Laterodorsal tegmental nucleus","Disorders, Mental","Social Role","2"
"Basal Ganglia","Huntington Disease","Social Role","2"
"Brain Stem","Autistic Disorder","Communication Response","2"
"Structure of central sulcus","Coffin-Siris syndrome","Mental association","2"
"CA3 field","Disorders, Mental","Social Role","2"
"Genus Hippocampus","Spinal Cord Diseases","smell perception","2"
"Median preoptic nucleus","Sweet Syndrome","Sleep","2"
"Median eminence of hypothalamus","Pituitary Diseases","Projection Defense Mechanism","2"
"Anterior Nuclear Group","cortex bone disorders","Cognition","2"
"Structure of subthalamic nucleus","Parkinson Disease","Communication Response","2"
"BRAIN, HIPPOCAMPUS","Depressive disorder","Spatial Memory","2"
"Structure of thalamic reticular nucleus","cortex bone disorders","Communication Response","2"
"Superior colliculus of corpora quadrigemina","Leigh Disease","Communication Response","2"
"Cerebral cortex","cortex bone disorders","Uncertainty","2"
"Medial nucleus of habenula","Muckle-Wells Syndrome","Social Role","2"
