"protein","disease","count"
"Chemokine","Inflammatory disorder","3"
"Neuropeptides","Syndrome","3"
"Eukaryotic Initiation Factor-4E","Sensitization (disorder)","3"
"GTP-Binding Proteins","Hamartoma Syndrome, Multiple","3"
"Oligodendrocyte-Myelin Glycoprotein","Demyelinating Diseases","3"
"Matrix Metalloproteinases","Neurotoxicity Syndromes","3"
"Carbenoxolone","Neurotoxicity Syndromes","3"
"Mitogen-Activated Protein Kinases","Syndrome","3"
"Globin","Retinal Diseases","3"
"Prions","Niemann-Pick Disease, Type C","3"
"Integral Membrane Proteins","Spinal Cord Diseases","3"
"Blood Coagulation Factor","CNS disorder","3"
"NFI Transcription Factors","Functional disorder","3"
"Undecaprenyl-phosphate galactose-phosphotransferase","Retinal Diseases","3"
"Receptors, Islet Amyloid Polypeptide","Alzheimer's Disease","3"
"Factor, Transcription","Speech and language disorder","3"
"alanylglutamine","Neurodegenerative Disorders","3"
"Transporter, Dopamine","Disorder nervous system","3"
"Factor, Transcription","Disorders, Mental","3"
"Receptors, Corticotropin-Releasing Hormone","Alzheimer's Disease","3"
"Proteins","Eosinophilic disorder","3"
"Bone Morphogenetic Protein 7","Alzheimer's Disease","3"
"NADPH Dehydrogenase","Neurodegenerative Disorders","3"
"Chromogranins","Skin endocrine disorder","3"
"Thrombin","Alzheimer's Disease","3"
"Genes","Autoimmune Diseases","3"
"Amphotericin B","Prion Diseases","3"
"Vascular Endothelial Growth Factor A","Niemann-Pick Disease, Type C","3"
"Tyrosine","Depressive disorder","3"
"Human Leukocyte Interferon","Disorder nervous system","3"
"Glycosylation End Products, Advanced","Hamartoma Syndrome, Multiple","3"
"Taurine","CNS disorder","3"
"Calmodulin 1","Retinal Diseases","3"
"Tretinoin","Autism Spectrum Disorders","3"
"Protein Tyrosine Kinase","Myeloproliferative Syndrome, Transient","3"
"HDAC Inhibitor SHP-141","Neurotoxicity Syndromes","3"
"alpha-Synuclein","Movement Disorders","3"
"Gamma-Enolase","Sequela of disorder","3"
"Nitric Oxide Synthase","Depressive disorder","3"
"Synaptophysin","Neurotoxicity Syndromes","3"
"Apolipoprotein E","Norrie disease","3"
"Enkephalin, Methionine","Pituitary Diseases","3"
"Retinoblastoma Protein","Disease Progression","3"
"Mitogen-Activated Protein Kinases","Disorder nervous system","3"
"Selenoprotein P, human","Alzheimer's Disease","3"
"Receptor","Acute infectious disease","3"
"Janus Kinase 2","Spinal Cord Diseases","3"
"Corticotropin","Syndrome","3"
"N-Methylaspartate","Syndrome, Bloch-Sulzberger","3"
"Cytokine","Psychotic Disorders","3"
"Receptor","Iodine deficiency syndrome","3"
"Leucine","Syndrome","3"
"Transcription Repressor/Corepressor","Down Syndrome","3"
"Synucleins","Retinal Diseases","3"
"Peptide PHI","Disorder of pineal gland","3"
"S-Adenosylmethionine","Alzheimer's Disease","3"
"Interleukin-4","Spinal Cord Diseases","3"
"Major Prion Protein","Spinal Cord Diseases","3"
"perlecan","Schwartz-Jampel Syndrome","3"
"Genes","Niemann-Pick Diseases","3"
"Miglustat","Disease Progression","3"
"Nerve Growth Factors","Degenerative disorder","3"
"Peroxidase","Shy-Drager Syndrome","3"
"TERT protein, human","Neurotoxicity Syndromes","3"
"HSPB1 protein, human","Retinal Diseases","3"
"Receptor","Li-Fraumeni Syndrome","3"
"Superoxide Dismutase","neuropathology disease","3"
"Growth Factor","Autism Spectrum Disorders","3"
"Simvastatin","Parkinson Disease","3"
"Dopa","Dystonia Disorders","3"
"Tumor Necrosis Factor-alpha","Disorder nervous system","3"
"SPARCL1 protein, human","cortex bone disorders","3"
"Membrane Transport Proteins","Autism Spectrum Disorders","3"
"Vitamin D3 Receptor","Alzheimer's Disease","3"
"Synucleins","Camurati-Engelmann Syndrome","3"
"Fibrin","Disorder nervous system","3"
"Cell Adhesion Molecules","Syndrome","3"
"Proteins","Chorea Acanthocytosis Syndrome","3"
"moira protein, Drosophila","Sensitization (disorder)","3"
"Antibodies","Prune Belly Syndrome","3"
"D-Serine","Motor Neuron Disease","3"
"Caspase-6","Neurodegenerative Disorders","3"
"Arginine Vasopressin-Neurophysin II Preproprotein","Liver diseases","3"
"Immunoglobulins","Shy-Drager Syndrome","3"
"CTSG protein, human","cortex bone disorders","3"
"Receptor, Cannabinoid, CB2","Neurodegenerative Disorders","3"
"Vitamin A","Liver diseases","3"
"Sirolimus","Mitochondrial Diseases","3"
"cdc42 GTP-Binding Protein","Dystonia Disorders","3"
"Lysine","Spinal Cord Diseases","3"
"protein TDP-43","Thrombocytopenia-Absent Radius Syndrome","3"
"Miglustat","Niemann-Pick Disease, Type C","3"
"Rose Bengal","Retinal Diseases","3"
"HMGB1 Protein","Parkinson Disease","3"
"Ephrin-B2, human","cortex bone disorders","3"
"Proteasome inhibitor","Functional disorder","3"
"Glial Fibrillary Acidic Protein","Disorders, Mental","3"
"Green Fluorescent Proteins","Nijmegen Breakage Syndrome","3"
"Hemoglobin","Hypertensive disease","3"
"Receptor","Sturge-Weber Syndrome","3"
"Dopamine D1 Receptor","Neurotoxicity Syndromes","3"
"Brain-Derived Neurotrophic Factor","Hypertrophic disorder of skin, unspecified","3"
"Transforming Growth Factors","Sensitization (disorder)","3"
"Peptides","Alcohol use disorder","3"
"Interleukin-1","Acquired Immunodeficiency Syndrome","3"
"Neurocan","Spinal Cord Diseases","3"
"Nerve Growth Factors","Huntington Disease","3"
"Enzymes","Autistic Disorder","3"
"Amyloid Proteins","Sequela of disorder","3"
"CX3CR1 protein, human","Functional disorder","3"
"Olfactory Marker Protein","Nose Diseases","3"
"HDAC Inhibitor SHP-141","Parkinson Disease","3"
"Brain-Derived Neurotrophic Factor","Behavior Disorders","3"
"angiogenin","Behcet Syndrome","3"
"Vascular Endothelial Growth Factor C","Lung diseases","3"
"Tretinoin","Parkinson Disease","3"
"Proteins","Thrombocytopenia-Absent Radius Syndrome","3"
"Interleukin-1","Neurotoxicity Syndromes","3"
"Membrane Transport Proteins","Bipolar Disorder","3"
"Serine","Shwachman syndrome","3"
"Immunoglobulins","Van der Woude syndrome","3"
"IRF6 wt Allele","Disease Progression","3"
"Peptides","Shwachman syndrome","3"
"IL1A protein, human","Van der Woude syndrome","3"
"Receptor-Like Receptor, Calcitonin","Migraine Disorders","3"
"Receptor, Cannabinoid, CB1","cortex bone disorders","3"
"Acid sphingomyelinase","Major Depressive Disorder","3"
"Symporters","cortex bone disorders","3"
"Calcitonin-Gene Related Peptide Receptor","Functional disorder","3"
"MT3 protein, human","cortex bone disorders","3"
"interleukin-4, human","Spinal Cord Diseases","3"
"Proteasome inhibitor","Parkinson Disease","3"
"Amyloid Proteins","Hamartoma Syndrome, Multiple","3"
"Tumor Necrosis Factors","Communicable Diseases","3"
"Genes","Mirror movements (disorder)","3"
"Argipressin","Skin endocrine disorder","3"
"PIK3CG protein, human","Parkinson Disease","3"
"toxic proteins","Alzheimer's Disease","3"
"Tretinoin","Depressive disorder","3"
"BCL2-Interacting Killer","Mood Disorders","3"
"Spectrin","Ataxia as late effect of cerebrovascular disease","3"
"Immune Sera","Pyruvate Dehydrogenase Complex Deficiency Disease","3"
"ApoAI Regulatory Protein 1","cortex bone disorders","3"
"ADP-Ribosyl Cyclase 1","Pervasive Development Disorder","3"
"Receptor, Cannabinoid, CB1","Alzheimer's Disease","3"
"Substance P","Disorder of pineal gland","3"
"Poly ADP Ribose Polymerase","Herpes zoster disease","3"
"Retinaldehyde","Hereditary Diseases","3"
"Microtubule-Associated Proteins","Syndrome","3"
"Retinoblastoma Protein","Alzheimer's Disease","3"
"Transporter, Dopamine","Brain Diseases","3"
"HTATIP protein, human","Alzheimer's Disease","3"
"Glutamate Dehydrogenase","Liver diseases","3"
"Aquaporin 4","DISORDERS OF THE OPTIC NERVE","3"
"Corticotropin-Releasing Hormone","Alcohol use disorder","3"
"Potassium Channel","cortex bone disorders","3"
"Atrial Natriuretic Factor","Shy-Drager Syndrome","3"
"Methionine","Disease Progression","3"
"Serine","Disease Progression","3"
"Cholecystokinin","Pancreatic Diseases","3"
"Thyrotropin-Releasing Hormone","Werner Syndrome","3"
"Myelin Proteins","Pelizaeus-Merzbacher Disease","3"
"Proteins","Milroy Disease","3"
"Arylsulfatase A, human","Lysosomal Storage Diseases","3"
"Cysteine Proteases","Brain Diseases","3"
"tropomyosin-related kinase-B, human","Neurotoxicity Syndromes","3"
"astaxanthin","Parkinson Disease","3"
"Cyclin-Dependent Kinase 5","Mucocutaneous Lymph Node Syndrome","3"
"Immunoglobulins","Lewy Body Disease","3"
"Methylene blue","Williams Syndrome","3"
"Gluten","Celiac Disease","3"
"CRK protein, human","Functional disorder","3"
"Receptors, Opioid, mu","Sensitization (disorder)","3"
"indole","Neurotoxicity Syndromes","3"
"HD protein, human","Creutzfeldt-Jakob disease","3"
"Complement System Proteins","Neurodevelopmental disorder","3"
"Serotonin","Shared Paranoid Disorder","3"
"Pituitary Adenylate Cyclase Activating Polypeptide","Vasodilation disorder","3"
"Protein Kinase C","Disease Progression","3"
"SLPI protein, human","Parkinson Disease","3"
"Proto-Oncogene Proteins c-akt","Spinal Cord Diseases","3"
"D-Amino Acid Dehydrogenase","Functional disorder","3"
"Glial Fibrillary Acidic Protein","Lewy Body Disease","3"
"Growth Associated Protein 43","Alzheimer's Disease","3"
"Tumor Necrosis Factor-alpha","Hashimoto Disease","3"
"Becaplermin","Alzheimer's Disease","3"
"Calbindins","Bipolar Disorder","3"
"HMGB1 Protein","Fragile X Syndrome","3"
"HCRT protein, human","Brain Diseases","3"
"Undecaprenyl-phosphate galactose-phosphotransferase","Virus Diseases","3"
"NOS1 protein, human","Functional disorder","3"
"Argipressin","Sensitization (disorder)","3"
"Glucose","Pancreatic Diseases","3"
"HTR3A protein, human","Autistic Disorder","3"
"Transforming Growth Factors","Neurotoxicity Syndromes","3"
"Tubulin","Parkinson Disease","3"
"Luteinizing Hormone","Thyroid Diseases","3"
"Green Fluorescent Proteins","Disease Progression","3"
"pleiotrophin","Neurodevelopmental disorder","3"
"Islet Amyloid Polypeptide","Spinal Cord Diseases","3"
"titanium dioxide","Neurotoxicity Syndromes","3"
"Cytokine","Shy-Drager Syndrome","3"
"Eukaryotic Translation Initiation Factor 4E, human","Sensitization (disorder)","3"
"Calcium-Binding Proteins","Neurodegenerative Disorders","3"
"LTF protein, human","Pick Disease of the Brain","3"
"Complement System Proteins","Neurotoxicity Syndromes","3"
"HCRT Gene","Brain Diseases","3"
"Histone deacetylase inhibitor","cortex bone disorders","3"
"Nerve Growth Factor","Skin endocrine disorder","3"
"Methionine","Rett Syndrome","3"
"Protein Subunits","Lewy Body Disease","3"
"Neuropeptides","Anxiety Disorders","3"
"SUMO-1 Protein","Alzheimer's Disease","3"
"Extracellular Signal Regulated Kinases","Alzheimer's Disease","3"
"Proteolytic Enzyme","Syndrome","3"
"Delta-Like Protein 1, human","Functional disorder","3"
"Paired Mesoderm Homeobox Protein 2B","Functional disorder","3"
"EHMT1 protein, human","Recurrent disease","3"
"Microtubule-Associated Proteins","Parkinson Disease","3"
"Shiga Toxin 2","Hemolytic-Uremic Syndrome","3"
"Glutamine","Depressive disorder","3"
"P53 Protein","Machado-Joseph Disease","3"
"Protein Tyrosine Phosphatase","Huntington Disease","3"
"Botulinum Toxin Type A","Migraine Disorders","3"
"Retinaldehyde","Inflammatory disorder","3"
"Microtubule-Associated Proteins","Brain Diseases","3"
"Serotonin","Acute infectious disease","3"
"TCL1B protein, human","Autistic Disorder","3"
"APP protein, human","Shy-Drager Syndrome","3"
"Purinoceptor","Depressive disorder","3"
"Antibodies","Huntington Disease","3"
"Chromogranin A","Disorder nervous system","3"
"Zeaxanthin","Cognition Disorders","3"
"Y, Neuropeptide","Neurotoxicity Syndromes","3"
"Receptor, Cannabinoid","Parkinson Disease","3"
"Calcineurin","Huntington Disease","3"
"Protein Disulfide Isomerase","Shy-Drager Syndrome","3"
"Ubiquitin","Machado-Joseph Disease","3"
"Transferrin","Liver diseases","3"
"Proteolipids","Spinal Cord Diseases","3"
"Interleukin-6","Neurodegenerative Disorders","3"
"Opioid Peptide","Pituitary Diseases","3"
"Peptidylprolyl Isomerase","Neurodegenerative Disorders","3"
"Colony-Stimulating Factors","Motor Neuron Disease","3"
"Acid Sensing Ion Channels","Disorders, Mental","3"
"TFEB protein, human","Neurotoxicity Syndromes","3"
"Vasopressin Receptor","Pituitary Diseases","3"
"moira protein, Drosophila","Premenstrual syndrome","3"
"Tumor Necrosis Factor-Beta","Alzheimer's Disease","3"
"Sirolimus","Syndrome","3"
"Y, Neuropeptide","Machado-Joseph Disease","3"
"Substance P Receptor","cortex bone disorders","3"
"Chimerin 1","Camurati-Engelmann Syndrome","3"
"Coenzyme I","Depressive disorder","3"
"Proto-Oncogene Proteins c-fos","Stress Disorders, Traumatic","3"
"Genes","Stereotypic Movement Disorder","3"
"alpha-Tubulin","Depressive disorder","3"
"Binding Protein","Rubinstein-Taybi Syndrome","3"
"Hyaluronan","Vanishing white matter disease","3"
"Luteinizing Hormone","Testicular Diseases","3"
"Receptor Protein-Tyrosine Kinases","cortex bone disorders","3"
"Y, Neuropeptide","Neurodegenerative Disorders","3"
"Brain-Derived Neurotrophic Factor","Renal glomerular disease","3"
"Granulocyte-Macrophage Colony-Stimulating Factor","Creutzfeldt-Jakob disease","3"
"Phosphotransferases","Disorders, Mental","3"
"Protein Isoforms","Mohr-Tranebjaerg syndrome","3"
"Platelet Activating Factor","Functional disorder","3"
"Tretinoin","Fragile X Syndrome","3"
"Enzymes","Hallervorden-Spatz Syndrome","3"
"Peptides","Gardner Syndrome","3"
"Dopamine Receptor","Pituitary Diseases","3"
"Mitogen-Activated Protein Kinases","Major Depressive Disorder","3"
"Histone Deacetylase 2","Neurodegenerative Disorders","3"
"Gonadorelin","Sweet Syndrome","3"
"Nitric Oxide Synthase Type I","Alzheimer's Disease","3"
"2',3'-Cyclic-Nucleotide Phosphodiesterases","cortex bone disorders","3"
"Folate","Functional disorder","3"
"Protein Kinases","Neurodevelopmental disorder","3"
"tropomyosin-related kinase-B, human","Syndrome, Bloch-Sulzberger","3"
"CD34 Antigens","Parkinson Disease","3"
"Neuropeptides","Pancreatic Diseases","3"
"Neprilysin","Impulse Control Disorders","3"
"Synaptotagmins","Functional disorder","3"
"Riboflavin","Disease Progression","3"
"SRPUL protein, human","cortex bone disorders","3"
"APP protein, human","Memory Disorders","3"
"Genes","Hallervorden-Spatz Syndrome","3"
"Human Chorionic Gonadotropin","Alzheimer's Disease","3"
"Ferritin","Restless Legs Syndrome","3"
"Hexokinase","Pendred's syndrome","3"
"Valine","Alzheimer's Disease","3"
"Uridine","cortex bone disorders","3"
"Iodide Peroxidase","Thyroid Diseases","3"
"Proteins","Acute infectious disease","3"
"Alteplase","Ataxia as late effect of cerebrovascular disease","3"
"Atrial Natriuretic Factor","Hypertensive disease","3"
"sialosyl-Tn antigen","Parkinsonian Disorders","3"
"Fibroblast Growth Factor","Spinal Cord Diseases","3"
"tropomyosin-related kinase-B, human","Colonic Diseases","3"
"Myosin Heavy Chains","Virus Diseases","3"
"NR1 protein, human","Hypertensive disease","3"
"Creatine Kinase B-Type, human","Retinal Diseases","3"
"HP protein, human","Niemann-Pick Disease, Type C","3"
"Alkaline Phosphatase","Pigment dispersion syndrome (disorder)","3"
"HD protein, human","Charcot-Marie-Tooth Disease","3"
"Neutrophil gelatinase-associated lipocalin","Neurotoxicity Syndromes","3"
"Genes","Sensorineural hearing loss (disorder)","3"
"G Protein-Activated Inward Rectifier Potassium Channel 4","Alzheimer's Disease","3"
"Receptors, Cell Surface","Alzheimer's Disease","3"
"Crystallins","Huntington Disease","3"
"Polypeptides","Spinal Cord Diseases","3"
"Complex, Multicatalytic Endopeptidase","Huntington Disease","3"
"CD45 Antigens","Alzheimer's Disease","3"
"DNA, Mitochondrial","Hereditary Diseases","3"
"Carrier Proteins","DISORDERS OF THE OPTIC NERVE","3"
"Galactose","cortex bone disorders","3"
"Factor, Transcription","Prion Diseases","3"
"Extracellular Signal Regulated Kinases","cortex bone disorders","3"
"Granulocyte-Macrophage Colony-Stimulating Factor","Van der Woude syndrome","3"
"Phenylalanine","Fetal Alcohol Syndrome","3"
"moira protein, Drosophila","Liver diseases","3"
"Somatostatin","Migraine Disorders","3"
"Connexin 43","Prion Diseases","3"
"Tyrosine 3-Monooxygenase","Neurodegenerative Disorders","3"
"Substance P","Huntington Disease","3"
"PTPRR protein, human","Depressive disorder","3"
"HCRT Gene","Alcohol withdrawal syndrome","3"
"Transporter, Serotonin","Disorders, Mental","3"
"DNA Polymerase Epsilon Catalytic Subunit A","Parkinson Disease","3"
"Somatotropin-Releasing Hormone","Spinal Cord Diseases","3"
"Calcium","Rett Syndrome","3"
"Serotonin receptor","Functional disorder","3"
"SLC2A1 protein, human","Syndrome","3"
"NFIX protein, human","Functional disorder","3"
"Cu-Zn Superoxide Dismutase","Alzheimer's Disease","3"
"Protein Family","Disorder nervous system","3"
"NADPH Oxidase","Hypertensive disease","3"
"Cathepsin L","Spinal Cord Diseases","3"
"Interleukin-1 beta","Parkinson Disease","3"
"Glycogen Phosphorylase","Liver diseases","3"
"Immune Sera","Creutzfeldt-Jakob disease","3"
"Oxytocin","Bipolar Disorder","3"
"Cytoplasmic Protein","cortex bone disorders","3"
"Hexokinase","cortex bone disorders","3"
"Vascular Cell Adhesion Molecule-1","Functional disorder","3"
"Glycogen Synthase Kinase 3","Mood Disorders","3"
"NA K EXCHANGING ATPASE","Functional disorder","3"
"Biotin","Chronic myeloproliferative disorder","3"
"Actin, Cytoplasmic 1","Parkinson Disease","3"
"Acetylcholinesterase","Neurodegenerative Disorders","3"
"Glycosylation End Products, Advanced","Huntington Disease","3"
"Human Growth Hormone","Alzheimer's Disease","3"
"GABA-B Receptor","Retinal Diseases","3"
"Monoclonal Antibodies","Hamartoma Syndrome, Multiple","3"
"Retinoblastoma Protein","cortex bone disorders","3"
"Oxytocin","Disorder of pineal gland","3"
"Cathepsins","Parkinson Disease","3"
"Telomerase","Autism Spectrum Disorders","3"
"Hypoxia Inducible Factor Family","Neurotoxicity Syndromes","3"
"AC133 antigen","Retinal Diseases","3"
"Phosphorylases","Parkinson Disease","3"
"Associated Protein, FKBP12-Rapamycin","Down Syndrome","3"
"Myelin","Cerebrovascular Disorders","3"
"Genes","Uterine Diseases","3"
"CD57 Antigens","Hamartoma Syndrome, Multiple","3"
"Benzodiazepine Receptor","cortex bone disorders","3"
"Melanins","Parkinsonian Disorders","3"
"Glucagon-Like Peptide 2","Hypertensive disease","3"
"Matrix Metalloproteinases","Disorder nervous system","3"
"Interferons","CNS disorder","3"
"Synucleins","Familial Alzheimer Disease (FAD)","3"
"Zinostatin","Parkinson Disease","3"
"DNA, Complementary","Lung diseases","3"
"Synucleins","Creutzfeldt-Jakob disease","3"
"Matrix Metalloproteinase 9","Neurodegenerative Disorders","3"
"Peroxidases","cortex bone disorders","3"
"Calcium","Prune Belly Syndrome","3"
"RNA-Binding Proteins","Inclusion body myositis (disorder)","3"
"Antibodies","Sweet Syndrome","3"
"SH3 and Multiple Ankyrin Repeat Domains Protein 3","Disorders, Mental","3"
"Growth Associated Protein 43","Functional disorder","3"
"D-Serine","Syndrome, Bloch-Sulzberger","3"
"Glutamine","Migraine Disorders","3"
"Extracellular Signal Regulated Kinases","Parkinson Disease","3"
"Protein Subunits","Hereditary Diseases","3"
"Tyrosine 3-Monooxygenase","Major Depressive Disorder","3"
"Glutamate + glutamine","Dysequilibrium syndrome","3"
"Acetylcholinesterase Inhibitors","Disease Progression","3"
"Immunoglobulins","Diseases of inner ear","3"
"Recombinant Corticotropin","cortex bone disorders","3"
"Dopamine Antagonists","Parkinsonian Disorders","3"
"Somatostatin Receptor","Skin endocrine disorder","3"
"ADP-Ribosyl Cyclase 1","Neurodegenerative Disorders","3"
"Cytokine","Colonic Diseases","3"
"Valine","Disorders, Mental","3"
"Methylene blue","Nail-Patella Syndrome","3"
"POLR2A protein, human","Alzheimer's Disease","3"
"Curcumin","Van der Woude syndrome","3"
"VEGF protein, human","Disease Progression","3"
"exenatide","Spinal Cord Diseases","3"
"Secretory Phospholipase A2","Neurotoxicity Syndromes","3"
"Factor, Transcription","Idiopathic Hypereosinophilic Syndrome","3"
"Tetanus Toxin","Spinal Cord Diseases","3"
"Protein Kinase C","Cat-Scratch Disease","3"
"Associated Protein, FKBP12-Rapamycin","Parkinson Disease","3"
"Protein Isoforms","Down Syndrome","3"
"Chromatin","Prader-Willi Syndrome","3"
"Ephrin-B3","Spinal Cord Diseases","3"
"Fluorouracil","Neurotoxicity Syndromes","3"
"Hypoxia Inducible Factor Family","Disease Progression","3"
"Zinostatin","Sensitization (disorder)","3"
"TM4SF1 protein, human","Penile Diseases","3"
"LGI1 protein, human","Creutzfeldt-Jakob disease","3"
"Receptor, trkB","Major Depressive Disorder","3"
"Small Nuclear Ribonucleoprotein Associated Protein N","Disease Progression","3"
"Nitric Oxide Synthase Type I","Disease Progression","3"
"Extracellular Signal Regulated Kinases","Nail-Patella Syndrome","3"
"Microtubule-Associated Proteins","Hypertensive disease","3"
"Histone deacetylase inhibitor","Bipolar Disorder","3"
"Acetylcholinesterase","Down Syndrome","3"
"VEGF protein, human","Syndrome","3"
"Factor, Transcription","Drug effect disorder","3"
"Dopamine D2 Receptor","Dyskinetic syndrome","3"
"Glycoproteins","cortex bone disorders","3"
"Erythropoietin","Depressive disorder","3"
"Receptor","Communicable Diseases","3"
"Substance P","Lung diseases","3"
"APP protein, human","Fragile X Syndrome","3"
"Calcium/calmodulin-dependent protein kinase","Spinal Cord Diseases","3"
"Cytokine","Delirium, Dementia, Amnestic, Cognitive Disorders","3"
"Bone Morphogenetic Proteins","Alzheimer's Disease","3"
"Migration Inhibitory Factor","Parkinson Disease","3"
"Matrix Metalloproteinase 9","Brain Diseases","3"
"Binding Protein","Alzheimer's Disease","3"
"Green Fluorescent Proteins","Liver diseases","3"
"JAK2 protein, human","Janiceps (disorder)","3"
"Growth Hormone","Prune Belly Syndrome","3"
"Leptin","Disorder nervous system","3"
"Vasoactive Intestinal Peptide","Functional disorder","3"
"Serotonin","Rett Syndrome","3"
"astaxanthin","Disease Progression","3"
"Minocycline","cortex bone disorders","3"
"Galactose","Neurotoxicity Syndromes","3"
"NADH Dehydrogenase (Ubiquinone)","Liver diseases","3"
"Multi-domain protein","Parkinson Disease","3"
"Neuregulin 1","Major Depressive Disorder","3"
"Hemoglobin","Spinal Cord Diseases","3"
"Histones","Functional disorder","3"
"Ligase, Ubiquitin-Protein","Functional disorder","3"
"Protein Subunits","Williams Syndrome","3"
"Glutamate Decarboxylase","Disease Progression","3"
"Lovastatin","Fragile X Syndrome","3"
"Associated Protein, FKBP12-Rapamycin","Hereditary Diseases","3"
"Glyceraldehyde-3-phosphate dehydrogenase","Prune Belly Syndrome","3"
"Cytokine","Acquired Immunodeficiency Syndrome","3"
"Matrix Metalloproteinases","Parkinson Disease","3"
"Retinoblastoma Protein","Neurodegenerative Disorders","3"
"Endothelin","Functional disorder","3"
"Myelin Associated Glycoprotein","Alzheimer's Disease","3"
"Calcitonin Gene-Related Peptide","Pancreatic Diseases","3"
"Dystroglycans","cortex bone disorders","3"
"Atrial Natriuretic Factor","Pituitary Diseases","3"
"Synuclein Gamma","Metabolic Syndrome X","3"
"Enkephalins","Mucocutaneous Lymph Node Syndrome","3"
"Angiotensin II","Neurodegenerative Disorders","3"
"Heat-Shock Proteins 70","DISORDERS OF THE OPTIC NERVE","3"
"Aromatase","Retinal Diseases","3"
"Glutaminase","Fabry Disease","3"
"Cathepsin D","Parkinson Disease","3"
"Proteins","Meconium Aspiration Syndrome","3"
"Sirolimus","Shy-Drager Syndrome","3"
"Muscarinic Acetylcholine Receptor","Cognition Disorders","3"
"tau Proteins","Pick Disease of the Brain","3"
"Acid Sensing Ion Channels","Depressive disorder","3"
"Erythropoietin","Prune Belly Syndrome","3"
"Adiponectin","Brain Diseases","3"
"Interleukin-8B Receptor","Sensitization (disorder)","3"
"Heat-Shock Proteins 70","Behcet Syndrome","3"
"Protein-Serine-Threonine Kinases","Disease Progression","3"
"Cryptochromes","Retinal Diseases","3"
"Tumor Necrosis Factor-alpha","Niemann-Pick Disease, Type C","3"
"JAK2 protein, human","Spinal Cord Diseases","3"
"Sphingomyelinase","Niemann-Pick Diseases","3"
"Phospholipases A2","Functional disorder","3"
"CD36 Antigens","Alzheimer's Disease","3"
"TNF Receptor-Associated Factor 6","Van der Woude syndrome","3"
"Extracellular Protein","Alzheimer's Disease","3"
"Receptor","Sudden infant death syndrome","3"
"Adhesion protein","Neurodevelopmental disorder","3"
"Myelin Proteolipid Protein","Spinal Cord Diseases","3"
"Microtubule-Associated Proteins 1A/1B Light Chain 3","Prune Belly Syndrome","3"
"Androgen Receptor","Neurodegenerative Disorders","3"
"Neurotrophic Factor","Degenerative disorder","3"
"INSR protein, human","Depressive disorder","3"
"Biotin","Spinal Cord Diseases","3"
"sildenafil","Disease Progression","3"
"Fluorescent Dyes","Alzheimer's Disease","3"
"Complement System Proteins","Prion Diseases","3"
"Substance P","Tracheal Diseases","3"
"Superoxide Dismutase","Disorder nervous system","3"
"Calcium Channel","Ataxia as late effect of cerebrovascular disease","3"
"Endoglin","Pituitary Diseases","3"
"1-Phosphatidylinositol 3-Kinase","Autistic Disorder","3"
"polysialic acid","Spinal Cord Diseases","3"
"Immune Sera","Neurotoxicity Syndromes","3"
"LIF protein, human","Alzheimer's Disease","3"
"Taurine","Melkersson-Rosenthal Syndrome","3"
"Ephrin-A5","cortex bone disorders","3"
"Genes","Hereditary Neurodegenerative Disorder","3"
"Aminolevulinic Acid","cortex bone disorders","3"
"Proto-Oncogene Proteins c-fos","Van der Woude syndrome","3"
"Receptor","Autoimmune Diseases","3"
"FZD9 protein, human","Williams Syndrome","3"
"Epidermal Growth Factor","Alzheimer's Disease","3"
"glatiramer acetate","Clinically isolated syndrome","3"
"Factor, Transcription","Syndrome","3"
"Proteins","Renal tubular disorder","3"
"Glucose","Fetal Alcohol Syndrome","3"
"Intercellular adhesion molecule 1","Functional disorder","3"
"HSP90 Heat-Shock Proteins","Spinal Cord Diseases","3"
"Actins","Spinal Cord Diseases","3"
"Reduced Glutathione","Parkinson Disease","3"
"Receptor","Stereotypic Movement Disorder","3"
"Potassium Channel","Spinal Cord Diseases","3"
"Truncated BID","Neurotoxicity Syndromes","3"
"Interleukin-1","Skin endocrine disorder","3"
"NFIX protein, human","Neurotoxicity Syndromes","3"
"Gonadotropin-Releasing Hormone Receptor","Ovarian Diseases","3"
"Histone deacetylase inhibitor","DISORDERS OF THE OPTIC NERVE","3"
"Polypeptides","Retinal Diseases","3"
"Serotonin","Pancreatic Diseases","3"
"Proteins","Dystonia Disorders","3"
"Phospholipase A2 Group VI","Parkinsonian Disorders","3"
"Arginine Vasopressin-Neurophysin II Preproprotein","Depressive disorder","3"
"Ceruloplasmin","Functional disorder","3"
"Genes","Leigh Disease","3"
"Aminoglutethimide","Neurodegenerative Disorders","3"
"Glucose","Melkersson-Rosenthal Syndrome","3"
"Vasoactive Intestinal Peptide","Vasodilation disorder","3"
"cdc42 GTP-Binding Protein","Functional disorder","3"
"exenatide","Shy-Drager Syndrome","3"
"Carrier Proteins","Liver diseases","3"
"GLYCOGEN STARCH SYNTHASE","Gardner Syndrome","3"
"Phosphoinositide-3-Kinase, Catalytic, Beta Polypeptide","Parkinson Disease","3"
"HMGB1 Protein","Neurodegenerative Disorders","3"
"Parvalbumins","Sensitization (disorder)","3"
"CADM1 protein, human","Autism Spectrum Disorders","3"
"Calcium","Mucocutaneous Lymph Node Syndrome","3"
"celecoxib","Neurotoxicity Syndromes","3"
"Opioid Receptor","Pituitary Diseases","3"
