"gene","disease","count"
"MANF Gene","Parkinson Disease","2"
"MAP1LC3A wt Allele","Huntington Disease","2"
"ANTXR1 wt Allele","Nijmegen Breakage Syndrome","2"
"PMAIP1 wt Allele","cortex bone disorders","2"
"KRT5 wt Allele","Hashimoto Disease","2"
"SOD1 gene","Niemann-Pick Disease, Type C","2"
"RRM2 wt Allele","Syndrome, Bloch-Sulzberger","2"
"EPO wt Allele","Lung diseases","2"
"AVP wt Allele","Hypertensive disease","2"
"CD36 wt Allele","Pervasive Development Disorder","2"
"AR wt Allele","Lung diseases","2"
"Genotype","Mild cognitive disorder","2"
"CD36 Gene","Hamartoma Syndrome, Multiple","2"
"TLR4 wt Allele","Disease Progression","2"
"GFAP gene","Lewy Body Disease","2"
"C-KIT Gene","Hashimoto Disease","2"
"POLG gene","Premature aging syndrome","2"
"TH gene","Lewy Body Disease","2"
"S100A9 wt Allele","Disorder of pineal gland","2"
"ELK3 wt Allele","Parkinson Disease","2"
"TLR4 Gene","Sensitization (disorder)","2"
"NCL Gene","Neurodegenerative Disorders","2"
"FASN wt Allele","Niemann-Pick Disease, Type C","2"
"MTR Gene","Inflammatory disorder","2"
"PTGS2 Gene","Parkinson Disease","2"
"AVP Gene","Skin endocrine disorder","2"
"DKK1 wt Allele","Disease Progression","2"
"CREB1 wt Allele","Huntington Disease","2"
"ABCC8 gene","Disease Progression","2"
"PSAP gene","Niemann-Pick disease, type C2","2"
"AMH wt Allele","Neurodegenerative Disorders","2"
"MS4A1 wt Allele","Feline urological syndrome","2"
"KLRK1 Gene","Spinal Cord Diseases","2"
"Genotype","Gilles de la Tourette syndrome","2"
"XRCC1 Gene","Feline urological syndrome","2"
"IGF2 Gene","Meningeal disorder","2"
"DRD2 Gene","Movement Disorders","2"
"Wild Type","Meckel syndrome type 1","2"
"OXT Gene","Disorder of pineal gland","2"
"KHDRBS1 wt Allele","Machado-Joseph Disease","2"
"SST Gene","Virus Diseases","2"
"MAPK8 wt Allele","Stress Disorders, Traumatic","2"
"ERBB2IP Gene","Anxiety Disorders","2"
"RTN4 Gene","DISORDERS OF THE OPTIC NERVE","2"
"TLR7 wt Allele","Neurodegenerative Disorders","2"
"SET Gene","Motor Neuron Disease","2"
"MOK Gene","Disease Progression","2"
"SARM1 Gene","Retinal Diseases","2"
"Long Interspersed Element","Psychotic Disorders","2"
"STS wt Allele","Timothy syndrome","2"
"MMP9 Gene","Fragile X Syndrome","2"
"SH2D3C wt Allele","Parkinson Disease","2"
"CAT Gene","Gilles de la Tourette syndrome","2"
"GAPDH Gene","Hashimoto Disease","2"
"ELL wt Allele","Eating Disorders","2"
"Estrogen Receptors","Hypertensive disease","2"
"MIR137 Gene","Psychotic Disorders","2"
"Genome, Human","Parkinson Disease","2"
"PAG1 wt Allele","Vasodilation disorder","2"
"PNP Gene","Cerebrovascular Disorders","2"
"PNP wt Allele","Prune Belly Syndrome","2"
"HSPA5 wt Allele","Neurodegenerative Disorders","2"
"BCL2 wt Allele","Fetal Alcohol Syndrome","2"
"EGF Gene","Alzheimer's Disease","2"
"AMH Gene","Neurodegenerative Disorders","2"
"CD8A wt Allele","Communicable Diseases","2"
"AKT1S1 wt Allele","Fetal Alcohol Syndrome","2"
"MAPK14 Gene","Depressive disorder","2"
"CALCA Gene","Tracheal Diseases","2"
"SCN1A gene","Parkinson Disease","2"
"CD8A Gene","Autoimmune Diseases","2"
"SLC12A2 Gene","Autistic Disorder","2"
"SIL1 wt Allele","Peripheral Arterial Diseases","2"
"MAPK8 wt Allele","Iodine deficiency syndrome","2"
"Genome","22q13.3 Deletion Syndrome","2"
"F2R Gene","Noonan Syndrome","2"
"YWHAE wt Allele","Deglutition Disorders","2"
"OLIG2 Gene","Disease Progression","2"
"CALR wt Allele","Chromosome 11p11.2 Deletion Syndrome","2"
"RIPK3 Gene","Spinal Cord Diseases","2"
"IL23A Gene","Neurodegenerative Disorders","2"
"TP73 Gene","cortex bone disorders","2"
"MID1 wt Allele","cortex bone disorders","2"
"CACNA1G Gene","Bipolar Disorder","2"
"PIEZO1 Gene","Chimera (disorder)","2"
"PSEN1 gene","Neurodegenerative Disorders","2"
"NGF Gene","neuropathology disease","2"
"FGF1 Gene","Neurodegenerative Disorders","2"
"POSTN wt Allele","Disorder nervous system","2"
"PITX2 wt Allele","Prune Belly Syndrome","2"
"CTSD Gene","Lysosomal Storage Diseases","2"
"BDNF Gene","Metabolic Diseases","2"
"NTRK2 Gene","Niemann-Pick Disease, Type C","2"
"GDNF Gene","Recurrent disease","2"
"NOVA2 Gene","Prune Belly Syndrome","2"
"GRM1 wt Allele","Neurodegenerative Disorders","2"
"Genome","Shy-Drager Syndrome","2"
"MAPK14 Gene","Stress Disorders, Traumatic","2"
"PRRT2 wt Allele","Spinal Cord Diseases","2"
"ARX gene","Syndrome","2"
"ADRB2 wt Allele","Leigh Disease","2"
"MALAT1 wt Allele","Disorder nervous system","2"
"SCTR wt Allele","Functional disorder","2"
"PLAG1 Gene","Pituitary Diseases","2"
"TNF Gene","Major Depressive Disorder","2"
"HP wt Allele","Disorder nervous system","2"
"NR3C1 wt Allele","Melkersson-Rosenthal Syndrome","2"
"TH gene","Mucocutaneous Lymph Node Syndrome","2"
"CAV1 Gene","Huntington Disease","2"
"SQSTM1 wt Allele","Machado-Joseph Disease","2"
"BLM wt Allele","Spinal Cord Diseases","2"
"ABCB1 gene","Neurodegenerative Disorders","2"
"TP63 wt Allele","cortex bone disorders","2"
"PPARG wt Allele","Depressive disorder","2"
"CSPG4 wt Allele","CNS disorder","2"
"TNF wt Allele","Pituitary Diseases","2"
"DMD gene","Ataxia as late effect of cerebrovascular disease","2"
"NOTCH3 wt Allele","cortex bone disorders","2"
"LIPG wt Allele","Capillary Leak Syndrome","2"
"AVP Gene","Zellweger Syndrome","2"
"Codon","Creutzfeldt-Jakob disease","2"
"EIF4E wt Allele","Neurotoxicity Syndromes","2"
"TCF7L2 Gene","Skin endocrine disorder","2"
"LITAF gene","Niemann-Pick Disease, Type C","2"
"Tumor Necrosis Factor-alpha","Syndrome, Bloch-Sulzberger","2"
"Wild Type","Neu-Laxova syndrome","2"
"CD36 Gene","Metabolic Diseases","2"
"EHMT1 Gene","Neurodevelopmental disorder","2"
"CRH wt Allele","Retinal Diseases","2"
"PRRT2 Gene","Migraine Disorders","2"
"NRP2 Gene","Spinal Cord Diseases","2"
"UCP1 wt Allele","cortex bone disorders","2"
"FAS Gene","Niemann-Pick Disease, Type C","2"
"PSEN1 gene","Mild cognitive disorder","2"
"ELN wt Allele","Beckwith-Wiedemann Syndrome","2"
"COX7A2L Gene","Androgen-Insensitivity Syndrome","2"
"BCHE wt Allele","Alzheimer's Disease","2"
"IFNAR1 Gene","Zellweger Syndrome","2"
"PRNP gene","Pick Disease of the Brain","2"
"CD44 Gene","Hamartoma Syndrome, Multiple","2"
"LGI1 Gene","Functional disorder","2"
"ATP8A2 wt Allele","Disease Progression","2"
"MAPT wt Allele","Hypertrophic disorder of skin, unspecified","2"
"MAP1LC3A wt Allele","Myeloproliferative Syndrome, Transient","2"
"PMP22 gene","Charcot-Marie-Tooth Disease","2"
"L1CAM gene","Disorder nervous system","2"
"PRNP gene","New Variant Creutzfeldt-Jakob Disease","2"
"MAPT wt Allele","Language Disorders","2"
"ZGLP1 wt Allele","Brain Diseases","2"
"NFIC Gene","Sandhoff Disease","2"
"MAPK3 wt Allele","Hypertensive disease","2"
"HMGCR Gene","cortex bone disorders","2"
"FGF2 wt Allele","Neurotoxicity Syndromes","2"
"PODXL Gene","Machado-Joseph Disease","2"
"MAPT gene","Shwachman syndrome","2"
"Genome","Mood Disorders","2"
"Clustered Regularly Interspaced Short Palindromic Repeats","Fragile X Syndrome","2"
"ELK3 Gene","Parkinson Disease","2"
"STAT3 Gene","Spinal Cord Diseases","2"
"BACE2 Gene","Syndrome","2"
"PRNP wt Allele","Brain Diseases","2"
"TP53 gene","Van der Woude syndrome","2"
"GRM5 Gene","Esophageal Diseases","2"
"NR3C1 Gene","Zellweger Syndrome","2"
"FARSB Gene","Syndrome","2"
"TBX1 Gene","Shprintzen syndrome","2"
"IL33 Gene","Neurodegenerative Disorders","2"
"NGFR wt Allele","Neurotoxicity Syndromes","2"
"FXN gene","Functional disorder","2"
"SCTR wt Allele","Diseases of inner ear","2"
"CAV1 Gene","Functional disorder","2"
"FMR1 wt Allele","neuropathology disease","2"
"VIP Gene","Retinal Diseases","2"
"Retinoic Acid Response Element","Oculo-dento-digital syndrome","2"
"BACE1 Gene","Liver diseases","2"
"TNFRSF1A wt Allele","cortex bone disorders","2"
"G-Protein Coupled Receptor Gene","Disorder nervous system","2"
"SET Gene","Rett Syndrome","2"
"PTEN gene","Migraine Disorders","2"
"KIT wt Allele","Hashimoto Disease","2"
"AVPR2 wt Allele","DISORDERS OF THE OPTIC NERVE","2"
"DST wt Allele","Depressive disorder","2"
"CSF1R Gene","Alzheimer's Disease","2"
"HP Gene","Skin endocrine disorder","2"
"NFE2L2 wt Allele","Neurodegenerative Disorders","2"
"RNH1 wt Allele","Major Depressive Disorder","2"
"FGF23 gene","Hypertensive disease","2"
"CDAN1 wt Allele","cortex bone disorders","2"
"SOD1 gene","Alzheimer's Disease","2"
"SH2D3C wt Allele","Syndrome","2"
"CD69 wt Allele","Stiff-Person Syndrome","2"
"PLOD1 gene","Klinefelter Syndrome","2"
"HTT gene","CNS disorder","2"
"CADM1 wt Allele","Pervasive Development Disorder","2"
"RELN Gene","Brain Diseases","2"
"CCR2 gene","Functional disorder","2"
"BRCA1 wt Allele","Syndrome","2"
"RANGAP1 wt Allele","Lewy Body Disease","2"
"CTLA4 wt Allele","Retinal Diseases","2"
"SMN2 gene","Disease Progression","2"
"estrogen receptor alpha, human","Van der Woude syndrome","2"
"MTCP1NB wt Allele","Depressive disorder","2"
"TERC wt Allele","Eosinophilic disorder","2"
"CXCL8 gene","Down Syndrome","2"
"TBCEL Gene","Coffin-Lowry syndrome","2"
"AREG wt Allele","Recurrent disease","2"
"Genes","Wolcott-Rallison syndrome","2"
"S100A9 wt Allele","Parkinson Disease","2"
"RNH1 Gene","Nail-Patella Syndrome","2"
"STS wt Allele","Neurodegenerative Disorders","2"
"BRCA1 wt Allele","Aqueous Humor Disorders","2"
"MAPK1 wt Allele","Niemann-Pick Disease, Type C","2"
"NCL Gene","cortex bone disorders","2"
"CCL27 wt Allele","Disease Progression","2"
"CDKN2A wt Allele","Mucocutaneous Lymph Node Syndrome","2"
"CTNND1 wt Allele","Spinal Cord Diseases","2"
"GRM1 Gene","CNS disorder","2"
"IRF6 wt Allele","Thoracic Outlet Syndrome","2"
"ESR1 Gene","Syndrome, Bloch-Sulzberger","2"
"MAP1LC3A Gene","Spinal Cord Diseases","2"
"CD68 Gene","Niemann-Pick Disease, Type C","2"
"SCG2 Gene","Van der Woude syndrome","2"
"Homozygote","Pituitary Diseases","2"
"Genome","Mucocutaneous Lymph Node Syndrome","2"
"RAG2 Gene","Immunologic Deficiency Syndromes","2"
"GRM5 wt Allele","Spinal Cord Diseases","2"
"SLC18A2 Gene","Neurotoxicity Syndromes","2"
"CDK5R1 wt Allele","Niemann-Pick Disease, Type C","2"
"SST wt Allele","Skin endocrine disorder","2"
"GC Gene","Gaucher Disease","2"
"HSPB8 wt Allele","cortex bone disorders","2"
"BBC3 Gene","cortex bone disorders","2"
"AVP Gene","Syndrome","2"
"MSR1 wt Allele","Hypertensive disease","2"
"L1CAM gene","Alzheimer's Disease","2"
"CDKN2A gene","Niemann-Pick Disease, Type C","2"
"Wild Type","Cerebellar Diseases","2"
"ESR1 Gene","Van der Woude syndrome","2"
"AMD1 Gene","Retinal Diseases","2"
"CD8A wt Allele","Melkersson-Rosenthal Syndrome","2"
"APP wt Allele","Depressive disorder","2"
"ENO2 Gene","Psychotic Disorders","2"
"SQSTM1 wt Allele","Stress Disorders, Traumatic","2"
"SYP Gene","Nail-Patella Syndrome","2"
"TBCEL wt Allele","Coffin-Lowry syndrome","2"
"CP Gene","Disorders, Mental","2"
"Wild Type","Williams Syndrome","2"
"GRM1 Gene","Syndrome, Bloch-Sulzberger","2"
"PAFAH1B1 wt Allele","Deglutition Disorders","2"
"TXNRD2 wt Allele","Eosinophilic disorder","2"
"PSEN1 wt Allele","Hamartoma Syndrome, Multiple","2"
"ATM gene","Ataxia as late effect of cerebrovascular disease","2"
"ARG1 Gene","Spinal Cord Diseases","2"
"SEMA6A wt Allele","Spinal Cord Diseases","2"
"GNRH1 Gene","Uterine Diseases","2"
"S100A1 wt Allele","Functional disorder","2"
"Genotype","Parkinsonian Disorders","2"
"PITX2 wt Allele","Mood Disorders","2"
"SEPT9 gene","cortex bone disorders","2"
"GPNMB Gene","Parkinson Disease","2"
"SPINK1 wt Allele","Alzheimer's Disease","2"
"HCRT Gene","Van der Woude syndrome","2"
"Promoter","Disorder of pineal gland","2"
"DDIT4 Gene","Depressive disorder","2"
"FST wt Allele","Werner Syndrome","2"
"Major Histocompatibility Complex","Van der Woude syndrome","2"
"Heterozygote","DISORDERS OF THE OPTIC NERVE","2"
"PODXL wt Allele","Machado-Joseph Disease","2"
"TNF Gene","Syndrome, Bloch-Sulzberger","2"
"CXCL10 Gene","Spinal Cord Diseases","2"
"PHOX2B gene","Sudden infant death syndrome","2"
"FAM49B wt Allele","Alzheimer's Disease","2"
"FOXP2 Gene","Sensitization (disorder)","2"
"Genome","DISORDERS OF THE OPTIC NERVE","2"
"Codon","Huntington Disease","2"
"RALBP1 Gene","Neurotoxicity Syndromes","2"
"CTSL1 wt Allele","Spinal Cord Diseases","2"
"TP53 gene","Nail-Patella Syndrome","2"
"SET Gene","Syndrome, Bloch-Sulzberger","2"
"F2 gene","Liver diseases","2"
"EPO Gene","Leigh Disease","2"
"KDM1A wt Allele","Neurodegenerative Disorders","2"
"LGALS3 Gene","Neurodegenerative Disorders","2"
"Quantitative Trait Loci","Bipolar Disorder","2"
"Genes, X-Linked","Alzheimer's Disease","2"
"NGF Gene","Diseases of inner ear","2"
"SBDS wt Allele","Stiff-Person Syndrome","2"
"PGR Gene","cortex bone disorders","2"
"MECP2 wt Allele","Lubs X-linked mental retardation syndrome","2"
"PDCD4 Gene","Depressive disorder","2"
"LITAF gene","Nail-Patella Syndrome","2"
"ABCB6 wt Allele","cortex bone disorders","2"
"LEP Gene","Syndrome","2"
"DENR wt Allele","Spinal Cord Diseases","2"
"SHH Gene","Syndrome","2"
"LIMS1 wt Allele","Colonic Diseases","2"
"DHPS wt Allele","Parkinson Disease","2"
"Retinoic Acid Response Element","Mendelian disorders","2"
"STAT6 Gene","Van der Woude syndrome","2"
"NR3C1 wt Allele","Neurotoxicity Syndromes","2"
"NCOA2 Gene","Autistic Disorder","2"
"PINK1 gene","Disorder nervous system","2"
"PTEN gene","Disease Progression","2"
"TMPO Gene","Disease of thymus gland","2"
"GRIN2A Gene","cortex bone disorders","2"
"MTR Gene","Williams Syndrome","2"
"SP1 wt Allele","Neurodegenerative Disorders","2"
"SH3PXD2A wt Allele","Nose Diseases","2"
"IFNAR1 wt Allele","Major Depressive Disorder","2"
"FOXO3 wt Allele","Alzheimer's Disease","2"
"ATM gene","neuropathology disease","2"
"ADRB2 Gene","Van der Woude syndrome","2"
"TERC Gene","Eosinophilic disorder","2"
"SET Gene","Nijmegen Breakage Syndrome","2"
"c-fos Genes","Meningeal disorder","2"
"SPANXB1 wt Allele","Sotos' syndrome","2"
"Reading Frames","neuropathology disease","2"
"MAPT gene","Brain Diseases","2"
"MAPT wt Allele","Alzheimer Disease, Late Onset","2"
"GC wt Allele","Renal glomerular disease","2"
"CD8A wt Allele","Functional disorder","2"
"TFRC wt Allele","Noonan Syndrome","2"
"MPZ gene","Meckel syndrome type 1","2"
"L1CAM gene","X-linked hydrocephalus syndrome","2"
"NOS1 wt Allele","Alzheimer's Disease","2"
"Homozygote","Lung diseases","2"
"FXN gene","Hereditary Diseases","2"
"E2F1 wt Allele","Neurodegenerative Disorders","2"
"PNP wt Allele","Cerebrovascular Disorders","2"
"GADD45A Gene","cortex bone disorders","2"
"RASA1 Gene","Migraine Disorders","2"
"NRXN1 Gene","Neurodevelopmental disorder","2"
"TNF Gene","Williams Syndrome","2"
"HCRT Gene","Liver diseases","2"
"Retinoic Acid Response Element","DISORDERS OF THE OPTIC NERVE","2"
"FMR1 gene","Disorder nervous system","2"
"CDH2 Gene","Functional disorder","2"
"STAT Family Gene","Neurodegenerative Disorders","2"
"HSF1 Gene","Depressive disorder","2"
"HAMP Gene","Cognition Disorders","2"
"ELANE Gene","Disease Progression","2"
"NOTCH3 wt Allele","Syndrome","2"
"KRT17 wt Allele","Syndrome","2"
"TGFBI wt Allele","Brain Diseases","2"
"NTRK3 Gene","Alzheimer's Disease","2"
"HP Gene","Lewy Body Disease","2"
"DNAJB6 wt Allele","Neurodegenerative Disorders","2"
"Tumor Necrosis Factor-alpha","Gerstmann-Straussler-Scheinker Disease","2"
"Trinucleotide Repeat Expansion","Syndrome","2"
"GRIN2A Gene","Alzheimer's Disease","2"
"ENO2 Gene","Pili torti-deafness syndrome","2"
"PLOD1 gene","Metabolic Syndrome X","2"
"F10 wt Allele","Fragile X Syndrome","2"
"NR4A3 Gene","Migraine Disorders","2"
"AREG wt Allele","Lung diseases","2"
"TXN wt Allele","Spinal Cord Diseases","2"
"ARID1B wt Allele","cortex bone disorders","2"
"MAPK8 wt Allele","Degenerative brain disorder","2"
"NTF3 wt Allele","Motor Neuron Disease","2"
"HTT wt Allele","Attention deficit hyperactivity disorder","2"
"CD36 wt Allele","Hamartoma Syndrome, Multiple","2"
"HCRT Gene","Mood Disorders","2"
"AR wt Allele","Niemann-Pick Disease, Type C","2"
"ENG wt Allele","Niemann-Pick Disease, Type C","2"
"PODXL Gene","Ataxia as late effect of cerebrovascular disease","2"
"F2R wt Allele","Dyskinetic syndrome","2"
"NF2 gene","Van der Woude syndrome","2"
"PSME3 wt Allele","Lewy Body Disease","2"
"STRA6 Gene","Lung diseases","2"
"HSPG2 wt Allele","Machado-Joseph Disease","2"
"Genotype","Creutzfeldt-Jakob disease","2"
"NR4A1 wt Allele","Sensitization (disorder)","2"
"PCYT1A wt Allele","Neurotoxicity Syndromes","2"
"NLRP3 Gene","Prune Belly Syndrome","2"
"CDKN1C wt Allele","Beckwith-Wiedemann Syndrome","2"
"NLRP3 Gene","neuropathology disease","2"
"NR0B1 wt Allele","Disorder nervous system","2"
"AMD1 wt Allele","Functional disorder","2"
"Genes","Premature aging syndrome","2"
"HSP90AA1 wt Allele","Alzheimer's Disease","2"
"PLK1 Gene","Disease Progression","2"
"JUN Gene","Neurotoxicity Syndromes","2"
"TLR4 Gene","Autistic Disorder","2"
"YY1 wt Allele","Neurodegenerative Disorders","2"
"UBQLN2 Gene","Neurodegenerative Disorders","2"
"CRH Gene","Norrie disease","2"
"TET1 Gene","Neurotoxicity Syndromes","2"
"CP Gene","cortex bone disorders","2"
"CTSL Gene","Depressive disorder","2"
"MTR wt Allele","Premenstrual syndrome","2"
"MYCBP2 wt Allele","Menkes Kinky Hair Syndrome","2"
"EHMT1 Gene","Parkinson Disease","2"
"Reading Frames","Alzheimer's Disease","2"
"DDIT4 Gene","Huntington Disease","2"
"POMC Gene","Skin endocrine disorder","2"
"BDNF Gene","Motor Neuron Disease","2"
"APP gene","Autistic Disorder","2"
"LIMS1 wt Allele","Spinal Cord Diseases","2"
"ELF4 wt Allele","Parkinson Disease","2"
"UCHL1 wt Allele","Disorder of pineal gland","2"
"NR4A3 wt Allele","Huntington Disease","2"
"YY1 wt Allele","Mucocutaneous Lymph Node Syndrome","2"
"FKBP5 wt Allele","Alzheimer's Disease","2"
"AKR1A1 wt Allele","Disease Progression","2"
"RAC1 Gene","Depressive disorder","2"
"CUX1 wt Allele","Mild cognitive disorder","2"
"Clustered Regularly Interspaced Short Palindromic Repeats","Neurotoxicity Syndromes","2"
"CIB1 Gene","Neurotoxicity Syndromes","2"
"AVP Gene","Inappropriate ADH Syndrome","2"
"RPS6 Gene","Parkinson Disease","2"
"CD69 wt Allele","Ovarian Diseases","2"
"MAPK7 Gene","Retinal Diseases","2"
"GNRH1 Gene","Spinal Cord Diseases","2"
"HDAC3 Gene","Alzheimer's Disease","2"
"MSMB wt Allele","Norrie disease","2"
"NOS2 Gene","Liver diseases","2"
"ras Oncogene","Noonan Syndrome","2"
"ST13 Gene","Spinal Cord Diseases","2"
"S100B wt Allele","neuropathology disease","2"
"PPARA Gene","Depressive disorder","2"
"ELANE Gene","Attention Deficit Disorder","2"
"ENO2 wt Allele","Major Depressive Disorder","2"
"CD8A wt Allele","CNS disorder","2"
"FGF2 wt Allele","Huntington Disease","2"
"CDH2 Gene","Neurodevelopmental disorder","2"
"CREBBP Gene","Neurotoxicity Syndromes","2"
"Major Histocompatibility Complex","Neurodegenerative Disorders","2"
"CX3CL1 Gene","CNS disorder","2"
"RASA1 wt Allele","Disorder nervous system","2"
"CR2 wt Allele","Alzheimer's Disease","2"
"PSEN1 wt Allele","Prune Belly Syndrome","2"
"FOXP2 Gene","Autism Spectrum Disorders","2"
"Genes","Brown-Vialetto-Van Laere syndrome","2"
"GAST Gene","Pituitary Diseases","2"
"MAPRE1 wt Allele","Androgen-Insensitivity Syndrome","2"
"PITX2 wt Allele","Parkinsonian Disorders","2"
"CD8B wt Allele","Functional disorder","2"
"CREB1 Gene","Sweet Syndrome","2"
"TBK1 Gene","Neurotoxicity Syndromes","2"
"CD200 Gene","Neurodegenerative Disorders","2"
"MAPT wt Allele","Timothy syndrome","2"
"RPS6KA5 wt Allele","Mucocutaneous Lymph Node Syndrome","2"
"RNH1 Gene","Spinal Cord Diseases","2"
"BCL6 gene","Alzheimer's Disease","2"
"Genetic Predisposition to Disease","Pervasive Development Disorder","2"
"FLT3LG wt Allele","Functional disorder","2"
"TF gene","Neurotoxicity Syndromes","2"
"PECAM1 wt Allele","Spinal Cord Diseases","2"
"RASA1 wt Allele","Renal glomerular disease","2"
"ANG Gene","Dystonia Disorders","2"
"FGF2 Gene","Post-Traumatic Stress Disorder","2"
"Retinoic Acid Response Element","Angelman Syndrome","2"
"SET Gene","Inclusion body myositis (disorder)","2"
"CDH3 Gene","Alzheimer's Disease","2"
"CDK5 Gene","Functional disorder","2"
"MPO Gene","Lung diseases","2"
"SEPP1 wt Allele","Spinal Cord Diseases","2"
"AR wt Allele","Recurrent disease","2"
"S100A10 Gene","Functional disorder","2"
"PPARA Gene","CNS disorder","2"
"MAP3K14 wt Allele","Disease Progression","2"
"CREB1 Gene","Autism Spectrum Disorders","2"
"DHPS wt Allele","Fragile X Syndrome","2"
"TNF Gene","Cognition Disorders","2"
"FGF2 Gene","Huntington Disease","2"
"GRM5 Gene","Neurotoxicity Syndromes","2"
"IL1RAPL1 Gene","Autistic Disorder","2"
"Chloramphenicol O-Acetyltransferase","Cohen syndrome","2"
"AICDA wt Allele","Alzheimer's Disease","2"
"MTR Gene","Parkinsonian Disorders","2"
"DHPS wt Allele","Hashimoto Disease","2"
"SCTR wt Allele","Hypertensive disease","2"
"AMPH Gene","cortex bone disorders","2"
"LTF Gene","Spinal Cord Diseases","2"
"SPAST gene","Alzheimer's Disease","2"
"Genes, Immediate-Early","Brain Diseases","2"
"GRIN2B wt Allele","Dyskinetic syndrome","2"
"TWIST1 wt Allele","Pelizaeus-Merzbacher Disease","2"
"MSMB wt Allele","Alzheimer's Disease","2"
"ROS1 Gene","Disorder nervous system","2"
"LMNA wt Allele","Cat-Scratch Disease","2"
"HEXB gene","Neurodegenerative Disorders","2"
"FASN Gene","Liver diseases","2"
"SST Gene","Anxiety Disorders","2"
"NOS1 wt Allele","Restless Legs Syndrome","2"
"BAX Gene","Retinal Diseases","2"
"GST Gene","Diseases of inner ear","2"
"ACTB Gene","Spinal Cord Diseases","2"
"SERPINB2 Gene","Nose Diseases","2"
"NES Gene","Ataxia as late effect of cerebrovascular disease","2"
"SH2D3C wt Allele","Spinal Cord Diseases","2"
"WNK1 Gene","Alzheimer's Disease","2"
"FANCA wt Allele","Bipolar Disorder","2"
"Genes, Immediate-Early","Dyskinetic syndrome","2"
"FMOD wt Allele","Fragile X Syndrome","2"
"HGS wt Allele","Sensitization (disorder)","2"
"SQSTM1 Gene","Stress Disorders, Traumatic","2"
"CD8A wt Allele","Demyelinating Diseases","2"
"CEP55 Gene","Syndrome","2"
"PSEN1 wt Allele","Neurotoxicity Syndromes","2"
"SDHB wt Allele","Spinal Cord Diseases","2"
"Genotype","Fetal Alcohol Syndrome","2"
"LIMS1 wt Allele","Carpal Tunnel Syndrome","2"
"HOXA10 wt Allele","Depressive disorder","2"
"NR3C2 wt Allele","Neurotoxicity Syndromes","2"
"MPZ gene","Disease Progression","2"
"LacZ Genes","Neurodegenerative Disorders","2"
"HMOX1 Gene","Neurodegenerative Disorders","2"
"SCN1A gene","Neurodevelopmental disorder","2"
"FOXM1 Gene","cortex bone disorders","2"
"AXIN1 Gene","Syndrome, Bloch-Sulzberger","2"
"GGH wt Allele","Skin endocrine disorder","2"
"Clustered Regularly Interspaced Short Palindromic Repeats","Neurodegenerative Disorders","2"
"SST Gene","FOXG1 syndrome","2"
"TYR gene","Parkinson Disease","2"
"CCL21 wt Allele","Marfan Syndrome","2"
"TP53 gene","Chronic Fatigue Syndrome","2"
"HTT wt Allele","Coronary Artery Disease","2"
"PNP wt Allele","Shy-Drager Syndrome","2"
"TET1 Gene","Psychotic Disorders","2"
"Introns","Hereditary Diseases","2"
"FASTK Gene","Pendred's syndrome","2"
"MX1 Gene","Norrie disease","2"
"Regulatory Sequences, Nucleic Acid","Neurodegenerative Disorders","2"
"CSPG4 Gene","Mucocutaneous Lymph Node Syndrome","2"
"CRHR1 wt Allele","Dysequilibrium syndrome","2"
"GFI1B Gene","Toxic liver disease","2"
"Genes","Chronic Fatigue Syndrome","2"
"LPAR3 wt Allele","Disorder nervous system","2"
"CNTNAP2 wt Allele","Autistic Disorder","2"
"MAPK14 wt Allele","Parkinson Disease","2"
"GNRH1 wt Allele","Renal glomerular disease","2"
"Major Histocompatibility Complex","Retinal Diseases","2"
"HTT gene","Virus Diseases","2"
"estrogen receptor alpha, human","Mitochondrial Diseases","2"
"SMAD2 Gene","Mucocutaneous Lymph Node Syndrome","2"
"CHPT1 Gene","Depressive disorder","2"
"Sequence Tagged Sites","cortex bone disorders","2"
"CALCA wt Allele","Parkinson Disease","2"
"NR3C2 Gene","Machado-Joseph Disease","2"
"REL Gene","Parkinson Disease","2"
"DDIT3 wt Allele","Spinal Cord Diseases","2"
"EPO Gene","Myeloproliferative Syndrome, Transient","2"
"PECAM1 Gene","Spinal Cord Diseases","2"
"NLRP3 wt Allele","Depressive disorder","2"
"APOE gene","Spinal Cord Diseases","2"
"EHMT1 Gene","Pervasive Development Disorder","2"
"Genes","Cornelia De Lange Syndrome","2"
"Genes","Camurati-Engelmann Syndrome","2"
"CD55 wt Allele","Spinal Cord Diseases","2"
"PGR wt Allele","Neurotoxicity Syndromes","2"
"POSTN Gene","Shwachman syndrome","2"
"AVP wt Allele","Hyposmolality syndrome","2"
"GC Gene","Down Syndrome","2"
"Genes, Mitochondrial","Autism Spectrum Disorders","2"
"HP wt Allele","Functional disorder","2"
"CD69 wt Allele","Disorder of pineal gland","2"
"S100B wt Allele","Disorder nervous system","2"
"DNA Transposable Elements","Pervasive Development Disorder","2"
"DRD2 Gene","Parkinsonian Disorders","2"
"JUN Gene","Hamartoma Syndrome, Multiple","2"
"Alleles","Developmental delay (disorder)","2"
"HTT wt Allele","Disorders, Mental","2"
"IDUA gene","cortex bone disorders","2"
"Genetic Predisposition to Disease","Syndrome","2"
"NLRP1 Gene","cortex bone disorders","2"
"MTR wt Allele","Van der Woude syndrome","2"
