"brainregion","gene","count"
"Thalamic Nuclei","CD55 wt Allele","7"
"Cerebral cortex","CX3CL1 Gene","7"
"Structure of dentate gyrus","ELK3 wt Allele","7"
"Dorsal Nucleus Raphe","GHRL Gene","7"
"Corpus striatum structure","HP wt Allele","7"
"Lactotrophs","GH1 Gene","7"
"Bundle, Predorsal","KLK3 Gene","7"
"Pituitary Gland","CD69 wt Allele","7"
"Structure of paraventricular nucleus of thalamus","SH2D3C Gene","7"
"Cerebral hemisphere structure (body structure)","ROS1 wt Allele","7"
"Cerebral cortex","NQO1 Gene","7"
"Posterior cerebral commissure","AR wt Allele","7"
"Hypothalamic structure","IGF1 Gene","7"
"Brain Stem","NGFR Gene","7"
"Neocortex","YY1 wt Allele","7"
"Structure of terminal stria nuclei of preoptic region","IFNAR1 Gene","7"
"Olfactory tubercle","BGLAP wt Allele","7"
"Structure of anterior commissure","CCDC6 Gene","7"
"Structure of dentate gyrus","ABL2 Gene","7"
"Corpus striatum structure","estrogen receptor alpha, human","7"
"Cerebellum","NGFR Gene","7"
"Dorsal Nucleus Raphe","Genes, Immediate-Early","7"
"Medulla Oblongata","SILV wt Allele","7"
"Prefrontal Cortex","NCAM1 wt Allele","7"
"mossy fiber","MLLT4 Gene","7"
"Superior colliculus of corpora quadrigemina","GFAP gene","7"
"Substantia nigra structure","CTLA4 wt Allele","7"
"Dorsal Nucleus Raphe","PITX2 wt Allele","7"
"Medulla Oblongata","SH3PXD2A wt Allele","7"
"CA2 field","TRH wt Allele","7"
"Entire thalamic reticular nucleus","Chloramphenicol Acetyl Transferase Gene","7"
"Structure of angular gyrus","PNP wt Allele","7"
"CA1 field","OLFM4 wt Allele","7"
"mossy fiber","BACE1 Gene","7"
"Neocortex","TH gene","7"
"Nucleus solitarius","FGF19 Gene","7"
"Amygdaloid structure","PDZK1 Gene","7"
"Set of basolateral nuclei of amygdala","CNR1 gene","7"
"Cerebellum","CXCR4 Gene","7"
"BRAIN, HIPPOCAMPUS","TBCEL wt Allele","7"
"Medulla Oblongata","MPZ gene","7"
"Corpus striatum structure","IKBKG wt Allele","7"
"Midbrain Raphe Nuclei","HTR1A wt Allele","7"
"Hindbrain","Wild Type","7"
"Structure of dentate gyrus","MTOR Gene","7"
"Structure of suprachiasmatic nucleus","CALCA Gene","7"
"Neostriatum","YY1 wt Allele","7"
"Cerebellar vermis structure","CAT Gene","7"
"Cerebral cortex","CRH wt Allele","7"
"Pituitary Gland","Estrogen Receptors","7"
"Structure of paraventricular nucleus of thalamus","CHAT Gene","7"
"Thalamic structure","GRM1 Gene","7"
"Pyramidal Cells","GOPC wt Allele","7"
"BRAIN, HIPPOCAMPUS","Short Tandem Repeat","7"
"Pyramidal Cells","GOPC Gene","7"
"Cerebellar tonsil","LITAF gene","7"
"Cerebellum","NR3C1 wt Allele","7"
"Brain Stem","Genes, Immediate-Early","7"
"Hypothalamic structure","GHRH wt Allele","7"
"Thalamic structure","Retinoic Acid Response Element","7"
"Purkinje Cells","EPHB1 Gene","7"
"Interpeduncular nucleus","GRM5 wt Allele","7"
"Structure of suprachiasmatic nucleus","PBX1 wt Allele","7"
"CA1 field","NTRK2 Gene","7"
"Cerebellum","BGLAP Gene","7"
"Neostriatum","S100A9 wt Allele","7"
"Purkinje Cells","S100A10 wt Allele","7"
"Substantia nigra structure","DRD2 wt Allele","7"
"Pyramidal Cells","CSPG4 wt Allele","7"
"CA2 field","DCX wt Allele","7"
"CA1 field","Genome","7"
"Basal Ganglia","PHGDH wt Allele","7"
"mossy fiber","MLLT4 wt Allele","7"
"Neostriatum","AIMP2 wt Allele","7"
"Substantia nigra structure","SOD1 wt Allele","7"
"Purkinje Cells","HSPG2 wt Allele","7"
"Hypothalamic structure","Genotype","7"
"Cerebral cortex","YAP1 Gene","7"
"Cerebral hemisphere structure (body structure)","SILV wt Allele","7"
"Corpus striatum structure","AIMP2 wt Allele","7"
"Nucleus solitarius","HP wt Allele","7"
"CA1 field","Homozygote","7"
"Rostral interstitial nucleus of medial longitudinal fasciculus","Promoter","7"
"BRAIN, HIPPOCAMPUS","SBDS wt Allele","7"
"intercalated amygdalar nuclei","PLA2G2A wt Allele","7"
"Prosencephalon","MRC1 Gene","7"
"Genus Hippocampus","SLC7A5 Gene","7"
"Cerebral cortex","POMC wt Allele","7"
"Ventral Tegmental Area","ACACA wt Allele","7"
"Motor Cortex","TCEA1 wt Allele","7"
"Pyramidal Cells","CFLAR Gene","7"
"Cerebral cortex","AGER Gene","7"
"Structure of reticular formation of medulla oblongata","CAT Gene","7"
"Medulla Oblongata","MRC1 Gene","7"
"Corpus striatum structure","SLC7A5 Gene","7"
"Amygdaloid structure","MOK Gene","7"
"Ventral Tegmental Area","SDHB wt Allele","7"
"Structure of locus ceruleus","CSPG4 Gene","7"
"BRAIN, HIPPOCAMPUS","RPSA wt Allele","7"
"Structure of thalamic reticular nucleus","Wild Type","7"
"BRAIN, HIPPOCAMPUS","NOS3 Gene","7"
"Cerebellum","ELK3 wt Allele","7"
"BRAIN, HIPPOCAMPUS","UMOD gene","7"
"Genus Hippocampus","GRM1 wt Allele","7"
"Substantia nigra structure","Heterozygote","7"
"BRAIN, HIPPOCAMPUS","PTHLH wt Allele","7"
"Thalamic structure","SYP Gene","7"
"Neostriatum","estrogen receptor alpha, human","7"
"Thalamic structure","GRIN2B wt Allele","7"
"BRAIN, HIPPOCAMPUS","FYN Gene","7"
"Cerebellum","SST Gene","7"
"Prosencephalon","Homozygote","7"
"Cerebellum","CHD7 gene","7"
"Structure of dentate gyrus","NR3C1 Gene","7"
"CA1 field","AICDA Gene","7"
"Structure of anterior commissure","SILV wt Allele","7"
"Structure of reticular formation of medulla oblongata","Chloramphenicol O-Acetyltransferase","7"
"Substantia nigra structure","CA9 Gene","7"
"CA2 field","Promoter","7"
"Corpus striatum structure","SH2D1A wt Allele","7"
"Area striata structure","PCYT1A wt Allele","7"
"Thalamic structure","CREB1 Gene","7"
"Cerebellum","AREG wt Allele","7"
"Area, Septal","TBCEL wt Allele","7"
"Hypothalamic structure","SLC6A4 wt Allele","7"
"Cortex, Primary Motor","GYPA wt Allele","7"
"Neocortex","Estrogen Receptors","7"
"Brain Stem","EPHB1 Gene","7"
"Substantia nigra structure","GYPA Gene","7"
"Trigeminal Nuclei","Chloramphenicol O-Acetyltransferase","7"
"Preoptic Areas","DST wt Allele","7"
"Midbrain structure","APP gene","7"
"Pedunculopontine Tegmental Nucleus","LEP Gene","7"
"Genus Hippocampus","TBCEL wt Allele","7"
"Temporal Lobe","CD69 wt Allele","7"
"Structure of nucleus infundibularis hypothalami","ANG Gene","7"
"Genus Hippocampus","PPARA Gene","7"
"Prosencephalon","JUN Gene","7"
"CA2 field","SSTR2 Gene","7"
"Median eminence of hypothalamus","VIM gene","7"
"Thalamic structure","MAP1LC3A wt Allele","7"
"Brain Stem","MRC1 Gene","7"
"BRAIN, HIPPOCAMPUS","LDLR gene","7"
"BRAIN, HIPPOCAMPUS","HPR wt Allele","7"
"Genus Hippocampus","AKR1C1 wt Allele","7"
"Genus Hippocampus","TERC Gene","7"
"Structure of ventromedial hypothalamic nucleus","c-fos Genes","7"
"Cerebellum","GRIN2A Gene","7"
"Genus Hippocampus","NOD2 wt Allele","7"
"Pyramidal Cells","CSPG4 Gene","7"
"Bundle, Predorsal","MAPK14 wt Allele","7"
"Cerebral cortex","TXNRD1 wt Allele","7"
"Cerebellum","F9 wt Allele","7"
"Entire thalamic reticular nucleus","CAT Gene","7"
"lateral geniculate nucleus","CD55 wt Allele","7"
"Dorsal Nucleus Raphe","FEV wt Allele","7"
"Structure of preoptic periventricular nucleus","Estrogen Receptors","7"
"Cerebral hemisphere structure (body structure)","Estrogen Receptors","7"
"Flocculus","BRD4 Gene","7"
"Cerebellar cortex structure","CD69 wt Allele","7"
"Lateral geniculate complex","MAPT wt Allele","7"
"Cochlear Nerve","ENG wt Allele","7"
"Parietal operculum cortex (PO)","NLRP3 wt Allele","7"
"Neocortex","PPFIBP1 wt Allele","7"
"Temporal Lobe","SYP Gene","7"
"Substantia nigra structure","MRC1 Gene","7"
"Area striata structure","ADRB2 Gene","7"
"Structure of hippocampal fissure","TYR gene","7"
"Genus Hippocampus","ACACA wt Allele","7"
"Neostriatum","Exons","7"
"Cerebral cortex","IL23A wt Allele","7"
"Genus Hippocampus","JAK2 gene","7"
"Amygdaloid structure","MAPK1 wt Allele","7"
"Occipital lobe","TYR gene","7"
"Nucleus solitarius","C3 Gene","7"
"Corpus striatum structure","IL6 Gene","7"
"Midbrain structure","FYN Gene","7"
"Pyramidal Cells","S100A8 wt Allele","7"
"Hypothalamic structure","Alleles","7"
"Structure of nucleus ambiguus","c-fos Genes","7"
"Entire olivary body","BRD4 wt Allele","7"
"Cerebellum","PSME3 wt Allele","7"
"Basal Forebrain","YY1 wt Allele","7"
"Basal Ganglia","TH gene","7"
"Cerebral hemisphere structure (body structure)","TFRC wt Allele","7"
"Cerebellum","IGF1 wt Allele","7"
"Pyramidal Cells","MAPK1 wt Allele","7"
"Basal Ganglia","SET Gene","7"
"Gigantocellular nucleus","CNR1 gene","7"
"Thalamic structure","PPFIBP1 wt Allele","7"
"Substantia innominata","MAPT wt Allele","7"
"BRAIN, HIPPOCAMPUS","DCX wt Allele","7"
"Structure of dentate gyrus","SS18L1 wt Allele","7"
"CA1 field","PROC Gene","7"
"BRAIN, HIPPOCAMPUS","CCNA2 Gene","7"
"Structure of supraoptic nucleus","Promoter","7"
"Genus Hippocampus","HDAC2 Gene","7"
"Neocortex","NES Gene","7"
"BRAIN, HIPPOCAMPUS","MIR223 Gene","7"
"Neostriatum","TNFRSF11A wt Allele","7"
"Parietal operculum cortex (PO)","AVP wt Allele","7"
"Auditory Hair Cell","ENG wt Allele","7"
"Genus Hippocampus","DNMT3A Gene","7"
"Corpus striatum structure","AIMP2 Gene","7"
"Medulla Oblongata","CDKN2A wt Allele","7"
"Pyramidal Tracts","Chloramphenicol O-Acetyltransferase","7"
"Structure of paraventricular nucleus","CD69 wt Allele","7"
"Nucleus Accumbens","ENG wt Allele","7"
"Hypothalamic structure","CHAT Gene","7"
"Anterodorsal nucleus of thalamus","MIR22 wt Allele","7"
"Pyramidal Cells","Retinoic Acid Response Element","7"
"CA1 field","PODXL wt Allele","7"
"BRAIN, HIPPOCAMPUS","GDNF Gene","7"
"Hypothalamic structure","NGF Gene","7"
"Bundle, Predorsal","MAPK14 Gene","7"
"Cerebral cortex","SLC12A2 wt Allele","7"
"Basal Ganglia","MRC1 Gene","7"
"central amygdalar nucleus","FOSB Gene","7"
"Cerebral cortex","HLA-DQA1 wt Allele","7"
"Structure of suprachiasmatic nucleus","SOX2 Gene","7"
"CA1 field","LGALS3 Gene","7"
"Lateral occipital cortex, superior division (OLs)","CSPG4 wt Allele","7"
"Neostriatum","COMT gene","7"
"Gigantocellular nucleus","ATP8A2 wt Allele","7"
"BRAIN, HIPPOCAMPUS","CD40LG Gene","7"
"BRAIN, HIPPOCAMPUS","NFE2L2 wt Allele","7"
"Ventral premammillary nucleus","LEPR Gene","7"
"Pyramidal Cells","SHANK3 Gene","7"
"Purkinje Cells","APP gene","7"
"Prefrontal Cortex","CREB1 wt Allele","7"
"Amygdaloid structure","ELANE wt Allele","7"
"Structure of angular gyrus","PITX2 wt Allele","7"
"Ventral Tegmental Area","Replication Origin","7"
"Superior temporal gyrus","THPO Gene","7"
"Genus Hippocampus","LEPR Gene","7"
"Neostriatum","MAPK14 wt Allele","7"
"Metencephalon","Wild Type","7"
"Neostriatum","MAPK14 Gene","7"
"Corpus striatum structure","HCRT Gene","7"
"Cerebellum","Estrogen Receptors","7"
"Area striata structure","CALCA wt Allele","7"
"Structure of dentate gyrus","MAP Kinase Gene","7"
"Cerebral cortex","MOK Gene","7"
"Perforant Pathway","MPZ gene","7"
"Structure of paraventricular nucleus","ANG Gene","7"
"Genus Hippocampus","SLC7A5 wt Allele","7"
"Amygdaloid structure","AR wt Allele","7"
"Flocculus","BRD4 wt Allele","7"
"Brain Stem","ELK3 wt Allele","7"
"Corpus striatum structure","ras Oncogene","7"
"Substantia nigra structure","HLA-DQA1 wt Allele","7"
"Cerebral cortex","Aromatase","7"
"Genus Hippocampus","DNA, Mitochondrial","7"
"Bundle, Predorsal","AIMP2 Gene","7"
"Amygdalar Nucleus, Medial","AVP wt Allele","7"
"Amygdaloid structure","PDZK1 wt Allele","7"
"Neocortex","FOXP1 Gene","7"
"Cerebral cortex","SLC12A2 Gene","7"
"Posterolateral auditory cortex","c-fos Genes","7"
"Dorsal Nucleus Raphe","ENG wt Allele","7"
"Pyramidal Cells","SH2B2 wt Allele","7"
"CA2 field","TNFRSF11A wt Allele","7"
"Corpus striatum structure","JUNB wt Allele","7"
"Midbrain structure","SLC7A5 Gene","7"
"Cerebral hemisphere structure (body structure)","NGF Gene","7"
"Cerebral cortex","CD40 wt Allele","7"
"Retro-olivary cell group","FGFR1 wt Allele","7"
"Marginal Sulcus","MRC1 Gene","7"
"CA1 field","MAPK14 Gene","7"
"BRAIN, HIPPOCAMPUS","NFATC3 Gene","7"
"Paratrigeminal nucleus","c-fos Genes","7"
"Anterodorsal nucleus of thalamus","ADAM10 Gene","7"
"Pontine nuclei","Chloramphenicol O-Acetyltransferase","7"
"Prefrontal Cortex","CR2 wt Allele","7"
"Cerebral cortex","FLNA wt Allele","7"
"CA1 field","CDKN2B wt Allele","7"
"Hindbrain","AKT1S1 wt Allele","7"
"Structure of suprachiasmatic nucleus","ENG wt Allele","7"
"BRAIN, HIPPOCAMPUS","CD8B wt Allele","7"
"Nucleus solitarius","CBS gene","7"
"Cerebral hemisphere structure (body structure)","NOTCH3 wt Allele","7"
"CA3 field","GRIN2B Gene","7"
"Midbrain structure","RASA1 wt Allele","7"
"Pyramidal Cells","MPZ gene","7"
"Premotor area","AKR1A1 wt Allele","7"
"Basal Ganglia","NR3C2 Gene","7"
"Corpus striatum structure","NPY wt Allele","7"
"Preoptic Areas","CD69 wt Allele","7"
"Pyramidal Cells","PROX1 Gene","7"
"Cerebellum","AR gene","7"
"Structure of olfactory bulb","GCLC wt Allele","7"
"Thalamic structure","SH3PXD2A wt Allele","7"
"Ventral Striatum","c-fos Genes","7"
"Brain Stem","ZGLP1 wt Allele","7"
"CA3 field","SNCG wt Allele","7"
"Cerebral cortex","Open Reading Frames","7"
"Structure of subiculum hippocampi","Genes","7"
"Dorsal Nucleus Raphe","CRH wt Allele","7"
"Amygdaloid structure","GNRH1 wt Allele","7"
"Dorsal Septal Nucleus","MID1 wt Allele","7"
"Cerebral hemisphere structure (body structure)","TARDBP wt Allele","7"
"Cerebral hemisphere structure (body structure)","PPARA Gene","7"
"Amygdaloid structure","GRM5 wt Allele","7"
"Structure of terminal stria nuclei of preoptic region","CRH wt Allele","7"
"Substantia nigra structure","FYN Gene","7"
"Purkinje Cells","CDKN2B wt Allele","7"
"BRAIN, HIPPOCAMPUS","GLI2 wt Allele","7"
"Structure of olfactory bulb","SGMS1 Gene","7"
"BRAIN, HIPPOCAMPUS","CD40LG wt Allele","7"
"Thalamic structure","MAP1LC3A Gene","7"
"Substantia innominata","LTF Gene","7"
"Structure of paraventricular nucleus of thalamus","EPHB1 Gene","7"
"Hindbrain","HOXA Gene Family","7"
"Cerebellum","Genes, Reporter","7"
"Diagonal Band of Broca","TRH Gene","7"
"Medial Septal Nucleus","SILV wt Allele","7"
"Genus Hippocampus","TERC wt Allele","7"
"BRAIN, HIPPOCAMPUS","LRP2 wt Allele","7"
"Dorsal Nucleus Raphe","C3 Gene","7"
"Lateral occipital cortex, superior division (OLs)","CSPG4 Gene","7"
"Corpus striatum structure","CREB1 wt Allele","7"
"Substantia nigra structure","FYN wt Allele","7"
"Preoptic Areas","ESR1 wt Allele","7"
"BRAIN, HIPPOCAMPUS","SH2B2 wt Allele","7"
"Structure of paraventricular nucleus of thalamus","ELK3 wt Allele","7"
"Brain Stem","ELK3 Gene","7"
"Hypothalamic Area, Lateral","B4GALT1 Gene","7"
"Medulla Oblongata","NR3C2 Gene","7"
"Cerebellum","IL23A Gene","7"
"Thalamic structure","HCRT wt Allele","7"
"Cerebral cortex","CARD8 wt Allele","7"
"Purkinje Cells","AIMP2 wt Allele","7"
"Cerebral cortex","TERC Gene","7"
"Neocortex","CDKN2A wt Allele","7"
"BRAIN, HIPPOCAMPUS","CD8A wt Allele","7"
"Corpus striatum structure","Genome","7"
"CA1 field","OLFM4 Gene","7"
"Nucleus, Principal Pretectal","Estrogen Receptors","7"
"Substantia nigra structure","NOS1 wt Allele","7"
"Pontine nuclei","CAT Gene","7"
"Bundle, Predorsal","SH2B2 wt Allele","7"
"Fimbria of hippocampus","MAPT wt Allele","7"
"Pontine nuclei","Wild Type","7"
"Central insular sulcus","Quantitative Trait Loci","7"
"Cortex, Primary Motor","NR3C2 Gene","7"
"BRAIN, HIPPOCAMPUS","SLC16A4 wt Allele","7"
"Structure of suprachiasmatic nucleus","PRL Gene","7"
"Amygdaloid structure","ESR1 wt Allele","7"
"Parietal operculum cortex (PO)","IFNAR1 Gene","7"
"Corpus striatum structure","JUNB Gene","7"
"Prefrontal Cortex","GRIN2A wt Allele","7"
"Midbrain structure","PARK7 wt Allele","7"
"Cerebral cortex","HCRT wt Allele","7"
"Globus Pallidus","PGR wt Allele","7"
"Area, Septal","LIPG wt Allele","7"
"CA3 field","SLC1A2 Gene","7"
"Interpeduncular nucleus","GRM5 Gene","7"
"Structure of suprachiasmatic nucleus","TH gene","7"
"Tuberomammillary Nucleus","ADA Gene","7"
"BRAIN, HIPPOCAMPUS","VPS35 Gene","7"
"Entire substantia nigra","SCG2 Gene","7"
"Structure of suprachiasmatic nucleus","Homozygote","7"
"Purkinje Cells","CADM1 Gene","7"
"Corpus striatum structure","SDHB wt Allele","7"
"Neostriatum","CARD8 wt Allele","7"
"Purkinje Cells","SUB1 Gene","7"
"Prefrontal Cortex","CDK5R1 Gene","7"
"Corpus Callosum","PLP1 gene","7"
"Purkinje Cells","PRNP gene","7"
"Area striata structure","TYR gene","7"
"Thalamic structure","AVP wt Allele","7"
"Structure of Reil's limiting sulcus","MAPT wt Allele","7"
"Brain Stem","CHGA Gene","7"
"Marginal Sulcus","NR3C2 Gene","7"
"Pyramidal Cells","NDOR1 wt Allele","7"
"Structure of locus ceruleus","ELK3 Gene","7"
"Cerebellum","F2 gene","7"
"Cortex, Primary Motor","TH gene","7"
"Genus Hippocampus","GOPC Gene","7"
"Subfascicular nucleus","IL6 Gene","7"
"Hypothalamic structure","VIP Gene","7"
"BRAIN, HIPPOCAMPUS","CST3 Gene","7"
"Cerebral cortex","F2 gene","7"
"Nucleus of anterior commissure","CXCL9 wt Allele","7"
"Thalamic structure","VIP Gene","7"
"Structure of nucleus prepositus","GPI Gene","7"
"Corpus striatum structure","COMT gene","7"
"Cerebellum","ras Oncogene","7"
"Anterodorsal nucleus of thalamus","SQSTM1 wt Allele","7"
"Cerebral cortex","EGF Gene","7"
"Cerebral cortex","FGF2 Gene","7"
"Olfactory tubercle","BGLAP Gene","7"
"Diagonal Band of Broca","TNFRSF1B wt Allele","7"
"Midbrain structure","FYN wt Allele","7"
"Medial geniculate body","CAT Gene","7"
"Structure of locus ceruleus","BDNF Gene","7"
"Midbrain structure","FGF8 Gene","7"
"Cerebral cortex","GRM1 wt Allele","7"
"Cerebral hemisphere structure (body structure)","C3 Gene","7"
"Bundle, Predorsal","AIMP2 wt Allele","7"
"CA1 field","GCLC wt Allele","7"
"Structure of locus ceruleus","BECN1 Gene","7"
"Corpus striatum structure","ELK3 wt Allele","7"
"Pyramidal Tracts","CAT Gene","7"
"Cortex, Primary Motor","Heterozygote","7"
"Cerebellar vermis structure","Chloramphenicol O-Acetyltransferase","7"
"Corpus striatum structure","TNFRSF11A wt Allele","7"
"Genus Hippocampus","FUS Gene","7"
"Prosencephalon","FASTK Gene","7"
"Interpeduncular nucleus","B3GAT1 wt Allele","7"
"Amygdaloid structure","FOS wt Allele","7"
"Genus Hippocampus","MSC Gene","7"
"Neostriatum","SH2D1A wt Allele","7"
"Cerebral cortex","DST wt Allele","7"
"Cerebral cortex","FOXO3 Gene","7"
"Neostriatum","HCRT Gene","7"
"BRAIN, HIPPOCAMPUS","TIMP1 wt Allele","7"
"CA1 field","PODXL Gene","7"
"Medulla Oblongata","C5 Gene","7"
"Nucleus Accumbens","CD36 Gene","7"
"Thalamic structure","ELANE Gene","7"
"Cerebral cortex","NOD2 wt Allele","7"
"Genus Hippocampus","DKK1 wt Allele","7"
"Cerebral cortex","FGF2 wt Allele","7"
"Nucleus fastigii","FAS wt Allele","7"
"Neostriatum","SDHB wt Allele","7"
"Medial Septal Nucleus","MRC1 Gene","7"
"Structure of locus ceruleus","CALCA Gene","7"
"Cerebral cortex","TFPI Gene","7"
"Structure of thalamic reticular nucleus","Tumor Necrosis Factor-alpha","7"
"Brain Stem","BLM wt Allele","7"
"Cerebral cortex","CARD8 Gene","7"
"CA1 field","CYP19A1 Gene","7"
"Cerebellum","INS gene","7"
"Prosencephalon","RELN Gene","7"
"CA1 field","CSPG4 wt Allele","7"
"Genus Hippocampus","SOD2 wt Allele","7"
"Genus Hippocampus","GRP wt Allele","7"
"Cerebellum","MYCN Gene","7"
"Genus Hippocampus","TNFRSF1A wt Allele","7"
"CA2 field","FGF2 wt Allele","7"
"BRAIN, HIPPOCAMPUS","TRPC4 Gene","7"
"Neostriatum","PINK1 gene","7"
"Genus Hippocampus","CHGA Gene","7"
"Olivary Nucleus","BRD4 Gene","7"
"Ventral Tegmental Area","Genes, Immediate-Early","7"
"Entire thalamic reticular nucleus","Chloramphenicol O-Acetyltransferase","7"
"Cerebral cortex","ZFYVE9 Gene","7"
"Area striata structure","MAPT wt Allele","7"
"Basal Ganglia","SCG2 Gene","7"
"Superior temporal gyrus","TPO Gene","7"
"Brain Stem","C5 Gene","7"
"BRAIN, HIPPOCAMPUS","FKBP5 Gene","7"
"BRAIN, HIPPOCAMPUS","PTPN11 gene","7"
"Genus Hippocampus","ADORA1 Gene","7"
"Internal capsule of brain","MAPT wt Allele","7"
"Neostriatum","ras Oncogene","7"
"Purkinje Cells","LacZ Genes","7"
"Medulla Oblongata","TACR1 Gene","7"
"Purkinje Cells","ELK3 Gene","7"
"Structure of subiculum hippocampi","PITX2 wt Allele","7"
"Nucleus Accumbens","POLE Gene","7"
"Substantia nigra structure","CD82 wt Allele","7"
"Brain Stem","PCYT1A wt Allele","7"
"Pyramidal Cells","GRIA3 wt Allele","7"
"Genus Hippocampus","PRNP wt Allele","7"
"Structure of locus ceruleus","Promoter","7"
"Amygdaloid structure","GRPR Gene","7"
"Prosencephalon","AVP Gene","7"
"Nucleus Accumbens","FAT wt Allele","7"
"Periamygdaloid Area","TNC wt Allele","7"
"Purkinje Cells","ITPR1 Gene","7"
"Area striata structure","ADRB2 wt Allele","7"
"Amygdalar Nucleus, Medial","IFNAR1 wt Allele","7"
"Brain Stem","NPY wt Allele","7"
"CA3 field","LEP Gene","7"
"Superior colliculus of corpora quadrigemina","FBN1 wt Allele","7"
"Substantia nigra structure","GYPA wt Allele","7"
"Anterodorsal nucleus of thalamus","AR wt Allele","7"
"Genus Hippocampus","CD24 Gene","7"
"Structure of nucleus prepositus","Codon","7"
"Diagonal Band of Broca","PSIP1 Gene","7"
"Median eminence of hypothalamus","NPY Gene","7"
"BRAIN, HIPPOCAMPUS","GK Gene","7"
"Motor Cortex","TCEA1 Gene","7"
"BRAIN, HIPPOCAMPUS","CD200 Gene","7"
"Prosencephalon","EGF Gene","7"
"Mossy Fibers, Hippocampal","NTRK2 Gene","7"
"Amygdalar Nucleus, Medial","NLRP3 wt Allele","7"
"Pontine nuclei","Chloramphenicol Acetyl Transferase Gene","7"
"Structure of locus ceruleus","DES Gene","7"
"Hypothalamic structure","SQSTM1 wt Allele","7"
"Corpus Callosum","DST Gene","7"
"BRAIN, HIPPOCAMPUS","ST5 wt Allele","7"
"Genus Hippocampus","CYBB wt Allele","7"
"Purkinje Cells","HSPG2 Gene","7"
"Nucleus of anterior commissure","CCDC6 Gene","7"
"Structure of thalamic reticular nucleus","CD55 wt Allele","7"
"Prefrontal Cortex","ELK3 Gene","7"
"Midbrain structure","Genotype","7"
"Genus Hippocampus","PARP1 wt Allele","7"
"Structure of locus ceruleus","CSPG4 wt Allele","7"
"CA1 field","GNRH1 Gene","7"
"Median eminence of hypothalamus","GHRH Gene","7"
"Central insular sulcus","Exons","7"
"Habenula","Genes","7"
"Thalamic Nuclei","PCYT1A wt Allele","7"
"CA1 field","GNAI1 wt Allele","7"
"Brain Stem","EHMT1 Gene","7"
"Motor Cortex","ENG wt Allele","7"
"Genus Hippocampus","PARK7 wt Allele","7"
"Central insular sulcus","Untranslated Regions","7"
"Cerebral cortex","STIM1 wt Allele","7"
"Thalamic structure","CREB1 wt Allele","7"
"Purkinje Cells","PITX2 wt Allele","7"
"Structure of lateral preoptic nucleus","SOD1 wt Allele","6"
"Corpus striatum structure","GRM5 wt Allele","6"
"Structure of rubrospinal tract","RELN wt Allele","6"
"External capsule","TFPI Gene","6"
"BRAIN, HIPPOCAMPUS","DNMT3B Gene","6"
"Genus Hippocampus","OLIG2 Gene","6"
"BRAIN, HIPPOCAMPUS","FGFR2 gene","6"
"Central gray substance of midbrain","MOK Gene","6"
"Structure of nucleus prepositus","GRM5 wt Allele","6"
"Telencephalon","Long Interspersed Element","6"
"CA3 field","CDKN1A wt Allele","6"
"BRAIN, HIPPOCAMPUS","CCRL2 wt Allele","6"
"Posterior cerebral commissure","AR gene","6"
"BRAIN, HIPPOCAMPUS","CCR2 gene","6"
"Prosencephalon","MET wt Allele","6"
"Purkinje Cells","SLC7A5 Gene","6"
"Submedial Nucleus","TF gene","6"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","ADRB2 wt Allele","6"
"Telencephalon","CD69 wt Allele","6"
"BRAIN, HIPPOCAMPUS","CDKN1B gene","6"
"Structure of piriform area","Genes","6"
"Insula of Reil","FASTK Gene","6"
"Medulla Oblongata","LEP Gene","6"
"Corpus striatum structure","SILV wt Allele","6"
"Ventral Tegmental Area","MAPT wt Allele","6"
"Anterior insula","ACACA wt Allele","6"
"Corpus striatum structure","SLC18A2 Gene","6"
"Lateral ventricle structure","PSME3 wt Allele","6"
"Anterodorsal nucleus of thalamus","MTR Gene","6"
"Pyramidal Cells","NGF Gene","6"
"Genus Hippocampus","BAD Gene","6"
"Genus Hippocampus","PLP1 gene","6"
"Entire medulla oblongata","Genes, Immediate-Early","6"
"Genus Hippocampus","GH1 Gene","6"
"Hypothalamic Area, Lateral","MSN Gene","6"
"CA2 field","GPI wt Allele","6"
"Interpeduncular nucleus","EPHB2 Gene","6"
"Entire medulla oblongata","PAG1 wt Allele","6"
"Lobe, Frontal","Heterozygote","6"
"Purkinje Cells","ATM gene","6"
"Stria medullaris","TF gene","6"
"Cerebral cortex","MAX Gene","6"
"Amygdaloid structure","CD36 wt Allele","6"
"Area striata structure","AVP wt Allele","6"
"Cerebellum","S100A1 wt Allele","6"
"Prefrontal Cortex","ST13 wt Allele","6"
"BRAIN, HIPPOCAMPUS","NPY wt Allele","6"
"Fornix, Brain","F10 wt Allele","6"
"Lobe, Frontal","NTRK1 Gene","6"
"Thalamic structure","S100A12 wt Allele","6"
"Orbitofrontal cortex","Wild Type","6"
"Nucleus solitarius","LTF Gene","6"
"CA1 field","IL12A wt Allele","6"
"BRAIN, HIPPOCAMPUS","ESR2 Gene","6"
"Ventral Lateral Thalamic Nucleus","Chloramphenicol O-Acetyltransferase","6"
"Hypothalamic Area, Lateral","SCG2 Gene","6"
"Nucleus Accumbens","AVP wt Allele","6"
