"mental","disease","count"
"Memory","Cerebrovascular Disorders","2"
"Comprehension","Severe Acute Respiratory Syndrome","2"
"Victim of abuse (finding)","Norrie disease","2"
"Memory impairment","Huntington Disease","2"
"Chronic pain","Autoimmune Diseases","2"
"Sex Behavior","Immune System Diseases","2"
"Abnormal behavior","Cognition Disorders","2"
"Behavior, Adaptive","Depressive disorder","2"
"Paralysed","Movement Disorders","2"
"Factors, Risk","Memory Disorders","2"
"Like","Norrie disease","2"
"Tremor","Behavioral syndrome associated with physiological disturbance and physical factors","2"
"Repetitious behavior","Syndrome","2"
"Feeling content","Hypertensive disease","2"
"Deglutition","Oropharyngeal disorders","2"
"Hope","Retinal Diseases","2"
"Autistic Disorder","Antisocial Personality Disorder","2"
"Impaired cognition","Language Disorders","2"
"Experience","Dystonia Disorders","2"
"Alcohol consumption","Cognition Disorders","2"
"Intrinsic drive","Skin endocrine disorder","2"
"Memory impairment","Psychotic Disorders","2"
"Mental Retardation","Cognition Disorders","2"
"Desire for food","Spinal Cord Diseases","2"
"Involvement with","Disease of capillaries","2"
"Feeding regime","Alzheimer's Disease","2"
"Mental association","Virus Diseases","2"
"Dissociative disorder","Dissociative disorder","2"
"Memory impairment","Memory Disorders","2"
"Verbal impairment","cortex bone disorders","2"
"Intrinsic drive","Williams Syndrome","2"
"Gilles de la Tourette syndrome","Alzheimer's Disease","2"
"Psychological suppression","Congenital secretory diarrhea, sodium type (disorder)","2"
"Cognition","Alcohol use disorder","2"
"Loss of interest","Disorders, Mental","2"
"Withdrawal","Drug withdrawal syndrome","2"
"Insight","Autoimmune Diseases","2"
"Social Behavior","Brain Diseases","2"
"Depressive Symptoms","Seasonal Affective Disorder","2"
"Fatigue","Clinically isolated syndrome","2"
"Bradykinesia","Syndrome","2"
"Perception","Attention deficit hyperactivity disorder","2"
"Dreams","Sensitization (disorder)","2"
"Attack behavior","Meningeal disorder","2"
"Mental association","Lung diseases","2"
"Postoperative confusion","Disease Progression","2"
"Mental Processes","Autistic Disorder","2"
"Swimming","Van der Woude syndrome","2"
"Nervousness","Virus Diseases","2"
"Depressed mood","Mild cognitive disorder","2"
"Indifferent mood","Motor Neuron Disease","2"
"Gestures","cortex bone disorders","2"
"biological adaptation to stress","Recurrent disease","2"
"Prepuberty","Neurotoxicity Syndromes","2"
"Methamphetamine","Burnett Schwartz Berberian syndrome","2"
"Indifferent mood","Lewy Body Disease","2"
"Mental Retardation","Sensorineural hearing loss (disorder)","2"
"Behavioral Symptoms","Neurotoxicity Syndromes","2"
"Feedback - evaluative response process","Movement Disorders","2"
"Cognitive information processing","Huntington Disease","2"
"Thirst","Pituitary Diseases","2"
"Psychological inhibition","Adult Fanconi syndrome","2"
"Memory","Iodine deficiency syndrome","2"
"Abnormal behavior","Metabolic Diseases","2"
"Swimming","Major Depressive Disorder","2"
"Imagery","Saethre-Chotzen Syndrome","2"
"Aversion (finding)","Hamartoma Syndrome, Multiple","2"
"Memory","Papillon-Lefevre Disease","2"
"Factors, Risk","Obsessive-Compulsive Disorder","2"
"Memory","Melkersson-Rosenthal Syndrome","2"
"Seizures","Communicable Diseases","2"
"Pain Threshold","Corneal Diseases","2"
"Communication Response","Mohr-Tranebjaerg syndrome","2"
"Tinnitus","Anxiety Disorders","2"
"Visual Acuity","cortex bone disorders","2"
"Social Role","Headache Disorders","2"
"Memory","Mucocutaneous Lymph Node Syndrome","2"
"Psychological Transfer","Melkersson-Rosenthal Syndrome","2"
"Feedback - system communication","Major Depressive Disorder","2"
"Body Weight","Bipolar Disorder","2"
"Factors, Risk","Inflammatory Bowel Diseases","2"
"Mental association","Shwachman syndrome","2"
"Decision Making","Attention deficit hyperactivity disorder","2"
"Heroin","Depressive disorder","2"
"Psychological Transfer","Seasonal Affective Disorder","2"
"Imagery","cortex bone disorders","2"
"Aggressive behavior","Behavioral syndrome associated with physiological disturbance and physical factors","2"
"Marijuana Abuse","Dry Eye Syndromes","2"
"Amnesia","Disorders, Mental","2"
"Feedback - evaluative response process","CNS disorder","2"
"Interested","Williams Syndrome","2"
"Communication Response","Acute Chest Syndrome","2"
"Performance","Down Syndrome","2"
"Communication Response","Neoplastic disease","2"
"Discrimination","Mild cognitive disorder","2"
"Memory","Generalized Anxiety Disorder","2"
"Ethanol","Cerebellar Diseases","2"
"Mental association","Kidney Diseases","2"
"Speech","Deglutition Disorders","2"
"Social Role","Developmental delay (disorder)","2"
"Manic","Attention deficit hyperactivity disorder","2"
"Insight","Kallmann Syndrome","2"
"Play","Sequela of disorder","2"
"Depression, Bipolar","Bipolar Disorder","2"
"Impaired cognition","Williams Syndrome","2"
"Projection Defense Mechanism","Meningeal disorder","2"
"Psychological suppression","Polycystic Ovary Syndrome","2"
"Impaired cognition","Chronic inflammatory disorder","2"
"Eye Movements","Ataxia as late effect of cerebrovascular disease","2"
"Mental association","Demyelinating Diseases","2"
"Availability of","Machado-Joseph Disease","2"
"Motivation","Alcohol use disorder","2"
"unresponsive behavior","Adult Fanconi syndrome","2"
"Mood","Thyroid Diseases","2"
"Cognition","Hypertrophic disorder of skin, unspecified","2"
"Decision Making","Idiopathic pneumonia syndrome","2"
"Travel","Chimera (disorder)","2"
"Obsessive compulsive behavior","Syndrome","2"
"Memory Disorders","Stress Disorders, Traumatic","2"
"High-functioning autism","Asperger Syndrome","2"
"Depressive Symptoms","Alzheimer's Disease","2"
"sharing","Prion Diseases","2"
"Language Disorders","Mesulam Syndrome","2"
"Mediation","Alzheimer's Disease","2"
"Regression - mental defense mechanism","cortex bone disorders","2"
"Ethanol","Drug withdrawal syndrome","2"
"Coitus","Hereditary Diseases","2"
"Seizures","Mild cognitive disorder","2"
"Confusion","Parkinson Disease","2"
"Spatial Behavior","Depressive disorder","2"
"Gustatory Perception","Syndrome, Bloch-Sulzberger","2"
"Nervousness","Degenerative disorder","2"
"Impulsive Behavior","Binge eating disorder","2"
"Overactivity","Alzheimer's Disease","2"
"Verbal impairment","Alzheimer's Disease","2"
"Empathy","Major Depressive Disorder","2"
"Learning","Hypertrophic disorder of skin, unspecified","2"
"Tinnitus","Auditory Perceptual Disorders","2"
"Tracking","Alzheimer's Disease","2"
"Cognition","Feline urological syndrome","2"
"Attention","Stress Disorders, Traumatic","2"
"Illness Behavior","Depressive disorder","2"
"Tracking","Neurodegenerative Disorders","2"
"Behavior","Shprintzen syndrome","2"
"Pain","Colonic Diseases","2"
"Eating","Alzheimer's Disease","2"
"Depression, Bipolar","Alzheimer's Disease","2"
"Impaired cognition","22q11 Deletion Syndrome","2"
"Personal priorities","Parkinson Disease","2"
"Hemorrhage","Hypertensive disease","2"
"Perception","DISORDERS OF THE OPTIC NERVE","2"
"Involvement with","Inflammatory Bowel Diseases","2"
"Memory, Short-Term","Autistic Disorder","2"
"Repression, Psychology","Neurotoxicity Syndromes","2"
"Age-related cognitive decline","Depressive disorder","2"
"circadian behavior","Retinal Diseases","2"
"Physical activity","Autistic Disorder","2"
"Delusions","Lewy Body Disease","2"
"Courtship","Huntington Disease","2"
"psychological orientation","Langer-Giedion Syndrome","2"
"Fetal Alcohol Syndrome","Brain Diseases","2"
"excitement emotion","Hypertensive disease","2"
"Golf","Gardner Syndrome","2"
"Suicidal behavior","Bipolar Disorder","2"
"Hypokinesia","Syndrome, Bloch-Sulzberger","2"
"Tobacco use","Functional disorder","2"
"Deafness","Waardenburg Syndrome","2"
"Anger","Depressive disorder","2"
"Mental association","Panic Disorder","2"
"biological adaptation to stress","Mitochondrial Diseases","2"
"Behaviors, Feeding","Depressive disorder","2"
"Mood","other psychiatric disorders","2"
"Ethanol","Van der Woude syndrome","2"
"Persistence","Liver diseases","2"
"Behavior","Basal Ganglia Diseases","2"
"Eating","Leigh Disease","2"
"Impaired cognition","Anxiety Disorders","2"
"Communication","Hamartoma Syndrome, Multiple","2"
"Attribution","Neurodevelopmental disorder","2"
"biological adaptation to stress","Melkersson-Rosenthal Syndrome","2"
"Behavioral Symptoms","Neurodegenerative Disorders","2"
"Stress","Immune System Diseases","2"
"Repression, Psychology","Alzheimer's Disease","2"
"Transsexual (finding)","Myeloproliferative Syndrome, Transient","2"
"Drug abuse","Behavior Disorders","2"
"Learning","Mixed anxiety and depressive disorder","2"
"Cognition","Delirium, Dementia, Amnestic, Cognitive Disorders","2"
"prepulse inhibition activity","Anophthalmia Waardenburg syndrome","2"
"sharing","Hereditary Diseases","2"
"Depression, Postpartum","Mood Disorders","2"
"Social Interaction","Muckle-Wells Syndrome","2"
"Sex Behavior","Hamartoma Syndrome, Multiple","2"
"Fear","Syndrome","2"
"psychological orientation","Bipolar Disorder","2"
"Somnolence","Sturge-Weber Syndrome","2"
"Auditory Perception","cortex bone disorders","2"
"Self Stimulation","Depressive disorder","2"
"Feeling hopeless","Depressive disorder","2"
"Communication","Chronic Fatigue Syndrome","2"
"Social Role","Learning Disorders","2"
"Retentions (Psychology)","neuropathology disease","2"
"Feeding Activity","Mixed anxiety and depressive disorder","2"
"Chronic pain","Anxiety Disorders","2"
"Availability of","Guillain-Barre Syndrome","2"
"Social Role","Schwartz-Jampel Syndrome","2"
"Social Adjustment","Neurodevelopmental disorder","2"
"Transsexual (finding)","Nose Diseases","2"
"Powers (Psychology)","Sexually Transmitted Diseases","2"
"Educational Status","Autistic Disorder","2"
"Unipolar Depression","Chronic disease","2"
"Object Recognition","Liver diseases","2"
"Motion Perception","Myeloproliferative Syndrome, Transient","2"
"smell perception","Communicable Diseases","2"
"Drug Dependence","Post-Traumatic Stress Disorder","2"
"Ability to interact with others","Disorders, Mental","2"
"Social Role","Prediabetes syndrome","2"
"Abnormal behavior","Shprintzen syndrome","2"
"Activities of Daily Living","Mild cognitive disorder","2"
"Memory","Drug effect disorder","2"
"Conditionings (Psychology)","Pituitary Diseases","2"
"Behavior, Adaptive","Anxiety Disorders","2"
"Insight","Macrophage Activation Syndrome","2"
"Communication Response","Creutzfeldt-Jakob disease","2"
"Insight","Chronic Fatigue Syndrome","2"
"Social Behavior","Alcohol use disorder","2"
"Learning Disabilities","Developmental delay (disorder)","2"
"Spatial Memory","Pituitary Diseases","2"
"Like","Autonomic nervous system disorders","2"
"Resting state","Chronic Obstructive Airway Disease","2"
"Involvement with","Fucosidase Deficiency Disease","2"
"Craves for drugs","Depressive disorder","2"
"Comprehension","Mitochondrial Diseases","2"
"Availability of","Skin endocrine disorder","2"
"Cognition","Sleep Apnea Syndromes","2"
"Perception","Conjunctival Diseases","2"
"Resting state","Migraine Disorders","2"
"Bradykinesia","Disorder nervous system","2"
"Intention - mental process","Spinal Cord Diseases","2"
"Projection Defense Mechanism","Seasonal Affective Disorder","2"
"Eating","Liver diseases","2"
"Suck finding","Neurodegenerative Disorders","2"
"Auditory area","Diseases of inner ear","2"
"Perception","Neurotoxicity Syndromes","2"
"Erectile dysfunction","Hamartoma Syndrome, Multiple","2"
"Maternal Behavior","Sensitization (disorder)","2"
"Insight","FOXG1 syndrome","2"
"Cognition","Stress Disorders, Traumatic","2"
"Performance","Opitz-Frias syndrome","2"
"Experience","Inflammatory Bowel Diseases","2"
"psychological orientation","Lennox-Gastaut syndrome","2"
"Feeling content","Neurodegenerative Disorders","2"
"Psychological inhibition","Stiff-Person Syndrome","2"
"Heroin","Functional disorder","2"
"Body Weight","Williams Syndrome","2"
"Communication Response","Gall Bladder Diseases","2"
"Visual Suppression","DISORDERS OF THE OPTIC NERVE","2"
"Ethanol","Cat-Scratch Disease","2"
"Academic achievement","Pervasive Development Disorder","2"
"Mental concentration","Norrie disease","2"
"Object Recognition","Conjunctival Diseases","2"
"Learning","Huntington Disease","2"
"Deafness","Ataxia as late effect of cerebrovascular disease","2"
"Emotional states","Alcohol withdrawal syndrome","2"
"Social withdrawal","Psychotic Disorders","2"
"Cocaine","Nicotine Use Disorder","2"
"Alcohol abuse","Disease Progression","2"
"Hyperactive behavior","Hereditary Diseases","2"
"Memory","Dyskinetic syndrome","2"
"Feelings","Disorders, Mental","2"
"Like","Myeloproliferative Syndrome, Transient","2"
"Learning Disabilities","Auditory Perceptual Disorders","2"
"Food Deprivation","Chronic myeloproliferative disorder","2"
"Communication Response","Tay-Sachs Disease","2"
"Focused attention","Neurodegenerative Disorders","2"
"Consensus","Motor Neuron Disease","2"
"Hallucinations","cortex bone disorders","2"
"Memory impairment","Opitz-Frias syndrome","2"
"On examination - apathetic","Disorders, Mental","2"
"Sensory Feedback","cortex bone disorders","2"
"Consensus","Creutzfeldt-Jakob disease","2"
"Psychological suppression","Oculorespiratory syndrome","2"
"Pain Threshold","Hypertensive disease","2"
"Body Weight","Prune Belly Syndrome","2"
"Psychological inhibition","Demyelinating Diseases","2"
"Educational Status","Cardiovascular Diseases","2"
"Nociception","Stress Disorders, Traumatic","2"
"At risk for imbalanced body temperature","Depressive disorder","2"
"Forgetful","Neurodevelopmental disorder","2"
"Cognitive Reserve","neuropathology disease","2"
"Intrinsic drive","Stereotypic Movement Disorder","2"
"Impaired cognition","Inflammatory Bowel Diseases","2"
"Availability of","Fetal Alcohol Spectrum Disorders","2"
"Social Role","Congenital Disorders","2"
"Psychological suppression","Virus Diseases","2"
"Exercise","Major Depressive Disorder","2"
"Conscious","Parkinson Disease","2"
"Conditionings (Psychology)","Renal glomerular disease","2"
"Stress, Psychological","Post-Traumatic Stress Disorder","2"
"Feedback - system communication","Syndrome","2"
"Behavior","Familial Alzheimer Disease (FAD)","2"
"Coitus","Norrie disease","2"
"Communication Response","Chronic disease","2"
"Practices (Psychology)","Vascular Diseases","2"
"Reproduction","Parkinsonian Disorders","2"
"Intrinsic drive","Neurotoxicity Syndromes","2"
"Disputes","Autism Spectrum Disorders","2"
"Marijuana Abuse","Bipolar Disorder","2"
"Involvement with","Esophageal Diseases","2"
"Sets (Psychology)","Major Depressive Disorder","2"
"Behavior","Kallmann Syndrome","2"
"Impulsive Behavior","Parkinson Disease","2"
"Muscle Tonus","Narcolepsy-Cataplexy Syndrome","2"
"Pain","Inflammatory Bowel Diseases","2"
"High risk of","cortex bone disorders","2"
"Involvement with","Sturge-Weber Syndrome","2"
"Psychological inhibition","Sandhoff Disease","2"
"Visual Suppression","Syndrome","2"
"Behavior","Pain Disorder","2"
"Memory impairment","Spinal Cord Diseases","2"
"Psychological inhibition","Motor Neuron Disease","2"
"Comprehension","Inflammatory disorder","2"
"Vision","Liver diseases","2"
"Imprinting (Psychology)","Andersen Syndrome","2"
"Ethanol","Nicotine Use Disorder","2"
"Thinking, function","Anxiety Disorders","2"
"Perceptual disturbance","Psychotic Disorders","2"
"Manic","Alzheimer's Disease","2"
"Projection Defense Mechanism","Severe Acute Respiratory Syndrome","2"
"Cognition","Niemann-Pick Disease, Type C","2"
"DEPRESSION MENTAL","Lung diseases","2"
"Like","Language Disorders","2"
"Aggressive behavior","Psychotic Disorders","2"
"Tinnitus","Mixed anxiety and depressive disorder","2"
"Conscious","Seasonal Affective Disorder","2"
"Autistic Disorder","Stereotypic Movement Disorder","2"
"Attention","Psychotic Disorders","2"
"Factors, Risk","Parkinsonian Disorders","2"
"Play","Delirium, Dementia, Amnestic, Cognitive Disorders","2"
"Play","Recurrent disease","2"
"Somatic delusion disorder","Psychotic Disorders","2"
"Wakefulness","Disease Progression","2"
"Learning","Jet Lag Syndrome","2"
"Withdrawal","Sweet Syndrome","2"
"Hearing impairment","Spinal Cord Diseases","2"
"Communication Response","Prader-Willi Syndrome","2"
"Fasting","Migraine Disorders","2"
"Stereotyped Behavior","Syndrome, Bloch-Sulzberger","2"
"Methamphetamine","Huntington Disease","2"
"Projection Defense Mechanism","Attention deficit hyperactivity disorder","2"
"Sleep","Hamartoma Syndrome, Multiple","2"
"Craves for drugs","Drug withdrawal syndrome","2"
"Delirium","Brain Diseases, Metabolic","2"
"Uncertainty","Syndrome","2"
"Unipolar Depression","Gilles de la Tourette syndrome","2"
"Social Behavior","Mixed anxiety and depressive disorder","2"
"High risk of","McCune-Albright Syndrome","2"
"Visual Perception","Neurodegenerative Disorders","2"
"Self Stimulation","Carpal Tunnel Syndrome","2"
"Behavior","Coffin-Siris syndrome","2"
"Thinking, function","Parkinsonian Disorders","2"
"Vision","Ataxia as late effect of cerebrovascular disease","2"
"Imprinting (Psychology)","Brain Diseases","2"
"Drug Tolerance","Neurotoxicity Syndromes","2"
"Methamphetamine","Pituitary Diseases","2"
"DEPRESSION MENTAL","Clinically isolated syndrome","2"
"Marijuana Abuse","Huntington Disease","2"
"Sleep Deprivation","Functional disorder","2"
"Social Interaction","Van der Woude syndrome","2"
"Pain","Pituitary Diseases","2"
"Seizures","Vasodilation disorder","2"
"Discussion","Bipolar Disorder","2"
"Hyperactive behavior","Brain Diseases","2"
"Language Disorders","Parkinsonian Disorders","2"
"Insight","Cerebellar Diseases","2"
"Discussion","Metabolic Diseases","2"
"Feedback - system communication","Melkersson-Rosenthal Syndrome","2"
"Psychological inhibition","Sensorineural hearing loss (disorder)","2"
"Emotional Strain","Syndrome","2"
"Stress","Congenital secretory diarrhea, sodium type (disorder)","2"
"Walking","cortex bone disorders","2"
"Resting state","Spinal Cord Diseases","2"
"Predatory Behavior","Functional disorder","2"
"Perception","Parkinson Disease","2"
"Ethanol","Niemann-Pick Disease, Type C","2"
"Selective inattention","Hamartoma Syndrome, Multiple","2"
"Cocaine","Herpes zoster disease","2"
"Blunted affect","Functional disorder","2"
"Pain","Peripheral Arterial Diseases","2"
"Stress","Stereotypic Movement Disorder","2"
"Cognitive Flexibility","Autistic Disorder","2"
"Ethanol","Sequela of disorder","2"
"Coping Behavior","Gilles de la Tourette syndrome","2"
"grooming behavior","Obsessive-Compulsive Disorder","2"
"Powers (Psychology)","Swine Vesicular Disease","2"
"Dyslexia","Language Disorders","2"
"Erectile dysfunction","Syndrome","2"
"Tension","cortex bone disorders","2"
"Communication Response","Cerebrovascular Disorders","2"
"Social Role","Kidney Diseases","2"
"Discrimination","Adult Fanconi syndrome","2"
"Breast Feeding","Metabolic Diseases","2"
"Intrinsic drive","Parkinsonian Disorders","2"
"Life Style","Parkinson Disease","2"
"At risk for activity intolerance","Psychotic Disorders","2"
"Comprehension","Behavior Disorders","2"
"Empathy","Turner Syndrome","2"
"Physical activity","Respiration Disorders","2"
"Language Disorders","Syndrome","2"
"Insight","McCune-Albright Syndrome","2"
"Mental Recall","Hamartoma Syndrome, Multiple","2"
"Learning","Renal glomerular disease","2"
"Depression, Bipolar","Anxiety Disorders","2"
"Impaired cognition","Renal glomerular disease","2"
"Depression, Neurotic","Alzheimer's Disease","2"
"Mental Suffering","Depressive disorder","2"
"Projection Defense Mechanism","Fragile X Syndrome","2"
"Psychological inhibition","Schinzel-Giedion syndrome","2"
"Forgetful","Sequela of disorder","2"
"sweet taste perception","Functional disorder","2"
"Overactivity","Autism Spectrum Disorders","2"
"biological adaptation to stress","Cushing Syndrome","2"
"Play","Post-Traumatic Stress Disorder","2"
"Performance","Chromosome 11p11.2 Deletion Syndrome","2"
"Stress","Stomach Diseases","2"
"Discussion","Brain Diseases","2"
"Stereotyped Behavior","Neurotoxicity Syndromes","2"
"Psychological suppression","Mitral Valve Prolapse Syndrome","2"
"taste perception","Syndrome, Bloch-Sulzberger","2"
"Retentions (Psychology)","Depressive disorder","2"
"Communication Response","Accommodation phosphene (disorder)","2"
"Feeling content","Disorder nervous system","2"
"Alcohol consumption","Mucocutaneous Lymph Node Syndrome","2"
"Anxiety and fear","Functional disorder","2"
"Aversion (finding)","DISORDERS OF THE OPTIC NERVE","2"
"Behavior","Lysosomal Storage Diseases","2"
"Chronic pain","Disease Progression","2"
"Pain","Deglutition Disorders","2"
"Behaviors, Feeding","Mixed anxiety and depressive disorder","2"
"Social Role","Allergic rhinitis NOS (disorder)","2"
"Social Role","Clinically isolated syndrome","2"
"Academic achievement","Autistic Disorder","2"
"Spatial Navigation","Neurodegenerative Disorders","2"
"Drug Dependence","Bipolar Disorder","2"
"Dancing","Neurodegenerative Disorders","2"
"Involvement with","Neoplastic disease","2"
"Unipolar Depression","Hashimoto Disease","2"
"Behavior","Vaginal Diseases","2"
"Cognitive information processing","Psychotic Disorders","2"
"Fear","Sweet Syndrome","2"
"Social Role","Premenstrual Dysphoric Disorder","2"
"Social fear","Fragile X Syndrome","2"
"Mental association","Ataxia as late effect of cerebrovascular disease","2"
"Tic disorder","Ataxia as late effect of cerebrovascular disease","2"
"Learning","Syndrome, Bloch-Sulzberger","2"
"Loss of interest","Major Depressive Disorder","2"
"Consideration","Pervasive Development Disorder","2"
"Forgetful","Metabolic Syndrome X","2"
"Physical aggression","Alzheimer's Disease","2"
"Alcoholic Intoxication, Chronic","Hereditary Diseases","2"
"Pain","Substance Use Disorders","2"
"Insight","Timothy syndrome","2"
"Feedback - system communication","CNS disorder","2"
"Availability of","Metabolic Diseases","2"
"Pain","Hereditary Diseases","2"
"Perseveration","Autistic Disorder","2"
"Wakefulness","Mood Disorders","2"
"Heterosexuals","Acquired Immunodeficiency Syndrome","2"
"Sex Behavior","Mitochondrial Diseases","2"
"Visual attention","cortex bone disorders","2"
"Cognitive Development","Neurodevelopmental disorder","2"
"Comatose","Ataxia as late effect of cerebrovascular disease","2"
"Pain","Trigeminal Nerve Diseases","2"
"Behavior","Melkersson-Rosenthal Syndrome","2"
"Relaxation","DISORDERS OF THE OPTIC NERVE","2"
"Cognition","Fetal Alcohol Spectrum Disorders","2"
"Ethanol","Attention Deficit Disorder","2"
"Panic","Functional disorder","2"
"turning behavior","Sensitization (disorder)","2"
"Intrinsic drive","Cardiovascular Diseases","2"
"Reversal Learning","Alzheimer's Disease","2"
"Regular exercise (observable entity)","Depressive disorder","2"
"Play","Metabolic Syndrome X","2"
"Hearing","Down Syndrome","2"
"Aversion (finding)","Substance Use Disorders","2"
"Mental Processes","Pituitary Diseases","2"
"Stress, Psychological","Disease Progression","2"
"Hope","Degenerative disorder","2"
"Intrinsic drive","Huntington Disease","2"
"Social Dominance","cortex bone disorders","2"
"Rejections (Psychology)","Hamartoma Syndrome, Multiple","2"
"Always hungry","Prader-Willi Syndrome","2"
"Response to stimulus physiology","Gilles de la Tourette syndrome","2"
"Feedback - evaluative response process","Uterine Diseases","2"
"Hyperactive behavior","Post-Traumatic Stress Disorder","2"
"DEPRESSION MENTAL","Sequela of disorder","2"
"Autistic Disorder","22q13.3 Deletion Syndrome","2"
"At risk for imbalanced body temperature","Psychotic Disorders","2"
"Insight","Mixed anxiety and depressive disorder","2"
"Reaction Time","Hamartoma Syndrome, Multiple","2"
"Regression - mental defense mechanism","Spinal Cord Diseases","2"
"Social Role","Camurati-Engelmann Syndrome","2"
"Autistic Disorder","Parkinsonian Disorders","2"
"Voice","cortex bone disorders","2"
"Memory impairment","Rett Syndrome","2"
"Depression, Neurotic","Syndrome","2"
"Pain","Stress Disorders, Traumatic","2"
"Stress","Pelizaeus-Merzbacher Disease","2"
"Social Interaction","Borderline Personality Disorder","2"
"Forgetful","Mood Disorders","2"
"High risk of","Meconium Aspiration Syndrome","2"
"DEPRESSION MENTAL","Jet Lag Syndrome","2"
"Factors, Risk","Coronary Artery Disease","2"
"Behavior","Restless Legs Syndrome","2"
"Visual Suppression","Alzheimer's Disease","2"
"Discussion","Neurotoxicity Syndromes","2"
"Seizures","Huntington Disease","2"
"DEPRESSION MENTAL","Demyelinating Diseases","2"
"Play","Autoimmune Diseases","2"
"Psychological suppression","Tic disorder","2"
"Feeling suicidal (finding)","Depressive disorder","2"
"Feedback - system communication","Peripheral Arterial Diseases","2"
"social stress","Mood Disorders","2"
"Retentions (Psychology)","Parkinson Disease","2"
"Autistic Disorder","Mood Disorders","2"
"Social Role","Wernicke-Korsakoff Syndrome","2"
"Behavior","Li-Fraumeni Syndrome","2"
"Alcoholics","Cerebral disorder","2"
"Vision","Nail-Patella Syndrome","2"
"Anxiety","Nail-Patella Syndrome","2"
"Unipolar Depression","Dystonia Disorders","2"
"Like","Cockayne Syndrome, Type II","2"
"Comprehension","Niemann-Pick Disease, Type C","2"
"Like","Cockayne Syndrome","2"
"Experience","Metabolic Diseases","2"
"Exercise","Huntington Disease","2"
"DEPRESSION MENTAL","Irritable Bowel Syndrome","2"
"Tremor","motor disorder","2"
"Reaching","Alzheimer's Disease","2"
"Stress","Menkes Kinky Hair Syndrome","2"
"Uncertainty","Neurodevelopmental disorder","2"
"Repression, Psychology","Huntington Disease","2"
"Like","Inflammatory disorder","2"
"Social Adjustment","Neurodegenerative Disorders","2"
"Stress","Neonatal Abstinence Syndrome","2"
"Knight's move in thought","Functional disorder","2"
"Persistence","Communicable Diseases","2"
"Resting state","Syndrome","2"
"Abnormal behavior","Antisocial Personality Disorder","2"
"Social Role","Finnish congenital nephrotic syndrome","2"
"Sensory Process","Hamartoma Syndrome, Multiple","2"
"nonassociative learning","Sensitization (disorder)","2"
"C","Migraine Disorders","2"
"Consensus","Brain Diseases","2"
"Auditory area","Spinal Cord Diseases","2"
"Cocaine","Retinal Diseases","2"
"Involvement with","Acquired Immunodeficiency Syndrome","2"
"Anxiety","Hypertensive disease","2"
"Learning Disabilities","Alzheimer's Disease","2"
"Impaired social interaction","Substance Use Disorders","2"
"War","Chronic Obstructive Airway Disease","2"
"Fear","neuropathology disease","2"
"Maternal Behavior","Depressive disorder","2"
"Comprehension","Communicable Diseases","2"
"Availability of","Behavior Disorders","2"
"Food Deprivation","Liver diseases","2"
"Drug abuse","Substance Use Disorders","2"
"Impaired social interaction","Rett Syndrome","2"
"Social fear","Disorders, Mental","2"
"Interested","Disorder of eye","2"
"Reproduction","cortex bone disorders","2"
"Communication Response","Respiration Disorders","2"
"Soccer","Motor Neuron Disease","2"
"Impaired cognition","Skin endocrine disorder","2"
"Irritable Mood","Neurotic Disorders","2"
"Pain","Retinal Diseases","2"
"Alcohol consumption","Syndrome, Bloch-Sulzberger","2"
"Object Recognition","Memory Disorders","2"
"Abstract thinking ability","Disease Progression","2"
"Genetic Risk","Hereditary Diseases","2"
"Gilles de la Tourette syndrome","Neurodevelopmental disorder","2"
"Abnormal behavior","Sensory Disorders","2"
"Impaired cognition","Arteriopathic disease","2"
"Drug Dependence","Cognition Disorders","2"
"Decision Making","Parkinson Disease","2"
"Indifferent mood","Brain Diseases","2"
"Practices (Psychology)","Hamartoma Syndrome, Multiple","2"
"Vision","motor disorder","2"
"Puberty","Disorders, Mental","2"
"Delusions","Depressive disorder","2"
"Learning","Movement Disorders","2"
"Feedback - evaluative response process","Leigh Disease","2"
"Physical abuse","Antisocial Personality Disorder","2"
"Involvement with","Rare Diseases","2"
"Alcohol consumption","Post-Traumatic Stress Disorder","2"
"Discussion","Disorders, Mental","2"
"Fasting","Prune Belly Syndrome","2"
"Fetal Alcohol Syndrome","Learning Disorders","2"
"Psychological inhibition","Androgen-Insensitivity Syndrome","2"
"Dyslexia","Down Syndrome","2"
"Ejection as a Sports activity","Herpes zoster disease","2"
"Reversal Learning","Functional disorder","2"
"Learning Disabilities","Bipolar Disorder","2"
"Availability of","Zika virus disease (disorder)","2"
"Cocaine","Lysosomal Storage Diseases","2"
"Memory, Short-Term","Stereotypic Movement Disorder","2"
"Behavioral Symptoms","Attention deficit hyperactivity disorder","2"
"Coping Behavior","Syndrome","2"
"Feeding Activity","Binge eating disorder","2"
"psychological orientation","Conjunctival Diseases","2"
"Like","MELAS Syndrome","2"
"Stress","Attention Deficit Disorder","2"
"Learning","Kartagener Syndrome","2"
"Insight","Dyskinetic syndrome","2"
"Focused attention","Alzheimer's Disease","2"
"Cocaine","Parkinsonian Disorders","2"
"Conditionings (Psychology)","Schinzel-Giedion syndrome","2"
"Fear","Cardio-facio-cutaneous syndrome","2"
"Nausea","Functional disorder","2"
"Exercise","Peripheral Arterial Diseases","2"
"Thinking, function","Disorder nervous system","2"
"Discrimination Learning","Carpal Tunnel Syndrome","2"
